場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
札幌,1,1,ライトアズフェザー,千葉直人,-788.0,1414.0,938.0,588.0,1811.0,-1051.0,,,2912.0,4.0
札幌,1,2,ヨッシーリオ,北出成人,358.0,924.0,1494.0,254.0,2726.0,1806.0,,,7562.0,1.0
札幌,1,3,モズプリフォール,矢作芳人,-138.0,140.0,-340.0,467.0,1247.0,818.0,,,2194.0,5.0
札幌,1,4,ブライトフレア,佐藤悠太,,,,,,,,,,
札幌,1,5,マルモリラピダス,緒方努　,-237.0,-1134.0,-3102.0,-1819.0,-827.0,-1582.0,,,-8701.0,9.0
札幌,1,6,スカイピア,前川恭子,,,,,,,,,,
札幌,1,7,コマチチャン,小椋研介,-788.0,-2652.0,-3643.0,-1003.0,-2200.0,-5043.0,,,-15329.0,10.0
札幌,1,8,サザンテイオー,根本康広,-460.0,1169.0,-677.0,-166.0,-516.0,755.0,,,105.0,6.0
札幌,1,9,ケイベエ,杉浦宏昭,583.0,458.0,298.0,-16.0,882.0,835.0,,,3040.0,2.0
札幌,1,10,ストームサンダー,安達昭夫,-165.0,-1522.0,-1036.0,-635.0,-671.0,-811.0,,,-4840.0,7.0
札幌,1,11,ルーセントムーン,高橋一哉,-788.0,-1710.0,-403.0,-1802.0,-2381.0,-1600.0,,,-8684.0,8.0
札幌,1,12,アニマレイ,須貝尚介,1261.0,655.0,360.0,321.0,353.0,-31.0,,,2919.0,3.0
札幌,2,1,キャットテイル,野中賢二,35.0,-335.0,28.0,-237.0,279.0,686.0,-654.0,-293.0,-491.0,7.0
札幌,2,2,キタノホウセキ,畑端省吾,-219.0,930.0,1507.0,268.0,691.0,1776.0,,,4953.0,4.0
札幌,2,3,アルマヴィーナス,中舘英二,-216.0,-320.0,607.0,-1411.0,-137.0,-76.0,,,-1553.0,8.0
札幌,2,4,グランシャット,宮田敬介,-145.0,-275.0,-842.0,-395.0,-580.0,-1342.0,,,-3579.0,11.0
札幌,2,5,ミサビスケッツ,村田一誠,-179.0,-3583.0,-3702.0,-2164.0,-2755.0,-2769.0,26.0,-1257.0,-16383.0,14.0
札幌,2,6,クインズマカロン,小林真也,38.0,-256.0,1467.0,368.0,-217.0,878.0,,,2278.0,5.0
札幌,2,7,ネトル,高橋康之,93.0,-871.0,-1149.0,-1746.0,-991.0,-855.0,,,-5519.0,13.0
札幌,2,8,ダノンブロッサム,尾関知人,-136.0,-914.0,-763.0,-1465.0,-42.0,-109.0,-429.0,-47.0,-3905.0,12.0
札幌,2,9,アンタンシオン,杉山佳明,402.0,1713.0,2223.0,529.0,1127.0,1384.0,-159.0,1219.0,8438.0,2.0
札幌,2,10,ユウメモリー,新谷功一,-89.0,-469.0,-524.0,-658.0,-462.0,-493.0,-376.0,-85.0,-3156.0,10.0
札幌,2,11,ミートザターゲット,森一誠　,530.0,908.0,474.0,1443.0,2136.0,2107.0,,,7598.0,3.0
札幌,2,12,アウスラフラッグ,高柳瑞樹,-23.0,-390.0,-836.0,-465.0,-445.0,-246.0,,,-2405.0,9.0
札幌,2,13,コスモトロイメル,田島俊明,-165.0,-704.0,670.0,635.0,218.0,-186.0,,,468.0,6.0
札幌,2,14,ハローエンジェル,田中克典,247.0,1892.0,1729.0,2106.0,2205.0,2288.0,,,10467.0,1.0
札幌,3,1,アセンディア,田中勝春,,,,,,,,,,
札幌,3,2,ルクスコロン,上村洋行,-54.0,-105.0,1583.0,844.0,-65.0,1241.0,,,3444.0,3.0
札幌,3,3,ダークメモリー,田中克典,247.0,1892.0,814.0,2106.0,-57.0,2288.0,,,7290.0,1.0
札幌,3,4,フィリグラン,森田直行,-131.0,1291.0,-18.0,945.0,1488.0,1187.0,,,4762.0,2.0
