場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
福島,1,未勝利,ダート,1700,良,1,オースミストロング,3歳,角田大和,高橋亮,追込,,,中距離,右回り,,Lv3 ,486.0,休明初戦,距離延長
福島,1,未勝利,ダート,1700,良,2,エイシンヤタガラス,3歳,川又賢治,渡辺薫彦,差し,,,中距離,右回り,,Lv3 ,480.0,休明初戦,距離延長
福島,1,未勝利,ダート,1700,良,3,ベネディクティオ,3歳,高杉吏麒,加藤士津,,,,中距離,右回り,,Lv3 ,506.0,,
福島,1,未勝利,ダート,1700,良,4,キャバリエクエスト,3歳,小崎綾也,大和田成,追込,,0.0,中距離,右回り,,Lv3 ,468.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,5,タナハシ,3歳,菊沢一樹,伊坂重信,差し,,0.0,中距離,右回り,,Lv3 ,504.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,6,アルテボーイ,3歳,斎藤新,斎藤誠,,,,中距離,右回り,,Lv3 ,512.0,,
福島,1,未勝利,ダート,1700,良,7,カンプウ,3歳,泉谷楓真,奥村豊,差し,,0.0,中距離,右回り,,Lv3 ,500.0,,距離短縮
福島,1,未勝利,ダート,1700,良,8,グリスタン,3歳,丹内祐次,高橋文雅,先行,,,中距離,右回り,,Lv3 ,472.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,9,ノボリディアマン,3歳,国分恭介,緒方努,差し,,0.0,中距離,右回り,,Lv3 ,444.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,10,コパノディラン,3歳,荻野琢真,梅田智之,差し,,0.0,中距離,右回り,,Lv3 ,494.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,11,スズノソレイユ,3歳,藤懸貴志,平田修,先行,,50.0,中距離,右回り,,Lv3 ,486.0,,距離短縮
福島,1,未勝利,ダート,1700,良,12,ビービーバザーク,3歳,佐々木大,武幸四郎,逃げ,,100.0,中距離,右回り,,Lv3 ,480.0,休明2走,距離短縮
福島,1,未勝利,ダート,1700,良,13,ヴォルケシェッツェ,3歳,嶋田純次,伊坂重信,,,,中距離,右回り,,Lv3 ,486.0,,
福島,1,未勝利,ダート,1700,良,14,コンストラクション,3歳,石神深道,和田正一,追込,,0.0,中距離,右回り,,Lv3 ,468.0,休明初戦,距離短縮
福島,1,未勝利,ダート,1700,良,15,セラード,3歳,石田拓郎,佐藤吉勝,差し,0.0,0.0,中距離,右回り,,Lv3 ,432.0,休明初戦,距離短縮
福島,2,未勝利,芝,1200,良,1,ビアンカネーヴェ,3歳,亀田温心,北出成人,逃げ,,100.0,短距離,右回り,,Lv3 ,444.0,休明初戦,
福島,2,未勝利,芝,1200,良,2,ハリウッドメモリー,3歳,丹内祐次,長谷川浩,先行,,100.0,短距離,右回り,,Lv3 ,454.0,,
福島,2,未勝利,芝,1200,良,3,アメリータ,3歳,田口貫太,今野貞一,逃げ,,0.0,短距離,右回り,,Lv3 ,422.0,,距離短縮
福島,2,未勝利,芝,1200,良,4,タイニービキニ,3歳,荻野極,森田直行,追込,,33.33333333333333,短距離,右回り,,Lv3 ,412.0,休明2走,
福島,2,未勝利,芝,1200,良,5,ペイシャアーサー,3歳,国分恭介,本間忍,追込,,,短距離,右回り,,Lv3 ,452.0,休明初戦,距離短縮
福島,2,未勝利,芝,1200,良,6,ピースフルゴールド,3歳,斎藤新,斎藤誠,逃げ,,,短距離,右回り,,Lv3 ,468.0,休明初戦,距離短縮
