場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
新潟,1,1,ダイユウボンバー,佐々木大,103.0,102.0,103.0,106.0,99.0,115.0,104.667,6.0
新潟,1,2,コナベイション,丹内祐次,108.0,102.0,107.0,98.0,100.0,109.0,104.0,7.0
新潟,1,3,ペイシャアーサー,国分恭介,117.0,111.0,107.0,114.0,106.0,111.0,111.0,2.0
新潟,1,4,エイシンパンタレイ,丸山元気,102.0,98.0,97.0,97.0,98.0,92.0,97.333,10.0
新潟,1,5,シュパネントパール,秋山稔樹,108.0,105.0,101.0,105.0,105.0,138.0,110.333,3.0
新潟,1,6,ムーンアイドル,荻野極　,104.0,97.0,97.0,109.0,105.0,95.0,101.167,9.0
新潟,1,7,ダブルスチール,武藤雅　,87.0,94.0,82.0,88.0,90.0,66.0,84.5,15.0
新潟,1,8,オーシンブーケ,横山琉人,105.0,93.0,93.0,93.0,103.0,93.0,96.667,11.0
新潟,1,9,ルナプローブ,菅原隆一,171.0,67.0,54.0,74.0,96.0,21.0,80.5,16.0
新潟,1,10,メイショウマチルダ,中井裕二,106.0,83.0,80.0,108.0,107.0,67.0,91.833,13.0
新潟,1,11,アンビシャスヨシノ,松本大輝,83.0,102.0,92.0,104.0,87.0,75.0,90.5,14.0
新潟,1,12,ミズイロホルトゥス,菊沢一樹,118.0,115.0,110.0,112.0,111.0,104.0,111.667,1.0
新潟,1,13,ショウナンバシリス,大野拓弥,120.0,97.0,107.0,102.0,98.0,89.0,102.167,8.0
新潟,1,14,キタノブリッジ,藤懸貴志,125.0,105.0,102.0,105.0,97.0,110.0,107.333,5.0
新潟,1,15,メイショウハボマイ,角田大和,105.0,99.0,110.0,110.0,114.0,108.0,107.667,4.0
新潟,1,16,マイアイドル,吉田隼人,95.0,97.0,96.0,91.0,96.0,93.0,94.667,12.0
新潟,2,1,ワイドレッド,今村聖奈,94.0,83.0,91.0,92.0,99.0,81.0,90.0,11.0
新潟,2,2,ゴールドシャーク,荻野極　,104.0,97.0,101.0,109.0,105.0,88.0,100.667,8.0
新潟,2,3,サトノエバー,大野拓弥,120.0,97.0,95.0,102.0,98.0,98.0,101.667,5.0
新潟,2,4,モウフブキ,石田拓郎,95.0,108.0,95.0,80.0,90.0,90.0,93.0,10.0
新潟,2,5,メイショウセツゲツ,西塚洸二,112.0,109.0,104.0,102.0,114.0,114.0,109.167,1.0
新潟,2,6,ミニョンマルーン,長浜鴻緒,116.0,107.0,98.0,96.0,95.0,140.0,108.667,2.0
新潟,2,7,グリューネベルグ,丹内祐次,108.0,102.0,100.0,98.0,100.0,97.0,100.833,7.0
新潟,2,8,ヴィーナスゼファー,舟山瑠泉,,,,,,,,
新潟,2,9,ハニーローリエ,永島まな,90.0,90.0,86.0,91.0,82.0,85.0,87.333,13.0
新潟,2,10,ヤマニンレセディ,角田大和,105.0,99.0,107.0,110.0,114.0,109.0,107.333,3.0
新潟,2,11,ウエスタンタマヤ,佐々木大,103.0,102.0,101.0,106.0,99.0,113.0,104.0,4.0
新潟,2,12,ヴィオラダンサー,上里直汰,,,,,,,,
新潟,2,13,メイショウドライブ,小沢大仁,74.0,96.0,95.0,78.0,80.0,102.0,87.5,12.0
新潟,2,14,バイアーナ,柴田裕一,119.0,91.0,96.0,104.0,91.0,108.0,101.5,6.0
新潟,2,15,ルージュリエカ,松本大輝,83.0,102.0,103.0,104.0,87.0,90.0,94.833,9.0
新潟,3,1,モズラッキー,古川奈穂,106.0,89.0,94.0,90.0,93.0,95.0,94.5,10.0
新潟,3,2,ジーティートゥルー,丸山元気,102.0,98.0,95.0,96.0,98.0,111.0,100.0,7.0
新潟,3,3,メイショウカジボウ,西塚洸二,112.0,109.0,104.0,103.0,114.0,114.0,109.333,3.0
新潟,3,4,マイネルラカイユ,丹内祐次,108.0,102.0,100.0,107.0,100.0,97.0,102.333,5.0
新潟,3,5,レヴァンテシチー,田山旺佑,,,,,,,,
新潟,3,6,タイセイバンクール,菊沢一樹,118.0,115.0,108.0,106.0,111.0,116.0,112.333,1.0
新潟,3,7,オセアフランケル,和田陽希,,,,,,,,
新潟,3,8,キタノニーソング,中井裕二,106.0,83.0,107.0,94.0,107.0,101.0,99.667,8.0
新潟,3,9,キープオントップ,長浜鴻緒,116.0,107.0,98.0,109.0,95.0,140.0,110.833,2.0
新潟,3,10,シングンラオウ,嶋田純次,98.0,99.0,95.0,97.0,116.0,101.0,101.0,6.0
新潟,3,11,ハーフェズ,藤懸貴志,125.0,105.0,105.0,102.0,97.0,111.0,107.5,4.0
新潟,3,12,ゴールドエンペラー,川端海翼,82.0,84.0,103.0,93.0,113.0,107.0,97.0,9.0
新潟,3,13,ヴァルトバーデン,舟山瑠泉,,,,,,,,
