場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
中山,1,1,アレキサンダーサン,エスケンデレヤ,103.0,104.0,112.0,119.0,88.0,118.0,116.0,,108.571,4.0
中山,1,2,ガクエンテンゴク,アメリカンペイトリオット,111.0,99.0,95.0,97.0,100.0,106.0,,,101.333,7.0
中山,1,3,ケンブリッジルプス,ミッキーグローリー,63.0,80.0,108.0,82.0,127.0,65.0,134.0,,94.143,9.0
中山,1,4,アンプイットアップ,ディスクリートキャット,106.0,106.0,101.0,106.0,109.0,106.0,127.0,,108.714,3.0
中山,1,5,タイキプレジール,ダノンプレミアム,,,,,,,,,,
中山,1,6,ゼファーテソーロ,モズアスコット,94.0,109.0,117.0,109.0,117.0,,,,109.2,2.0
中山,1,7,キッショウダラニ,リオンディーズ,105.0,94.0,99.0,92.0,97.0,102.0,,,98.167,8.0
中山,1,8,サンマルフォース,フォーウィールドライブ,119.0,117.0,116.0,133.0,113.0,125.0,,,120.5,1.0
中山,1,9,マインセーラ,アポロケンタッキー,,,,,,,,,,
中山,1,10,ショウナンタヅナ,ドレフォン,100.0,107.0,107.0,105.0,103.0,104.0,110.0,,105.143,6.0
中山,1,11,トウシンライオット,フィレンツェファイア,,,,,,,,,,
中山,1,12,ユキノサイエンス,ノヴェリスト,92.0,80.0,88.0,94.0,88.0,102.0,,,90.667,10.0
中山,1,13,サリーアン,ダノンプレミアム,,,,,,,,,,
中山,1,14,スラッシュコード,ミスターメロディ,58.0,96.0,56.0,98.0,91.0,,,,79.8,11.0
中山,1,15,モーニングダリア,ミスチヴィアスアレックス,,,,,,,,,,
中山,1,16,タマリスペクト,カリフォルニアクローム,107.0,108.0,105.0,104.0,107.0,105.0,,,106.0,5.0
中山,2,1,シシリアンキッス,イスラボニータ,106.0,103.0,92.0,103.0,94.0,102.0,115.0,,102.143,5.0
中山,2,2,ニケフェリーチェ,アジアエクスプレス,104.0,96.0,102.0,97.0,103.0,106.0,93.0,,100.143,6.0
中山,2,3,プレイメイカー,ベンバトル,,,,,,,,,,
中山,2,4,アイアンパイク,ヘンリーバローズ,76.0,83.0,76.0,98.0,91.0,86.0,,,85.0,11.0
中山,2,5,トリエンナーレ,マインドユアビスケッツ,84.0,99.0,93.0,90.0,93.0,93.0,96.0,,92.571,10.0
中山,2,6,アッシズオブローズ,アドマイヤマーズ,80.0,95.0,169.0,108.0,116.0,,,,113.6,1.0
中山,2,7,プリンセスダーコ,マクフィ,91.0,98.0,99.0,93.0,102.0,100.0,,,97.167,9.0
中山,2,8,アルティオーラ,ダノンプレミアム,,,,,,,,,,
中山,2,9,ピンクサウスポー,エポカドーロ,,,,,,,,,,
中山,2,10,ビーチイン,ダノンプレミアム,,,,,,,,,,
中山,2,11,クイーンズホリデー,オルフェーヴル,101.0,103.0,99.0,104.0,103.0,103.0,112.0,,103.571,4.0
中山,2,12,イデアクリスタル,ホークビル,36.0,105.0,51.0,102.0,105.0,90.0,,,81.5,12.0
中山,2,13,ノーブルクラウド,カレンブラックヒル,92.0,102.0,107.0,92.0,102.0,102.0,,,99.5,8.0
中山,2,14,アスパラゴ,カリフォルニアクローム,107.0,108.0,105.0,104.0,100.0,105.0,,,104.833,3.0
