場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,1,ロケットパンチ,2歳,武藤雅,武藤善則,中距離,右回り,,ナダル,,距離延長,10,D,12.9,7.0,12.9,6.0,37.5,5.0,37.6,2.0,B,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,2,キタノファーンヒル,2歳,鷲頭虎太,加藤公太,中距離,右回り,,ヴァンゴッホ,,距離延長,11,D,13.2,10.0,13.2,9.0,37.9,,37.8,4.0,C,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,3,ロミオ,2歳,荻野極,上原佑紀,中距離,右回り,,シュウジ,,距離延長,4,D,12.5,3.0,12.5,2.0,,,,,B,D,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,4,ハードシングス,2歳,石川裕紀,小崎憲,中距離,右回り,,ゴールドドリーム,,距離延長,1,B,12.4,1.0,13.0,7.0,36.1,2.0,37.4,1.0,C,C,C,B,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,5,フリーマン,2歳,秋山稔樹,高橋義忠,中距離,右回り,,ヴァンゴッホ,,距離短縮,14,E,13.9,14.0,13.9,14.0,,,,,B,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,6,トワイライトビュー,2歳,丸山元気,佐々木晶,中距離,右回り,,アジアエクスプレス,休明2走,距離延長,3,C,13.0,8.0,13.0,7.0,36.2,3.0,37.8,4.0,B,C,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,7,セントポールヒロ,2歳,西塚洸二,田島俊明,中距離,右回り,,ストロングリターン,休明初戦,距離短縮,12,D,12.7,4.0,12.7,3.0,36.7,4.0,43.4,,D,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,8,ロードヴェルテクス,2歳,松本大輝,奥村豊,中距離,右回り,,ドレフォン,,距離延長,7,D,13.5,12.0,13.5,12.0,,,,,B,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,9,ヒリュウ,2歳,中井裕二,橋口慎介,中距離,右回り,,ブリックスアンドモルタル,休明初戦,距離短縮,15,E,14.0,15.0,14.0,15.0,,,,,B,,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,10,テンオンスゴールド,2歳,江田照男,田中剛,中距離,右回り,,オルフェーヴル,休明初戦,距離短縮,6,D,12.8,6.0,12.8,4.0,,,,,D,B,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,11,ミスエベレスト,2歳,上里直汰,伊坂重信,中距離,右回り,,ミスチヴィアスアレックス,,距離延長,13,E,12.7,4.0,12.8,4.0,,,,,C,D,C,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,12,ココラッシー,2歳,石神深道,西園翔太,中距離,右回り,,ゴールドドリーム,,距離短縮,8,D,13.4,11.0,13.4,11.0,37.8,7.0,37.7,3.0,D,B,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,13,ユニゾン,2歳,丹内祐次,菊川正達,中距離,右回り,,サンダースノー,,距離短縮,2,B,13.1,9.0,13.3,10.0,37.6,6.0,37.9,6.0,C,D,C,D,C
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,14,コレデヨカロウ,2歳,角田大和,角田晃一,中距離,右回り,,グレーターロンドン,休明初戦,距離短縮,9,D,13.8,13.0,13.8,13.0,,,,,C,B,,,
福島,1,未勝利,ダート,1700,良(暫定),Lv3 ,15,ボールドタワー,2歳,菊沢一樹,鈴木慎太,中距離,右回り,,タワーオブロンドン,休明3走,距離延長,5,D,12.4,1.0,12.4,1.0,36.0,1.0,37.9,6.0,C,C,C,C,
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,1,メイショウゴールド,3歳,丹内祐次,荒川義之,短距離,右回り,,カリフォルニアクローム,休明2走,距離短縮,4,D,12.4,14.0,12.6,4.0,35.4,5.0,38.1,,D,D,C,B,C
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,2,ローズブルーム,5歳以上,川端海翼,伊藤大士,短距離,右回り,,グランデッツァ,休明3走,距離延長,12,D,12.1,4.0,13.7,13.0,36.6,,38.0,,D,D,A,D,C
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,3,ファイブセンス,5歳以上,吉田豊,高橋文雅,短距離,右回り,,Frankel,休明初戦,距離短縮,11,D,13.3,16.0,13.7,13.0,,,,,B,B,C,C,B
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,4,プレゼンティーア,4歳,松本大輝,田中克典,短距離,右回り,,マジェスティックウォリアー,休明3走,距離短縮,2,C,11.8,1.0,11.8,1.0,34.6,1.0,38.3,,B,C,C,D,B
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,5,レジェンダリーデイ,5歳以上,国分恭介,森田直行,短距離,右回り,,ダノンレジェンド,休明3走,距離短縮,10,D,12.2,8.0,,,34.9,3.0,46.7,,,C,,,
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,6,サイコウダネ,4歳,上里直汰,天間昭一,短距離,右回り,,タリスマニック,休明2走,距離延長,16,E,12.1,4.0,12.9,9.0,,,,,D,,,,
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,7,キーガッツ,3歳,長岡禎仁,杉山佳明,短距離,右回り,,シュヴァルグラン,休明2走,距離短縮,1,B,12.2,8.0,12.2,2.0,35.4,5.0,37.0,7.0,C,C,C,C,C
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,8,ツーピース,3歳,森田誠也,河嶋宏樹,短距離,右回り,,ホッコータルマエ,休明3走,距離短縮,9,D,12.2,8.0,12.4,3.0,34.8,2.0,37.0,7.0,C,B,E,C,C
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,9,ベニシア,4歳,菊沢一樹,粕谷昌央,短距離,右回り,,ヘニーヒューズ,,距離短縮,13,E,11.8,1.0,12.8,7.0,36.3,,36.5,4.0,B,C,C,B,C
福島,2,自己条件,ダート,1150,良(暫定),Lv3 ,10,シャインミラカナ,3歳,亀田温心,北出成人,短距離,右回り,,アルアイン,休明初戦,距離延長,15,E,12.3,12.0,12.8,7.0,35.5,7.0,36.7,6.0,C,D,C,C,
