場所,R,クラス,種別,距離,馬場状態,レースレベル,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,1,ギンケイ,3歳,荻野極,中川公成,中距離,右回り,ダ道悪,ルヴァンスレーヴ,,,1,B,13.2,5.0,13.2,3.0,38.1,,37.4,1.0,C,C,,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,2,ゴールドビリーヴ,3歳,田辺裕信,鈴木慎太,中距離,右回り,ダ道悪,ゴールドアクター,,,6,D,14.3,13.0,14.3,13.0,39.8,,38.8,8.0,D,,,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,3,デコニミカヅキ,3歳,水沼元輝,西田雄一,中距離,右回り,ダ道悪,ホッコータルマエ,,,16,E,,,,,,,,,,,,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,4,サーロー,3歳,菊沢一樹,勢司和浩,中距離,右回り,ダ道悪,ヘンリーバローズ,休明2走,,7,D,13.5,8.0,13.5,6.0,37.4,5.0,37.5,2.0,A,C,C,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,5,サクラボーベル,3歳,丸山元気,森一誠,中距離,右回り,ダ道悪,シャンハイボビー,,,5,C,,,,,,,,,,,,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,6,ミアルーチェ,3歳,横山武史,加藤士津,中距離,右回り,ダ道悪,ルーラーシップ,,,3,C,13.1,4.0,13.1,2.0,37.5,7.0,38.7,7.0,C,C,,,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,7,キタノエピックアン,3歳,上里直汰,萱野浩二,中距離,右回り,ダ道悪,ベストウォーリア,,,2,B,13.2,5.0,13.2,3.0,36.9,3.0,37.7,3.0,E,D,C,C,
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,8,タイセイルビー,3歳,三浦皇成,千葉直人,中距離,右回り,ダ道悪,サトノダイヤモンド,,,4,C,13.0,3.0,13.6,8.0,37.3,4.0,38.6,6.0,B,D,B,A,B
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,9,フライスカイハイ,3歳,舟山瑠泉,菊川正達,中距離,右回り,ダ道悪,ロードカナロア,休明3走,,12,E,12.6,2.0,13.9,11.0,36.5,1.0,39.1,,D,C,B,C,E
中山,1,未勝利,ダート,1800,不(暫定),Lv3 ,10,スターキャンディ,3歳,小林脩斗,松山将樹,中距離,右回り,ダ道悪,シュヴァルグラン,,,9,D,13.3,7.0,13.3,5.0,38.5,,39.5,,B,B,,,
