場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
中山,1,1,トコシエノヒトミ,長浜鴻緒,-145.0,1492.0,-605.0,-1080.0,254.0,,-84.0,7.0
中山,1,2,ベンガルボダイジュ,佐藤翔馬,1830.0,648.0,-199.0,802.0,465.0,,3546.0,1.0
中山,1,3,ベアフォースワン,木幡巧也,-820.0,715.0,298.0,-122.0,-432.0,,-361.0,8.0
中山,1,4,イーガービーバー,石神深道,-377.0,-455.0,-3589.0,-2057.0,-2181.0,,-8659.0,13.0
中山,1,5,ヘヴンリースカイ,木幡初也,395.0,-343.0,-623.0,-130.0,119.0,,-582.0,9.0
中山,1,6,トモジャオーリー,津村明秀,361.0,707.0,-40.0,1782.0,-302.0,,2508.0,2.0
中山,1,7,フェスティヴハート,柴田大知,-694.0,-1585.0,-2164.0,-2932.0,-1268.0,,-8643.0,12.0
中山,1,8,フクシマグランツ,木幡育也,-669.0,826.0,-33.0,518.0,190.0,,832.0,6.0
中山,1,9,オリエンタルガール,横山琉人,-132.0,-1045.0,567.0,-1128.0,-563.0,,-2301.0,10.0
中山,1,10,タイキプレジール,石橋脩　,-436.0,-366.0,1848.0,1273.0,-1116.0,,1203.0,5.0
中山,1,11,サトノエスケープ,横山武史,-311.0,69.0,-2911.0,-1784.0,-845.0,,-5782.0,11.0
中山,1,12,ヴェリタスポルタ,舟山瑠泉,,,,,,,,
中山,1,13,タイセイギガース,丹内祐次,-784.0,665.0,-92.0,-600.0,3082.0,,2271.0,3.0
中山,1,14,オテモヤン,遠藤汰月,,,,,,,,
中山,1,15,ドナソール,荻野極　,1471.0,-421.0,250.0,1835.0,-1724.0,,1411.0,4.0
中山,1,16,ニシノガランテ,上里直汰,,,,,,,,
中山,2,1,ボニープリンス,マーカン,,,,,,,,
中山,2,2,マイネルヴェーゼン,石川裕紀,1580.0,-560.0,-196.0,88.0,274.0,,1186.0,4.0
中山,2,3,イアム,上里直汰,,,,,,,,
中山,2,4,ベルランコントル,丹内祐次,-784.0,665.0,3364.0,3048.0,3082.0,,9375.0,1.0
中山,2,5,ノーブルスアーク,小林美駒,-341.0,-1267.0,195.0,-339.0,-896.0,,-2648.0,9.0
中山,2,6,フラクタル,木幡巧也,-820.0,715.0,-867.0,298.0,-432.0,,-1106.0,6.0
中山,2,7,ダイユウアレグロ,内田博幸,-617.0,-558.0,-1699.0,-3480.0,-1358.0,,-7712.0,13.0
中山,2,8,ワインダークシー,横山武史,-311.0,69.0,-190.0,-1160.0,-845.0,,-2437.0,8.0
中山,2,9,セイントクーヤ,菅原明良,-1023.0,883.0,-53.0,-762.0,-353.0,,-1308.0,7.0
中山,2,10,ブレイズランナー,荻野極　,1471.0,-421.0,-679.0,-1798.0,-1724.0,,-3151.0,10.0
中山,2,11,アルケミラモリス,吉田豊　,-478.0,-812.0,-1263.0,-422.0,-1272.0,,-4247.0,11.0
中山,2,12,アズサ,石神深道,-377.0,-455.0,-2027.0,-3918.0,-2181.0,,-8958.0,14.0
中山,2,13,ヒコボシ,杉原誠人,298.0,-721.0,1564.0,548.0,564.0,,2253.0,3.0
中山,2,14,テルケンレンスキー,木幡初也,395.0,-343.0,-48.0,-479.0,119.0,,-356.0,5.0
中山,2,15,コスモグロボーサ,柴田大知,-694.0,-1585.0,-1410.0,-369.0,-1268.0,,-5326.0,12.0
中山,2,16,クールフィデル,横山和生,1309.0,-784.0,531.0,1072.0,2261.0,,4389.0,2.0
中山,3,1,カフェラジェム,横山和生,1309.0,489.0,896.0,1072.0,2261.0,,6027.0,3.0
中山,3,2,タニセンローマ,マーカン,,,,,,,,
