場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
東京,1,1,ビッグチャン,ビッグアーサー,-405.0,-2689.0,-2995.0,-223.0,-2015.0,-1388.0,-792.0,,-10507.0,11.0
東京,1,2,ロードストラダーレ,ロードカナロア,289.0,-606.0,-288.0,-1354.0,1653.0,814.0,4167.0,,4675.0,3.0
東京,1,3,ヘイスティハート,フォーウィールドライブ,-245.0,1462.0,1178.0,2984.0,3796.0,2014.0,741.0,,11930.0,2.0
東京,1,4,マジェステラ,ディーマジェスティ,-261.0,138.0,699.0,-665.0,363.0,367.0,576.0,,1217.0,5.0
東京,1,5,ケイベエ,エピファネイア,-216.0,-1602.0,-3367.0,1587.0,-3687.0,-419.0,-1724.0,,-9428.0,10.0
東京,1,6,ドナソール,マテラスカイ,,,,,,,,,,
東京,1,7,シンデレラカラー,ビーチパトロール,-310.0,-346.0,-441.0,-1264.0,-735.0,512.0,41.0,,-2543.0,8.0
東京,1,8,マコトアタキギリ,サンダースノー,-903.0,3025.0,4847.0,-277.0,2687.0,-468.0,5271.0,,14182.0,1.0
東京,1,9,ユイノカタリベ,タワーオブロンドン,273.0,494.0,-614.0,338.0,197.0,248.0,-414.0,,522.0,7.0
東京,1,10,マジンタクシー,マテラスカイ,,,,,,,,,,
東京,1,11,トーアシチフクジン,ニューイヤーズデイ,-602.0,-354.0,-123.0,281.0,244.0,1166.0,-17.0,,595.0,6.0
東京,1,12,マインセーラ,アポロケンタッキー,,,,,,,,,,
東京,1,13,キタノマテンロウ,ダノンスマッシュ,,,,,,,,,,
東京,1,14,コブラツイスト,ハッピースプリント,,,,,,,,,,
東京,1,15,エンチャンテッド,ミスターメロディ,-328.0,-228.0,-1856.0,-567.0,-167.0,-133.0,195.0,,-3084.0,9.0
東京,1,16,シュタルク,タワーオブロンドン,273.0,494.0,-614.0,338.0,197.0,248.0,397.0,,1333.0,4.0
東京,2,1,インテンスゲイズ,ゴールドシップ,-1616.0,396.0,580.0,-541.0,1279.0,-1463.0,,,-1365.0,9.0
東京,2,2,ニシノヒンメル,セイウンコウセイ,,,,,,,,,,
東京,2,3,ジャストビコーズ,インディチャンプ,,,,,,,,,,
東京,2,4,モンペリエ,トーセンレーヴ,,,,,,,,,,
東京,2,5,キャリアビジョン,シスキン,-6.0,-27.0,424.0,424.0,35.0,11.0,-61.0,,800.0,4.0
東京,2,6,ベルサンローラン,キタサンブラック,598.0,937.0,-309.0,375.0,263.0,-412.0,1530.0,,2982.0,2.0
東京,2,7,ボーントゥラブユー,コントレイル,,,,,,,,,,
東京,2,8,ルンベーラ,ミッキーグローリー,1490.0,-1334.0,-813.0,124.0,-931.0,942.0,,,-522.0,7.0
東京,2,9,アースヴィンチ,アルアイン,-1821.0,-3469.0,-2262.0,-704.0,-2319.0,-2037.0,-2455.0,,-15067.0,13.0
東京,2,10,ユーゲットミー,ダノンバラード,1483.0,-59.0,1958.0,1919.0,754.0,1947.0,865.0,,8867.0,1.0
東京,2,11,リスレジャンデール,エピファネイア,-216.0,-1602.0,-2937.0,1587.0,-1809.0,-419.0,,,-5396.0,11.0
東京,2,12,エコロセレナ,コントレイル,,,,,,,,,,
東京,2,13,ラスターヴァース,サトノダイヤモンド,-275.0,2121.0,-1096.0,270.0,-472.0,-456.0,2069.0,,2161.0,3.0
東京,2,14,アマビエ,ビーチパトロール,-310.0,-346.0,-68.0,-1264.0,669.0,512.0,,,-807.0,8.0
東京,2,15,タイセイルビー,サトノダイヤモンド,-275.0,2121.0,-1096.0,270.0,-472.0,-456.0,,,92.0,5.0
東京,2,16,チェンドル,アルアイン,-1821.0,-3469.0,-2262.0,-704.0,-2319.0,-2037.0,,,-12612.0,12.0
東京,2,17,ブライトエアリー,ウインブライト,-473.0,664.0,-402.0,15.0,-55.0,139.0,,,-112.0,6.0
東京,2,18,シルバーゴールド,シルバーステート,-2209.0,-2175.0,1981.0,-474.0,-864.0,-1360.0,,,-5101.0,10.0
東京,3,1,シンエンドーツダ,イスラボニータ,1591.0,693.0,4154.0,944.0,3209.0,1435.0,2234.0,,14260.0,1.0
東京,3,2,ピエドゥラパン,エピファネイア,-216.0,-1602.0,-2937.0,1587.0,-3687.0,-419.0,,,-7274.0,12.0
東京,3,3,フジテンクウ,マインドユアビスケッツ,1896.0,-272.0,1224.0,211.0,389.0,785.0,,,4233.0,4.0
東京,3,4,ロジクリスエス,ロジユニヴァース,,,,,,,,,,
東京,3,5,モンサンドール,イスラボニータ,1591.0,693.0,4154.0,944.0,3209.0,1435.0,2234.0,,14260.0,1.0
東京,3,6,ピルスナー,ベンバトル,,,,,,,,,,
東京,3,7,マッキュラシオン,イスラボニータ,1591.0,693.0,4154.0,944.0,3209.0,1435.0,474.0,,12500.0,3.0
東京,3,8,バルボアパーク,サートゥルナーリア,301.0,78.0,-800.0,-499.0,418.0,-123.0,,,-625.0,7.0
東京,3,9,ルクリーシア,ロードカナロア,289.0,-606.0,-1519.0,-1354.0,1653.0,814.0,,,-723.0,9.0
東京,3,10,ワイズファミリア,ブリックスアンドモルタル,831.0,-621.0,1704.0,-193.0,66.0,1767.0,,,3554.0,5.0
東京,3,11,スミッコディスコ,ダノンプレミアム,,,,,,,,,,
東京,3,12,ダイユウヴェンティ,サートゥルナーリア,301.0,78.0,-800.0,-499.0,418.0,-123.0,,,-625.0,7.0
東京,3,13,サザンテイオー,シルバーステート,-2209.0,-2175.0,1981.0,-474.0,-1355.0,-1360.0,,,-5592.0,11.0
東京,3,14,ピーエムキンチャン,タリスマニック,-883.0,1050.0,-215.0,-98.0,667.0,356.0,70.0,,947.0,6.0
東京,3,15,シャルムグリーン,スワーヴリチャード,-348.0,145.0,-1019.0,-181.0,-3067.0,-291.0,-224.0,,-4985.0,10.0
東京,3,16,タイキプレジール,ダノンプレミアム,,,,,,,,,,
東京,3,17,スターアライズ,ベンバトル,,,,,,,,,,
東京,3,18,レッツゴーファイト,ノーブルミッション,,,,,,,,,,
