場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,1,1,ウィンターサン,サンダースノー,77.0,112.0,116.0,115.0,114.0,96.0,,,105.0,5.0
東京,1,2,マジカルレインボー,ダイワメジャー,92.0,94.0,92.0,96.0,97.0,95.0,99.0,,95.0,14.0
東京,1,3,ピコチマチ,リオンディーズ,94.0,94.0,99.0,92.0,97.0,92.0,,,94.667,15.0
東京,1,4,ミッキーラサルダン,サートゥルナーリア,113.0,101.0,116.0,105.0,98.0,88.0,,,103.5,9.0
東京,1,5,シウダーエヴィータ,アドマイヤマーズ,98.0,95.0,169.0,104.0,97.0,,,,112.6,2.0
東京,1,6,ミヤグリフォン,カリフォルニアクローム,119.0,108.0,105.0,104.0,107.0,95.0,123.0,,108.714,3.0
東京,1,7,カレリアンダンス,ドレフォン,106.0,107.0,107.0,105.0,103.0,105.0,110.0,,106.143,4.0
東京,1,8,カプア,シニスターミニスター,107.0,123.0,115.0,116.0,110.0,107.0,123.0,,114.429,1.0
東京,1,9,グランセゾン,オルフェーヴル,97.0,103.0,99.0,104.0,101.0,101.0,,,100.833,11.0
東京,1,10,リカード,サンダースノー,77.0,112.0,116.0,115.0,114.0,96.0,,,105.0,5.0
東京,1,11,スイートロータス,キンシャサノキセキ,100.0,100.0,100.0,93.0,97.0,97.0,99.0,,98.0,12.0
東京,1,12,ワナカ,モーニン,69.0,90.0,88.0,80.0,85.0,71.0,85.0,,81.143,16.0
東京,1,13,ジュールスレーヴ,ロジャーバローズ,122.0,89.0,96.0,97.0,105.0,117.0,,,104.333,8.0
東京,1,14,キョウエイセレッソ,タワーオブロンドン,120.0,107.0,81.0,102.0,105.0,,,,103.0,10.0
東京,1,15,イーサンペガサス,ルヴァンスレーヴ,114.0,90.0,106.0,115.0,82.0,77.0,,,97.333,13.0
東京,1,16,ジェンダアネモス,タワーオブロンドン,120.0,107.0,81.0,102.0,105.0,115.0,,,105.0,5.0
東京,2,1,セラドピラール,シュヴァルグラン,86.0,88.0,89.0,99.0,93.0,99.0,121.0,,96.429,13.0
東京,2,2,セイスイミリオン,イスラボニータ,115.0,103.0,92.0,103.0,94.0,107.0,,,102.333,6.0
東京,2,3,トウシンバカラ,ドレフォン,106.0,107.0,107.0,105.0,105.0,105.0,106.0,,105.857,4.0
東京,2,4,ノースグロリア,サトノダイヤモンド,96.0,108.0,100.0,97.0,99.0,98.0,89.0,,98.143,10.0
東京,2,5,マブアンドフェール,マインドユアビスケッツ,122.0,99.0,93.0,90.0,93.0,104.0,,,100.167,9.0
東京,2,6,イベンチュアリー,リアルスティール,114.0,113.0,108.0,110.0,103.0,110.0,,,109.667,3.0
東京,2,7,マイネルジーニアス,シニスターミニスター,107.0,123.0,115.0,116.0,118.0,107.0,123.0,,115.571,1.0
東京,2,8,サクラコーラル,エイシンフラッシュ,71.0,94.0,87.0,85.0,90.0,82.0,84.0,,84.714,16.0
東京,2,9,リバティフレイム,アメリカンペイトリオット,76.0,99.0,95.0,97.0,102.0,89.0,91.0,,92.714,15.0
東京,2,10,パブリックスフィア,ブリックスアンドモルタル,108.0,98.0,94.0,103.0,104.0,108.0,91.0,,100.857,7.0
東京,2,11,トライゴーニック,ルーラーシップ,103.0,107.0,99.0,102.0,96.0,100.0,97.0,,100.571,8.0
東京,2,12,テソリーノ,サートゥルナーリア,113.0,101.0,116.0,89.0,98.0,,,,103.4,5.0
東京,2,13,オンクラウドナイン,ラニ,109.0,101.0,115.0,115.0,112.0,104.0,143.0,,114.143,2.0
東京,2,14,ホークライト,ハービンジャー,92.0,99.0,88.0,100.0,98.0,89.0,,,94.333,14.0
東京,2,15,ミスブランニュデイ,ロードカナロア,101.0,98.0,100.0,97.0,93.0,102.0,96.0,,98.143,10.0
東京,2,16,ドラゴンバスター,マクフィ,102.0,98.0,99.0,93.0,102.0,98.0,95.0,,98.143,10.0
東京,3,1,ベアリミッション,シルバーステート,81.0,92.0,104.0,98.0,97.0,95.0,,,94.5,14.0
東京,3,2,ロードオブドリーム,キズナ,106.0,104.0,105.0,104.0,105.0,103.0,100.0,,103.857,4.0
東京,3,3,マイネルアズーロ,ダノンバラード,119.0,100.0,107.0,98.0,104.0,115.0,,,107.167,2.0
東京,3,4,コスモグラニット,キタサンブラック,107.0,106.0,99.0,97.0,101.0,98.0,,,101.333,6.0
東京,3,5,リワードパシオン,ナカヤマフェスタ,,,,,,,,,,
東京,3,6,キャバリエクエスト,ストロングリターン,101.0,100.0,89.0,94.0,86.0,93.0,104.0,,95.286,11.0
東京,3,7,ココロビジン,ダノンバラード,119.0,100.0,107.0,98.0,104.0,115.0,110.0,,107.571,1.0
東京,3,8,マイネルアレス,スクリーンヒーロー,103.0,105.0,109.0,115.0,102.0,103.0,,,106.167,3.0
東京,3,9,マイドリームガール,ローレルゲレイロ,,,,,,,,,,
東京,3,10,ブルンツヴィーク,スワーヴリチャード,95.0,101.0,97.0,94.0,105.0,98.0,98.0,,98.286,9.0
東京,3,11,ライヴバフィ,マクフィ,102.0,98.0,102.0,93.0,102.0,98.0,,,99.167,8.0
東京,3,12,ハクサンテュポン,シルポート,,,,,,,,,,
東京,3,13,タベザカリ,トーホウジャッカル,,,,,,,,,,
東京,3,14,サマーツアー,モーリス,103.0,100.0,99.0,99.0,99.0,96.0,101.0,,99.571,7.0
東京,3,15,バイオマックス,リオンディーズ,94.0,94.0,98.0,92.0,100.0,92.0,,,95.0,12.0
東京,3,16,アルデコンティ,ロードカナロア,101.0,98.0,98.0,97.0,93.0,102.0,96.0,,97.857,10.0
東京,3,17,ブランフォルテ,シルバーステート,81.0,92.0,104.0,98.0,97.0,95.0,95.0,,94.571,13.0
東京,3,18,アリスメティーク,ミッキーアイル,101.0,103.0,107.0,97.0,100.0,100.0,114.0,,103.143,5.0
東京,4,1,ドルーリー,サトノクラウン,92.0,86.0,99.0,93.0,99.0,100.0,93.0,,94.571,9.0
東京,4,2,ゲンキイッパイ,アメリカンペイトリオット,76.0,99.0,95.0,97.0,100.0,89.0,91.0,,92.429,10.0
東京,4,3,サザンブラック,ブラックタイド,85.0,103.0,109.0,101.0,94.0,95.0,,,97.833,7.0
東京,4,4,オブシディアーナ,ナダル,94.0,95.0,112.0,89.0,92.0,104.0,,,97.667,8.0
東京,4,5,キチロクキャップ,ビッグアーサー,93.0,88.0,87.0,89.0,96.0,91.0,,,90.667,14.0
東京,4,6,ブルームノーズ,アドマイヤマーズ,98.0,95.0,169.0,104.0,97.0,,,,112.6,3.0
東京,4,7,ブレードダンシング,サトノアラジン,69.0,94.0,95.0,95.0,99.0,91.0,102.0,,92.143,12.0
東京,4,8,フルールネージュ,サンダースノー,77.0,112.0,116.0,115.0,114.0,96.0,159.0,,112.714,2.0
東京,4,9,ミスティマウンテン,サンダースノー,77.0,112.0,116.0,115.0,114.0,96.0,,,105.0,5.0
東京,4,10,ガンバレベアー,サトノアラジン,69.0,94.0,95.0,95.0,99.0,91.0,,,90.5,15.0
東京,4,11,マックスキュー,サートゥルナーリア,113.0,101.0,116.0,105.0,98.0,,,,106.6,4.0
東京,4,12,ベルレオーネ,アポロケンタッキー,,,,,,,,,,
東京,4,13,アスクサヴァイバル,シルバーステート,81.0,92.0,77.0,98.0,97.0,95.0,96.0,,90.857,13.0
東京,4,14,タイキクリエイター,アメリカンペイトリオット,76.0,99.0,95.0,97.0,100.0,89.0,91.0,,92.429,10.0
東京,4,15,レイアロハ,タワーオブロンドン,120.0,107.0,81.0,102.0,105.0,,,,103.0,6.0
東京,4,16,クラウンハート,シニスターミニスター,107.0,123.0,115.0,116.0,110.0,107.0,,,113.0,1.0
東京,5,1,ユニゾン,サンダースノー,77.0,99.0,85.0,97.0,106.0,96.0,,,93.333,10.0
東京,5,2,ダノンヒストリー,エピファネイア,99.0,119.0,97.0,108.0,97.0,99.0,,,103.167,4.0
東京,5,3,シーミハットク,オルフェーヴル,97.0,97.0,105.0,95.0,103.0,101.0,,,99.667,6.0
東京,5,4,サノノグレーター,グレーターロンドン,111.0,156.0,117.0,139.0,121.0,110.0,,,125.667,1.0
東京,5,5,タイガーゲイト,リオンディーズ,94.0,112.0,98.0,109.0,100.0,92.0,,,100.833,5.0
東京,5,6,グリーンエナジー,スワーヴリチャード,95.0,80.0,97.0,98.0,105.0,98.0,,,95.5,9.0
東京,5,7,ホワイトドラゴン,ダノンキングリー,,,,,,,,,,
東京,5,8,アメテュストス,サートゥルナーリア,113.0,98.0,94.0,97.0,89.0,98.0,,,98.167,7.0
東京,5,9,コウソクルリアン,サトノダイヤモンド,96.0,84.0,97.0,102.0,99.0,98.0,,,96.0,8.0
東京,5,10,コーディアリー,ダノンバラード,119.0,147.0,107.0,120.0,104.0,115.0,,,118.667,2.0
東京,5,11,アウダーシア,キズナ,106.0,100.0,105.0,107.0,105.0,103.0,,,104.333,3.0
東京,6,1,アレステソーロ,ロゴタイプ,71.0,96.0,94.0,82.0,87.0,93.0,,,87.167,11.0
東京,6,2,ライフオブラクーン,フォーウィールドライブ,87.0,111.0,132.0,122.0,133.0,141.0,,,121.0,1.0
東京,6,3,コパノカーター,タニノフランケル,,,,,,,,,,
東京,6,4,キトゥンズシルバー,シルバーステート,81.0,108.0,104.0,96.0,97.0,95.0,,,96.833,9.0
東京,6,5,ナムラリアン,サングレーザー,,,,,,,,,,
東京,6,6,ディアダイヤモンド,サートゥルナーリア,113.0,98.0,94.0,97.0,105.0,98.0,,,100.833,5.0
東京,6,7,リッチフィールド,マクマホン,,,,,,,,,,
東京,6,8,タフクッキー,ロードカナロア,101.0,79.0,98.0,88.0,102.0,102.0,,,95.0,10.0
東京,6,9,パープルガーネット,モーリス,103.0,99.0,99.0,98.0,97.0,96.0,,,98.667,7.0
東京,6,10,シーグルロス,フィレンツェファイア,,,,,,,,,,
東京,6,11,フォトンゲイザー,アドマイヤマーズ,98.0,109.0,95.0,105.0,104.0,97.0,,,101.333,3.0
東京,6,12,ロイヤルスパイア,タワーオブロンドン,120.0,91.0,108.0,103.0,102.0,105.0,,,104.833,2.0
東京,6,13,ナハトナナレオン,モーリス,103.0,99.0,99.0,98.0,97.0,96.0,,,98.667,7.0
東京,6,14,ライトアズフェザー,アルアイン,51.0,85.0,88.0,92.0,88.0,78.0,,,80.333,12.0
東京,6,15,ニケフェリーチェ,アジアエクスプレス,95.0,91.0,113.0,97.0,103.0,97.0,,,99.333,6.0
東京,6,16,ルーチェフィオーレ,ポエティックフレア,,,,,,,,,,
東京,6,17,リュウノエッセンス,アドマイヤマーズ,98.0,109.0,95.0,105.0,104.0,97.0,,,101.333,3.0
東京,7,1,リプレゼント,ロードカナロア,101.0,99.0,100.0,102.0,102.0,102.0,,,101.0,5.0
東京,7,2,ノアスペシャル,アジアエクスプレス,95.0,117.0,102.0,114.0,103.0,97.0,,,104.667,3.0
東京,7,3,アレスグート,マインドユアビスケッツ,122.0,88.0,93.0,90.0,102.0,104.0,,,99.833,7.0
東京,7,4,ルークススペイ,ベストウォーリア,96.0,118.0,99.0,91.0,101.0,98.0,92.0,,99.286,8.0
東京,7,5,ショウナンヤッホー,ニューイヤーズデイ,92.0,100.0,100.0,100.0,101.0,107.0,,,100.0,6.0
東京,7,6,スプランドゥール,シルバーステート,81.0,96.0,77.0,94.0,97.0,95.0,,,90.0,14.0
東京,7,7,フォースミラクル,ジャスタウェイ,99.0,101.0,103.0,100.0,103.0,99.0,107.0,,101.714,4.0
東京,7,8,ウフドゥウフ,エピファネイア,99.0,88.0,88.0,94.0,92.0,99.0,,,93.333,12.0
東京,7,9,エコロカレン,ロージズインメイ,125.0,84.0,97.0,88.0,97.0,101.0,102.0,,99.143,9.0
東京,7,10,アルニラム,リアルスティール,114.0,102.0,108.0,88.0,112.0,110.0,,,105.667,1.0
東京,7,11,ゲキザル,ザファクター,87.0,103.0,100.0,103.0,104.0,103.0,79.0,,97.0,11.0
東京,7,12,ムゾラシカ,エスケンデレヤ,105.0,114.0,112.0,119.0,88.0,93.0,,,105.167,2.0
東京,7,13,セギレエルビエント,ナダル,94.0,103.0,112.0,89.0,92.0,,,,98.0,10.0
東京,7,14,ニシノタンギー,サトノアラジン,69.0,101.0,95.0,95.0,99.0,91.0,102.0,,93.143,13.0
東京,7,15,ハッピービバーク,ルヴァンスレーヴ,114.0,21.0,106.0,115.0,82.0,77.0,,,85.833,15.0
東京,7,16,ブリングライト,バトルプラン,71.0,77.0,85.0,80.0,92.0,80.0,80.0,,80.714,16.0
東京,8,1,マイネルフォルツァ,ゴールドシップ,86.0,98.0,101.0,88.0,75.0,94.0,96.0,,91.143,14.0
東京,8,2,キングノジョー,シルバーステート,81.0,96.0,104.0,98.0,97.0,95.0,95.0,,95.143,9.0
東京,8,3,シャンクス,レッドベルジュール,,,,,,,,,,
東京,8,4,ルパヴィヨン,イスラボニータ,115.0,100.0,113.0,103.0,107.0,107.0,,,107.5,5.0
東京,8,5,シンドリームシン,キズナ,106.0,105.0,105.0,103.0,99.0,103.0,100.0,,103.0,6.0
東京,8,6,サノノロンドン,グレーターロンドン,111.0,124.0,117.0,113.0,117.0,110.0,,,115.333,1.0
東京,8,7,プチプランス,リアルスティール,114.0,102.0,105.0,110.0,112.0,110.0,,,108.833,3.0
東京,8,8,マニス,グレーターロンドン,111.0,124.0,117.0,113.0,117.0,110.0,,,115.333,1.0
東京,8,9,ベストレーサー,シルバーステート,81.0,96.0,104.0,98.0,97.0,95.0,95.0,,95.143,9.0
東京,8,10,バセリーナ,ウインブライト,86.0,21.0,97.0,102.0,102.0,,,,81.6,16.0
東京,8,11,ファイブセンス,Frankel,78.0,94.0,105.0,81.0,94.0,102.0,94.0,,92.571,13.0
東京,8,12,フロスティクォーツ,ロードカナロア,101.0,99.0,98.0,102.0,102.0,102.0,112.0,,102.286,7.0
東京,8,13,ジーティーポライト,ハービンジャー,92.0,97.0,101.0,100.0,102.0,89.0,,,96.833,8.0
東京,8,14,ニシノクードクール,ホークビル,21.0,95.0,99.0,102.0,69.0,110.0,,,82.667,15.0
東京,8,15,ボナーテソーロ,Nathaniel,,,,,,,,,,
東京,8,16,パルヴェニュー,ディープブリランテ,91.0,92.0,99.0,98.0,91.0,84.0,96.0,,93.0,12.0
東京,8,17,エンダードラゴン,リアルスティール,114.0,102.0,105.0,110.0,112.0,110.0,,,108.833,3.0
東京,8,18,ホウオウシンデレラ,エピファネイア,99.0,88.0,97.0,91.0,92.0,99.0,88.0,,93.429,11.0
東京,9,1,エラン,ラブリーデイ,84.0,90.0,108.0,95.0,103.0,98.0,,,96.333,7.0
東京,9,2,フォーザボーイズ,エピファネイア,99.0,88.0,97.0,91.0,97.0,99.0,95.0,,95.143,9.0
東京,9,3,テイデ,ディープインパクト,95.0,97.0,99.0,98.0,97.0,98.0,94.0,,96.857,6.0
東京,9,4,マイネルオーシャン,ゴールドシップ,86.0,98.0,101.0,104.0,102.0,94.0,,,97.5,5.0
東京,9,5,ウィクトルウェルス,リアルスティール,114.0,102.0,105.0,110.0,103.0,110.0,106.0,,107.143,1.0
東京,9,6,ヴィブラツィオーネ,スピルバーグ,108.0,96.0,104.0,75.0,95.0,95.0,101.0,,96.286,8.0
東京,9,7,ピンキープロミス,ゴールドシップ,86.0,98.0,101.0,88.0,102.0,94.0,,,94.833,10.0
東京,9,8,ダイシンアポロン,レイデオロ,107.0,99.0,96.0,95.0,108.0,100.0,,,100.833,4.0
東京,9,9,オウケンボルト,フェノーメノ,,,,,,,,,,
東京,9,10,マイネルトルファン,オルフェーヴル,97.0,107.0,105.0,102.0,103.0,101.0,,,102.5,3.0
東京,9,11,ヴァイザーブリック,ブリックスアンドモルタル,108.0,116.0,104.0,104.0,108.0,91.0,,,105.167,2.0
東京,9,12,コスモエクスプレス,エイシンヒカリ,85.0,91.0,109.0,87.0,98.0,95.0,,,94.167,11.0
東京,10,1,ノヴァエクスプレス,アジアエクスプレス,95.0,117.0,102.0,114.0,103.0,97.0,93.0,,103.0,4.0
東京,10,2,ロードオルデン,リオンディーズ,94.0,101.0,99.0,95.0,97.0,92.0,,,96.333,14.0
東京,10,3,バンブトンプロ,マクフィ,102.0,100.0,99.0,103.0,98.0,98.0,95.0,,99.286,10.0
東京,10,4,アンスリウム,リアルスティール,114.0,102.0,108.0,112.0,110.0,95.0,,,106.833,1.0
東京,10,5,エリンアキレウス,ストロングリターン,101.0,93.0,99.0,104.0,102.0,93.0,103.0,,99.286,10.0
東京,10,6,スティールブルー,ルーラーシップ,103.0,96.0,99.0,99.0,107.0,100.0,,,100.667,8.0
東京,10,7,スズカコーズ,スズカコーズウェイ,72.0,114.0,123.0,83.0,115.0,122.0,,,104.833,3.0
東京,10,8,ウィンダミア,ミッキーアイル,101.0,104.0,97.0,101.0,102.0,100.0,,,100.833,7.0
東京,10,9,フラーハ,ドレフォン,106.0,105.0,107.0,106.0,103.0,105.0,,,105.333,2.0
東京,10,10,タイセイレスポンス,ミッキーアイル,101.0,104.0,97.0,111.0,102.0,100.0,,,102.5,6.0
東京,10,11,トウカイファクター,ザファクター,87.0,103.0,100.0,103.0,104.0,103.0,,,100.0,9.0
東京,10,12,ダミエ,キンシャサノキセキ,100.0,94.0,100.0,98.0,97.0,97.0,97.0,,97.571,13.0
東京,10,13,フィリップ,ロージズインメイ,125.0,84.0,97.0,88.0,97.0,101.0,,,98.667,12.0
東京,10,14,アポロプラネット,リオンディーズ,94.0,101.0,99.0,95.0,97.0,92.0,89.0,,95.286,16.0
東京,10,15,モズナイスバディー,マジェスティックウォリアー,97.0,111.0,103.0,106.0,100.0,100.0,,,102.833,5.0
東京,10,16,ジャスパーバローズ,モーリス,103.0,95.0,93.0,92.0,97.0,96.0,,,96.0,15.0
東京,11,1,シックスペンス,キズナ,106.0,108.0,105.0,103.0,99.0,103.0,100.0,,103.429,6.0
東京,11,2,ダディーズビビッド,キズナ,106.0,108.0,105.0,105.0,99.0,103.0,,,104.333,3.0
東京,11,3,マッドクール,Dark Angel,33.0,147.0,115.0,130.0,114.0,106.0,127.0,,110.286,1.0
東京,11,4,ウインマーベル,アイルハヴアナザー,89.0,123.0,115.0,94.0,102.0,103.0,107.0,,104.714,2.0
東京,11,5,レッドモンレーヴ,ロードカナロア,101.0,113.0,98.0,102.0,102.0,102.0,96.0,,102.0,8.0
東京,11,6,グラティアス,ハーツクライ,93.0,90.0,93.0,95.0,96.0,95.0,,,93.667,15.0
東京,11,7,ガイアフォース,キタサンブラック,107.0,96.0,99.0,114.0,104.0,98.0,,,103.0,7.0
東京,11,8,エコロヴァルツ,ブラックタイド,85.0,97.0,93.0,92.0,94.0,95.0,99.0,,93.571,17.0
東京,11,9,シャンパンカラー,ドゥラメンテ,95.0,93.0,99.0,89.0,91.0,95.0,,,93.667,15.0
東京,11,10,ジャンタルマンタル,Palace Malice,112.0,118.0,111.0,21.0,95.0,110.0,,,94.5,14.0
東京,11,11,サクラトゥジュール,ネオユニヴァース,108.0,97.0,95.0,92.0,63.0,81.0,,,89.333,18.0
東京,11,12,ロングラン,ヴィクトワールピサ,106.0,94.0,98.0,97.0,96.0,106.0,,,99.5,11.0
東京,11,13,ソウルラッシュ,ルーラーシップ,103.0,99.0,101.0,97.0,107.0,100.0,107.0,,102.0,8.0
東京,11,14,ウォーターリヒト,ドレフォン,106.0,109.0,96.0,106.0,103.0,105.0,,,104.167,5.0
東京,11,15,ホウオウリアリティ,モーリス,103.0,96.0,99.0,92.0,97.0,96.0,,,97.167,13.0
東京,11,16,トロヴァトーレ,レイデオロ,107.0,78.0,96.0,102.0,108.0,,,,98.2,12.0
東京,11,17,ジュンブロッサム,ワールドエース,117.0,81.0,97.0,101.0,98.0,110.0,,,100.667,10.0
東京,11,18,ブレイディヴェーグ,ロードカナロア,101.0,113.0,98.0,102.0,102.0,102.0,112.0,,104.286,4.0
東京,12,1,アイファーバトル,バトルプラン,71.0,77.0,85.0,100.0,92.0,80.0,80.0,,83.571,11.0
東京,12,2,マンダリンボレロ,スピルバーグ,108.0,96.0,86.0,75.0,101.0,95.0,,,93.5,8.0
東京,12,3,ジャスパージェット,ドゥラメンテ,95.0,96.0,95.0,89.0,91.0,95.0,,,93.5,8.0
東京,12,4,グラヴィス,ハーツクライ,93.0,96.0,98.0,101.0,96.0,95.0,,,96.5,6.0
東京,12,5,レッドダンルース,リアルスティール,114.0,102.0,108.0,112.0,110.0,,,,109.2,1.0
東京,12,6,ロミオボス,ストロングリターン,101.0,93.0,99.0,104.0,102.0,93.0,,,98.667,5.0
東京,12,7,アイズ,モーニン,69.0,66.0,88.0,85.0,71.0,85.0,,,77.333,12.0
東京,12,8,ハリウッドブルース,カリフォルニアクローム,119.0,106.0,105.0,21.0,107.0,95.0,94.0,,92.429,10.0
東京,12,9,トーホウキザン,トーホウジャッカル,,,,,,,,,,
東京,12,10,テーオードラッカー,コパノリッキー,91.0,92.0,94.0,97.0,91.0,92.0,109.0,,95.143,7.0
東京,12,11,ゴールデンオスカー,スクリーンヒーロー,103.0,110.0,99.0,102.0,107.0,103.0,110.0,,104.857,2.0
東京,12,12,サノノワンダー,ヘニーヒューズ,106.0,100.0,103.0,103.0,101.0,103.0,,,102.667,4.0
東京,12,13,ベルブリエ,キズナ,106.0,105.0,101.0,103.0,99.0,103.0,114.0,,104.429,3.0
東京,12,14,ファイヴレター,タイムパラドックス,,,,,,,,,,
阪神,1,1,イグニス,エピファネイア,93.0,96.0,,,,,,,94.5,8.0
阪神,1,2,ゴールデンスロープ,ゴールドシップ,97.0,102.0,,,,,,,99.5,7.0
阪神,1,3,オステリア,ドレフォン,104.0,107.0,,,,,,,105.5,3.0
阪神,1,4,メイショウカゲカツ,ダンカーク,82.0,106.0,,,,,,,94.0,9.0
阪神,1,5,ナムラドーギー,サトノアレス,,,,,,,,,,
阪神,1,6,サンダーアラート,サンダースノー,156.0,112.0,,,,,,,134.0,1.0
阪神,1,7,テイエムデンセツ,ダノンレジェンド,121.0,102.0,,,,,,,111.5,2.0
阪神,1,8,デザートスター,サトノアラジン,110.0,94.0,,,,,,,102.0,6.0
阪神,1,9,タマモエース,ワールドエース,87.0,92.0,,,,,,,89.5,10.0
阪神,1,10,ロードプレジール,キングカメハメハ,106.0,102.0,,,,,,,104.0,4.0
阪神,1,11,カズラポニアン,ヘニーヒューズ,98.0,108.0,,,,,,,103.0,5.0
阪神,2,1,タガノミラクル,ルーラーシップ,106.0,107.0,99.0,102.0,96.0,100.0,97.0,,101.0,6.0
