場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
新潟,1,1,ヒートオンビート,116.0,3.0,100.143,3.0,105.857,5.0,322.0,107.333,2.0
新潟,1,2,ビップランバン,72.4,12.0,90.857,9.0,113.0,4.0,276.257,92.086,5.0
新潟,1,3,エンデュミオン,75.6,11.0,101.143,1.0,113.667,3.0,290.40999999999997,96.803,4.0
新潟,1,4,ニシノパプルブリリ,56.6,14.0,92.429,8.0,78.833,13.0,227.862,75.954,9.0
新潟,1,5,エターナリー,126.5,2.0,,,117.857,1.0,,,
新潟,1,6,トーセンオリジン,72.2,13.0,98.143,5.0,85.0,11.0,255.34300000000002,85.114,8.0
新潟,1,7,ワールドスケール,94.6,6.0,98.571,4.0,,,,,
新潟,1,8,デシマルサーガ,132.2,1.0,93.857,7.0,98.714,8.0,324.77099999999996,108.257,1.0
新潟,1,9,シャンドゥレール,88.0,8.0,95.429,6.0,91.333,10.0,274.762,91.587,6.0
新潟,1,10,ブルメンダール,90.2,7.0,90.714,10.0,91.714,9.0,272.628,90.876,7.0
新潟,1,11,マイネルヴァッサー,86.8,9.0,,,85.0,11.0,,,
新潟,1,12,ロードトゥフェイム,101.75,5.0,,,100.857,7.0,,,
新潟,1,13,サルサロッサ,107.4,4.0,101.143,1.0,104.333,6.0,312.876,104.292,3.0
新潟,1,14,パトリック,85.4,10.0,,,113.857,2.0,,,
新潟,2,1,ルージュラティーナ,99.8,6.0,100.0,6.0,94.857,12.0,294.65700000000004,98.219,10.0
新潟,2,2,ハプスブルグ,94.4,9.0,93.667,11.0,122.167,1.0,310.23400000000004,103.411,2.0
新潟,2,3,ラグナトーレ,97.0,8.0,103.167,3.0,110.5,2.0,310.66700000000003,103.556,1.0
新潟,2,4,メイブロッサム,93.6,10.0,101.667,4.0,84.333,15.0,279.6,93.2,11.0
新潟,2,5,リュウゼツラン,91.4,12.0,105.167,1.0,98.833,7.0,295.4,98.467,9.0
新潟,2,6,メリザンド,,,103.429,2.0,97.0,10.0,,,
新潟,2,7,オプレントジュエル,103.4,3.0,100.143,5.0,95.333,11.0,298.876,99.625,7.0
新潟,2,8,ココリアマテル,100.6,5.0,98.667,9.0,99.5,6.0,298.767,99.589,8.0
新潟,2,9,エイユーサブリナ,106.6,2.0,95.333,10.0,97.286,9.0,299.219,99.74,6.0
新潟,2,10,ケングロリア,91.6,11.0,92.333,14.0,92.667,13.0,276.6,92.2,12.0
新潟,2,11,アウスラフラッグ,111.6,1.0,92.286,15.0,98.286,8.0,302.172,100.724,5.0
新潟,2,12,アップリンク,72.8,14.0,92.429,13.0,105.0,5.0,270.229,90.076,14.0
新潟,2,13,コスモサンビタリア,97.8,7.0,99.5,7.0,109.0,3.0,306.3,102.1,4.0
新潟,2,14,トゥーザムーン,102.0,4.0,99.167,8.0,106.167,4.0,307.334,102.445,3.0
新潟,2,15,ドナコルコバド,89.8,13.0,92.5,12.0,90.143,14.0,272.443,90.814,13.0
新潟,3,1,サツキレジーナ,91.8,10.0,94.857,11.0,106.667,4.0,293.32399999999996,97.775,8.0
新潟,3,2,マテンロウバディ,87.8,13.0,101.8,8.0,100.667,8.0,290.267,96.756,10.0
新潟,3,3,ミッキーマカパ,,,102.143,7.0,95.167,11.0,,,
新潟,3,4,アイアンオバーカム,91.6,11.0,84.5,15.0,82.333,14.0,258.433,86.144,13.0
新潟,3,5,レジョンデロル,112.8,1.0,102.833,6.0,98.429,10.0,314.062,104.687,4.0
新潟,3,6,リラキトス,103.2,4.0,113.857,3.0,108.833,3.0,325.89,108.63,3.0
新潟,3,7,アンジュオスリール,79.4,14.0,107.286,4.0,110.429,2.0,297.115,99.038,7.0
新潟,3,8,ワンダーブリング,107.0,2.0,100.167,9.0,106.429,6.0,313.596,104.532,5.0
新潟,3,9,エテオクロス,93.6,8.0,93.5,14.0,93.167,12.0,280.267,93.422,12.0
新潟,3,10,アルムチャーチル,106.2,3.0,136.2,1.0,112.0,1.0,354.4,118.133,1.0
新潟,3,11,ベストロイヤル,99.4,6.0,99.857,10.0,89.857,13.0,289.11400000000003,96.371,11.0
新潟,3,12,ゼットエール,95.8,7.0,106.333,5.0,101.5,7.0,303.633,101.211,6.0
新潟,3,13,イタリックタイプ,90.4,12.0,94.167,12.0,106.5,5.0,291.067,97.022,9.0
新潟,3,14,イチザマジック,92.8,9.0,93.714,13.0,64.286,15.0,250.8,83.6,14.0
新潟,3,15,ジョイナーテソーロ,101.6,5.0,130.667,2.0,99.167,9.0,331.43399999999997,110.478,2.0
新潟,4,1,ジーティージン,87.6,7.0,98.857,4.0,110.286,1.0,296.743,98.914,3.0
新潟,4,2,オリエンタルナイト,85.0,8.0,98.5,5.0,85.833,9.0,269.33299999999997,89.778,10.0
新潟,4,3,サクセスバラード,94.2,5.0,86.833,10.0,102.333,4.0,283.366,94.455,7.0
新潟,4,4,サトノグレイト,91.2,6.0,93.143,8.0,107.571,2.0,291.914,97.305,4.0
新潟,4,5,セファーラジエル,74.8,12.0,109.857,1.0,102.167,5.0,286.82399999999996,95.608,5.0
新潟,4,6,ダスク,77.2,10.0,107.714,2.0,87.429,7.0,272.34299999999996,90.781,9.0
新潟,4,7,コスモゴレアドール,135.0,1.0,98.167,6.0,80.167,11.0,313.334,104.445,1.0
新潟,4,8,ドライグ,124.2,2.0,83.667,12.0,105.333,3.0,313.20000000000005,104.4,2.0
新潟,4,9,アスプリージャ,76.4,11.0,87.333,9.0,86.0,8.0,249.733,83.244,11.0
新潟,4,10,フォーディアライフ,116.2,3.0,105.714,3.0,63.857,12.0,285.77099999999996,95.257,6.0
新潟,4,11,フォルガイル,70.4,13.0,86.4,11.0,84.571,10.0,241.371,80.457,12.0
新潟,4,12,ディープレイヤー,84.4,9.0,97.2,7.0,100.0,6.0,281.6,93.867,8.0
新潟,4,13,アイファーキャップ,101.0,4.0,,,,,,,
新潟,5,1,マイネルメドリング,98.2,8.0,101.0,8.0,97.0,10.0,296.2,98.733,10.0
新潟,5,2,リュウジンマル,93.8,10.0,100.857,9.0,76.0,16.0,270.657,90.219,14.0
新潟,5,3,ベールドインパクト,89.4,13.0,105.857,4.0,110.0,4.0,305.257,101.752,6.0
新潟,5,4,ヴォワラクテ,91.4,11.0,95.0,14.0,113.0,2.0,299.4,99.8,8.0
新潟,5,5,ハクサンビューティ,70.6,16.0,93.833,15.0,77.143,15.0,241.576,80.525,15.0
新潟,5,6,ウィズマスタング,96.8,9.0,99.286,13.0,108.333,6.0,304.419,101.473,7.0
新潟,5,7,エキゾチックガール,73.6,15.0,106.0,2.0,115.143,1.0,294.743,98.248,11.0
新潟,5,8,マイネルアース,89.0,14.0,103.286,6.0,100.286,9.0,292.572,97.524,12.0
新潟,5,9,スマイルデイズ,100.0,6.0,99.667,12.0,110.167,3.0,309.834,103.278,4.0
新潟,5,10,エントロピー,107.2,3.0,106.0,2.0,94.857,13.0,308.057,102.686,5.0
新潟,5,11,ジョリーピクシー,90.2,12.0,100.5,10.0,94.167,14.0,284.86699999999996,94.956,13.0
新潟,5,12,ジョワイユノエル,104.8,4.0,99.833,11.0,106.0,7.0,310.633,103.544,3.0
新潟,5,13,キタサンモンドー,99.0,7.0,101.571,7.0,96.857,11.0,297.428,99.143,9.0
新潟,5,14,ハクサンミラクル,101.0,5.0,,,95.333,12.0,,,
新潟,5,15,ウインバーテックス,112.0,1.0,103.6,5.0,109.143,5.0,324.743,108.248,1.0
新潟,5,16,デルマイオ,109.8,2.0,108.167,1.0,101.333,8.0,319.29999999999995,106.433,2.0
新潟,6,1,メイショウゲキハ,106.6,2.0,91.667,14.0,97.571,8.0,295.83799999999997,98.613,9.0
新潟,6,2,タナハシ,111.6,1.0,95.571,11.0,86.571,14.0,293.74199999999996,97.914,10.0
新潟,6,3,アイルランズコール,99.8,6.0,98.5,10.0,107.143,3.0,305.443,101.814,4.0
新潟,6,4,ハックルベリー,97.0,10.0,104.286,4.0,,,,,
新潟,6,5,ラブリイビジョン,83.6,14.0,,,94.5,9.0,,,
新潟,6,6,フランキーバローズ,93.8,11.0,103.167,5.0,94.167,10.0,291.134,97.045,11.0
新潟,6,7,デルマアリエル,72.8,15.0,93.714,13.0,101.667,6.0,268.18100000000004,89.394,13.0
