場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
札幌,1,1,ウルヴァリン,79.0,9.0,95.5,7.0,84.0,8.0,258.5,86.167,6.0
札幌,1,2,ステイフリー,,,,,95.5,6.0,,,
札幌,1,3,ユニゾン,105.0,4.0,106.333,1.0,102.333,2.0,313.666,104.555,2.0
札幌,1,4,ユウトザケンケン,105.2,3.0,95.857,6.0,96.429,5.0,297.486,99.162,4.0
札幌,1,5,リピース,93.25,8.0,106.333,1.0,,,,,
札幌,1,6,ジェネチェン,103.0,5.0,105.857,3.0,101.667,4.0,310.524,103.508,3.0
札幌,1,7,ホーリーデイ,100.8,6.0,,,107.667,1.0,,,
札幌,1,8,テンバコウクウ,108.8,2.0,,,,,,,
札幌,1,9,ティブロン,100.6,7.0,99.333,5.0,95.0,7.0,294.933,98.311,5.0
札幌,1,10,タイガーゲイト,112.2,1.0,99.857,4.0,101.857,3.0,313.914,104.638,1.0
札幌,2,1,ディアナタコス,86.0,10.0,91.714,6.0,,,,,
札幌,2,2,ココソラーレ,106.25,2.0,,,89.143,6.0,,,
札幌,2,3,フィティテラ,101.4,6.0,,,94.5,5.0,,,
札幌,2,4,ブレッティレディ,104.6,3.0,97.5,4.0,64.167,8.0,266.267,88.756,5.0
札幌,2,5,シンギュラーレディ,,,87.0,7.0,,,,,
札幌,2,6,ベルグランボヌール,102.6,5.0,97.714,3.0,109.0,2.0,309.31399999999996,103.105,1.0
札幌,2,7,マスキュラー,113.4,1.0,97.833,2.0,64.167,8.0,275.4,91.8,4.0
札幌,2,8,ヒッグスボソン,98.2,7.0,101.667,1.0,94.571,4.0,294.438,98.146,2.0
札幌,2,9,サフィニア,90.2,9.0,,,75.5,7.0,,,
札幌,2,10,ワイズギャング,104.6,3.0,,,113.667,1.0,,,
札幌,2,11,ラスベガスサイン,95.5,8.0,97.167,5.0,100.429,3.0,293.096,97.699,3.0
