場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,スケダチムヨウ,101.0,2.0,,,105.333,2.0,,,
中山,1,2,ベアフォースワン,99.2,8.0,106.5,2.0,101.333,6.0,307.033,102.344,1.0
中山,1,3,ニシノランペイジ,101.0,2.0,101.429,5.0,94.333,10.0,296.762,98.921,5.0
中山,1,4,モーゲンセン,,,115.429,1.0,103.5,4.0,,,
中山,1,5,タイセイガナール,100.2,4.0,93.167,10.0,96.0,9.0,289.367,96.456,8.0
中山,1,6,イヌボウノキラメキ,100.2,4.0,104.286,3.0,92.333,11.0,296.81899999999996,98.94,4.0
中山,1,7,タヤスロレンヌ,96.8,10.0,93.167,10.0,88.667,15.0,278.634,92.878,9.0
中山,1,8,コウユーニポポニコ,99.0,9.0,100.0,7.0,105.0,3.0,304.0,101.333,2.0
中山,1,9,ケイツースクード,,,,,97.333,8.0,,,
中山,1,10,クルビデンス,103.0,1.0,100.286,6.0,90.333,14.0,293.619,97.873,7.0
中山,1,11,ミツカネメルクリオ,100.2,4.0,94.167,9.0,101.667,5.0,296.034,98.678,6.0
中山,1,12,チェストー,,,103.667,4.0,76.143,16.0,,,
中山,1,13,チャンピオンホース,,,,,91.167,12.0,,,
中山,1,14,イイクニパッション,96.6,11.0,94.333,8.0,109.5,1.0,300.433,100.144,3.0
中山,1,15,オテモヤン,,,,,91.0,13.0,,,
中山,1,16,ピュール,99.6,7.0,,,99.167,7.0,,,
中山,2,1,マランドロ,95.8,11.0,,,101.0,6.0,,,
中山,2,2,マツリダシリウス,95.2,12.0,,,103.0,4.0,,,
中山,2,3,トラストレガート,96.6,9.0,100.429,5.0,96.714,10.0,293.743,97.914,4.0
中山,2,4,パワポケウォーズ,96.8,7.0,108.333,1.0,99.833,8.0,304.966,101.655,2.0
中山,2,5,イントゥゴールデン,80.0,13.0,,,92.429,13.0,,,
中山,2,6,オーキッドワン,,,101.714,4.0,103.0,4.0,,,
中山,2,7,サイモフェーン,96.8,7.0,,,105.5,1.0,,,
中山,2,8,メイプルインパクト,106.6,1.0,96.5,8.0,80.667,16.0,283.767,94.589,6.0
中山,2,9,プリンセスダーコ,102.8,4.0,99.5,6.0,103.333,3.0,305.63300000000004,101.878,1.0
中山,2,10,ハッピーカーン,100.2,5.0,,,90.0,15.0,,,
中山,2,11,チェイサー,99.6,6.0,97.286,7.0,99.0,9.0,295.88599999999997,98.629,3.0
