場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
東京,1,1,コパノエイダン,97.6,8.0,94.571,8.0,95.667,11.0,287.83799999999997,95.946,6.0
東京,1,2,カナデライド,90.2,13.0,91.143,9.0,103.333,5.0,284.67600000000004,94.892,7.0
東京,1,3,ホワイトナイル,101.2,3.0,104.714,3.0,105.833,3.0,311.74699999999996,103.916,3.0
東京,1,4,ビースタニング,101.2,3.0,104.714,3.0,96.714,10.0,302.628,100.876,4.0
東京,1,5,ドナシェーン,103.0,2.0,,,91.286,14.0,,,
東京,1,6,エスシーレイジュ,97.4,10.0,94.857,7.0,102.333,6.0,294.59000000000003,98.197,5.0
東京,1,7,エコロシード,99.0,7.0,,,110.167,2.0,,,
東京,1,8,カセノアステリア,103.4,1.0,115.5,2.0,94.5,12.0,313.4,104.467,2.0
東京,1,9,トコシエノヒトミ,79.4,15.0,60.714,10.0,97.833,8.0,237.947,79.316,9.0
東京,1,10,ヘリテージブルーム,97.6,8.0,,,97.833,8.0,,,
東京,1,11,ワールドブレイヴ,95.0,11.0,,,93.5,13.0,,,
東京,1,12,アンプイットアップ,95.0,11.0,100.714,5.0,88.5,15.0,284.214,94.738,8.0
東京,1,13,フィールドアピール,89.8,14.0,,,112.167,1.0,,,
東京,1,14,モーゲンセン,100.6,5.0,115.571,1.0,103.5,4.0,319.671,106.557,1.0
東京,1,15,タマコロリン,100.6,5.0,60.714,10.0,71.0,16.0,232.314,77.438,10.0
東京,1,16,ビップレオン,,,98.0,6.0,99.0,7.0,,,
東京,2,1,セキテイリノ,89.8,9.0,100.0,5.0,105.0,3.0,294.8,98.267,4.0
東京,2,2,コスモクラシック,98.6,4.0,110.833,1.0,102.833,5.0,312.26599999999996,104.089,2.0
東京,2,3,ムーングレイル,102.4,1.0,102.333,4.0,108.167,2.0,312.9,104.3,1.0
東京,2,4,ナデシコ,100.0,3.0,110.0,2.0,72.5,11.0,282.5,94.167,6.0
東京,2,5,ナムラパピ,89.2,10.0,,,91.571,7.0,,,
東京,2,6,ナハトナナレオン,100.6,2.0,99.429,6.0,87.429,9.0,287.45799999999997,95.819,5.0
東京,2,7,レッドジェルブロワ,96.4,7.0,98.714,7.0,110.0,1.0,305.11400000000003,101.705,3.0
東京,2,8,ソロイノシタク,85.2,11.0,,,88.167,8.0,,,
東京,2,9,ラフターラインズ,98.6,4.0,79.167,8.0,94.5,6.0,272.267,90.756,8.0
東京,2,10,ダノンドナウ,98.2,6.0,,,104.167,4.0,,,
東京,2,11,ルディドゥゲンジ,95.4,8.0,103.571,3.0,73.571,10.0,272.54200000000003,90.847,7.0
東京,3,1,ヨドノティアラ,104.2,3.0,,,91.333,12.0,,,
東京,3,2,シシリアンキッス,83.0,15.0,108.143,4.0,87.833,14.0,278.976,92.992,7.0
東京,3,3,セイウンシシマイ,100.6,6.0,,,101.0,4.0,,,
東京,3,4,フェーダーローター,95.4,11.0,,,91.333,12.0,,,
東京,3,5,ニシノゴージャス,,,123.0,1.0,73.167,16.0,,,
東京,3,6,ノーブルラホーヤ,98.0,8.0,,,97.667,6.0,,,
東京,3,7,ダイシンレスター,93.6,12.0,,,105.667,3.0,,,
東京,3,8,ロット,110.8,1.0,111.571,2.0,99.5,5.0,321.871,107.29,1.0
東京,3,9,カラーオブサクセス,110.6,2.0,50.286,10.0,94.333,10.0,255.219,85.073,8.0
東京,3,10,リュウセイコウテイ,96.4,9.0,100.714,5.0,95.833,8.0,292.947,97.649,4.0
東京,3,11,ジェンダウィナー,86.0,13.0,,,94.167,11.0,,,
東京,3,12,レヴェンドール,101.4,5.0,109.333,3.0,,,,,
東京,3,13,エレクトロン,99.0,7.0,93.714,9.0,87.833,14.0,280.547,93.516,6.0
東京,3,14,アドミ,102.6,4.0,100.143,7.0,95.167,9.0,297.90999999999997,99.303,3.0
東京,3,15,レディアエラ,96.4,9.0,100.571,6.0,115.833,1.0,312.804,104.268,2.0
東京,3,16,シンハ,80.2,16.0,98.143,8.0,111.167,2.0,289.51,96.503,5.0
東京,3,17,エルリオ,84.6,14.0,,,97.667,6.0,,,
東京,4,1,ピコイチ,99.0,6.0,107.0,4.0,97.5,6.0,303.5,101.167,4.0
東京,4,2,カレンマックナイト,96.0,7.0,107.0,4.0,84.5,12.0,287.5,95.833,6.0
東京,4,3,プラチナトレジャー,85.5,10.0,109.0,3.0,92.5,10.0,287.0,95.667,7.0
東京,4,4,シェアホルダーズ,71.5,14.0,66.5,11.0,97.0,7.0,235.0,78.333,11.0
東京,4,5,フェスティヴビーム,74.5,13.0,113.5,1.0,92.5,10.0,280.5,93.5,8.0
東京,4,6,ナムラドーギー,103.0,5.0,,,102.0,4.0,,,
東京,4,7,ブライテストドーン,114.0,4.0,110.5,2.0,100.0,5.0,324.5,108.167,1.0
東京,4,8,タイセイジャスパー,117.5,2.0,107.0,4.0,97.0,7.0,321.5,107.167,2.0
東京,4,9,ネイチャーシップ,77.5,11.0,94.0,9.0,103.0,3.0,274.5,91.5,9.0
東京,4,10,サウンドブライアン,116.5,3.0,,,,,,,
東京,4,11,ウォーターリーダー,119.5,1.0,105.0,7.0,83.0,13.0,307.5,102.5,3.0
東京,4,12,ケイアイカラキア,75.0,12.0,88.0,10.0,96.5,9.0,259.5,86.5,10.0
東京,4,13,ワンダージュノ,92.5,9.0,,,109.0,1.0,,,
東京,4,14,ファベル,94.0,8.0,96.5,8.0,108.5,2.0,299.0,99.667,5.0
東京,5,1,グリーンガーネット,101.2,6.0,,,107.667,3.0,,,
東京,5,2,ピュアエンブレム,94.0,12.0,96.0,6.0,92.833,10.0,282.83299999999997,94.278,9.0
東京,5,3,コスモヘリアンサス,109.2,1.0,94.667,10.0,90.5,12.0,294.367,98.122,6.0
東京,5,4,ルージュバロン,102.8,3.0,,,95.333,7.0,,,
東京,5,5,ヴェリタスポルタ,100.8,7.0,120.0,1.0,83.333,15.0,304.13300000000004,101.378,2.0
東京,5,6,ゴーイントゥスカイ,97.2,9.0,,,104.333,4.0,,,
東京,5,7,マイネルアイフェル,91.8,14.0,101.167,3.0,98.833,6.0,291.79999999999995,97.267,7.0
東京,5,8,チアファンファーレ,102.8,3.0,98.667,5.0,93.333,9.0,294.79999999999995,98.267,5.0
東京,5,9,ゴールデンボート,97.8,8.0,96.0,6.0,88.667,13.0,282.467,94.156,10.0
東京,5,10,ロイヤルヤマト,93.6,13.0,109.667,2.0,93.5,8.0,296.767,98.922,4.0
東京,5,11,ベンティガスエルテ,96.2,11.0,99.667,4.0,102.5,5.0,298.367,99.456,3.0
東京,5,12,レッツゴーファイト,,,,,90.833,11.0,,,
東京,5,13,アッパーウォーター,97.0,10.0,96.0,6.0,116.667,1.0,309.66700000000003,103.222,1.0
東京,5,14,マイネルオラクル,103.4,2.0,96.0,6.0,87.667,14.0,287.067,95.689,8.0
東京,5,15,ミスターライト,101.4,5.0,,,116.0,2.0,,,
東京,6,1,トウシンライオット,95.0,14.0,,,90.333,14.0,,,
東京,6,2,グラスハーティー,98.2,12.0,,,102.0,5.0,,,
東京,6,3,ゲームカレンダー,105.6,4.0,113.667,2.0,100.5,8.0,319.767,106.589,1.0
東京,6,4,アースジャッジ,101.2,9.0,99.833,4.0,102.833,4.0,303.866,101.289,3.0
東京,6,5,ライブリピュア,,,,,90.333,14.0,,,
