場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
函館,1,1,ベビーズブレス,95.833,12.0,109.333,1.0,118.875,2.0,324.041,108.014,2.0
函館,1,2,ミストラルフェザー,99.667,8.0,98.167,11.0,97.333,10.0,295.16700000000003,98.389,11.0
函館,1,3,アドマイヤフェニー,104.833,6.0,98.0,12.0,101.667,6.0,304.5,101.5,7.0
函館,1,4,ハナヒラク,78.333,14.0,,,86.167,14.0,,,
函館,1,5,ヒットザグラウンド,105.0,5.0,99.833,9.0,106.5,3.0,311.33299999999997,103.778,5.0
函館,1,6,ピースフルゴールド,100.5,7.0,99.0,10.0,100.333,7.0,299.83299999999997,99.944,8.0
函館,1,7,エムティキング,114.333,2.0,102.5,6.0,104.375,4.0,321.20799999999997,107.069,3.0
函館,1,8,ポッドデューク,98.833,9.0,105.125,3.0,88.833,13.0,292.791,97.597,12.0
函館,1,9,ルナティックアイ,,,81.5,15.0,81.833,16.0,,,
函館,1,10,チリーゴールド,109.0,3.0,102.0,8.0,103.5,5.0,314.5,104.833,4.0
函館,1,11,コウユーウィズユー,95.0,13.0,109.333,1.0,94.667,12.0,299.0,99.667,9.0
函館,1,12,スティルシャイニン,97.0,10.0,93.75,14.0,95.5,11.0,286.25,95.417,13.0
函館,1,13,ジョーブラック,107.667,4.0,102.833,4.0,99.75,8.0,310.25,103.417,6.0
函館,1,14,クリアクォーツ,,,98.0,12.0,85.875,15.0,,,
函館,1,15,シャルメイビス,96.333,11.0,102.833,4.0,98.25,9.0,297.416,99.139,10.0
函館,1,16,グレースサンライズ,120.167,1.0,102.5,6.0,132.333,1.0,355.0,118.333,1.0
函館,2,1,ハイゼンスレイ,103.167,7.0,102.75,5.0,105.167,4.0,311.084,103.695,2.0
函館,2,2,ルージュラティーナ,105.667,5.0,101.25,7.0,91.333,9.0,298.25,99.417,9.0
函館,2,3,シェリルファミーユ,97.667,10.0,105.0,2.0,107.375,1.0,310.04200000000003,103.347,3.0
函館,2,4,ハッピーウィズユー,97.0,11.0,104.875,3.0,100.667,8.0,302.54200000000003,100.847,7.0
函館,2,5,レディゴディヴァ,111.333,2.0,89.0,12.0,103.5,6.0,303.83299999999997,101.278,5.0
函館,2,6,カシマスウィープ,107.0,3.0,105.375,1.0,86.5,11.0,298.875,99.625,8.0
函館,2,7,アメリータ,106.833,4.0,80.125,14.0,106.5,2.0,293.45799999999997,97.819,10.0
函館,2,8,ケングロリア,78.0,14.0,95.125,9.0,85.5,12.0,258.625,86.208,13.0
函館,2,9,デルマラメール,101.333,8.0,89.0,12.0,80.625,13.0,270.95799999999997,90.319,12.0
函館,2,10,バッドガール,105.333,6.0,103.125,4.0,103.667,5.0,312.125,104.042,1.0
函館,2,11,ビスケットマリー,98.667,9.0,97.25,8.0,87.833,10.0,283.75,94.583,11.0
函館,2,12,チュラット,96.0,12.0,101.5,6.0,106.167,3.0,303.66700000000003,101.222,6.0
函館,2,13,プリマドンナアスク,93.833,13.0,89.167,11.0,,,,,
函館,2,14,ナリタヒカリ,111.667,1.0,90.286,10.0,103.0,7.0,304.953,101.651,4.0
函館,3,1,ヒロスズラン,96.2,7.0,89.0,8.0,98.5,6.0,283.7,94.567,7.0
函館,3,2,ローレルゼロ,93.0,10.0,,,87.167,11.0,,,
函館,3,3,メイショウユウモウ,103.333,4.0,67.0,9.0,104.125,4.0,274.45799999999997,91.486,8.0
函館,3,4,アスゴッド,94.0,9.0,106.6,2.0,105.75,2.0,306.35,102.117,3.0
函館,3,5,カービスベイ,102.5,5.0,99.714,4.0,103.333,5.0,305.547,101.849,4.0
函館,3,6,ゴッドテソロ,96.167,8.0,94.4,7.0,98.5,6.0,289.067,96.356,5.0
函館,3,7,カネトシブレーブ,,,99.714,4.0,96.375,8.0,,,
函館,3,8,モウフブキ,106.667,3.0,95.167,6.0,84.0,12.0,285.834,95.278,6.0
函館,3,9,ミヤマイルス,91.5,11.0,104.5,3.0,112.125,1.0,308.125,102.708,2.0
函館,3,10,ショウナンラリー,100.667,6.0,107.857,1.0,104.667,3.0,313.19100000000003,104.397,1.0
函館,3,11,エンジェルラダー,107.0,2.0,,,93.5,10.0,,,
函館,3,12,カハンガハンガ,109.167,1.0,,,94.167,9.0,,,
函館,4,1,ウインキララ,106.333,4.0,109.625,1.0,100.333,10.0,316.291,105.43,2.0
函館,4,2,アルハイルフォート,106.667,3.0,104.5,4.0,101.0,8.0,312.16700000000003,104.056,4.0
函館,4,3,スイートグルーヴ,97.667,11.0,96.833,13.0,102.0,4.0,296.5,98.833,11.0
函館,4,4,エニグマティーク,98.667,10.0,98.5,10.0,101.5,5.0,298.66700000000003,99.556,10.0
函館,4,5,ヤマニンパルフェ,100.833,8.0,103.167,6.0,112.333,2.0,316.33299999999997,105.444,1.0
函館,4,6,ゼットエイト,104.0,7.0,96.125,14.0,115.429,1.0,315.554,105.185,3.0
函館,4,7,グリスタン,86.0,14.0,106.333,3.0,96.0,13.0,288.33299999999997,96.111,13.0
函館,4,8,ハクサンミラクル,95.5,13.0,,,104.5,3.0,,,
函館,4,9,ベルサ,,,97.333,12.0,89.667,15.0,,,
函館,4,10,シンヒダカゴールド,95.833,12.0,98.167,11.0,101.333,7.0,295.33299999999997,98.444,12.0
函館,4,11,オースミストロング,104.833,6.0,94.714,15.0,101.5,5.0,301.047,100.349,9.0
函館,4,12,アニラ,111.333,1.0,102.5,8.0,97.0,11.0,310.83299999999997,103.611,5.0
函館,4,13,スペシャルバニー,99.5,9.0,103.0,7.0,101.0,8.0,303.5,101.167,8.0
函館,4,14,マリエンプラッツ,108.333,2.0,102.0,9.0,96.667,12.0,307.0,102.333,6.0
函館,4,15,ペイシャキャット,72.333,15.0,109.5,2.0,82.333,16.0,264.166,88.055,14.0
函館,4,16,コスモマガラニカ,106.333,4.0,104.333,5.0,94.333,14.0,304.999,101.666,7.0
