場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,ケイベエ,98.667,7.0,93.375,11.0,101.333,2.0,293.375,97.792,5.0
中山,1,2,メイポール,97.667,9.0,103.125,3.0,87.667,14.0,288.459,96.153,8.0
中山,1,3,ホウオウヘッセン,98.167,8.0,111.875,2.0,95.333,8.0,305.375,101.792,2.0
中山,1,4,フュルスティン,96.0,10.0,,,103.25,1.0,,,
中山,1,5,ノアシルヴィ,57.0,15.0,96.875,8.0,91.167,12.0,245.042,81.681,13.0
中山,1,6,ジーティーニッツァ,,,,,94.0,9.0,,,
中山,1,7,クールフィールド,102.667,4.0,120.0,1.0,92.125,11.0,314.79200000000003,104.931,1.0
中山,1,8,スラッシュコード,99.667,5.0,85.375,13.0,96.0,6.0,281.04200000000003,93.681,11.0
中山,1,9,ダイユウサルターレ,104.667,2.0,91.5,12.0,89.667,13.0,285.834,95.278,10.0
中山,1,10,チッタデラモーレ,104.333,3.0,98.75,5.0,96.0,6.0,299.08299999999997,99.694,3.0
中山,1,11,トモエナゲ,92.5,14.0,97.25,6.0,100.5,3.0,290.25,96.75,7.0
中山,1,12,マイチバイ,99.167,6.0,95.125,10.0,98.667,4.0,292.959,97.653,6.0
中山,1,13,ライトブルースカイ,95.333,11.0,83.125,14.0,,,,,
中山,1,14,カンフーヒーロー,93.5,12.0,100.5,4.0,69.375,15.0,263.375,87.792,12.0
中山,1,15,オレンジリバー,93.5,12.0,96.0,9.0,97.25,5.0,286.75,95.583,9.0
中山,1,16,ウルヴァリン,106.833,1.0,97.25,6.0,94.0,9.0,298.08299999999997,99.361,4.0
中山,2,1,ノボリフジ,,,79.5,10.0,93.0,13.0,,,
中山,2,2,ピンクサウスポー,100.667,4.0,,,96.0,11.0,,,
中山,2,3,ヘルメスギャング,94.667,10.0,99.0,8.0,108.333,1.0,302.0,100.667,5.0
中山,2,4,クールチェンジ,98.333,8.0,104.375,3.0,108.333,1.0,311.041,103.68,2.0
中山,2,5,レピュニット,,,120.125,1.0,89.167,14.0,,,
中山,2,6,ベルウッドピース,101.167,3.0,100.875,6.0,101.667,7.0,303.709,101.236,4.0
中山,2,7,ホッカイダイオー,90.167,13.0,,,103.333,6.0,,,
中山,2,8,ロココ,109.0,1.0,77.375,11.0,106.833,3.0,293.20799999999997,97.736,6.0
中山,2,9,ドナソラーレ,100.667,4.0,105.75,2.0,106.5,4.0,312.91700000000003,104.306,1.0
中山,2,10,ニシノマグノリア,99.5,6.0,100.75,7.0,106.333,5.0,306.58299999999997,102.194,3.0
中山,2,11,ニシノカルラ,97.333,9.0,,,96.167,10.0,,,
中山,2,12,ユイノサダハル,93.0,11.0,,,97.0,9.0,,,
中山,2,13,ハンドフル,92.5,12.0,102.167,5.0,,,,,
中山,2,14,マイネルオランチア,,,102.625,4.0,99.0,8.0,,,
中山,2,15,ホシヅキヨ,98.667,7.0,,,,,,,
中山,2,16,アオハルブルース,103.333,2.0,90.625,9.0,94.5,12.0,288.45799999999997,96.153,7.0
中山,3,1,ビレッジルイーザ,93.0,10.0,,,92.0,10.0,,,
中山,3,2,ノヴェルカフナ,,,,,79.167,13.0,,,
中山,3,3,アルティオーラ,80.333,12.0,,,,,,,
中山,3,4,ジャストビコーズ,95.333,8.0,,,106.5,1.0,,,
中山,3,5,スマイルカーブ,108.833,1.0,105.875,1.0,94.333,8.0,309.041,103.014,1.0
中山,3,6,モンペリエ,73.833,13.0,,,79.167,13.0,,,
