場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
函館,1,1,リオマダムレッド,87.4,10.0,94.167,6.0,,,,,
函館,1,2,ヴィヒタ,,,94.333,4.0,88.571,9.0,,,
函館,1,3,リアルアルバ,,,,,100.857,5.0,,,
函館,1,4,マスキュラー,109.2,2.0,105.286,2.0,78.167,10.0,292.653,97.551,3.0
函館,1,5,ディオスデルマール,120.4,1.0,,,,,,,
函館,1,6,ウレシイゴサン,105.8,3.0,,,98.667,6.0,,,
函館,1,7,アイオロステソーロ,105.0,4.0,,,101.333,4.0,,,
函館,1,8,ダイヤテソーロ,101.4,6.0,108.429,1.0,110.333,2.0,320.16200000000003,106.721,1.0
函館,1,9,アパタイトテソーロ,97.0,8.0,95.714,3.0,93.0,8.0,285.714,95.238,5.0
函館,1,10,ドナソレイ,97.6,7.0,,,111.0,1.0,,,
函館,1,11,ワイドアルバ,102.6,5.0,94.333,4.0,95.0,7.0,291.933,97.311,4.0
函館,1,12,トーセンクリステル,95.2,9.0,93.667,7.0,105.833,3.0,294.70000000000005,98.233,2.0
函館,2,1,ハッピーウィズユー,98.0,10.0,104.5,4.0,100.667,6.0,303.16700000000003,101.056,6.0
函館,2,2,ケングロリア,66.75,12.0,93.667,12.0,85.5,13.0,245.917,81.972,12.0
函館,2,3,ジーティーレイナ,109.4,1.0,106.429,2.0,94.167,10.0,309.996,103.332,4.0
函館,2,4,ベルシエル,105.6,5.0,102.571,8.0,98.5,8.0,306.671,102.224,5.0
函館,2,5,ハイゼンスレイ,104.4,6.0,103.667,6.0,105.167,1.0,313.23400000000004,104.411,2.0
函館,2,6,ユージュアーナ,106.8,3.0,103.571,7.0,104.143,3.0,314.514,104.838,1.0
函館,2,7,カラーズリング,,,114.0,1.0,103.667,4.0,,,
函館,2,8,スフレ,104.2,7.0,90.167,14.0,92.5,11.0,286.867,95.622,10.0
函館,2,9,クリムゾンボタン,,,97.429,10.0,95.0,9.0,,,
函館,2,10,バッドガール,100.8,8.0,104.5,4.0,104.714,2.0,310.014,103.338,3.0
函館,2,11,キラフォーニア,106.6,4.0,96.714,11.0,98.857,7.0,302.171,100.724,7.0
函館,2,12,カシマスウィープ,108.6,2.0,105.0,3.0,86.5,12.0,300.1,100.033,8.0
函館,2,13,タヤスソーレ,85.25,11.0,98.143,9.0,85.0,14.0,268.39300000000003,89.464,11.0
