場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
阪神,1,7,コパノルーカス,,,118.167,1.0,92.167,10.0,,,
阪神,1,8,ワイズギャング,102.8,5.0,,,126.5,2.0,,,
阪神,1,9,キープシャイニング,100.4,8.0,101.0,6.0,100.0,8.0,301.4,100.467,2.0
阪神,1,10,ウェイヨー,99.4,9.0,,,103.333,5.0,,,
阪神,1,11,ブロンテス,112.4,1.0,,,112.5,3.0,,,
阪神,1,12,テイエムパイロダン,100.8,7.0,103.167,5.0,155.6,1.0,359.567,119.856,1.0
阪神,1,13,ジャストアダッシュ,104.0,3.0,,,76.5,15.0,,,
阪神,1,14,ジェム,105.6,2.0,,,110.667,4.0,,,
阪神,1,15,キャストアイズミー,92.0,11.0,95.333,8.0,101.5,7.0,288.83299999999997,96.278,5.0
阪神,2,1,サニーサイドラガー,106.6,1.0,100.0,6.0,93.5,6.0,300.1,100.033,5.0
阪神,2,2,メイショウシンガン,101.2,5.0,103.333,2.0,96.833,5.0,301.366,100.455,4.0
阪神,2,3,シーズザスローン,97.8,6.0,104.429,1.0,107.667,1.0,309.89599999999996,103.299,1.0
阪神,2,4,クリコバロー,89.4,9.0,84.833,7.0,99.667,4.0,273.9,91.3,6.0
阪神,2,5,ファイブタンゴ,104.8,3.0,101.167,4.0,,,,,
阪神,2,6,マクローリン,97.0,7.0,,,,,,,
阪神,2,7,スマートビガー,106.0,2.0,100.857,5.0,101.0,3.0,307.85699999999997,102.619,3.0
阪神,2,8,ピエナブラック,102.4,4.0,103.167,3.0,102.833,2.0,308.4,102.8,2.0
阪神,2,9,アーサーバローズ,91.2,8.0,,,90.857,7.0,,,
阪神,3,1,ワイドカクゲン,105.2,2.0,92.5,9.0,106.714,4.0,304.414,101.471,4.0
阪神,3,2,メテオロイド,103.2,5.0,109.667,1.0,175.8,1.0,388.66700000000003,129.556,1.0
阪神,3,3,レッドアイスピア,105.8,1.0,100.5,4.0,108.833,3.0,315.13300000000004,105.044,3.0
阪神,3,4,ヒャクレツケン,72.8,14.0,99.0,6.0,96.5,10.0,268.3,89.433,9.0
阪神,3,5,アクアマイスター,97.8,11.0,,,79.333,12.0,,,
阪神,3,6,ナムラコスモス,99.4,8.0,,,102.333,6.0,,,
阪神,3,7,ジャンシ,100.8,7.0,,,103.5,5.0,,,
阪神,3,8,マスティカーレ,104.4,4.0,,,100.833,9.0,,,
阪神,3,9,スイーヴル,89.4,12.0,103.6,3.0,78.167,13.0,271.16700000000003,90.389,8.0
阪神,3,10,エクスプロウド,102.2,6.0,109.0,2.0,89.0,11.0,300.2,100.067,5.0
阪神,3,11,ディオスデルマール,87.8,13.0,,,,,,,
阪神,3,12,フォーゲル,,,81.143,10.0,101.5,7.0,,,
阪神,3,13,トップアタック,98.0,10.0,99.333,5.0,78.167,13.0,275.5,91.833,7.0
阪神,3,14,ディジーピナクル,104.6,3.0,96.5,8.0,121.333,2.0,322.433,107.478,2.0
阪神,3,15,リーガルスプレンダ,98.6,9.0,97.0,7.0,101.5,7.0,297.1,99.033,6.0
阪神,4,1,マルモズイルバア,103.8,4.0,99.667,6.0,108.833,3.0,312.29999999999995,104.1,2.0
阪神,4,2,ルージュプルーヴ,107.0,2.0,100.333,5.0,97.0,10.0,304.33299999999997,101.444,5.0
阪神,4,3,ノリノリソックス,108.6,1.0,95.333,9.0,98.333,9.0,302.26599999999996,100.755,8.0
阪神,4,4,タマモヒロイン,,,,,85.0,14.0,,,
阪神,4,5,ホワイトオーキッド,97.8,12.0,104.167,3.0,90.333,11.0,292.29999999999995,97.433,9.0
