場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
中山,1,1,リアライズリリー,101.0,4.0,96.286,14.0,102.571,5.0,299.85699999999997,99.952,6.0
中山,1,2,ニッシンゲッポ,98.8,8.0,119.6,2.0,105.857,2.0,324.25699999999995,108.086,2.0
中山,1,3,レオネッサ,,,96.857,12.0,105.667,3.0,,,
中山,1,4,リンダ,91.2,11.0,99.0,10.0,96.167,11.0,286.36699999999996,95.456,10.0
中山,1,5,ファイアーワルツ,51.2,12.0,99.429,8.0,97.143,10.0,247.77200000000002,82.591,12.0
中山,1,6,タブロー,96.6,10.0,104.333,5.0,93.167,13.0,294.1,98.033,8.0
中山,1,7,サトノエバー,104.0,2.0,85.286,15.0,94.667,12.0,283.953,94.651,11.0
中山,1,8,ベールドゥフィーユ,,,102.5,6.0,101.571,6.0,,,
中山,1,9,ロジステート,99.6,7.0,96.571,13.0,92.0,14.0,288.171,96.057,9.0
中山,1,10,ポートタウランガ,102.2,3.0,111.0,3.0,103.5,4.0,316.7,105.567,3.0
中山,1,11,ビレッジルミエール,100.2,6.0,100.833,7.0,98.167,8.0,299.20000000000005,99.733,7.0
中山,1,12,ユリオプスイエロー,,,,,85.833,16.0,,,
中山,1,13,エスシーボニー,106.2,1.0,98.833,11.0,98.5,7.0,303.533,101.178,5.0
中山,1,14,アイアンソリッド,101.0,4.0,124.0,1.0,87.667,15.0,312.66700000000003,104.222,4.0
中山,1,15,サブアトミック,,,99.143,9.0,98.167,8.0,,,
中山,1,16,ミートザターゲット,97.0,9.0,109.429,4.0,118.333,1.0,324.762,108.254,1.0
中山,2,1,エポカリーナ,99.4,8.0,,,76.0,16.0,,,
中山,2,2,ヴァルトバーデン,,,92.333,13.0,103.167,4.0,,,
中山,2,3,デュピュイドローム,100.2,6.0,97.333,11.0,91.0,11.0,288.533,96.178,9.0
中山,2,4,ブライトゲイザー,100.4,4.0,100.429,8.0,97.667,8.0,298.496,99.499,5.0
中山,2,5,ゴットランド,,,98.667,10.0,100.143,5.0,,,
中山,2,6,デルマラメール,99.8,7.0,106.333,5.0,90.0,13.0,296.133,98.711,6.0
中山,2,7,アイオリア,103.0,2.0,108.5,2.0,90.833,12.0,302.33299999999997,100.778,3.0
中山,2,8,リョウランナイト,,,90.0,14.0,103.571,3.0,,,
中山,2,9,ドラゴンバスター,83.4,12.0,97.167,12.0,98.167,7.0,278.73400000000004,92.911,10.0
中山,2,10,カシマスウィープ,,,108.5,2.0,89.5,14.0,,,
中山,2,11,カズナリ,98.0,9.0,103.667,6.0,99.333,6.0,301.0,100.333,4.0
中山,2,12,ペイシャヴァルワン,97.4,10.0,,,88.5,15.0,,,
中山,2,13,シャイニーヒル,100.4,4.0,99.5,9.0,94.667,10.0,294.567,98.189,7.0
中山,2,14,オンクラウドナイン,130.0,1.0,112.0,1.0,109.333,1.0,351.33299999999997,117.111,1.0
中山,2,15,スターコンパス,102.8,3.0,108.143,4.0,108.5,2.0,319.443,106.481,2.0
中山,2,16,ジロラータ,96.6,11.0,100.857,7.0,96.5,9.0,293.957,97.986,8.0
中山,3,1,エテオクロス,98.6,10.0,95.0,10.0,94.333,12.0,287.933,95.978,11.0
中山,3,2,ケイツーレウ,100.2,7.0,116.667,1.0,107.833,1.0,324.70000000000005,108.233,1.0
中山,3,3,ポッドベル,96.8,12.0,114.333,3.0,97.5,11.0,308.633,102.878,5.0
中山,3,4,タッカーバリアント,97.0,11.0,110.0,6.0,98.333,8.0,305.33299999999997,101.778,6.0
中山,3,5,シヴァガミ,,,,,102.167,4.0,,,
中山,3,6,ランブータン,51.2,14.0,103.143,9.0,75.714,15.0,230.05700000000002,76.686,14.0
中山,3,7,ブルーフラット,,,92.833,11.0,91.667,14.0,,,
中山,3,8,シュレン,104.0,3.0,105.143,7.0,107.167,2.0,316.31,105.437,2.0
中山,3,9,アシャカルーク,101.4,4.0,116.5,2.0,98.0,9.0,315.9,105.3,3.0
中山,3,10,トーアジョウトウ,96.8,12.0,114.333,3.0,73.667,16.0,284.79999999999995,94.933,12.0
中山,3,11,ラースアルアイン,106.2,2.0,83.0,13.0,99.333,6.0,288.533,96.178,10.0
中山,3,12,フレーズボンボン,101.0,5.0,80.8,14.0,99.0,7.0,280.8,93.6,13.0
中山,3,13,ドリームパンジャ,108.0,1.0,80.8,14.0,105.857,3.0,294.65700000000004,98.219,8.0
中山,3,14,ウフドゥウフ,100.2,7.0,91.714,12.0,98.0,9.0,289.914,96.638,9.0
中山,3,15,ボンジュールゼン,100.4,6.0,111.0,5.0,100.286,5.0,311.68600000000004,103.895,4.0
中山,3,16,ヘイケ,99.6,9.0,105.143,7.0,92.0,13.0,296.743,98.914,7.0
中山,4,1,アイスリーディング,102.8,2.0,109.429,1.0,94.167,12.0,306.39599999999996,102.132,3.0
中山,4,2,レジーナシルバルム,98.0,9.0,95.571,10.0,106.143,2.0,299.714,99.905,5.0
中山,4,3,トリュフチョコ,100.4,4.0,97.333,8.0,99.0,6.0,296.733,98.911,7.0
中山,4,4,イスラコラソン,106.6,1.0,102.143,6.0,99.667,4.0,308.40999999999997,102.803,2.0
中山,4,5,ランメルスベルグ,93.4,15.0,80.5,16.0,91.0,13.0,264.9,88.3,14.0
中山,4,6,シャンハイナイト,96.2,13.0,95.0,12.0,73.0,16.0,264.2,88.067,15.0
中山,4,7,カールルイコ,81.4,16.0,89.0,15.0,86.5,15.0,256.9,85.633,16.0
中山,4,8,ヴァイオパイシーズ,97.2,11.0,99.0,7.0,99.167,5.0,295.36699999999996,98.456,9.0
中山,4,9,ヴォーパルソード,97.4,10.0,96.857,9.0,87.5,14.0,281.757,93.919,13.0
中山,4,10,ルージュメアート,96.6,12.0,105.333,2.0,94.667,11.0,296.6,98.867,8.0
中山,4,11,プレシャスアセット,102.6,3.0,102.167,4.0,107.429,1.0,312.196,104.065,1.0
中山,4,12,デルマアポロニア,98.6,7.0,102.167,4.0,102.5,3.0,303.267,101.089,4.0
中山,4,13,ニシノフローレス,98.6,7.0,102.333,3.0,97.5,9.0,298.433,99.478,6.0
中山,4,14,プルプレア,95.8,14.0,95.0,12.0,96.286,10.0,287.086,95.695,12.0
中山,4,15,イデアブリランテ,100.2,5.0,91.571,14.0,98.333,8.0,290.10400000000004,96.701,11.0
中山,4,16,ラジャアンパット,99.4,6.0,95.2,11.0,99.0,6.0,293.6,97.867,10.0
中山,5,1,ホウオウスターツ,101.0,7.0,98.0,9.0,109.333,1.0,308.33299999999997,102.778,4.0
中山,5,2,フェルヴァーラ,99.8,10.0,94.714,12.0,98.667,8.0,293.18100000000004,97.727,11.0
中山,5,3,ウインポラリス,102.6,4.0,102.4,5.0,98.667,8.0,303.66700000000003,101.222,5.0
中山,5,4,ダブルドラゴン,98.8,12.0,102.0,6.0,92.5,16.0,293.3,97.767,10.0
中山,5,5,ダノンアンチュラス,102.8,3.0,93.714,15.0,92.286,17.0,288.8,96.267,13.0
中山,5,6,ナリノボガート,103.8,2.0,93.714,15.0,98.5,10.0,296.014,98.671,9.0
中山,5,7,エリナ,,,102.0,6.0,102.833,6.0,,,
中山,5,8,ベリーズブルー,93.6,15.0,112.833,3.0,109.167,2.0,315.6,105.2,2.0
中山,5,9,ハクサンハナビ,,,,,101.833,7.0,,,
中山,5,10,コンテディカヴール,101.8,5.0,96.5,10.0,93.714,14.0,292.014,97.338,12.0
中山,5,11,ユーウェイン,104.6,1.0,95.714,11.0,97.429,12.0,297.743,99.248,7.0
中山,5,12,アンテニトルス,101.0,7.0,105.0,4.0,94.857,13.0,300.85699999999997,100.286,6.0
中山,5,13,マイネルトラキア,99.0,11.0,101.0,8.0,97.714,11.0,297.714,99.238,8.0
中山,5,14,チェントポルテ,,,94.143,14.0,107.5,4.0,,,
中山,5,15,ビリングス,97.2,13.0,118.5,1.0,104.429,5.0,320.129,106.71,1.0
中山,5,16,リアライズハロック,101.0,7.0,,,108.714,3.0,,,
中山,5,17,ウィッシュツリー,101.2,6.0,118.5,1.0,92.714,15.0,312.414,104.138,3.0
中山,5,18,ムーンストラック,96.4,14.0,94.286,13.0,90.167,18.0,280.853,93.618,14.0
中山,6,1,ロジリッキー,102.2,3.0,96.0,13.0,93.0,15.0,291.2,97.067,15.0
中山,6,2,ジェシーテソーロ,97.4,14.0,102.8,5.0,102.833,7.0,303.033,101.011,6.0
中山,6,3,パナランギン,100.2,8.0,109.857,3.0,88.833,16.0,298.89,99.63,10.0
中山,6,4,コパノエミリア,95.8,15.0,96.429,12.0,107.167,2.0,299.39599999999996,99.799,9.0
中山,6,5,エンマ,128.4,1.0,94.667,15.0,106.667,4.0,329.73400000000004,109.911,1.0
中山,6,6,ソクヅモドラドラ,98.6,10.0,100.167,6.0,112.0,1.0,310.767,103.589,4.0
中山,6,7,ウィテカービート,100.6,5.0,96.571,11.0,95.833,14.0,293.004,97.668,14.0
中山,6,8,マウントバーノン,98.8,9.0,93.333,16.0,99.0,9.0,291.133,97.044,16.0
中山,6,9,コンアフェット,95.8,15.0,98.833,7.0,99.0,9.0,293.633,97.878,13.0
中山,6,10,ルグランヴァン,98.4,11.0,98.4,8.0,103.167,6.0,299.967,99.989,8.0
中山,6,11,トルショー,98.4,11.0,116.429,1.0,99.0,9.0,313.829,104.61,3.0
中山,6,12,アメージング,100.4,7.0,95.667,14.0,99.833,8.0,295.9,98.633,12.0
中山,6,13,ローズマイスター,100.6,5.0,104.571,4.0,96.667,12.0,301.83799999999997,100.613,7.0
中山,6,14,メリークリスマス,101.2,4.0,98.4,8.0,96.333,13.0,295.933,98.644,11.0
中山,6,15,サムシャイン,104.2,2.0,98.4,8.0,107.0,3.0,309.6,103.2,5.0
中山,6,16,スマートシーカー,98.4,11.0,115.333,2.0,104.333,5.0,318.06600000000003,106.022,2.0
中山,7,1,ストレイトトーカー,101.2,3.0,100.429,4.0,89.167,8.0,290.79600000000005,96.932,5.0
中山,7,2,ルパヴィヨン,,,105.167,1.0,92.667,6.0,,,
中山,7,3,ソルエパトリオット,97.4,8.0,101.286,2.0,91.167,7.0,289.853,96.618,7.0
中山,7,4,ウィルサヴァイブ,99.2,5.0,86.714,9.0,104.167,2.0,290.081,96.694,6.0
中山,7,5,チョングク,105.2,1.0,94.571,8.0,84.167,9.0,283.938,94.646,8.0
中山,7,6,カザンラク,98.6,7.0,101.0,3.0,103.571,3.0,303.171,101.057,2.0
中山,7,7,オンザムーブ,99.0,6.0,97.167,6.0,102.833,4.0,299.0,99.667,3.0
中山,7,8,セルズパワー,100.4,4.0,97.429,5.0,110.0,1.0,307.829,102.61,1.0
中山,7,9,タイショウロマン,102.8,2.0,95.833,7.0,99.143,5.0,297.77599999999995,99.259,4.0
中山,8,1,ウインイメル,,,116.4,2.0,105.857,2.0,,,
中山,8,2,シャドウルパン,101.8,3.0,114.667,3.0,97.333,6.0,313.79999999999995,104.6,2.0
中山,8,3,パルティーダ,98.8,5.0,103.5,9.0,97.167,7.0,299.467,99.822,6.0
