場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
札幌,1,1,ソルプレーザ,,,84.0,6.0,102.833,5.0,,,
札幌,1,2,ラシッド,101.0,4.0,,,107.667,3.0,,,
札幌,1,3,アイムスティルミー,84.4,6.0,110.167,1.0,105.0,4.0,299.567,99.856,3.0
札幌,1,4,ジャストビート,106.4,2.0,104.167,2.0,85.0,8.0,295.567,98.522,4.0
札幌,1,5,ヴィラジョヴィス,,,102.333,5.0,117.333,1.0,,,
札幌,1,6,シャインヴィーラ,110.0,1.0,103.0,4.0,88.333,6.0,301.33299999999997,100.444,2.0
札幌,1,7,ブルームオブピース,104.4,3.0,104.167,2.0,109.833,2.0,318.4,106.133,1.0
札幌,1,8,チェンドル,96.25,5.0,83.5,7.0,86.833,7.0,266.58299999999997,88.861,5.0
札幌,2,1,インユアアイズ,,,100.857,7.0,100.667,6.0,,,
札幌,2,2,ブラックエンパイア,113.8,2.0,123.4,3.0,97.143,7.0,334.34299999999996,111.448,1.0
札幌,2,3,フルグライト,109.4,3.0,,,95.667,10.0,,,
札幌,2,4,ハナヒラク,93.25,7.0,,,90.333,11.0,,,
札幌,2,5,ローレルゼロ,85.5,9.0,,,96.0,8.0,,,
札幌,2,6,メイショウルーチェ,114.4,1.0,108.333,5.0,107.667,3.0,330.4,110.133,2.0
札幌,2,7,オンサイト,103.2,5.0,,,101.833,5.0,,,
札幌,2,8,カービスベイ,107.6,4.0,108.6,4.0,102.667,4.0,318.86699999999996,106.289,4.0
札幌,2,9,デルタニュートラル,,,127.667,2.0,89.667,12.0,,,
札幌,2,10,ステラノヴァ,97.4,6.0,100.333,8.0,114.167,1.0,311.9,103.967,5.0
札幌,2,11,マカニ,92.5,8.0,134.5,1.0,95.857,9.0,322.85699999999997,107.619,3.0
札幌,2,12,アンノドミニ,,,107.286,6.0,114.167,1.0,,,
札幌,3,1,グラツィオーソ,108.8,2.0,97.429,7.0,114.5,1.0,320.729,106.91,1.0
札幌,3,2,ラルフテソーロ,105.0,6.0,96.143,9.0,100.714,8.0,301.85699999999997,100.619,7.0
札幌,3,3,マイネルアース,66.75,12.0,101.571,5.0,99.833,11.0,268.154,89.385,9.0
札幌,3,4,ビザンティーノ,99.2,8.0,,,103.714,6.0,,,
札幌,3,5,ジーティーララバイ,108.0,3.0,109.286,1.0,100.5,9.0,317.786,105.929,2.0
札幌,3,6,ハルフロンティア,105.2,5.0,93.857,10.0,107.429,5.0,306.486,102.162,5.0
札幌,3,7,アーロッタレット,93.25,10.0,,,107.5,4.0,,,
札幌,3,8,ミスターボビー,103.0,7.0,103.5,4.0,90.667,14.0,297.16700000000003,99.056,8.0
札幌,3,9,シャドーストライク,,,103.6,3.0,98.167,12.0,,,
札幌,3,10,マンボルンバ,97.0,9.0,,,99.857,10.0,,,
札幌,3,11,トリプレーテ,,,91.143,11.0,97.5,13.0,,,
札幌,3,12,アックアヴィリーレ,85.25,11.0,107.571,2.0,111.5,3.0,304.321,101.44,6.0
札幌,3,13,サーフギャラクシー,109.4,1.0,101.167,6.0,103.5,7.0,314.067,104.689,4.0
札幌,3,14,リバティフレイム,106.8,4.0,96.167,8.0,112.167,2.0,315.134,105.045,3.0
札幌,4,1,グランセゾン,101.0,9.0,105.571,3.0,91.833,11.0,298.404,99.468,6.0
札幌,4,2,バントック,106.4,3.0,104.714,5.0,103.429,7.0,314.543,104.848,3.0
札幌,4,3,ストレートブラック,112.8,1.0,91.5,16.0,113.0,2.0,317.3,105.767,1.0
札幌,4,4,アインホルン,,,95.286,13.0,93.167,10.0,,,
札幌,4,5,ヴァンガルダ,106.0,4.0,102.0,9.0,107.143,5.0,315.14300000000003,105.048,2.0
札幌,4,6,カリータフェリス,,,102.5,8.0,110.167,3.0,,,
札幌,4,7,エコログロス,84.4,12.0,106.167,2.0,103.714,6.0,294.281,98.094,8.0
札幌,4,8,アロマフェリス,,,93.833,14.0,108.0,4.0,,,
札幌,4,9,ホウオウアーネスト,103.6,7.0,103.333,6.0,100.333,8.0,307.26599999999996,102.422,4.0
札幌,4,10,フェアリーグレン,110.0,2.0,97.0,11.0,91.5,12.0,298.5,99.5,5.0
札幌,4,11,トリフォラート,98.6,10.0,103.333,6.0,85.857,13.0,287.78999999999996,95.93,9.0
札幌,4,12,ゴートゥーミジョカ,78.5,13.0,93.833,14.0,113.667,1.0,286.0,95.333,10.0
札幌,4,13,マサノイロハ,104.4,6.0,100.667,10.0,77.167,14.0,282.23400000000004,94.078,11.0
札幌,4,14,ロパシック,102.2,8.0,95.333,12.0,97.0,9.0,294.533,98.178,7.0
札幌,4,15,シカレ,85.8,11.0,108.0,1.0,,,,,
札幌,4,16,バトラーズワーフ,104.8,5.0,105.0,4.0,,,,,
札幌,5,1,オーシャンステラ,100.0,7.0,96.167,6.0,102.0,7.0,298.16700000000003,99.389,6.0
札幌,5,2,リピース,96.25,9.0,100.333,4.0,,,,,
札幌,5,3,ハヤテノオジョー,106.4,4.0,99.833,5.0,111.833,1.0,318.06600000000003,106.022,2.0
札幌,5,4,ブラックジャック,105.6,5.0,,,109.667,4.0,,,
札幌,5,5,レッドスティンガー,97.4,8.0,103.5,2.0,91.0,9.0,291.9,97.3,7.0
札幌,5,6,サンダーバード,96.0,10.0,100.667,3.0,110.5,3.0,307.16700000000003,102.389,4.0
札幌,5,7,ポペット,162.75,1.0,95.333,7.0,101.5,8.0,359.58299999999997,119.861,1.0
札幌,5,8,ウチュウノセカイ,101.4,6.0,109.5,1.0,102.5,6.0,313.4,104.467,3.0
札幌,5,9,ビョウブガウラ,,,94.667,8.0,111.0,2.0,,,
札幌,5,10,サンエンジェルス,107.6,3.0,94.333,9.0,105.167,5.0,307.1,102.367,5.0
札幌,5,11,ブルーメンフェスト,112.8,2.0,,,78.5,10.0,,,
札幌,6,1,アースミューズ,106.6,2.0,108.167,1.0,94.429,4.0,309.196,103.065,1.0
札幌,6,2,ミニョンマルーン,94.25,4.0,66.833,7.0,106.667,2.0,267.75,89.25,6.0
札幌,6,3,サウンドモリアーナ,98.0,3.0,99.167,3.0,98.667,3.0,295.834,98.611,2.0
札幌,6,4,シエラメンテ,88.0,6.0,96.714,4.0,94.143,5.0,278.85699999999997,92.952,4.0
札幌,6,5,ジーティースピカ,91.75,5.0,93.143,6.0,86.5,6.0,271.39300000000003,90.464,5.0
札幌,6,6,ミルフルール,107.2,1.0,105.429,2.0,83.143,7.0,295.77200000000005,98.591,3.0
札幌,6,7,サンピアノソナタ,,,96.2,5.0,110.714,1.0,,,
札幌,7,1,シアブリス,107.6,2.0,93.714,8.0,105.143,3.0,306.457,102.152,3.0
札幌,7,2,コンフォルツァ,101.2,7.0,99.571,5.0,105.571,2.0,306.342,102.114,4.0
札幌,7,3,ツーエムクロノス,109.0,1.0,,,93.0,8.0,,,
札幌,7,4,スピンザブラッド,97.2,8.0,109.0,1.0,98.667,6.0,304.86699999999996,101.622,5.0
札幌,7,5,モアリジット,,,100.429,4.0,93.667,7.0,,,
札幌,7,6,ハニードレス,101.4,6.0,108.0,2.0,105.0,4.0,314.4,104.8,2.0
札幌,7,7,ハートメテオ,103.2,4.0,97.333,7.0,91.5,9.0,292.033,97.344,7.0
