場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
函館,1,1,トウカイマシェリ,103.167,4.0,103.333,3.0,102.5,2.0,309.0,103.0,2.0
函館,1,2,タヤスロレンヌ,104.833,3.0,98.833,5.0,85.375,8.0,289.041,96.347,4.0
函館,1,3,ショウナンカリス,100.5,5.0,105.833,2.0,95.5,4.0,301.83299999999997,100.611,3.0
函館,1,4,プレセピオ,105.5,1.0,,,86.333,7.0,,,
函館,1,5,コンフィアンサ,,,100.5,4.0,96.0,3.0,,,
函館,1,6,ワイズギャング,105.0,2.0,,,131.833,1.0,,,
函館,1,7,サマーカムカム,,,,,87.833,5.0,,,
函館,1,8,カンレイスター,95.0,6.0,157.167,1.0,86.667,6.0,338.834,112.945,1.0
函館,2,1,タイセイアビリティ,101.0,5.0,99.0,4.0,135.0,1.0,335.0,111.667,1.0
函館,2,2,コウユーウィズユー,99.0,6.0,109.75,1.0,95.5,8.0,304.25,101.417,2.0
函館,2,3,バースフラワー,91.5,10.0,93.333,6.0,96.0,7.0,280.83299999999997,93.611,6.0
函館,2,4,エンジェルラダー,107.0,2.0,,,95.125,9.0,,,
函館,2,5,ノイシュロス,96.167,8.0,81.625,9.0,99.375,5.0,277.16700000000003,92.389,7.0
函館,2,6,セイウンヤタガラス,107.5,1.0,94.0,5.0,88.167,11.0,289.66700000000003,96.556,5.0
函館,2,7,ダブルシルバー,96.2,7.0,90.833,8.0,57.125,12.0,244.15800000000002,81.386,8.0
函館,2,8,メイショウユウモウ,,,67.0,10.0,106.875,2.0,,,
函館,2,9,サファリ,94.0,9.0,105.5,2.0,103.833,3.0,303.33299999999997,101.111,3.0
函館,2,10,グルナルーフス,102.5,3.0,,,92.667,10.0,,,
函館,2,11,カービスベイ,102.5,3.0,92.6,7.0,103.333,4.0,298.433,99.478,4.0
函館,2,12,ミッキーマカパ,,,100.25,3.0,97.833,6.0,,,
函館,3,1,クラウドプリーザー,99.5,7.0,95.167,10.0,101.375,4.0,296.04200000000003,98.681,8.0
