場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
東京,1,1,カーティブヨーク,武市康男,101.0,82.0,84.0,88.0,86.0,98.0,,,89.833,14.0
東京,1,2,スプリット,小西一男,98.0,82.0,98.0,102.0,93.0,90.0,,,93.833,11.0
東京,1,3,リケアキャンディ,蛯名利弘,46.0,86.0,93.0,103.0,89.0,80.0,,,82.833,15.0
東京,1,4,アイアンオバーカム,南田美知,78.0,79.0,77.0,96.0,67.0,73.0,,,78.333,16.0
東京,1,5,メリーサウンド,小笠倫弘,90.0,92.0,100.0,90.0,104.0,99.0,,,95.833,6.0
東京,1,6,タマモクロッシェ,水野貴広,72.0,100.0,106.0,100.0,86.0,83.0,,,91.167,13.0
東京,1,7,フィザルモニカ,大和田成,127.0,113.0,107.0,108.0,115.0,127.0,85.0,,111.714,1.0
東京,1,8,ラインアルテミス,武藤善則,92.0,100.0,92.0,103.0,96.0,89.0,76.0,,92.571,12.0
東京,1,9,アズーラ,佐藤吉勝,83.0,88.0,107.0,82.0,103.0,102.0,,,94.167,9.0
東京,1,10,ヴェネチアンレース,嘉藤貴行,109.0,105.0,104.0,104.0,105.0,102.0,95.0,,103.429,4.0
東京,1,11,アオイハナミチ,高橋文雅,99.0,95.0,100.0,90.0,102.0,94.0,83.0,,94.714,8.0
東京,1,12,ニューエラ,池上昌和,108.0,104.0,103.0,105.0,100.0,109.0,,,104.833,2.0
東京,1,13,アサクサグレース,戸田博文,103.0,111.0,96.0,106.0,108.0,101.0,,,104.167,3.0
東京,1,14,キャラメリー,佐藤吉勝,83.0,88.0,107.0,82.0,103.0,102.0,,,94.167,9.0
東京,1,15,チハヤフル,高柳瑞樹,91.0,95.0,91.0,95.0,95.0,93.0,105.0,,95.0,7.0
東京,1,16,チャーミングドール,上原博之,100.0,93.0,98.0,100.0,96.0,95.0,93.0,,96.429,5.0
東京,2,1,トニケンサンバ,西田雄一,87.0,85.0,104.0,92.0,102.0,93.0,,,93.833,11.0
東京,2,2,ショウナンヤッホー,栗田徹　,91.0,90.0,90.0,89.0,86.0,92.0,,,89.667,15.0
東京,2,3,ストップヤーニング,羽月友彦,43.0,102.0,100.0,98.0,96.0,99.0,89.0,,89.571,16.0
東京,2,4,ミツカネリブラ,清水英克,78.0,112.0,90.0,107.0,100.0,97.0,,,97.333,10.0
東京,2,5,ゲイルライダー,牧浦充徳,83.0,109.0,105.0,105.0,107.0,101.0,,,101.667,9.0
東京,2,6,ヘルヴェティオス,金成貴史,99.0,99.0,113.0,101.0,101.0,100.0,,,102.167,6.0
東京,2,7,ウインギャラン,水野貴広,72.0,102.0,106.0,100.0,86.0,83.0,,,91.5,13.0
東京,2,8,リアルショット,加藤征弘,108.0,97.0,100.0,102.0,102.0,104.0,,,102.167,6.0
東京,2,9,アルマグラース,水野貴広,72.0,102.0,106.0,100.0,86.0,83.0,,,91.5,13.0
東京,2,10,ベルジュロネット,大久保龍,72.0,99.0,101.0,96.0,93.0,96.0,,,92.833,12.0
東京,2,11,トリリオンボーイ,武井亮　,98.0,102.0,110.0,105.0,105.0,100.0,,,103.333,4.0
東京,2,12,エポカスピーガ,田中剛　,103.0,103.0,107.0,120.0,102.0,100.0,87.0,,103.143,5.0
東京,2,13,イズルード,田島俊明,106.0,103.0,104.0,105.0,99.0,104.0,,,103.5,3.0
東京,2,14,ルークススペイ,伊藤圭三,99.0,108.0,103.0,103.0,101.0,99.0,,,102.167,6.0
東京,2,15,ワンダラー,黒岩陽一,122.0,104.0,96.0,93.0,106.0,105.0,,,104.333,2.0
東京,2,16,イッシンフラン,竹内正洋,115.0,108.0,107.0,99.0,112.0,112.0,88.0,,105.857,1.0
東京,3,1,キタノショウリュウ,伊藤伸一,82.0,84.0,82.0,77.0,94.0,89.0,90.0,,85.429,15.0
東京,3,2,アスコットロマン,天間昭一,85.0,98.0,82.0,80.0,89.0,76.0,,,85.0,16.0
東京,3,3,アールプロスト,伊藤大士,83.0,94.0,92.0,94.0,93.0,91.0,96.0,,91.857,12.0
東京,3,4,ディースプレマシー,牧光二　,103.0,110.0,104.0,106.0,103.0,105.0,,,105.167,4.0
東京,3,5,マイウェイ,高橋文雅,99.0,95.0,100.0,90.0,102.0,94.0,,,96.667,8.0
東京,3,6,グラスグリード,小笠倫弘,90.0,92.0,100.0,90.0,104.0,99.0,,,95.833,10.0
東京,3,7,ロングウェイホーム,伊坂重信,94.0,95.0,88.0,87.0,89.0,90.0,,,90.5,14.0
東京,3,8,ニシノベニトアイト,伊藤圭三,99.0,95.0,103.0,103.0,101.0,99.0,,,100.0,5.0
東京,3,9,プルシャプラ,池上昌和,108.0,104.0,103.0,105.0,100.0,109.0,117.0,,106.571,3.0
東京,3,10,ピコシー,奥村武　,99.0,87.0,87.0,90.0,102.0,96.0,,,93.5,11.0
東京,3,11,トリプルバレル,稲垣幸雄,109.0,103.0,111.0,107.0,109.0,110.0,111.0,,108.571,1.0
東京,3,12,リネンフラッシュ,粕谷昌央,102.0,98.0,93.0,91.0,104.0,86.0,67.0,,91.571,13.0
東京,3,13,タイキオーベロン,高木登　,114.0,114.0,106.0,106.0,100.0,110.0,,,108.333,2.0
東京,3,14,グレイスザクラウン,上原博之,100.0,93.0,98.0,100.0,96.0,95.0,103.0,,97.857,7.0
東京,3,15,ベンメリア,高橋文雅,99.0,95.0,100.0,90.0,102.0,94.0,,,96.667,8.0
東京,3,16,トーセンペネロペ,小野次郎,87.0,96.0,96.0,113.0,100.0,98.0,,,98.333,6.0
東京,4,1,タイキインドラ,大竹正博,102.0,120.0,91.0,97.0,96.0,99.0,,,100.833,11.0
東京,4,2,オンザスクエア,上原佑紀,108.0,107.0,108.0,102.0,113.0,97.0,,,105.833,7.0
東京,4,3,ロジピエルフ,稲垣幸雄,109.0,103.0,111.0,107.0,109.0,110.0,,,108.167,3.0
東京,4,4,タケルサバイバル,金成貴史,99.0,101.0,113.0,101.0,101.0,100.0,,,102.5,9.0
東京,4,5,テソリーノ,青木孝文,86.0,79.0,96.0,101.0,93.0,85.0,,,90.0,16.0
東京,4,6,ナッシングベター,稲垣幸雄,109.0,103.0,111.0,107.0,109.0,110.0,,,108.167,3.0
東京,4,7,マリノフレイヤ,鈴木慎太,113.0,173.0,109.0,110.0,113.0,108.0,,,121.0,1.0
東京,4,8,ザカート,高柳瑞樹,91.0,114.0,91.0,95.0,95.0,93.0,,,96.5,12.0
東京,4,9,アーバリアンジム,矢作芳人,103.0,101.0,105.0,100.0,107.0,99.0,,,102.5,9.0
東京,4,10,バークテソーロ,稲垣幸雄,109.0,103.0,111.0,107.0,109.0,110.0,,,108.167,3.0
東京,4,11,ミクニサンシャイン,久保田貴,116.0,104.0,99.0,97.0,104.0,107.0,,,104.5,8.0
東京,4,12,トリクロマティック,菊沢隆徳,112.0,105.0,100.0,104.0,109.0,111.0,,,106.833,6.0
東京,4,13,キングスズラン,鈴木伸尋,91.0,96.0,91.0,103.0,96.0,87.0,,,94.0,14.0
東京,4,14,ロコモーション,武藤善則,92.0,87.0,92.0,103.0,96.0,89.0,,,93.167,15.0
東京,4,15,デルマエアロール,大和田成,127.0,106.0,107.0,108.0,115.0,127.0,,,115.0,2.0
東京,4,16,レッドエウロス,田中博康,98.0,85.0,101.0,102.0,95.0,94.0,,,95.833,13.0
東京,5,1,リワードパシオン,勢司和浩,66.0,79.0,95.0,85.0,77.0,83.0,,,80.833,18.0
東京,5,2,ディアボリカドンナ,武井亮　,98.0,109.0,99.0,105.0,101.0,100.0,,,102.0,7.0
東京,5,3,レイデアスール,栗田徹　,91.0,91.0,97.0,89.0,101.0,92.0,,,93.5,14.0
東京,5,4,ブリヤディアマンテ,小島茂之,107.0,104.0,112.0,104.0,90.0,112.0,,,104.833,3.0
東京,5,5,ニシノイッキサス,村田一誠,73.0,75.0,82.0,81.0,118.0,72.0,,,83.5,17.0
東京,5,6,シンデレラダッシュ,宮田敬介,102.0,96.0,96.0,95.0,101.0,101.0,,,98.5,10.0
東京,5,7,デンジエンド,小島茂之,107.0,104.0,112.0,104.0,90.0,112.0,95.0,,103.429,5.0
東京,5,8,スタンピー,深山雅史,69.0,105.0,109.0,100.0,93.0,87.0,,,93.833,13.0
東京,5,9,エリーナストーム,鹿戸雄一,104.0,103.0,107.0,99.0,97.0,110.0,112.0,,104.571,4.0
東京,5,10,ダノンピクチャー,田中博康,98.0,98.0,92.0,102.0,94.0,94.0,90.0,,95.429,12.0
東京,5,11,フーイナム,森一誠　,70.0,127.0,113.0,135.0,109.0,84.0,,,106.333,2.0
東京,5,12,ダイユウルージュ,松永康利,88.0,99.0,95.0,105.0,99.0,93.0,,,96.5,11.0
東京,5,13,レヴーズマン,手塚貴久,106.0,111.0,107.0,101.0,84.0,103.0,103.0,,102.143,6.0
東京,5,14,カフェロワドール,嘉藤貴行,109.0,105.0,104.0,104.0,76.0,102.0,,,100.0,9.0
東京,5,15,キャルミナス,奥村武　,99.0,87.0,101.0,90.0,79.0,96.0,,,92.0,16.0
東京,5,16,ボスポラス,和田正一,114.0,110.0,116.0,115.0,94.0,108.0,,,109.5,1.0
東京,5,17,ピュルテ,手塚貴久,106.0,111.0,107.0,101.0,84.0,103.0,,,102.0,7.0
東京,5,18,リギーロ,栗田徹　,91.0,91.0,97.0,89.0,101.0,92.0,,,93.5,14.0
東京,6,1,ノーブルライナー,中川公成,105.0,99.0,89.0,105.0,109.0,107.0,122.0,,105.143,5.0
東京,6,2,バム,奥平雅士,78.0,97.0,110.0,95.0,100.0,82.0,87.0,,92.714,14.0
東京,6,3,サウンドリアン,和田正一,114.0,110.0,116.0,115.0,110.0,108.0,91.0,,109.143,2.0
東京,6,4,フミマーズ,古賀慎明,105.0,109.0,101.0,105.0,101.0,101.0,,,103.667,6.0
東京,6,5,モンドエトワール,和田雄二,77.0,101.0,99.0,108.0,88.0,79.0,86.0,,91.143,16.0
東京,6,6,ブルスカメンテ,黒岩陽一,122.0,91.0,103.0,93.0,106.0,105.0,,,103.333,9.0
東京,6,7,ユイノオールイン,竹内正洋,115.0,103.0,102.0,99.0,112.0,112.0,97.0,,105.714,4.0
東京,6,8,アレナトーレ,西田雄一,87.0,107.0,81.0,92.0,102.0,93.0,,,93.667,13.0
東京,6,9,フォルテム,千葉直人,137.0,118.0,113.0,110.0,120.0,133.0,,,121.833,1.0
東京,6,10,アルガムベイ,鹿戸雄一,104.0,103.0,107.0,99.0,110.0,110.0,92.0,,103.571,7.0
東京,6,11,クラウンフリード,小野次郎,87.0,96.0,111.0,113.0,100.0,98.0,,,100.833,10.0
東京,6,12,キアラメンテ,鹿戸雄一,104.0,103.0,107.0,99.0,110.0,110.0,92.0,,103.571,7.0
東京,6,13,セゾンデフィーユ,稲垣幸雄,109.0,103.0,101.0,107.0,109.0,110.0,,,106.5,3.0
東京,6,14,スパルタンワールド,小笠倫弘,90.0,92.0,95.0,90.0,104.0,99.0,,,95.0,12.0
東京,6,15,マニス,畠山吉宏,88.0,97.0,93.0,96.0,90.0,97.0,80.0,,91.571,15.0
東京,6,16,ハーモニーソング,田島俊明,106.0,94.0,92.0,105.0,99.0,104.0,,,100.0,11.0
東京,7,1,モナコブル,岩戸孝樹,86.0,98.0,93.0,97.0,89.0,92.0,,,92.5,13.0
東京,7,2,イノセントキャット,久保田貴,116.0,103.0,99.0,101.0,104.0,107.0,,,105.0,1.0
東京,7,3,リゼレインボー,松山将樹,94.0,92.0,97.0,95.0,87.0,108.0,,,95.5,9.0
東京,7,4,ジーティースピカ,加藤和宏,90.0,92.0,89.0,73.0,91.0,98.0,79.0,,87.429,15.0
東京,7,5,アルヴァレス,奥村武　,99.0,100.0,87.0,113.0,102.0,96.0,,,99.5,4.0
東京,7,6,ケイサンノーブル,石栗龍彦,106.0,110.0,106.0,93.0,111.0,113.0,94.0,,104.714,2.0
東京,7,7,シーズアクイーン,石毛善彦,78.0,85.0,74.0,77.0,88.0,66.0,43.0,,73.0,16.0
東京,7,8,シュヴァルツリーベ,林徹　　,94.0,95.0,94.0,88.0,86.0,91.0,,,91.333,14.0
東京,7,9,ゲキザル,青木孝文,86.0,106.0,96.0,101.0,93.0,85.0,,,94.5,10.0
