場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
中山,1,1,リアライズリリー,スワーヴリチャード,109.0,101.0,89.0,94.0,87.0,92.0,102.0,,96.286,14.0
中山,1,2,ニッシンゲッポ,フォーウィールドライブ,119.0,117.0,116.0,133.0,113.0,,,,119.6,2.0
中山,1,3,レオネッサ,モーリス,95.0,100.0,93.0,99.0,97.0,98.0,96.0,,96.857,12.0
中山,1,4,リンダ,ニューイヤーズデイ,98.0,98.0,100.0,100.0,101.0,97.0,,,99.0,10.0
中山,1,5,ファイアーワルツ,アメリカンペイトリオット,111.0,99.0,95.0,97.0,100.0,106.0,88.0,,99.429,8.0
中山,1,6,タブロー,ドレフォン,100.0,107.0,107.0,105.0,103.0,104.0,,,104.333,5.0
中山,1,7,サトノエバー,Justify,75.0,84.0,93.0,86.0,90.0,83.0,86.0,,85.286,15.0
中山,1,8,ベールドゥフィーユ,レッドファルクス,107.0,98.0,113.0,100.0,99.0,98.0,,,102.5,6.0
中山,1,9,ロジステート,シルバーステート,118.0,92.0,77.0,98.0,97.0,99.0,95.0,,96.571,13.0
中山,1,10,ポートタウランガ,ダノンレジェンド,111.0,102.0,116.0,110.0,111.0,114.0,113.0,,111.0,3.0
中山,1,11,ビレッジルミエール,キタサンブラック,90.0,106.0,105.0,97.0,104.0,103.0,,,100.833,7.0
中山,1,12,ユリオプスイエロー,オーヴァルエース,,,,,,,,,,
中山,1,13,エスシーボニー,ストロングリターン,98.0,100.0,99.0,94.0,102.0,100.0,,,98.833,11.0
中山,1,14,アイアンソリッド,スズカコーズウェイ,123.0,143.0,123.0,133.0,115.0,121.0,110.0,,124.0,1.0
中山,1,15,サブアトミック,ニューイヤーズデイ,98.0,98.0,100.0,100.0,101.0,97.0,100.0,,99.143,9.0
中山,1,16,ミートザターゲット,リアルスティール,113.0,113.0,108.0,110.0,112.0,104.0,106.0,,109.429,4.0
中山,2,1,エポカリーナ,エポカドーロ,,,,,,,,,,
中山,2,2,ヴァルトバーデン,ディープブリランテ,99.0,88.0,83.0,98.0,90.0,96.0,,,92.333,13.0
中山,2,3,デュピュイドローム,ロードカナロア,100.0,98.0,100.0,97.0,93.0,96.0,,,97.333,11.0
中山,2,4,ブライトゲイザー,イスラボニータ,106.0,103.0,92.0,103.0,94.0,102.0,103.0,,100.429,8.0
中山,2,5,ゴットランド,リオンディーズ,105.0,94.0,99.0,92.0,100.0,102.0,,,98.667,10.0
中山,2,6,デルマラメール,ルヴァンスレーヴ,118.0,90.0,106.0,114.0,133.0,77.0,,,106.333,5.0
中山,2,7,アイオリア,リアルスティール,113.0,113.0,108.0,110.0,103.0,104.0,,,108.5,2.0
中山,2,8,リョウランナイト,バゴ,82.0,87.0,98.0,85.0,92.0,101.0,85.0,,90.0,14.0
中山,2,9,ドラゴンバスター,マクフィ,91.0,98.0,99.0,93.0,102.0,100.0,,,97.167,12.0
中山,2,10,カシマスウィープ,リアルスティール,113.0,113.0,108.0,110.0,103.0,104.0,,,108.5,2.0
中山,2,11,カズナリ,ディーマジェスティ,99.0,102.0,106.0,108.0,102.0,105.0,,,103.667,6.0
中山,2,12,ペイシャヴァルワン,オーヴァルエース,,,,,,,,,,
中山,2,13,シャイニーヒル,カレンブラックヒル,92.0,102.0,107.0,92.0,102.0,102.0,,,99.5,9.0
