,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,,1.0,47.0,1.0,,47.0,22.0,26.0,,,8.0,14.0,6.0,8.0,2.0,,3.0,7.0,,1.0,1.0,36.0,,11.0,
2022,3.0,1.0,59.0,,,63.0,25.0,38.0,,,13.0,18.0,4.0,10.0,3.0,,2.0,13.0,1.0,1.0,,50.0,,13.0,
2023,4.0,1.0,70.0,,,75.0,22.0,53.0,,,17.0,16.0,5.0,12.0,1.0,1.0,5.0,18.0,1.0,,,49.0,,26.0,
2024,1.0,1.0,6.0,,,8.0,,8.0,,,,,,2.0,,,,6.0,,,,4.0,,4.0,
