場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
新潟,1,1,タンジェントアーク,555.0,3.0,-7327.0,11.0,-2402.0,9.0,-9.174,10.0
新潟,1,2,イクスプロージョン,-2541.0,10.0,3069.0,2.0,1450.0,4.0,1.978,4.0
新潟,1,3,パーリーブラック,-434.0,6.0,1482.0,4.0,-5437.0,11.0,-4.389,7.0
新潟,1,4,ヤップヤップヤップ,-926.0,7.0,1873.0,3.0,4727.0,2.0,5.674,3.0
新潟,1,5,プラチナドリーム,-51.0,5.0,15.0,6.0,-1287.0,8.0,-1.323,5.0
新潟,1,6,サクラトップラン,-2976.0,12.0,-852.0,7.0,-772.0,7.0,-4.6,8.0
新潟,1,7,スカイテラス,-2126.0,9.0,18129.0,1.0,2130.0,3.0,18.133,1.0
新潟,1,8,ヴァレッタカズマ,-1204.0,8.0,-978.0,8.0,,,,
新潟,1,9,ニシノパプルブリリ,1795.0,2.0,-2876.0,10.0,-4655.0,10.0,-5.736,9.0
新潟,1,10,テイエムナイスラン,-2854.0,11.0,387.0,5.0,-13.0,6.0,-2.48,6.0
新潟,1,11,クリノクオン,370.0,4.0,,,1034.0,5.0,,
新潟,1,12,レディステディゴー,3630.0,1.0,-2399.0,9.0,4961.0,1.0,6.192,2.0
新潟,2,1,ビップジェシー,-1408.0,6.0,4661.0,2.0,-128.0,6.0,3.125,3.0
新潟,2,2,ハシリマッセ,12542.0,1.0,-2908.0,7.0,-4953.0,10.0,4.681,2.0
新潟,2,3,ロックウイズユー,,,7503.0,1.0,3229.0,2.0,,
新潟,2,4,チュラビックタイム,-3657.0,8.0,-11312.0,8.0,420.0,5.0,-14.549,6.0
新潟,2,5,スペースリーガ,-1694.0,7.0,4661.0,2.0,,,,
新潟,2,6,ヤスケ,133.0,5.0,-1784.0,6.0,-2010.0,8.0,-3.661,5.0
新潟,2,7,タイセイフランク,,,,,-4897.0,9.0,,
新潟,2,8,ダテミカヅキ,-4936.0,9.0,761.0,4.0,3242.0,1.0,-0.933,4.0
新潟,2,9,マインエンゼル,-9542.0,10.0,,,-7606.0,11.0,,
新潟,2,10,ドーバーブライト,6911.0,3.0,,,1229.0,4.0,,
新潟,2,11,サンライズフーガ,9386.0,2.0,-1281.0,5.0,2244.0,3.0,10.349,1.0
新潟,2,12,ハルノアラシ,212.0,4.0,,,-1488.0,7.0,,
新潟,3,1,ハルカナネガイ,-5671.0,11.0,-890.0,8.0,-8082.0,15.0,-14.643,11.0
新潟,3,2,ローズブルーム,1248.0,5.0,,,-8039.0,14.0,,
新潟,3,3,グリントリッター,,,9364.0,2.0,4784.0,4.0,,
新潟,3,4,ストームバンガード,,,7882.0,3.0,522.0,9.0,,
新潟,3,5,ラピッドベル,8296.0,3.0,5208.0,4.0,1514.0,6.0,15.018,2.0
新潟,3,6,クリノミニスター,2851.0,4.0,20413.0,1.0,9084.0,1.0,32.348,1.0
新潟,3,7,エスグラシア,385.0,6.0,-4928.0,10.0,-3761.0,12.0,-8.304,8.0
新潟,3,8,グローブフェイム,11308.0,2.0,463.0,7.0,2693.0,5.0,14.464,3.0
