場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
新潟,1,1,カンタベリーノブシ,-1712.0,6.0,,,2834.0,5.0,,
新潟,1,2,マニーヒーロー,,,7417.0,1.0,-2429.0,11.0,,
新潟,1,3,スマートテンペスト,-2385.0,8.0,,,3467.0,3.0,,
新潟,1,4,リポジノ,-449.0,4.0,,,3686.0,2.0,,
新潟,1,5,セイウンピカイチ,5880.0,2.0,3013.0,2.0,-6179.0,12.0,2.714,3.0
新潟,1,6,クリアクォーツ,,,,,-1472.0,10.0,,
新潟,1,7,シルフズミスチーフ,2563.0,3.0,2182.0,3.0,814.0,7.0,5.559,2.0
新潟,1,8,ニシノヘリオトロプ,-1132.0,5.0,,,3072.0,4.0,,
新潟,1,9,ワイルドブッター,-3552.0,9.0,-2489.0,6.0,-540.0,9.0,-6.581,4.0
新潟,1,10,ゼンダンタカ,,,879.0,4.0,1965.0,6.0,,
新潟,1,11,ソノバシノギ,,,,,4721.0,1.0,,
新潟,1,12,キタノライブリー,-1719.0,7.0,468.0,5.0,-6881.0,13.0,-8.132,5.0
新潟,1,13,ベイビーキッス,12405.0,1.0,-3844.0,7.0,353.0,8.0,8.914,1.0
新潟,2,1,セイカエイレーネー,2632.0,3.0,-9979.0,14.0,-7522.0,16.0,-14.869,10.0
新潟,2,2,エコロディーナ,,,-1301.0,8.0,1621.0,6.0,,
新潟,2,3,アルサクレイグ,-4763.0,11.0,4949.0,3.0,-677.0,9.0,-0.491,7.0
新潟,2,4,ピンクブルー,11992.0,1.0,4025.0,4.0,-2854.0,11.0,13.163,2.0
新潟,2,5,ハイタッチマドンナ,,,,,,,,
新潟,2,6,サンナイアガラ,-1638.0,7.0,-1121.0,7.0,2380.0,5.0,-0.379,6.0
新潟,2,7,カミーチェ,1115.0,4.0,3321.0,5.0,4025.0,3.0,8.461,3.0
新潟,2,8,ブルーオブウインド,,,-7365.0,11.0,-11112.0,17.0,,
新潟,2,9,コルドンブルー,8613.0,2.0,13770.0,1.0,780.0,7.0,23.163,1.0
新潟,2,10,エンジェライト,,,,,-3793.0,13.0,,
新潟,2,11,コスモシンテイ,,,,,-337.0,8.0,,
新潟,2,12,ブルーフラット,56.0,6.0,-8097.0,13.0,-7047.0,15.0,-15.088,11.0
新潟,2,13,プレインコート,,,-4850.0,10.0,4369.0,2.0,,
新潟,2,14,コンスピラシー,1057.0,5.0,-2081.0,9.0,-5227.0,14.0,-6.251,8.0
