,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,109.755,97.092,,103.272,103.402,174.148,102.468,103.734,65.886,103.166,104.998,91.075,161.007,91.403,107.712,77.842,81.32,107.374,149.225,80.954,105.88,100.98,102.288,75.887,835.0
五十嵐雄,70.615,49.495,104.641,21.0,21.0,101.652,101.804,101.144,,,113.172,102.792,103.276,115.918,88.434,118.61,117.01,77.913,54.0,21.0,21.0,101.504,21.0,102.78,
池添謙一,99.914,99.058,,95.79,103.518,97.946,99.676,99.699,109.067,75.974,101.935,64.844,89.775,98.709,116.857,104.593,101.275,72.724,105.795,96.94,92.874,104.493,101.083,94.223,81.224
石神深一,63.001,160.499,85.003,108.873,21.0,83.449,88.555,81.304,,,98.338,93.66,87.886,69.928,96.813,67.996,98.868,71.844,48.516,236.625,,83.903,70.038,82.752,
石神深道,87.369,91.905,,94.525,80.563,35.308,79.683,98.672,,21.0,81.302,72.94,86.403,115.985,84.001,,,125.366,104.318,135.829,92.263,106.497,65.353,21.0,
石川裕紀,101.904,100.556,,100.138,100.3,131.959,94.234,108.557,29.847,84.687,101.601,83.607,98.108,108.026,60.163,120.841,147.474,143.0,91.986,88.727,97.56,100.604,105.534,97.975,86.347
石田拓郎,77.294,94.735,,90.78,91.072,93.5,94.086,87.08,,21.0,89.039,104.862,77.915,68.373,38.69,,,112.973,37.224,100.027,68.077,105.331,78.807,21.0,
石橋脩,94.428,107.47,,105.721,95.608,100.614,96.799,105.446,21.0,,108.543,102.949,87.695,106.307,51.155,,44.868,,77.2,104.221,98.407,99.191,103.752,85.605,102.282
泉谷楓真,108.943,98.431,,101.496,104.788,155.634,82.835,111.743,108.774,48.773,129.253,89.048,25.79,21.0,91.094,80.385,86.585,127.265,109.272,113.459,52.977,89.647,113.558,116.042,39.16
伊藤工真,55.06,113.559,21.0,111.104,84.649,31.135,89.644,115.231,39.171,442.771,60.521,85.638,78.133,108.735,113.692,,83.319,,48.146,145.173,21.0,109.15,95.438,551.062,100.619
井上敏樹,191.989,70.091,84.334,111.373,72.429,82.035,79.677,72.38,21.0,21.0,55.365,96.859,113.143,80.431,21.0,85.545,88.779,82.794,21.0,21.0,21.0,64.802,21.0,97.293,1403.7
今村聖奈,85.33,94.214,,95.369,87.139,62.922,100.815,86.965,108.297,70.875,151.767,89.698,97.496,118.909,103.235,96.854,68.191,92.788,93.189,77.945,95.73,76.81,100.681,171.695,141.947
岩田望来,106.165,97.104,,105.137,98.978,88.593,96.504,103.325,151.585,,84.029,99.85,91.923,112.57,99.221,102.834,102.884,106.433,100.717,99.105,109.563,100.956,100.35,96.956,104.317
岩田康誠,98.338,99.527,,93.593,104.381,93.077,96.345,100.394,113.546,87.876,79.176,79.432,99.414,117.255,100.219,94.774,111.385,84.273,85.147,101.624,102.95,92.956,98.684,107.558,108.607
岩部純二,72.343,72.864,,69.733,77.71,21.0,52.71,90.887,,,52.162,36.678,59.298,96.764,136.942,,,21.0,47.615,80.716,62.138,67.526,70.964,21.0,21.0
上里直汰,93.261,110.699,,78.407,135.754,21.0,112.925,98.977,,59.621,107.984,120.644,98.778,103.18,93.809,,,,80.574,137.076,123.71,102.176,106.126,21.0,
上野翔,127.761,128.702,103.764,21.0,21.0,105.325,114.759,99.55,,,84.355,113.092,110.562,119.142,134.215,68.298,76.193,111.099,21.0,21.0,,105.974,21.0,103.01,
内田博幸,91.722,99.636,,106.037,80.246,143.044,91.535,103.14,,44.298,80.637,76.24,94.514,110.391,121.978,82.598,60.667,146.574,95.539,105.36,89.371,99.186,94.679,109.127,103.404
江田照男,102.783,77.634,,81.124,94.512,142.209,87.047,89.752,242.977,,83.171,85.933,80.941,88.953,128.629,21.0,21.0,21.0,125.357,61.986,68.574,108.987,74.846,129.781,56.152
江田勇亮,102.608,21.0,96.015,21.0,,97.887,101.059,95.329,,,56.373,77.572,100.038,102.113,140.752,21.0,21.0,119.468,135.286,,,88.602,21.0,121.545,
遠藤汰月,70.668,67.644,,60.481,84.791,21.0,57.234,79.268,,,119.414,75.909,41.345,50.008,,,,,21.0,43.256,56.936,60.313,81.567,,
大江原圭,155.597,21.0,98.639,21.0,21.0,100.426,69.032,113.017,,,89.941,57.189,70.502,110.712,82.357,127.44,131.313,108.162,221.578,21.0,,104.382,21.0,89.32,
大久保友,39.614,79.78,,72.194,55.796,21.0,99.158,48.308,86.027,38.076,160.052,113.273,,21.0,98.894,49.761,51.239,168.904,60.735,79.678,41.25,53.783,68.373,,
大野拓弥,103.416,96.809,,102.602,97.266,105.492,102.722,98.761,90.653,114.852,100.504,96.797,103.098,96.539,205.606,257.602,85.178,159.413,90.658,106.284,88.249,98.651,100.35,129.587,79.887
