,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,109.806,97.205,,103.36,103.495,174.165,102.555,103.826,65.938,103.179,105.061,91.167,161.035,91.44,107.755,77.959,81.493,107.441,149.32,81.068,105.959,101.078,102.37,76.022,835.0
五十嵐雄,70.668,49.646,104.877,21.0,21.0,101.877,102.063,101.349,,,113.544,103.021,103.457,116.136,88.755,118.8,117.122,78.023,54.0,21.0,21.0,101.744,21.0,102.961,
池添謙一,100.11,99.247,,95.951,103.735,98.176,99.812,99.905,109.302,76.161,102.131,64.937,89.871,98.912,117.022,104.786,101.498,72.856,105.964,97.131,93.076,104.733,101.272,94.325,81.321
石神深一,63.161,160.499,85.21,109.102,21.0,83.649,88.724,81.527,,,98.619,93.857,88.013,70.131,97.024,68.197,99.174,72.012,48.661,236.625,,84.123,70.173,82.917,
石神深道,87.428,91.994,,94.613,80.63,35.308,79.746,98.759,,21.0,81.349,73.002,86.403,116.113,84.094,,,125.466,104.318,135.957,92.307,106.573,65.433,21.0,
石川裕紀,102.056,100.688,,100.275,100.457,132.017,94.361,108.716,29.894,84.687,101.734,83.732,98.237,108.195,60.202,120.933,147.533,143.0,92.161,88.847,97.695,100.788,105.65,98.134,86.45
石田拓郎,77.32,94.77,,90.815,91.099,93.5,94.107,87.115,,21.0,89.056,104.875,77.951,68.417,38.69,,,113.032,37.224,100.063,68.123,105.339,78.851,21.0,
石橋脩,94.539,107.616,,105.857,95.733,100.706,96.899,105.607,21.0,,108.688,103.073,87.785,106.476,51.184,,44.939,,77.304,104.37,98.534,99.33,103.88,85.726,102.377
泉谷楓真,109.067,98.593,,101.65,104.918,155.72,82.971,111.885,108.935,48.807,129.424,89.192,25.815,21.0,91.225,80.555,86.675,127.439,109.371,113.628,52.987,89.778,113.714,116.159,39.16
伊藤工真,55.097,113.672,21.0,111.222,84.711,31.189,89.714,115.355,39.268,443.0,60.621,85.689,78.21,108.823,113.7,,83.649,,48.229,145.395,21.0,109.264,95.507,551.062,100.619
井上敏樹,191.989,70.091,84.423,111.373,72.429,82.117,79.751,72.406,21.0,21.0,55.365,96.941,113.143,80.431,21.0,85.545,88.779,82.914,21.0,21.0,21.0,64.881,21.0,97.293,1403.7
今村聖奈,85.41,94.364,,95.503,87.257,62.995,100.936,87.095,108.297,71.139,151.878,89.783,97.496,118.99,103.421,96.983,68.29,92.849,93.267,78.09,95.85,76.942,100.806,171.724,141.975
岩田望来,106.403,97.313,,105.356,99.208,88.806,96.708,103.557,151.959,,84.271,100.046,92.099,112.713,99.437,103.063,103.138,106.546,100.936,99.317,109.811,101.191,100.578,97.125,104.421
岩田康誠,98.509,99.685,,93.721,104.575,93.313,96.478,100.574,113.638,88.046,79.382,79.502,99.516,117.422,100.385,94.943,111.606,84.422,85.302,101.779,103.096,93.139,98.847,107.742,108.681
岩部純二,72.381,72.922,,69.805,77.71,21.0,52.787,90.921,,,52.186,36.728,59.378,96.796,136.942,,,21.0,47.647,80.822,62.138,67.583,71.034,21.0,21.0
上里直汰,93.406,110.748,,78.441,135.889,21.0,112.999,99.064,,59.621,108.132,120.754,98.778,103.242,93.809,,,,80.574,137.136,123.71,102.209,106.271,21.0,
上野翔,127.84,128.902,103.991,21.0,21.0,105.547,115.014,99.749,,,84.539,113.343,110.856,119.331,134.447,68.413,76.345,111.388,21.0,21.0,,106.221,21.0,103.153,
内田博幸,91.801,99.763,,106.155,80.351,143.1,91.633,103.262,,44.422,80.795,76.314,94.617,110.501,122.003,82.696,60.678,146.622,95.59,105.462,89.438,99.355,94.748,109.186,103.423
江田照男,102.841,77.688,,81.164,94.596,142.209,87.101,89.821,242.977,,83.235,85.982,81.01,89.024,128.629,21.0,21.0,21.0,125.414,62.003,68.582,109.088,74.872,129.781,56.152
江田勇亮,102.608,21.0,96.112,21.0,,97.98,101.131,95.425,,,56.498,77.644,100.038,102.258,141.047,21.0,21.0,119.53,135.286,,,88.678,21.0,121.643,
遠藤汰月,70.805,67.74,,60.59,84.91,21.0,57.296,79.426,,,119.726,76.044,41.345,50.053,,,,,21.0,43.312,57.126,60.368,81.74,,
大江原圭,155.766,21.0,98.83,21.0,21.0,100.618,69.153,113.238,,,90.232,57.29,70.516,110.862,82.601,127.787,131.378,108.341,221.661,21.0,,104.596,21.0,89.435,
大久保友,39.637,79.836,,72.264,55.796,21.0,99.252,48.324,86.027,38.076,160.077,113.569,,21.0,98.894,49.761,51.285,168.904,60.735,79.678,41.357,53.783,68.435,,
大野拓弥,103.53,96.941,,102.727,97.386,105.635,102.825,98.902,90.803,115.029,100.684,96.894,103.206,96.672,205.623,257.602,85.484,159.502,90.777,106.427,88.356,98.802,100.47,129.615,79.934
岡田祥嗣,121.601,43.852,,60.314,169.633,132.429,58.677,144.421,,,21.0,189.095,21.0,21.0,35.196,90.293,753.084,42.902,21.0,38.256,62.948,113.372,42.403,21.0,
荻野極,101.926,106.022,,112.603,95.391,92.156,109.107,97.246,278.778,21.0,96.722,106.91,92.773,124.039,118.405,113.61,83.2,93.086,101.641,98.886,105.113,99.841,105.229,102.8,93.966
荻野琢真,120.518,90.149,,119.966,88.165,27.022,115.852,101.643,73.88,131.594,94.882,108.128,127.621,21.0,66.152,111.646,74.079,131.948,106.863,97.582,127.731,116.358,95.697,21.0,21.0
小沢大仁,92.463,93.502,,76.7,105.204,117.933,76.613,107.029,94.391,97.889,105.812,70.729,98.654,21.0,74.201,113.741,83.454,111.819,105.772,95.467,79.507,99.583,93.125,60.032,59.764
小野寺祐,76.694,21.0,95.729,21.0,21.0,95.225,90.0,95.689,,,112.097,63.643,112.801,86.603,92.715,127.41,83.887,92.459,117.25,21.0,21.0,92.001,21.0,104.187,21.0
加藤祥太,90.375,109.782,,104.651,86.538,21.0,101.844,100.014,100.091,71.893,149.189,127.918,21.0,209.0,97.547,58.773,85.691,67.163,58.538,149.299,121.971,111.655,77.844,37.055,21.0
金子光希,49.366,21.0,119.118,,,114.945,116.004,111.711,,,90.992,169.492,40.0,52.978,359.462,21.0,105.99,197.805,21.0,,,95.282,,148.464,
亀田温心,102.52,87.962,,100.335,95.952,42.713,84.404,104.348,74.455,55.617,106.368,77.089,50.632,106.964,85.34,123.887,123.324,101.821,97.768,87.788,156.661,89.394,98.046,81.337,24.834
川須栄彦,83.157,90.248,,89.454,85.91,21.0,96.579,83.856,,,76.801,92.731,21.0,21.0,98.632,84.426,117.686,66.62,68.005,94.864,55.994,95.006,85.06,119.137,36.172
川田将雅,101.549,100.951,,99.541,104.227,85.388,105.237,99.171,106.273,21.0,,112.792,105.519,89.434,105.071,99.676,101.709,102.459,97.487,101.733,91.199,98.915,105.084,96.304,103.669
川端海翼,77.371,102.452,,104.657,90.041,86.196,116.924,84.063,96.005,77.482,58.612,85.258,1025.667,21.0,128.847,79.146,50.419,99.115,149.675,130.515,112.298,78.231,115.542,21.0,21.0
河原田菜,75.65,91.804,,84.852,86.362,21.0,104.907,71.596,,,77.016,104.752,,21.0,101.826,78.405,67.343,63.363,63.733,99.307,97.809,84.994,79.443,100.161,21.0
川又賢治,100.548,92.92,,102.875,74.33,111.813,103.527,93.313,73.683,96.537,81.768,106.899,74.571,112.041,97.241,88.262,102.869,58.78,129.532,107.218,71.155,98.742,90.586,99.806,78.99
菊沢一樹,108.913,104.354,,109.268,102.034,118.047,112.146,102.058,136.045,65.965,102.938,116.575,108.505,97.207,189.56,21.0,21.0,112.721,115.205,106.295,96.841,110.962,103.181,121.032,48.198
北村宏司,103.707,99.568,,105.069,101.831,75.439,105.364,95.383,21.0,,57.24,91.351,106.249,95.704,85.426,41.274,201.485,,99.324,94.216,125.436,89.549,100.591,165.134,72.093
北村友一,99.457,99.519,,96.836,101.365,97.059,90.638,102.57,108.376,108.43,84.709,83.487,64.438,83.026,95.863,96.342,112.054,114.889,98.488,92.03,102.714,105.083,97.829,93.151,83.825
城戸義政,101.611,102.798,,87.798,110.576,21.0,111.881,92.775,21.0,144.5,114.012,143.571,21.0,21.0,109.793,78.995,75.234,216.987,104.202,111.013,193.0,84.761,104.134,26.49,21.0
草野太郎,65.925,50.677,98.907,21.0,21.0,97.429,96.809,98.036,,,114.777,95.453,113.48,84.06,130.931,201.356,73.242,99.743,73.366,76.645,21.0,93.969,21.0,100.012,
黒岩悠,70.407,46.125,90.346,34.75,33.973,89.85,73.24,89.353,,,87.708,75.095,56.993,180.852,61.222,39.139,83.251,86.082,44.846,21.0,21.0,82.606,42.86,101.45,
国分恭介,118.689,115.173,,122.435,113.917,54.521,107.826,124.262,45.235,97.603,170.481,104.206,29.416,129.828,109.599,104.785,118.359,102.809,126.428,113.233,108.579,121.981,116.881,95.423,227.716
