,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,110.209,97.354,,103.529,103.83,174.132,102.872,104.017,66.137,103.154,104.934,91.542,160.978,91.706,108.156,78.032,81.147,107.897,149.757,80.93,107.367,101.138,102.542,75.753,876.212
五十嵐雄,70.563,49.345,104.501,21.0,21.0,101.517,101.546,101.1,,,112.8,102.564,103.095,115.7,88.112,118.419,118.377,77.803,54.0,21.0,21.0,101.382,21.0,102.599,
池添謙一,99.779,98.956,,95.712,103.367,97.715,99.554,99.576,108.896,75.786,101.738,64.751,89.678,98.505,116.711,104.501,101.154,72.592,105.625,96.913,92.935,104.252,100.96,94.499,81.127
石神深一,62.84,160.499,84.795,108.644,21.0,83.248,88.387,81.081,,,98.058,93.464,87.759,69.725,96.603,67.796,98.561,71.676,48.37,236.625,,83.683,69.902,82.588,
石神深道,87.424,92.339,,94.942,80.624,35.308,79.62,99.176,,21.0,81.255,72.878,86.403,117.406,83.908,,,125.267,104.318,137.214,93.21,106.874,65.272,21.0,
石川裕紀,102.258,100.761,,100.386,100.378,135.274,94.428,108.931,29.801,84.687,101.92,83.563,98.369,108.379,60.123,120.75,147.416,143.0,91.811,88.971,97.69,100.743,106.021,98.306,86.417
石田拓郎,77.267,95.958,,91.478,92.027,93.5,95.3,87.535,,21.0,89.96,106.703,77.88,68.595,38.69,,,112.913,37.224,100.579,68.979,106.691,78.979,21.0,
石橋脩,94.494,107.454,,105.782,95.599,100.523,96.819,105.465,21.0,,108.852,102.871,87.768,106.227,51.127,,44.798,,77.095,104.246,98.281,99.301,103.675,85.484,103.202
泉谷楓真,109.407,98.41,,101.43,105.326,155.548,82.839,112.058,109.17,49.191,129.507,88.905,25.764,21.0,91.202,80.215,86.574,127.813,109.412,113.29,53.214,89.782,113.795,115.925,39.16
伊藤工真,55.328,113.76,21.0,111.598,84.588,31.082,89.574,115.775,39.075,442.543,60.421,85.587,78.057,109.535,113.683,,82.989,,48.062,144.951,21.0,110.153,95.369,583.188,100.619
井上敏樹,198.485,70.091,85.274,116.85,72.429,82.847,79.603,73.88,21.0,21.0,57.447,96.778,113.143,80.431,21.0,85.545,92.887,85.051,21.0,21.0,21.0,65.176,21.0,98.779,1487.5
今村聖奈,85.393,94.064,,95.235,87.19,62.849,100.793,86.859,108.297,70.611,151.655,89.745,97.496,118.828,103.05,96.724,68.15,92.728,93.661,77.799,95.61,76.796,100.589,171.666,141.918
岩田望来,106.032,96.943,,105.055,98.76,88.379,96.388,103.164,152.558,,83.788,100.205,91.801,112.427,99.004,102.674,102.668,106.32,100.542,98.894,109.63,100.746,100.197,96.787,104.212
岩田康誠,98.167,99.573,,93.67,104.188,92.841,96.236,100.355,113.453,87.705,78.97,79.424,99.312,117.088,100.053,94.605,111.879,84.123,84.992,102.127,102.805,92.799,98.718,107.373,108.533
岩部純二,72.305,72.805,,69.661,77.71,21.0,52.633,90.852,,,52.138,36.628,59.219,96.733,136.942,,,21.0,47.582,80.61,62.138,67.468,70.894,21.0,21.0
上里直汰,93.987,111.828,,78.374,137.861,21.0,112.85,100.747,,59.621,110.561,120.534,98.778,104.807,93.809,,,,80.574,138.632,129.935,103.696,105.981,21.0,
上野翔,127.682,128.502,103.739,21.0,21.0,105.292,114.858,99.402,,,84.17,113.351,110.268,118.954,133.982,68.184,76.04,110.938,21.0,21.0,,105.992,21.0,102.866,
内田博幸,91.818,99.893,,106.367,80.183,143.703,91.496,103.604,,44.175,80.666,76.166,94.484,110.988,121.952,82.499,61.805,146.526,95.703,106.078,89.504,99.355,94.794,110.288,103.79
江田照男,103.303,77.678,,81.187,94.992,142.209,87.267,89.949,249.338,,83.107,85.885,81.301,89.218,128.629,21.0,21.0,21.0,126.008,61.968,68.625,109.524,74.82,129.781,56.152
江田勇亮,104.625,21.0,97.067,21.0,,99.014,100.988,97.117,,,56.248,77.501,100.038,103.966,140.457,21.0,21.0,122.284,135.286,,,89.985,21.0,121.88,
遠藤汰月,70.531,68.199,,60.371,85.769,21.0,57.172,79.834,,,120.82,75.774,41.345,49.963,,,,,21.0,43.2,56.746,60.993,81.393,,
大江原圭,155.427,21.0,98.99,21.0,21.0,100.732,68.91,113.462,,,89.651,57.088,70.489,111.688,82.114,127.092,131.248,109.615,221.496,21.0,,104.851,21.0,89.206,
大久保友,39.59,80.53,,72.124,57.284,21.0,99.064,48.966,86.027,38.076,160.027,112.976,,21.0,98.894,49.761,52.175,177.867,60.735,79.678,41.143,54.813,68.311,,
大野拓弥,103.545,96.83,,102.527,97.407,106.9,102.881,98.795,90.571,114.674,100.764,97.409,103.087,96.467,205.589,257.602,84.873,159.324,90.756,106.294,88.28,98.819,100.376,129.559,79.84
岡田祥嗣,123.285,44.198,,60.254,174.154,132.429,58.677,147.938,,,21.0,189.095,21.0,21.0,35.196,90.293,796.279,42.902,21.0,38.405,62.948,115.444,42.403,21.0,
荻野極,101.797,106.159,,112.602,95.373,91.983,109.092,97.192,278.778,21.0,96.467,106.602,92.684,123.916,118.947,113.811,83.12,93.154,101.412,98.556,105.332,99.716,105.281,102.522,93.736
荻野琢真,122.334,90.411,,121.758,88.143,27.022,116.679,102.456,73.812,131.805,94.882,108.053,127.315,21.0,67.34,113.417,73.914,134.422,107.798,98.41,131.727,117.456,96.42,21.0,21.0
小沢大仁,92.848,93.402,,76.66,105.335,118.531,76.447,107.317,94.218,97.442,105.988,70.531,98.654,21.0,74.083,114.272,83.431,112.211,106.121,95.283,79.34,99.818,93.112,60.829,59.764
小野寺祐,76.225,21.0,95.505,21.0,21.0,94.988,89.84,95.414,,,111.727,63.638,112.513,86.39,92.354,127.183,83.56,92.234,116.643,21.0,21.0,91.734,21.0,104.032,21.0
加藤祥太,90.231,110.214,,104.456,87.063,21.0,101.668,100.235,100.091,71.357,148.983,127.901,21.0,208.6,97.234,60.162,85.684,66.934,58.173,150.71,121.748,112.098,77.748,36.979,21.0
金子光希,49.366,21.0,119.437,,,115.251,115.848,112.7,,,90.951,169.315,39.8,52.978,359.462,21.0,105.99,202.235,21.0,,,95.104,,149.278,
亀田温心,102.493,87.972,,100.437,95.898,42.534,84.201,104.512,74.356,55.439,106.618,76.985,50.632,106.902,85.058,123.742,124.466,101.838,97.536,87.794,156.292,89.356,98.107,81.159,24.834
川須栄彦,83.758,90.528,,89.699,86.658,21.0,96.894,84.361,,,76.801,92.667,21.0,21.0,98.999,84.614,118.201,67.241,68.517,94.795,55.994,95.467,85.489,122.345,36.172
川田将雅,100.842,100.232,,98.839,103.496,84.79,104.517,98.459,105.462,21.0,,111.923,104.858,88.765,104.328,98.966,100.962,101.764,96.785,101.001,90.496,98.18,104.339,95.67,103.132
川端海翼,77.584,103.264,,105.464,90.67,86.071,118.096,84.359,95.769,80.458,58.563,85.3,1025.667,21.0,130.593,79.026,50.387,99.047,149.675,132.628,112.298,79.303,115.847,21.0,21.0
河原田菜,75.815,92.155,,85.111,86.742,21.0,105.411,71.673,,,76.734,105.161,,21.0,102.342,79.236,67.234,63.303,63.698,99.659,97.66,85.289,79.749,99.749,21.0
川又賢治,100.732,93.164,,102.93,74.33,114.05,103.447,93.658,73.345,97.122,82.038,106.88,74.571,112.041,97.16,89.0,102.684,58.963,130.061,107.775,71.155,99.073,90.74,101.287,78.99
菊沢一樹,109.302,104.611,,109.5,102.297,120.609,112.641,102.194,135.773,65.943,103.188,117.124,108.96,97.258,195.74,21.0,21.0,112.753,115.528,106.414,96.695,111.281,103.471,122.009,49.846
北村宏司,103.797,99.393,,104.86,101.903,76.872,105.36,95.299,21.0,,57.133,91.005,106.297,95.562,85.182,41.061,205.601,,99.054,93.976,125.525,89.258,100.658,165.762,72.098
北村友一,99.193,99.2,,96.484,101.155,96.667,90.302,102.301,108.089,108.293,84.247,83.139,64.286,82.67,95.482,96.057,111.735,114.53,98.274,91.808,102.19,104.773,97.608,92.883,83.635
城戸義政,103.088,103.525,,88.478,111.579,21.0,113.605,93.144,21.0,143.2,113.661,143.153,21.0,21.0,113.208,80.259,75.122,217.1,104.598,110.963,197.609,84.97,105.028,26.432,21.0
草野太郎,65.925,50.677,98.562,21.0,21.0,97.105,96.436,97.737,,,114.496,95.126,113.121,83.736,130.562,201.225,72.913,99.463,73.366,76.645,21.0,93.662,21.0,99.674,
黒岩悠,70.407,46.757,90.221,35.583,33.973,89.733,73.11,89.325,,,87.708,74.971,56.79,180.747,61.152,39.049,83.535,85.712,44.846,21.0,21.0,82.591,43.492,101.24,
国分恭介,118.747,115.448,,122.972,113.791,54.339,107.932,124.494,45.199,97.563,170.09,104.029,29.416,129.828,109.814,104.691,118.659,102.911,126.55,113.5,108.878,122.253,116.878,95.423,231.576
国分優作,93.95,101.087,,105.605,92.624,68.826,75.295,112.66,21.0,21.0,69.355,88.316,21.0,21.0,72.797,121.026,135.449,101.48,131.677,103.806,141.299,94.782,95.598,120.181,100.196
小坂忠士,123.638,59.775,140.722,21.0,21.0,139.105,139.279,124.866,,,71.978,98.02,53.173,120.531,554.8,97.977,126.742,160.689,80.693,21.0,,143.495,21.0,128.939,
小崎綾也,103.333,100.823,,96.685,109.648,52.117,105.341,98.791,37.865,70.333,122.846,81.433,264.353,74.186,102.881,78.344,104.914,111.356,105.891,86.494,99.882,95.75,101.933,122.704,136.263
小林脩斗,82.579,111.43,,103.45,97.987,121.892,99.251,104.49,113.021,97.135,78.463,96.713,80.883,116.566,113.995,21.0,21.0,100.167,100.06,104.194,94.466,89.496,113.924,21.0,21.0
小林美駒,97.476,96.337,,94.96,101.55,21.0,89.373,99.406,108.37,81.972,101.519,100.567,80.474,85.268,32.776,245.647,,106.739,119.2,114.89,80.732,96.201,97.734,21.0,21.0
小林凌大,86.099,100.369,,92.101,102.933,28.764,77.39,98.703,67.863,98.831,61.55,76.707,72.743,109.346,43.608,,21.0,97.534,60.119,85.687,85.293,107.013,89.36,86.275,
小牧加矢,107.905,21.0,98.044,,,99.446,93.508,102.408,,,80.195,101.541,86.587,127.224,71.043,101.618,80.105,104.252,61.879,,,97.482,,102.712,
木幡育也,111.764,91.776,,88.512,107.565,64.685,86.324,101.057,,,160.812,83.684,84.448,62.921,62.076,21.0,451.833,66.966,98.135,147.145,63.875,90.654,117.264,21.0,21.0
木幡巧也,101.299,102.448,,104.436,100.905,70.146,106.457,98.0,21.0,152.26,106.689,101.552,107.773,95.093,21.0,,21.0,,95.522,93.557,100.109,106.378,96.037,127.861,77.395
木幡初也,107.457,90.363,,97.899,92.424,134.571,82.154,102.25,21.0,21.0,90.85,94.945,75.65,109.846,38.524,93.701,45.326,117.25,132.262,73.898,98.176,106.8,85.724,21.0,152.445
斎藤新,94.69,100.952,,100.213,94.366,104.744,99.1,97.561,113.549,70.265,102.558,93.808,85.775,94.744,108.516,89.147,104.337,92.781,108.38,106.47,97.226,102.461,96.274,87.043,99.96
酒井学,96.305,96.052,,97.362,89.249,162.494,92.601,97.418,,207.375,47.36,92.944,85.023,27.097,86.41,98.63,95.874,78.994,85.179,86.86,101.292,85.925,104.706,91.824,100.83
坂井瑠星,97.455,102.428,,100.78,98.781,104.174,102.198,98.796,84.57,110.04,62.258,89.866,105.525,88.491,105.803,94.82,101.342,95.278,95.022,105.586,89.706,104.969,99.16,95.583,101.959
坂口智康,21.0,,116.059,,,113.958,110.372,118.602,,,114.874,126.387,44.297,180.478,110.452,82.574,171.37,21.0,,,,120.416,,77.867,
佐々木大,100.823,96.946,,103.65,92.894,89.739,98.151,99.103,90.793,111.426,94.738,92.092,93.363,101.682,104.711,71.51,102.095,106.909,108.793,102.995,104.0,99.05,99.938,80.678,66.522
佐藤翔馬,119.853,100.271,,115.479,73.322,21.0,95.522,117.584,21.0,,123.839,73.258,76.554,146.637,806.085,,21.0,126.134,145.017,67.896,80.389,107.93,107.368,21.0,21.0
