,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,110.261,97.468,,103.617,103.923,174.148,102.958,104.109,66.189,103.166,104.998,91.634,161.007,91.744,108.199,78.149,81.32,107.963,149.852,81.044,107.446,101.236,102.623,75.887,876.212
五十嵐雄,70.615,49.495,104.736,21.0,21.0,101.742,101.804,101.305,,,113.172,102.792,103.276,115.918,88.434,118.61,118.49,77.913,54.0,21.0,21.0,101.622,21.0,102.78,
池添謙一,99.975,99.145,,95.873,103.584,97.946,99.691,99.783,109.131,75.974,101.935,64.844,89.775,98.709,116.876,104.694,101.377,72.724,105.795,97.104,93.137,104.493,101.149,94.601,81.224
石神深一,63.001,160.499,85.003,108.873,21.0,83.449,88.555,81.304,,,98.338,93.66,87.886,69.928,96.813,67.996,98.868,71.844,48.516,236.625,,83.903,70.038,82.752,
石神深道,87.483,92.428,,95.03,80.691,35.308,79.683,99.263,,21.0,81.302,72.94,86.403,117.534,84.001,,,125.366,104.318,137.341,93.254,106.95,65.353,21.0,
石川裕紀,102.41,100.893,,100.523,100.535,135.332,94.555,109.09,29.847,84.687,102.053,83.688,98.498,108.547,60.163,120.841,147.474,143.0,91.986,89.091,97.825,100.926,106.137,98.464,86.52
石田拓郎,77.294,95.993,,91.513,92.055,93.5,95.321,87.571,,21.0,89.977,106.716,77.915,68.638,38.69,,,112.973,37.224,100.615,69.025,106.699,79.024,21.0,
石橋脩,94.605,107.601,,105.918,95.724,100.614,96.919,105.625,21.0,,108.997,102.995,87.858,106.396,51.155,,44.868,,77.2,104.395,98.407,99.441,103.804,85.605,103.297
泉谷楓真,109.531,98.571,,101.584,105.456,155.634,82.975,112.2,109.331,49.225,129.677,89.048,25.79,21.0,91.333,80.385,86.663,127.987,109.511,113.459,53.224,89.913,113.951,116.042,39.16
伊藤工真,55.366,113.873,21.0,111.717,84.649,31.135,89.644,115.899,39.171,442.771,60.521,85.638,78.133,109.623,113.692,,83.319,,48.146,145.173,21.0,110.267,95.438,583.188,100.619
井上敏樹,198.485,70.091,85.363,116.85,72.429,82.929,79.677,73.906,21.0,21.0,57.447,96.859,113.143,80.431,21.0,85.545,92.887,85.171,21.0,21.0,21.0,65.255,21.0,98.779,1487.5
今村聖奈,85.473,94.214,,95.369,87.308,62.922,100.914,86.989,108.297,70.875,151.767,89.83,97.496,118.909,103.235,96.854,68.249,92.788,93.738,77.945,95.73,76.927,100.714,171.695,141.947
岩田望来,106.27,97.152,,105.274,98.99,88.593,96.592,103.396,152.932,,84.029,100.402,91.977,112.57,99.221,102.903,102.922,106.433,100.761,99.105,109.877,100.981,100.425,96.956,104.317
岩田康誠,98.338,99.731,,93.798,104.381,93.077,96.369,100.534,113.546,87.876,79.176,79.495,99.414,117.255,100.219,94.774,112.1,84.273,85.147,102.282,102.95,92.982,98.881,107.558,108.607
岩部純二,72.343,72.864,,69.733,77.71,21.0,52.71,90.887,,,52.162,36.678,59.298,96.764,136.942,,,21.0,47.615,80.716,62.138,67.526,70.964,21.0,21.0
上里直汰,94.133,111.877,,78.407,137.996,21.0,112.925,100.834,,59.621,110.709,120.644,98.778,104.869,93.809,,,,80.574,138.692,129.935,103.729,106.126,21.0,
上野翔,127.761,128.702,103.965,21.0,21.0,105.515,115.113,99.601,,,84.355,113.601,110.562,119.142,134.215,68.298,76.193,111.227,21.0,21.0,,106.239,21.0,103.01,
内田博幸,91.897,100.02,,106.485,80.288,143.758,91.594,103.726,,44.298,80.825,76.24,94.586,111.097,121.978,82.598,61.816,146.574,95.754,106.18,89.571,99.524,94.864,110.347,103.809
江田照男,103.361,77.731,,81.227,95.077,142.209,87.321,90.018,249.338,,83.171,85.933,81.37,89.289,128.629,21.0,21.0,21.0,126.064,61.986,68.633,109.626,74.846,129.781,56.152
江田勇亮,104.625,21.0,97.164,21.0,,99.108,101.059,97.214,,,56.373,77.572,100.038,104.111,140.752,21.0,21.0,122.345,135.286,,,90.061,21.0,121.978,
遠藤汰月,70.668,68.295,,60.481,85.888,21.0,57.234,79.992,,,121.132,75.909,41.345,50.008,,,,,21.0,43.256,56.936,61.047,81.567,,
大江原圭,155.597,21.0,99.18,21.0,21.0,100.924,69.032,113.682,,,89.941,57.189,70.502,111.838,82.357,127.44,131.313,109.794,221.578,21.0,,105.065,21.0,89.32,
大久保友,39.614,80.587,,72.194,57.284,21.0,99.158,48.983,86.027,38.076,160.052,113.273,,21.0,98.894,49.761,52.221,177.867,60.735,79.678,41.25,54.813,68.373,,
大野拓弥,103.659,96.962,,102.651,97.526,107.042,102.983,98.935,90.721,114.852,100.945,97.506,103.196,96.6,205.606,257.602,85.178,159.413,90.875,106.437,88.387,98.97,100.497,129.587,79.887
岡田祥嗣,123.285,44.208,,60.284,174.158,132.429,58.677,147.953,,,21.0,189.095,21.0,21.0,35.196,90.293,796.296,42.902,21.0,38.419,62.948,115.462,42.403,21.0,
荻野極,101.943,106.304,,112.746,95.523,92.07,109.247,97.329,278.778,21.0,96.594,106.789,92.781,124.059,119.111,114.011,83.235,93.265,101.527,98.721,105.548,99.896,105.397,102.661,93.851
荻野琢真,122.408,90.504,,121.845,88.23,27.022,116.802,102.537,73.846,131.972,94.882,108.09,127.468,21.0,67.409,113.527,73.996,134.451,107.836,98.492,131.79,117.545,96.497,21.0,21.0
小沢大仁,92.919,93.524,,76.741,105.454,118.585,76.548,107.427,94.305,97.666,106.108,70.63,98.654,21.0,74.171,114.32,83.469,112.336,106.215,95.408,79.424,99.928,93.215,60.829,59.764
小野寺祐,76.46,21.0,95.658,21.0,21.0,95.147,89.977,95.579,,,111.912,63.714,112.657,86.496,92.535,127.297,83.723,92.453,116.946,21.0,21.0,91.901,21.0,104.172,21.0
加藤祥太,90.303,110.29,,104.553,87.076,21.0,101.756,100.305,100.091,71.625,149.086,127.909,21.0,208.8,97.39,60.162,85.688,67.048,58.355,150.731,121.86,112.163,77.796,37.017,21.0
金子光希,49.366,21.0,119.5,,,115.309,115.926,112.743,,,90.971,169.403,39.9,52.978,359.462,21.0,105.99,202.395,21.0,,,95.193,,149.278,
亀田温心,102.607,88.114,,100.523,96.069,42.624,84.341,104.628,74.437,55.528,106.736,77.074,50.632,106.933,85.243,123.814,124.515,101.988,97.652,87.981,156.477,89.498,98.228,81.248,24.834
川須栄彦,83.786,90.619,,89.766,86.734,21.0,96.966,84.425,,,76.801,92.699,21.0,21.0,99.074,84.731,118.247,67.251,68.604,94.876,55.994,95.556,85.552,122.356,36.172
川田将雅,101.196,100.592,,99.19,103.861,85.089,104.877,98.815,105.868,21.0,,112.358,105.189,89.1,104.7,99.321,101.335,102.112,97.136,101.367,90.848,98.548,104.712,95.987,103.4
川端海翼,77.584,103.354,,105.508,90.754,86.133,118.188,84.403,95.887,80.458,58.587,85.434,1025.667,21.0,130.634,79.086,50.403,99.081,149.675,132.769,112.298,79.367,115.915,21.0,21.0
河原田菜,75.871,92.232,,85.17,86.82,21.0,105.497,71.728,,,76.875,105.179,,21.0,102.449,79.256,67.288,63.333,63.715,99.71,97.735,85.353,79.816,99.955,21.0
川又賢治,100.809,93.265,,103.024,74.436,114.064,103.504,93.753,73.514,97.276,82.038,106.89,74.571,112.041,97.233,89.032,102.776,58.973,130.068,107.886,71.155,99.189,90.826,101.287,78.99
菊沢一樹,109.385,104.722,,109.611,102.391,120.651,112.746,102.293,135.909,65.954,103.287,117.232,109.026,97.346,195.893,21.0,21.0,112.854,115.652,106.531,96.768,111.425,103.549,122.042,49.846
北村宏司,103.935,99.503,,105.002,102.014,76.889,105.482,95.412,21.0,,57.187,91.178,106.42,95.666,85.304,41.168,206.011,,99.189,94.096,125.655,89.404,100.759,165.934,72.205
北村友一,99.38,99.391,,96.66,101.352,96.863,90.47,102.498,108.332,108.453,84.478,83.313,64.362,82.848,95.673,96.238,111.93,114.746,98.425,91.99,102.452,104.971,97.792,93.017,83.73
城戸義政,103.088,103.634,,88.5,111.714,21.0,113.702,93.214,21.0,143.85,113.836,143.444,21.0,21.0,113.228,80.259,75.178,217.2,104.598,111.106,197.636,85.036,105.143,26.461,21.0
草野太郎,65.925,50.677,98.734,21.0,21.0,97.267,96.622,97.886,,,114.636,95.29,113.301,83.898,130.746,201.29,73.078,99.603,73.366,76.645,21.0,93.816,21.0,99.843,
黒岩悠,70.407,46.757,90.363,35.583,33.973,89.865,73.175,89.462,,,87.708,75.033,56.892,180.8,61.187,39.094,83.702,85.897,44.846,21.0,21.0,82.75,43.492,101.345,
国分恭介,118.841,115.547,,123.059,113.898,54.43,108.021,124.6,45.217,97.583,170.285,104.118,29.416,129.828,109.916,104.865,118.755,103.002,126.679,113.586,108.943,122.396,116.973,95.423,231.576
国分優作,94.004,101.191,,105.698,92.715,68.826,75.383,112.746,21.0,21.0,69.52,88.471,21.0,21.0,72.875,121.088,135.545,101.563,131.677,103.9,141.309,94.86,95.702,120.243,100.196
小坂忠士,124.118,59.981,141.035,21.0,21.0,139.439,139.594,125.185,,,72.186,98.403,53.278,120.906,555.045,98.21,127.12,160.911,80.883,21.0,,143.828,21.0,129.216,
小崎綾也,103.402,100.956,,96.782,109.767,52.117,105.463,98.877,37.865,70.333,122.89,81.552,264.482,74.469,102.981,78.385,104.983,111.427,105.945,86.641,99.94,95.866,102.022,122.925,136.263
小林脩斗,82.589,111.554,,103.536,98.064,121.929,99.323,104.582,113.511,97.54,78.541,96.796,80.956,116.644,113.995,21.0,21.0,100.167,100.079,104.232,94.466,89.593,114.006,21.0,21.0
小林美駒,97.598,96.486,,95.108,101.675,21.0,89.498,99.546,108.595,82.073,101.65,100.728,80.52,85.396,32.776,246.191,,106.81,119.278,115.06,80.902,96.348,97.856,21.0,21.0
小林凌大,86.123,100.478,,92.202,103.011,28.764,77.462,98.781,67.952,98.973,61.643,76.797,72.791,109.367,43.632,,21.0,97.648,60.144,85.82,85.315,107.076,89.48,86.275,
小牧加矢,108.142,21.0,98.335,,,99.735,93.82,102.689,,,80.41,101.913,86.779,127.517,71.276,101.854,80.372,104.538,61.879,,,97.773,,102.997,
木幡育也,111.823,91.852,,88.572,107.641,64.685,86.367,101.156,,,160.849,83.684,84.485,63.032,62.269,21.0,451.833,66.966,98.135,147.199,63.875,90.73,117.328,21.0,21.0
木幡巧也,101.374,102.57,,104.545,101.004,70.245,106.551,98.116,21.0,152.412,106.84,101.63,107.87,95.199,21.0,,21.0,,95.593,93.7,100.175,106.506,96.128,128.036,77.395
木幡初也,107.544,90.444,,98.012,92.47,134.571,82.216,102.353,21.0,21.0,91.014,94.993,75.72,109.945,38.524,93.701,45.388,117.25,132.262,73.96,98.259,106.913,85.795,21.0,152.445
斎藤新,94.799,101.1,,100.365,94.471,104.81,99.227,97.687,113.676,70.36,102.715,93.948,85.915,94.898,108.618,89.264,104.384,92.889,108.53,106.623,97.327,102.63,96.385,87.15,100.017
酒井学,96.365,96.142,,97.438,89.335,162.494,92.695,97.492,,207.375,47.442,93.046,85.057,27.097,86.499,98.731,95.925,79.045,85.282,86.931,101.37,86.035,104.773,91.869,100.83
坂井瑠星,97.691,102.686,,101.013,99.041,104.408,102.446,99.044,84.729,110.159,62.353,90.1,105.736,88.689,106.076,95.064,101.595,95.559,95.261,105.858,89.943,105.237,99.407,95.784,102.108
坂口智康,21.0,,116.187,,,114.083,110.573,118.642,,,115.014,126.693,44.297,180.478,110.452,82.574,171.37,21.0,,,,120.542,,78.026,
佐々木大,101.012,97.105,,103.825,93.058,89.946,98.318,99.284,90.96,111.645,94.919,92.292,93.463,101.841,104.908,71.718,102.223,107.117,108.971,103.159,104.191,99.238,100.107,80.793,66.646
佐藤翔馬,119.877,100.317,,115.526,73.322,21.0,95.602,117.584,21.0,,123.839,73.385,76.554,146.637,806.085,,21.0,126.134,145.017,67.896,80.389,107.978,107.404,21.0,21.0
鮫島克駿,98.991,104.006,,97.993,104.314,103.739,98.146,102.231,109.397,101.87,151.249,73.227,91.967,99.723,102.734,100.677,102.408,92.691,93.94,108.562,117.189,101.474,97.829,109.539,103.653
鮫島良太,97.586,128.739,,119.739,123.071,23.603,101.269,130.403,,,158.594,68.613,21.0,208.165,109.735,105.701,138.188,119.278,143.583,116.131,71.96,100.123,125.857,163.905,21.0
柴田大知,90.6,100.029,,93.949,92.738,155.21,84.568,107.135,21.0,153.6,104.274,88.395,80.039,113.792,87.455,21.0,115.977,21.0,82.766,95.074,79.544,102.415,91.292,59.831,59.298
柴田裕一,81.804,93.95,,103.785,75.223,78.345,102.675,82.657,94.855,57.246,54.402,112.642,139.151,21.0,95.291,128.966,109.845,67.248,102.703,102.319,79.678,84.584,96.193,21.0,118.561
柴田善臣,83.959,109.487,,98.718,92.82,48.551,92.277,99.188,87.602,21.0,73.235,109.898,97.536,104.135,50.1,51.387,442.887,21.0,53.064,87.284,101.823,116.139,84.411,118.509,73.431
嶋田純次,113.496,98.423,,113.103,91.984,74.125,117.165,97.377,63.348,179.006,97.356,110.151,141.945,98.498,45.351,21.0,21.0,21.0,176.431,127.85,144.593,96.733,105.262,115.876,63.419
菅原隆一,48.574,62.751,,75.106,35.327,21.0,78.803,37.596,21.0,146.641,21.0,99.059,80.211,21.0,21.0,21.0,91.0,21.0,21.0,86.024,165.102,75.093,26.86,,21.0
菅原明良,100.001,98.273,,103.918,92.878,94.658,103.579,94.106,46.455,,100.087,102.117,104.822,90.33,105.4,90.514,195.851,112.813,99.638,100.418,93.336,100.496,98.446,92.025,116.565
杉原誠人,104.539,93.377,,100.594,98.372,72.505,97.915,101.004,74.445,141.781,99.39,103.387,90.245,104.373,103.448,21.0,21.0,86.072,104.725,110.466,93.753,99.072,96.988,89.839,169.922
高倉稜,96.422,102.25,,93.315,101.562,127.716,82.52,103.746,100.783,21.0,47.478,71.404,39.876,44.961,88.889,87.139,129.954,76.726,124.476,82.565,66.826,101.321,103.489,63.696,62.236
高杉吏麒,102.0,115.74,,116.954,102.299,95.297,107.731,110.411,100.397,96.063,104.824,82.928,115.182,,111.091,113.7,73.168,122.635,136.688,113.139,113.317,112.093,109.549,69.404,36.222
高田潤,95.141,46.758,90.422,21.0,47.435,91.727,76.459,90.283,,,131.65,81.262,138.055,58.119,33.138,92.937,114.238,98.843,146.851,21.0,21.0,79.98,21.0,98.996,21.0
田口貫太,99.042,111.125,,108.952,103.56,101.48,104.453,107.947,,,73.208,122.769,95.767,44.846,113.295,115.051,95.203,101.267,91.149,106.817,89.129,106.286,112.127,104.369,45.156
武豊,92.539,97.821,,93.993,95.787,95.271,95.561,94.67,92.905,98.073,40.375,92.767,95.425,83.08,96.547,92.496,93.421,117.997,94.791,93.345,89.129,94.147,93.815,110.224,102.629
太宰啓介,104.704,112.435,,110.02,108.441,146.538,107.453,110.501,,,91.226,132.149,21.0,21.0,103.071,113.117,104.78,117.951,110.304,102.833,178.755,99.752,110.11,123.879,41.036
田辺裕信,107.371,95.408,,100.246,98.422,126.224,103.914,97.639,134.563,,109.669,99.614,103.987,92.505,189.081,120.366,76.022,21.0,113.039,85.472,94.74,96.549,108.802,82.602,88.151
