,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,110.312,97.581,,103.706,104.017,174.165,103.044,104.201,66.242,103.179,105.061,91.726,161.035,91.781,108.241,78.266,81.493,108.029,149.948,81.158,107.525,101.335,102.704,76.022,876.212
五十嵐雄,70.668,49.646,104.972,21.0,21.0,101.967,102.063,101.51,,,113.544,103.021,103.457,116.136,88.755,118.8,118.602,78.023,54.0,21.0,21.0,101.862,21.0,102.961,
池添謙一,100.171,99.334,,96.035,103.801,98.176,99.828,99.99,109.365,76.161,102.131,64.937,89.871,98.912,117.041,104.886,101.599,72.856,105.964,97.296,93.34,104.733,101.338,94.703,81.321
石神深一,63.161,160.499,85.21,109.102,21.0,83.649,88.724,81.527,,,98.619,93.857,88.013,70.131,97.024,68.197,99.174,72.012,48.661,236.625,,84.123,70.173,82.917,
石神深道,87.541,92.517,,95.119,80.758,35.308,79.746,99.35,,21.0,81.349,73.002,86.403,117.662,84.094,,,125.466,104.318,137.469,93.298,107.027,65.433,21.0,
石川裕紀,102.563,101.026,,100.661,100.693,135.39,94.683,109.249,29.894,84.687,102.186,83.813,98.628,108.716,60.202,120.933,147.533,143.0,92.161,89.212,97.96,101.11,106.252,98.623,86.622
石田拓郎,77.32,96.027,,91.547,92.082,93.5,95.342,87.606,,21.0,89.995,106.73,77.951,68.682,38.69,,,113.032,37.224,100.652,69.071,106.708,79.068,21.0,
石橋脩,94.715,107.747,,106.055,95.848,100.706,97.019,105.786,21.0,,109.142,103.118,87.949,106.566,51.184,,44.939,,77.304,104.544,98.534,99.58,103.932,85.726,103.391
泉谷楓真,109.655,98.733,,101.738,105.586,155.72,83.111,112.342,109.493,49.26,129.848,89.192,25.815,21.0,91.464,80.555,86.753,128.16,109.611,113.628,53.234,90.044,114.107,116.159,39.16
伊藤工真,55.403,113.987,21.0,111.835,84.711,31.189,89.714,116.024,39.268,443.0,60.621,85.689,78.21,109.711,113.7,,83.649,,48.229,145.395,21.0,110.381,95.507,583.188,100.619
井上敏樹,198.485,70.091,85.452,116.85,72.429,83.011,79.751,73.932,21.0,21.0,57.447,96.941,113.143,80.431,21.0,85.545,92.887,85.29,21.0,21.0,21.0,65.334,21.0,98.779,1487.5
今村聖奈,85.553,94.364,,95.503,87.426,62.995,101.035,87.119,108.297,71.139,151.878,89.915,97.496,118.99,103.421,96.983,68.347,92.849,93.816,78.09,95.85,77.059,100.84,171.724,141.975
岩田望来,106.507,97.361,,105.492,99.221,88.806,96.797,103.627,153.306,,84.271,100.598,92.152,112.713,99.437,103.132,103.175,106.546,100.98,99.317,110.125,101.216,100.653,97.125,104.421
岩田康誠,98.509,99.889,,93.926,104.575,93.313,96.503,100.714,113.638,88.046,79.382,79.566,99.516,117.422,100.385,94.943,112.32,84.422,85.302,102.436,103.096,93.165,99.044,107.742,108.681
