,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,110.059,97.393,,103.533,103.756,174.165,102.8,104.014,66.09,103.179,105.061,91.447,161.035,91.611,107.998,78.113,81.493,107.735,149.634,81.113,106.742,101.207,102.537,76.022,855.606
五十嵐雄,70.668,49.646,104.924,21.0,21.0,101.922,102.063,101.429,,,113.544,103.021,103.457,116.136,88.755,118.8,117.862,78.023,54.0,21.0,21.0,101.803,21.0,102.961,
池添謙一,100.141,99.291,,95.993,103.768,98.176,99.82,99.948,109.334,76.161,102.131,64.937,89.871,98.912,117.032,104.836,101.548,72.856,105.964,97.214,93.208,104.733,101.305,94.514,81.321
石神深一,63.161,160.499,85.21,109.102,21.0,83.649,88.724,81.527,,,98.619,93.857,88.013,70.131,97.024,68.197,99.174,72.012,48.661,236.625,,84.123,70.173,82.917,
石神深道,87.484,92.256,,94.866,80.694,35.308,79.746,99.054,,21.0,81.349,73.002,86.403,116.888,84.094,,,125.466,104.318,136.713,92.803,106.8,65.433,21.0,
石川裕紀,102.309,100.857,,100.468,100.575,133.703,94.522,108.983,29.894,84.687,101.96,83.773,98.432,108.455,60.202,120.933,147.533,143.0,92.161,89.029,97.828,100.949,105.951,98.378,86.536
石田拓郎,77.32,95.398,,91.181,91.591,93.5,94.724,87.361,,21.0,89.526,105.803,77.951,68.549,38.69,,,113.032,37.224,100.358,68.597,106.024,78.96,21.0,
石橋脩,94.627,107.682,,105.956,95.79,100.706,96.959,105.696,21.0,,108.915,103.096,87.867,106.521,51.184,,44.939,,77.304,104.457,98.534,99.455,103.906,85.726,102.884
泉谷楓真,109.361,98.663,,101.694,105.252,155.72,83.041,112.113,109.214,49.034,129.636,89.192,25.815,21.0,91.345,80.555,86.714,127.8,109.491,113.628,53.11,89.911,113.911,116.159,39.16
伊藤工真,55.25,113.829,21.0,111.529,84.711,31.189,89.714,115.689,39.268,443.0,60.621,85.689,78.21,109.267,113.7,,83.649,,48.229,145.395,21.0,109.822,95.507,567.125,100.619
