,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
水沼元輝,80.854,89.62,97.299,94.907,78.478,83.021,75.378,98.89,,191.385,71.604,72.089,50.139,41.953,45.597,311.0,299.75,206.11,38.329,121.636,50.282,108.017,71.193,21.0,
蓑島靖典,96.6,21.0,83.25,21.0,,98.006,159.203,78.699,,,75.611,170.118,109.809,60.203,211.0,21.0,21.0,86.384,21.0,21.0,21.0,75.312,,147.404,
幸英明,92.164,96.994,,90.904,97.492,113.353,93.436,94.8,,21.0,111.036,98.813,49.677,77.861,96.952,92.672,90.824,93.564,92.25,96.727,92.942,95.075,93.433,94.953,110.229
武藤雅,78.458,103.879,,96.472,90.91,77.003,89.415,97.05,89.282,65.352,89.441,89.254,94.544,103.721,35.458,71.629,21.0,131.698,50.429,119.447,94.763,101.348,86.25,101.058,40.43
森一馬,82.404,98.348,99.452,29.736,38.472,98.497,82.798,103.105,,,71.414,73.704,44.741,129.666,114.625,84.756,84.085,106.913,41.334,72.45,21.0,103.927,30.465,90.758,
森田誠也,100.354,121.25,,104.884,133.439,21.0,85.599,118.5,136.581,126.854,21.0,113.236,,21.0,69.058,92.209,150.104,,84.016,119.683,21.0,90.96,143.836,,
横山和生,99.769,101.728,,97.84,104.055,102.186,94.624,104.126,104.498,96.739,112.968,34.362,96.825,104.655,90.541,118.598,101.743,111.851,95.794,99.679,107.214,98.889,99.731,118.238,93.118
横山武史,98.547,90.979,,95.511,94.318,97.112,91.397,97.049,95.847,105.548,85.585,84.267,90.868,96.153,123.18,72.083,90.36,178.369,99.52,91.706,105.09,97.611,90.83,82.198,105.318
横山典弘,93.609,106.33,,94.64,104.258,77.399,102.679,97.172,109.919,,50.927,147.065,102.296,102.746,97.858,76.43,109.227,107.069,87.131,108.354,97.221,105.934,93.645,93.91,102.806
横山琉人,99.651,103.635,,96.172,109.286,78.762,105.733,101.385,132.756,74.698,102.392,104.799,104.356,98.299,73.994,21.0,236.438,113.81,95.816,106.334,114.429,94.846,107.682,74.179,125.894
吉田隼人,92.277,97.791,,82.564,103.603,108.297,95.758,93.449,86.721,97.961,112.833,99.127,160.69,95.238,90.959,81.216,102.669,87.091,83.446,88.684,62.035,98.732,97.624,77.365,82.123
吉田豊,95.275,100.826,,98.862,100.028,85.458,99.583,97.17,89.684,384.333,94.881,94.053,99.596,98.191,118.352,21.0,21.0,21.0,110.957,99.53,97.813,96.118,99.375,109.466,104.297
吉村誠之,96.67,97.298,,100.498,95.443,68.217,95.984,98.39,,,163.736,96.346,97.857,163.665,95.864,101.546,85.998,106.328,95.968,91.051,91.016,103.917,92.176,97.768,190.372
ルメール,102.73,99.511,,100.744,101.17,111.61,104.948,97.482,99.227,59.23,92.743,107.487,106.008,98.015,86.977,98.095,101.11,,106.245,102.17,104.254,100.881,102.62,89.547,100.278
鷲頭虎太,107.416,118.597,99.005,113.686,117.137,71.166,130.879,105.276,76.937,101.013,110.675,146.17,239.901,115.5,110.371,129.627,115.273,100.382,129.888,133.404,111.2,105.206,119.094,105.743,21.0
和田陽希,89.844,114.248,,118.848,81.711,236.631,109.069,104.27,130.726,58.217,56.725,101.075,,,122.927,160.553,96.253,,120.588,113.585,21.0,102.271,111.427,,
和田竜二,100.155,88.592,,98.509,90.064,105.68,80.349,96.913,66.521,67.795,257.914,94.126,59.71,78.092,80.364,100.178,89.866,105.428,95.363,83.409,93.101,99.393,94.409,74.0,58.118
