,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,109.957,97.166,,103.356,103.569,174.132,102.627,103.829,65.985,103.154,104.934,91.262,160.978,91.536,107.913,77.879,81.147,107.602,149.443,80.885,106.585,101.009,102.374,75.753,855.606
五十嵐雄,70.563,49.345,104.453,21.0,21.0,101.472,101.546,101.02,,,112.8,102.564,103.095,115.7,88.112,118.419,117.637,77.803,54.0,21.0,21.0,101.323,21.0,102.599,
池添謙一,99.748,98.912,,95.67,103.335,97.715,99.547,99.534,108.864,75.786,101.738,64.751,89.678,98.505,116.701,104.451,101.104,72.592,105.625,96.831,92.803,104.252,100.927,94.31,81.127
石神深一,62.84,160.499,84.795,108.644,21.0,83.248,88.387,81.081,,,98.058,93.464,87.759,69.725,96.603,67.796,98.561,71.676,48.37,236.625,,83.683,69.902,82.588,
石神深道,87.367,92.078,,94.689,80.56,35.308,79.62,98.88,,21.0,81.255,72.878,86.403,116.631,83.908,,,125.267,104.318,136.457,92.715,106.647,65.272,21.0,
石川裕紀,102.005,100.592,,100.193,100.26,133.588,94.267,108.665,29.801,84.687,101.694,83.522,98.173,108.118,60.123,120.75,147.416,143.0,91.811,88.789,97.558,100.581,105.72,98.061,86.331
石田拓郎,77.267,95.33,,91.111,91.536,93.5,94.683,87.289,,21.0,89.491,105.775,77.88,68.462,38.69,,,112.913,37.224,100.284,68.505,106.006,78.871,21.0,
石橋脩,94.406,107.389,,105.683,95.542,100.523,96.76,105.375,21.0,,108.625,102.848,87.686,106.182,51.127,,44.798,,77.095,104.159,98.281,99.177,103.65,85.484,102.695
泉谷楓真,109.113,98.34,,101.386,104.992,155.548,82.769,111.829,108.891,48.964,129.295,88.905,25.764,21.0,91.083,80.215,86.535,127.452,109.292,113.29,53.09,89.649,113.599,115.925,39.16
伊藤工真,55.175,113.602,21.0,111.292,84.588,31.082,89.574,115.441,39.075,442.543,60.421,85.587,78.057,109.091,113.683,,82.989,,48.062,144.951,21.0,109.595,95.369,567.125,100.619
井上敏樹,195.237,70.091,84.759,114.111,72.429,82.4,79.603,73.117,21.0,21.0,56.406,96.778,113.143,80.431,21.0,85.545,90.833,83.863,21.0,21.0,21.0,64.95,21.0,98.036,1445.6
今村聖奈,85.321,94.064,,95.235,87.106,62.849,100.743,86.847,108.297,70.611,151.655,89.679,97.496,118.828,103.05,96.724,68.122,92.728,93.386,77.799,95.61,76.737,100.572,171.666,141.918
岩田望来,105.98,96.919,,104.987,98.753,88.379,96.343,103.129,151.884,,83.788,99.929,91.774,112.427,99.004,102.639,102.649,106.32,100.52,98.894,109.473,100.733,100.16,96.787,104.212
岩田康誠,98.167,99.471,,93.568,104.188,92.841,96.224,100.285,113.453,87.705,78.97,79.393,99.312,117.088,100.053,94.605,111.522,84.123,84.992,101.799,102.805,92.786,98.619,107.373,108.533
岩部純二,72.305,72.805,,69.661,77.71,21.0,52.633,90.852,,,52.138,36.628,59.219,96.733,136.942,,,21.0,47.582,80.61,62.138,67.468,70.894,21.0,21.0
上里直汰,93.551,111.239,,78.374,136.74,21.0,112.85,99.819,,59.621,109.199,120.534,98.778,103.962,93.809,,,,80.574,137.824,126.822,102.919,105.981,21.0,
