,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山稔樹,109.704,96.978,,103.183,103.308,174.132,102.382,103.642,65.833,103.154,104.934,90.983,160.978,91.365,107.67,77.725,81.147,107.308,149.129,80.84,105.802,100.881,102.207,75.753,835.0
五十嵐雄,70.563,49.345,104.406,21.0,21.0,101.427,101.546,100.939,,,112.8,102.564,103.095,115.7,88.112,118.419,116.897,77.803,54.0,21.0,21.0,101.264,21.0,102.599,
池添謙一,99.718,98.869,,95.628,103.302,97.715,99.539,99.492,108.833,75.786,101.738,64.751,89.678,98.505,116.692,104.401,101.053,72.592,105.625,96.748,92.671,104.252,100.894,94.121,81.127
石神深一,62.84,160.499,84.795,108.644,21.0,83.248,88.387,81.081,,,98.058,93.464,87.759,69.725,96.603,67.796,98.561,71.676,48.37,236.625,,83.683,69.902,82.588,
石神深道,87.311,91.816,,94.436,80.496,35.308,79.62,98.585,,21.0,81.255,72.878,86.403,115.857,83.908,,,125.267,104.318,135.701,92.219,106.42,65.272,21.0,
石川裕紀,101.752,100.423,,100.001,100.142,131.901,94.107,108.398,29.801,84.687,101.468,83.482,97.978,107.858,60.123,120.75,147.416,143.0,91.811,88.607,97.425,100.42,105.419,97.816,86.245
石田拓郎,77.267,94.701,,90.745,91.045,93.5,94.065,87.044,,21.0,89.021,104.848,77.88,68.33,38.69,,,112.913,37.224,99.99,68.031,105.322,78.762,21.0,
石橋脩,94.317,107.323,,105.584,95.484,100.523,96.7,105.285,21.0,,108.399,102.825,87.605,106.138,51.127,,44.798,,77.095,104.072,98.281,99.052,103.624,85.484,102.187
泉谷楓真,108.819,98.27,,101.342,104.658,155.548,82.699,111.601,108.612,48.738,129.083,88.905,25.764,21.0,90.963,80.215,86.496,127.092,109.172,113.29,52.967,89.516,113.403,115.925,39.16
伊藤工真,55.022,113.445,21.0,110.985,84.588,31.082,89.574,115.106,39.075,442.543,60.421,85.587,78.057,108.647,113.683,,82.989,,48.062,144.951,21.0,109.037,95.369,551.062,100.619
井上敏樹,191.989,70.091,84.245,111.373,72.429,81.953,79.603,72.354,21.0,21.0,55.365,96.778,113.143,80.431,21.0,85.545,88.779,82.675,21.0,21.0,21.0,64.723,21.0,97.293,1403.7
今村聖奈,85.25,94.064,,95.235,87.022,62.849,100.693,86.835,108.297,70.611,151.655,89.613,97.496,118.828,103.05,96.724,68.093,92.728,93.111,77.799,95.61,76.679,100.556,171.666,141.918
岩田望来,105.928,96.895,,104.919,98.747,88.379,96.299,103.094,151.211,,83.788,99.653,91.748,112.427,99.004,102.605,102.63,106.32,100.498,98.894,109.315,100.721,100.122,96.787,104.212
岩田康誠,98.167,99.369,,93.465,104.188,92.841,96.211,100.215,113.453,87.705,78.97,79.361,99.312,117.088,100.053,94.605,111.165,84.123,84.992,101.47,102.805,92.773,98.52,107.373,108.533
岩部純二,72.305,72.805,,69.661,77.71,21.0,52.633,90.852,,,52.138,36.628,59.219,96.733,136.942,,,21.0,47.582,80.61,62.138,67.468,70.894,21.0,21.0
上里直汰,93.115,110.65,,78.374,135.619,21.0,112.85,98.89,,59.621,107.837,120.534,98.778,103.117,93.809,,,,80.574,137.017,123.71,102.143,105.981,21.0,
上野翔,127.682,128.502,103.538,21.0,21.0,105.102,114.504,99.35,,,84.17,112.841,110.268,118.954,133.982,68.184,76.04,110.81,21.0,21.0,,105.727,21.0,102.866,
内田博幸,91.642,99.51,,105.919,80.141,142.989,91.437,103.017,,44.175,80.478,76.166,94.412,110.282,121.952,82.499,60.656,146.526,95.488,105.258,89.304,99.017,94.609,109.069,103.384
江田照男,102.724,77.581,,81.085,94.428,142.209,86.992,89.682,242.977,,83.107,85.885,80.873,88.882,128.629,21.0,21.0,21.0,125.301,61.968,68.566,108.885,74.82,129.781,56.152
江田勇亮,102.608,21.0,95.917,21.0,,97.794,100.988,95.232,,,56.248,77.501,100.038,101.968,140.457,21.0,21.0,119.407,135.286,,,88.526,21.0,121.447,
遠藤汰月,70.531,67.548,,60.371,84.672,21.0,57.172,79.11,,,119.101,75.774,41.345,49.963,,,,,21.0,43.2,56.746,60.258,81.393,,
大江原圭,155.427,21.0,98.449,21.0,21.0,100.233,68.91,112.797,,,89.651,57.088,70.489,110.563,82.114,127.092,131.248,107.984,221.496,21.0,,104.167,21.0,89.206,
大久保友,39.59,79.723,,72.124,55.796,21.0,99.064,48.291,86.027,38.076,160.027,112.976,,21.0,98.894,49.761,51.193,168.904,60.735,79.678,41.143,53.783,68.311,,
大野拓弥,103.302,96.676,,102.478,97.146,105.349,102.619,98.62,90.502,114.674,100.323,96.701,102.99,96.406,205.589,257.602,84.873,159.324,90.539,106.141,88.143,98.5,100.229,129.559,79.84
岡田祥嗣,121.601,43.831,,60.254,169.627,132.429,58.677,144.393,,,21.0,189.095,21.0,21.0,35.196,90.293,753.048,42.902,21.0,38.228,62.948,113.336,42.403,21.0,
荻野極,101.634,105.732,,112.313,95.091,91.983,108.796,96.972,278.778,21.0,96.467,106.535,92.578,123.753,118.075,113.21,82.969,92.864,101.412,98.556,104.68,99.481,104.997,102.522,93.736
荻野琢真,120.37,89.965,,119.791,87.991,27.022,115.606,101.482,73.812,131.26,94.882,108.053,127.315,21.0,66.016,111.426,73.914,131.891,106.787,97.417,127.606,116.18,95.543,21.0,21.0
小沢大仁,92.321,93.259,,76.538,104.965,117.824,76.41,106.809,94.218,97.442,105.572,70.531,98.654,21.0,74.025,113.644,83.378,111.569,105.584,95.217,79.34,99.361,92.92,60.032,59.764
小野寺祐,76.225,21.0,95.423,21.0,21.0,94.908,89.727,95.36,,,111.727,63.492,112.513,86.39,92.354,127.183,83.56,92.022,116.643,21.0,21.0,91.669,21.0,103.907,21.0
加藤祥太,90.231,109.629,,104.456,86.514,21.0,101.668,99.875,100.091,71.357,148.983,127.901,21.0,208.6,97.234,58.773,85.684,66.934,58.173,149.256,121.748,111.524,77.748,36.979,21.0
金子光希,49.366,21.0,118.992,,,114.829,115.848,111.624,,,90.951,169.315,39.8,52.978,359.462,21.0,105.99,197.485,21.0,,,95.104,,148.464,
亀田温心,102.29,87.678,,100.164,95.611,42.534,84.123,104.117,74.293,55.439,106.133,76.913,50.632,106.902,84.97,123.742,123.226,101.52,97.536,87.414,156.292,89.111,97.804,81.159,24.834
川須栄彦,83.103,90.066,,89.322,85.76,21.0,96.435,83.727,,,76.801,92.667,21.0,21.0,98.482,84.192,117.594,66.601,67.831,94.702,55.994,94.828,84.936,119.116,36.172
川田将雅,100.842,100.232,,98.839,103.496,84.79,104.517,98.459,105.462,21.0,,111.923,104.858,88.765,104.328,98.966,100.962,101.764,96.785,101.001,90.496,98.18,104.339,95.67,103.132
川端海翼,77.371,102.272,,104.569,89.873,86.071,116.74,83.975,95.769,77.482,58.563,84.991,1025.667,21.0,128.766,79.026,50.387,99.047,149.675,130.231,112.298,78.102,115.406,21.0,21.0
河原田菜,75.539,91.651,,84.733,86.208,21.0,104.736,71.486,,,76.734,104.716,,21.0,101.613,78.366,67.234,63.303,63.698,99.203,97.66,84.866,79.308,99.749,21.0
川又賢治,100.395,92.719,,102.687,74.118,111.786,103.414,93.123,73.345,96.229,81.768,106.88,74.571,112.041,97.095,88.197,102.684,58.759,129.517,106.998,71.155,98.508,90.412,99.806,78.99
菊沢一樹,108.746,104.132,,109.047,101.846,117.964,111.935,101.859,135.773,65.943,102.739,116.36,108.372,97.03,189.253,21.0,21.0,112.519,114.956,106.061,96.695,110.673,103.025,120.966,48.198
北村宏司,103.431,99.347,,104.785,101.61,75.405,105.119,95.158,21.0,,57.133,91.005,106.004,95.496,85.182,41.061,200.665,,99.054,93.976,125.176,89.258,100.389,164.789,71.878
北村友一,99.083,99.137,,96.484,100.97,96.667,90.302,102.176,107.889,108.11,84.247,83.139,64.286,82.67,95.482,95.979,111.663,114.457,98.185,91.667,102.19,104.686,97.462,92.883,83.635
城戸義政,101.611,102.581,,87.753,110.304,21.0,111.689,92.634,21.0,143.2,113.661,142.989,21.0,21.0,109.753,78.995,75.122,216.785,104.202,110.727,192.945,84.63,103.905,26.432,21.0
