場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
福島,1,未勝利,ダート,1700,良,1,ヒカ,3歳,和田陽希,飯田祐史,追込,,0.0,中距離,右回り,,Lv2 ,クリソベリル,休明初戦,距離短縮,14,E,13.4,11.0,13.4,8.0,39.7,,39.4,,C,,,,
福島,1,未勝利,ダート,1700,良,2,エイユーサクラ,3歳,横山琉人,高橋義忠,逃げ,,,中距離,右回り,,Lv2 ,ダノンレジェンド,休明初戦,距離延長,5,D,12.3,1.0,12.3,1.0,36.2,4.0,38.9,4.0,C,,,,
福島,1,未勝利,ダート,1700,良,3,サイモンセレーノ,3歳,石神深道,勢司和浩,追込,,,中距離,右回り,,Lv2 ,カリフォルニアクローム,休明初戦,距離延長,9,D,13.4,11.0,13.6,11.0,37.9,,38.5,3.0,D,B,,,
福島,1,未勝利,ダート,1700,良,4,サツキマーメイド,3歳,菅原隆一,石栗龍彦,逃げ,,,中距離,右回り,,Lv2 ,ビーチパトロール,休明初戦,距離短縮,11,E,13.0,5.0,13.0,3.0,,,,,E,,,,
福島,1,未勝利,ダート,1700,良,5,ゴールドドレッサ,3歳,石田拓郎,中川公成,先行,,100.0,中距離,右回り,,Lv2 ,ゴールドドリーム,,距離短縮,4,C,13.0,5.0,13.0,3.0,37.1,7.0,37.6,2.0,C,C,,,
福島,1,未勝利,ダート,1700,良,6,エイシンキーンラン,3歳,菊沢一樹,田中剛,先行,100.0,100.0,中距離,右回り,,Lv2 ,エイシンヒカリ,,,2,B,13.2,7.0,13.3,6.0,35.7,2.0,40.2,,C,B,,,
福島,1,未勝利,ダート,1700,良,7,ノヴェルカフナ,3歳,小林美駒,秋本大介,追込,,,中距離,右回り,,Lv2 ,スマートオーディン,,距離短縮,13,E,14.0,14.0,14.3,14.0,,,,,B,B,B,,
福島,1,未勝利,ダート,1700,良,8,レインボーワールド,3歳,野中悠太,畠山吉宏,,,,中距離,右回り,,Lv2 ,トゥザワールド,,,15,E,,,,,,,,,,,,,
福島,1,未勝利,ダート,1700,良,9,ロジマギー,3歳,丸山元気,宮田敬介,先行,,100.0,中距離,右回り,,Lv2 ,ハービンジャー,,距離短縮,1,B,12.9,4.0,12.9,2.0,36.4,5.0,40.3,,C,D,,,
福島,1,未勝利,ダート,1700,良,10,ホテルストリート,3歳,丹内祐次,伊藤大士,差し,0.0,0.0,中距離,右回り,,Lv2 ,オルフェーヴル,,,3,C,12.7,3.0,14.0,13.0,36.1,3.0,37.2,1.0,B,B,C,B,
福島,1,未勝利,ダート,1700,良,11,メイショウサザナミ,3歳,遠藤汰月,本田優,追込,,0.0,中距離,右回り,,Lv2 ,マジェスティックウォリアー,休明初戦,距離短縮,12,E,13.4,11.0,13.4,8.0,38.9,,45.3,,C,,,,
福島,1,未勝利,ダート,1700,良,12,チカマヨルキーナ,3歳,松本大輝,藤岡健一,差し,,0.0,中距離,右回り,,Lv2 ,ナダル,休明3走,,6,D,13.2,7.0,13.8,12.0,37.0,6.0,38.9,4.0,C,B,C,B,
福島,1,未勝利,ダート,1700,良,13,ピンクカメリア,3歳,川又賢治,笹田和秀,追込,,,中距離,右回り,,Lv2 ,リアルスティール,休明初戦,距離延長,10,D,13.3,10.0,13.3,6.0,,,,,B,,,,
福島,1,未勝利,ダート,1700,良,14,タイセイパフューム,3歳,古川奈穂,牧浦充徳,追込,,0.0,中距離,右回り,,Lv2 ,マインドユアビスケッツ,,距離短縮,8,D,13.2,7.0,13.5,10.0,37.7,,39.0,6.0,C,D,C,C,
福島,1,未勝利,ダート,1700,良,15,シュヴェスター,3歳,長岡禎仁,高橋亮,差し,,,中距離,右回り,,Lv2 ,シニスターミニスター,休明2走,距離延長,7,D,12.5,2.0,13.0,3.0,35.4,1.0,39.2,7.0,C,C,C,,
福島,2,未勝利,芝,1200,良,1,フェブリノ,3歳,小沢大仁,加藤公太,差し,,33.33333333333333,短距離,右回り,,Lv3 ,マクフィ,,距離短縮,7,D,12.1,1.0,13.0,9.0,35.6,,34.1,1.0,B,D,B,D,C
福島,2,未勝利,芝,1200,良,2,ブルーハーツ,3歳,武藤雅,勢司和浩,差し,0.0,0.0,短距離,右回り,,Lv3 ,エポカドーロ,,,6,D,13.3,14.0,13.3,11.0,35.5,7.0,34.9,5.0,C,C,B,B,
福島,2,未勝利,芝,1200,良,3,ジョーヌミモザ,3歳,大久保友,小野次郎,差し,,,短距離,右回り,,Lv3 ,ノーブルミッション,休明初戦,距離短縮,8,D,13.4,15.0,13.4,13.0,35.6,,36.3,,C,,,,
福島,2,未勝利,芝,1200,良,4,フクオトコ,3歳,菊沢一樹,菊沢隆徳,差し,,100.0,短距離,右回り,,Lv3 ,フィエールマン,,,1,A,12.2,2.0,12.2,1.0,34.6,2.0,34.1,1.0,D,B,,,
福島,2,未勝利,芝,1200,良,5,ブレッティレディ,3歳,横山琉人,高橋一哉,差し,,0.0,短距離,右回り,,Lv3 ,シュヴァルグラン,,,9,D,12.7,11.0,12.8,8.0,35.9,,35.8,,D,C,C,C,C
福島,2,未勝利,芝,1200,良,6,セイウンプーパ,3歳,遠藤汰月,奥平雅士,先行,,0.0,短距離,右回り,,Lv3 ,キタサンブラック,休明2走,,16,E,12.2,2.0,12.2,1.0,34.9,3.0,36.8,,B,C,B,D,
福島,2,未勝利,芝,1200,良,7,ケイツースクード,3歳,上里直汰,萱野浩二,差し,,,短距離,右回り,,Lv3 ,ダノンスマッシュ,休明初戦,距離短縮,15,E,12.7,11.0,13.5,14.0,36.3,,34.4,4.0,B,C,B,,
福島,2,未勝利,芝,1200,良,8,ウィズアツインクル,3歳,富田暁,牧光二,差し,,,短距離,右回り,,Lv3 ,ダノンバラード,,距離短縮,2,B,12.5,7.0,12.5,4.0,35.9,,34.3,3.0,D,B,C,,
福島,2,未勝利,芝,1200,良,9,ジューンスマッシュ,3歳,本田正重,杉山佳明,差し,,0.0,短距離,右回り,,Lv3 ,ダノンスマッシュ,休明初戦,距離短縮,11,E,13.2,13.0,13.8,15.0,36.3,,35.6,,C,B,,,
福島,2,未勝利,芝,1200,良,10,エンチャンテッド,3歳,今村聖奈,佐藤吉勝,差し,,0.0,短距離,右回り,,Lv3 ,ミスターメロディ,休明2走,,13,E,12.2,2.0,12.2,1.0,35.1,5.0,35.5,7.0,D,B,C,C,
福島,2,未勝利,芝,1200,良,11,フィラーエ,3歳,国分恭介,高橋康之,先行,,,短距離,右回り,,Lv3 ,ノーブルミッション,,距離短縮,5,D,12.6,9.0,12.7,7.0,35.4,6.0,35.5,7.0,B,C,C,B,D
福島,2,未勝利,芝,1200,良,12,ナデシコザクラ,3歳,小林美駒,秋山真一,先行,,,短距離,右回り,,Lv3 ,ビーチパトロール,休明3走,,10,E,12.4,6.0,13.2,10.0,34.1,1.0,36.9,,C,B,B,E,
福島,2,未勝利,芝,1200,良,13,エクスペクタント,3歳,和田陽希,西園翔太,先行,0.0,0.0,短距離,右回り,,Lv3 ,ミッキーアイル,休明2走,,3,C,12.5,7.0,12.5,4.0,35.0,4.0,35.3,6.0,D,C,D,,
福島,2,未勝利,芝,1200,良,14,アヴァンフライト,3歳,石田拓郎,上原佑紀,逃げ,,,短距離,右回り,,Lv3 ,パドトロワ,休明初戦,距離延長,14,E,12.2,2.0,13.3,11.0,35.8,,38.4,,C,C,,,
福島,2,未勝利,芝,1200,良,15,バッカス,3歳,斎藤新,長谷川浩,追込,,,短距離,右回り,,Lv3 ,レッドファルクス,休明初戦,距離短縮,12,E,13.9,16.0,13.9,16.0,38.8,,39.3,,B,,,,
福島,2,未勝利,芝,1200,良,16,シルバーアックス,3歳,舟山瑠泉,村田一誠,先行,,,短距離,右回り,,Lv3 ,シスキン,,距離延長,4,C,12.6,9.0,12.6,6.0,35.5,7.0,38.4,,C,B,,,
福島,3,未勝利,芝,2000,良,1,オーケーグレイス,3歳,横山琉人,相沢郁,追込,,,中距離,右回り,,Lv3 ,サートゥルナーリア,休明初戦,距離短縮,12,E,13.5,10.0,13.8,10.0,36.8,7.0,35.5,,B,C,,,
