場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
中山,1,1,フェーングロッテン,宮本博　,94.0,120.0,,,,,,,107.0,3.0
中山,1,2,スラーヴァ,高橋文雅,108.0,95.0,,,,,,,101.5,6.0
中山,1,3,ゴールデンルーキー,粕谷昌央,107.0,98.0,,,,,,,102.5,4.0
中山,1,4,シュハリ,粕谷昌央,107.0,98.0,,,,,,,102.5,4.0
中山,1,5,ゴーツウキリシマ,牧田和弥,199.0,94.0,,,,,,,146.5,1.0
中山,1,6,スティルシャイニン,天間昭一,84.0,98.0,,,,,,,91.0,7.0
中山,1,7,フォーディアライフ,矢嶋大樹,117.0,117.0,,,,,,,117.0,2.0
中山,1,8,アルカンサス,土田稔　,81.0,70.0,,,,,,,75.5,9.0
中山,1,9,リケアルフナ,蛯名利弘,89.0,86.0,,,,,,,87.5,8.0
中山,2,1,スターオブブライト,奥平雅士,104.0,97.0,110.0,108.0,100.0,112.0,,,105.167,3.0
中山,2,2,ユキノサイエンス,小野次郎,98.0,96.0,111.0,73.0,100.0,110.0,,,98.0,5.0
中山,2,3,リュウセイコウテイ,奥平雅士,104.0,97.0,110.0,108.0,100.0,112.0,,,105.167,3.0
中山,2,4,ラブデウザ,加藤和宏,83.0,90.0,85.0,84.0,91.0,80.0,,,85.5,14.0
中山,2,5,エンカウンターベイ,田中剛　,105.0,113.0,103.0,95.0,102.0,112.0,118.0,,106.857,2.0
中山,2,6,キリシマネロ,的場均　,95.0,85.0,75.0,54.0,68.0,98.0,,,79.167,15.0
中山,2,7,セイウンヤオヨロズ,上原博之,99.0,93.0,100.0,92.0,96.0,102.0,,,97.0,7.0
中山,2,8,フクチャンショウ,加藤征弘,93.0,103.0,95.0,100.0,102.0,93.0,,,97.667,6.0
中山,2,9,ソークール,佐藤吉勝,88.0,88.0,83.0,68.0,103.0,90.0,,,86.667,11.0
中山,2,10,スレドナゴラ,田中勝春,,,,,,,,,,
中山,2,11,ロンドンオービタル,岩戸孝樹,93.0,84.0,81.0,87.0,89.0,86.0,,,86.667,11.0
中山,2,12,ニシノコハルビヨリ,尾形和幸,95.0,94.0,103.0,90.0,87.0,96.0,,,94.167,8.0
中山,2,13,エレクトロン,佐藤吉勝,88.0,88.0,83.0,68.0,103.0,90.0,,,86.667,11.0
中山,2,14,カシノリアーナ,天間昭一,84.0,98.0,96.0,104.0,89.0,90.0,,,93.5,9.0
中山,2,15,トラスコンガーデン,竹内正洋,101.0,103.0,102.0,124.0,112.0,100.0,,,107.0,1.0
中山,2,16,ムーンリットレイン,伊藤圭三,86.0,95.0,87.0,90.0,101.0,101.0,,,93.333,10.0
中山,3,1,ソードスレイプニル,鈴木慎太,108.0,109.0,109.0,130.0,113.0,110.0,,,113.167,1.0
中山,3,2,ラブソング,尾関知人,96.0,92.0,93.0,85.0,85.0,99.0,,,91.667,12.0
中山,3,3,パソドブレ,中川公成,92.0,99.0,103.0,62.0,109.0,88.0,,,92.167,10.0
中山,3,4,カラーオブサクセス,武市康男,87.0,82.0,84.0,99.0,86.0,88.0,,,87.667,14.0
中山,3,5,アビエーション,佐藤吉勝,88.0,88.0,107.0,68.0,103.0,90.0,,,90.667,13.0
中山,3,6,リケアリングイネ,上原博之,99.0,93.0,98.0,92.0,96.0,102.0,,,96.667,8.0
中山,3,7,サトミノアカリ,鈴木伸尋,96.0,103.0,91.0,99.0,96.0,99.0,,,97.333,7.0
中山,3,8,クイーンレグナント,嘉藤貴行,98.0,105.0,104.0,94.0,105.0,105.0,,,101.833,3.0
中山,3,9,フレンドリーエール,村田一誠,62.0,75.0,69.0,61.0,76.0,79.0,,,70.333,15.0
中山,3,10,トーセンクリステル,杉浦宏昭,91.0,105.0,102.0,100.0,105.0,105.0,,,101.333,4.0
