場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
中山,1,1,マリンディーゼル,嶋田純次,-414.0,-40.0,-372.0,61.0,-301.0,,-1066.0,9.0
中山,1,2,タマリスペクト,横山琉人,-132.0,-1045.0,567.0,-1128.0,-563.0,,-2301.0,11.0
中山,1,3,ミラクルスパート,谷原柚希,,,,,,,,
中山,1,4,タイセイガナール,長浜鴻緒,-145.0,1492.0,-605.0,-1080.0,254.0,,-84.0,6.0
中山,1,5,アンバサダネージュ,佐藤翔馬,1830.0,648.0,-199.0,802.0,465.0,,3546.0,2.0
中山,1,6,ビップムーラン,戸崎圭太,-410.0,318.0,-1345.0,-943.0,203.0,,-2177.0,10.0
中山,1,7,リオンアンサー,柴田善臣,-456.0,283.0,1347.0,262.0,-306.0,,1130.0,4.0
中山,1,8,リケアペンネ,野中悠太,346.0,473.0,-243.0,551.0,-583.0,,544.0,5.0
中山,1,9,アルバニクス,舟山瑠泉,,,,,,,,
中山,1,10,ルルマーレ,三浦皇成,566.0,1497.0,1338.0,328.0,1109.0,,4838.0,1.0
中山,1,11,リバテイー,小林美駒,-341.0,-1267.0,-1549.0,-935.0,-896.0,,-4988.0,13.0
中山,1,12,エルドラド,原田和真,-917.0,-3300.0,-384.0,1371.0,-662.0,,-3892.0,12.0
中山,1,13,コウユーニポポニコ,木幡初也,395.0,-343.0,-623.0,-130.0,119.0,,-582.0,8.0
中山,1,14,ポセイドンテソーロ,木幡巧也,-820.0,715.0,298.0,-122.0,-432.0,,-361.0,7.0
中山,1,15,ミラビリオン,荻野極　,1471.0,-421.0,250.0,1835.0,-1724.0,,1411.0,3.0
中山,2,1,リケアフェデリーニ,小林凌大,398.0,-1225.0,-73.0,-596.0,-523.0,,-2019.0,7.0
中山,2,2,イデアクリスタル,石田拓郎,-3555.0,980.0,-675.0,-677.0,-1195.0,,-5122.0,9.0
中山,2,3,グラスベリー,木幡巧也,-820.0,715.0,298.0,298.0,-432.0,,59.0,5.0
中山,2,4,フライスカイハイ,佐々木大,268.0,537.0,468.0,-818.0,2169.0,,2624.0,4.0
中山,2,5,タイセイルビー,荻野極　,1471.0,-421.0,250.0,-1798.0,-1724.0,,-2222.0,8.0
中山,2,6,ハニーオーケストラ,横山和生,1309.0,-784.0,896.0,1072.0,2261.0,,4754.0,2.0
中山,2,7,イサチルクイーン,木幡初也,395.0,-343.0,-623.0,-479.0,119.0,,-931.0,6.0
中山,2,8,フュルスティン,横山武史,-311.0,69.0,-2911.0,-1160.0,-845.0,,-5158.0,10.0
中山,2,9,フィクセルリリア,舟山瑠泉,,,,,,,,
中山,2,10,パルストリス,長浜鴻緒,-145.0,1492.0,-605.0,1851.0,254.0,,2847.0,3.0
中山,2,11,ハウスオンファイア,丹内祐次,-784.0,665.0,-92.0,3048.0,3082.0,,5919.0,1.0
中山,2,12,ルージュアリスタ,マーカン,,,,,,,,
中山,2,13,リケアマカロニ,原田和真,-917.0,-3300.0,-384.0,-1005.0,-662.0,,-6268.0,11.0
中山,3,1,アージェンタイド,荻野極　,1471.0,-421.0,-679.0,1835.0,-1724.0,,482.0,9.0
中山,3,2,エコロセレナ,鮫島克駿,675.0,2077.0,1501.0,686.0,4053.0,,8992.0,1.0
中山,3,3,ピコパープル,舟山瑠泉,,,,,,,,
中山,3,4,ベアサナエチャン,横山武史,-311.0,69.0,-190.0,-1784.0,-845.0,,-3061.0,10.0
中山,3,5,クロムハーツガール,佐藤翔馬,1830.0,648.0,-351.0,802.0,465.0,,3394.0,6.0
中山,3,6,ミュークトーマス,長浜鴻緒,-145.0,1492.0,629.0,-1080.0,254.0,,1150.0,7.0
中山,3,7,ガミーヌ,丹内祐次,-784.0,665.0,3364.0,-600.0,3082.0,,5727.0,3.0
中山,3,8,ニシノマーレ,津村明秀,361.0,707.0,1316.0,1782.0,-302.0,,3864.0,4.0
中山,3,9,ツウキンカイソク,菅原明良,-1023.0,883.0,-53.0,1418.0,-353.0,,872.0,8.0
中山,3,10,アースヴィンチ,佐々木大,268.0,537.0,1146.0,2205.0,2169.0,,6325.0,2.0
中山,3,11,ミナヅキ,石橋脩　,-436.0,-366.0,-2893.0,1273.0,-1116.0,,-3538.0,12.0
中山,3,12,スミッコディスコ,横山和生,1309.0,-784.0,531.0,109.0,2261.0,,3426.0,5.0
中山,3,13,イバラヒメ,石田拓郎,-3555.0,980.0,-2879.0,-2815.0,-1195.0,,-9464.0,13.0
中山,3,14,アクアマーズ,ルメール,-585.0,-874.0,-170.0,-844.0,-914.0,,-3387.0,11.0
中山,3,15,テンハートビート,遠藤汰月,,,,,,,,
中山,4,1,イントゥゴールデン,遠藤汰月,,,,,,,,
中山,4,2,ホウショウリュウ,杉原誠人,298.0,-721.0,-1340.0,548.0,564.0,,-651.0,7.0
中山,4,3,ショウナンパトス,横山和生,1309.0,-784.0,896.0,1072.0,2261.0,,4754.0,2.0
中山,4,4,ミクニフラッシュ,荻野極　,1471.0,-421.0,250.0,-1798.0,-1724.0,,-2222.0,11.0
中山,4,5,キセログラフィカ,マーカン,,,,,,,,
中山,4,6,フルールサシェ,津村明秀,361.0,707.0,-40.0,-787.0,-302.0,,-61.0,6.0
中山,4,7,ミラクルカイザー,丹内祐次,-784.0,665.0,-92.0,3048.0,3082.0,,5919.0,1.0
中山,4,8,サイモフェーン,戸崎圭太,-410.0,318.0,-1345.0,-349.0,203.0,,-1583.0,9.0
中山,4,9,カシマライフウ,松岡正海,157.0,379.0,-2983.0,-380.0,965.0,,-1862.0,10.0
中山,4,10,エマープ,内田博幸,-617.0,-558.0,-1314.0,-3480.0,-1358.0,,-7327.0,14.0
中山,4,11,モントーヤ,長浜鴻緒,-145.0,1492.0,-605.0,1851.0,254.0,,2847.0,3.0
中山,4,12,テンレディーゴー,佐々木大,268.0,537.0,468.0,-818.0,2169.0,,2624.0,4.0
中山,4,13,メイクイット,菅原明良,-1023.0,883.0,583.0,-762.0,-353.0,,-672.0,8.0
中山,4,14,ビップルーク,小林美駒,-341.0,-1267.0,-1549.0,-339.0,-896.0,,-4392.0,13.0
中山,4,15,トルネードアイル,ルメール,-585.0,-874.0,-431.0,-313.0,-914.0,,-3117.0,12.0
