場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
中山,1,1,アウフヴィント,戸田博文,550.0,963.0,-353.0,496.0,-1005.0,-115.0,,,536.0,6.0
中山,1,2,オーガスタフラッグ,田中剛　,266.0,1210.0,820.0,2070.0,1122.0,1035.0,-466.0,375.0,6432.0,1.0
中山,1,3,コンティオ,和田勇介,-461.0,442.0,-420.0,773.0,134.0,-558.0,,,-90.0,8.0
中山,1,4,フローラルデザイン,畠山吉宏,246.0,-212.0,314.0,-297.0,609.0,-356.0,,,304.0,7.0
中山,1,5,ミルキーハニー,尾形和幸,-323.0,-840.0,-1767.0,-605.0,381.0,-596.0,,,-3750.0,13.0
中山,1,6,ブルームワルツ,稲垣幸雄,1099.0,257.0,1550.0,761.0,606.0,635.0,,,4908.0,3.0
中山,1,7,ニシノフローレス,小手川準,259.0,-312.0,1019.0,-1187.0,-748.0,-949.0,,,-1918.0,9.0
中山,1,8,マジカルレインボー,尾関知人,-241.0,-914.0,-763.0,-1465.0,-42.0,-109.0,,,-3534.0,11.0
中山,1,9,ハニードレス,牧光二　,-404.0,1408.0,911.0,919.0,1614.0,816.0,,,5264.0,2.0
中山,1,10,ヴォーパルソード,武市康男,-1162.0,-2410.0,-2334.0,-1462.0,-511.0,-1800.0,,,-9679.0,15.0
中山,1,11,エスキモーギャル,杉浦宏昭,-663.0,458.0,203.0,572.0,-233.0,835.0,,,1172.0,5.0
中山,1,12,ビスケットマリー,和田雄二,147.0,161.0,-2355.0,646.0,-675.0,-731.0,,,-2807.0,10.0
中山,1,13,フィルトラージュ,小島茂之,960.0,346.0,-162.0,384.0,896.0,551.0,,,2975.0,4.0
中山,1,14,プレイアブルゲーム,小笠倫弘,-405.0,-993.0,-35.0,-1082.0,-1094.0,-134.0,-71.0,162.0,-3652.0,12.0
中山,1,15,カシマスウィープ,伊藤伸一,730.0,-1973.0,-1993.0,-2611.0,-876.0,-698.0,,,-7421.0,14.0
中山,2,1,エコロカディス,森一誠　,913.0,908.0,474.0,1443.0,-910.0,2107.0,,,4935.0,3.0
中山,2,2,ホワイトマジック,田中剛　,266.0,1210.0,820.0,2070.0,247.0,1035.0,1000.0,375.0,7023.0,1.0
中山,2,3,ソラムパレード,久保田貴,-472.0,75.0,-72.0,-284.0,470.0,-668.0,,,-951.0,10.0
中山,2,4,セイムトゥーユー,斎藤誠　,-160.0,1148.0,673.0,394.0,2099.0,202.0,289.0,509.0,5154.0,2.0
中山,2,5,ガストフロント,水野貴広,760.0,-41.0,1066.0,-7.0,-1754.0,1207.0,356.0,-308.0,1279.0,7.0
中山,2,6,アラスカフレイバー,松永康利,-650.0,-107.0,202.0,448.0,-542.0,119.0,,,-530.0,9.0
中山,2,7,タルトポワール,清水英克,-235.0,929.0,-1236.0,761.0,1.0,1660.0,,,1880.0,6.0
中山,2,8,コウユーウィズユー,竹内正洋,35.0,269.0,1159.0,-179.0,1653.0,-57.0,,,2880.0,5.0
中山,2,9,グランシャット,宮田敬介,-913.0,-275.0,-842.0,-395.0,-836.0,-1342.0,317.0,-350.0,-4636.0,13.0
中山,2,10,サマニタイショウ,武市康男,-1162.0,-2410.0,-2334.0,-1462.0,-1688.0,-1800.0,,,-10856.0,16.0
中山,2,11,フクノジョヴァンニ,伊藤圭三,-1387.0,-680.0,919.0,557.0,244.0,-144.0,-67.0,674.0,116.0,8.0
中山,2,12,ラナイ,伊藤大士,-1154.0,-722.0,-1063.0,-840.0,-1213.0,-926.0,,,-5918.0,14.0
中山,2,13,アルパインハット,上原博之,-93.0,-597.0,-279.0,-19.0,-492.0,268.0,,,-1212.0,11.0
中山,2,14,エクストラチャージ,田村康仁,-927.0,-267.0,-584.0,-326.0,30.0,-1042.0,,,-3116.0,12.0
中山,2,15,サスケエトワール,加藤和宏,-653.0,-910.0,-1168.0,-91.0,-1062.0,-2031.0,-861.0,105.0,-6671.0,15.0
中山,2,16,ピコグリーン,牧光二　,-404.0,1408.0,911.0,919.0,473.0,816.0,,,4123.0,4.0
中山,3,1,ファストパスキー,田中剛　,266.0,1210.0,820.0,2070.0,1122.0,1035.0,,,6523.0,2.0
中山,3,2,キタノマーシャル,奥平雅士,257.0,-334.0,-503.0,-423.0,193.0,1552.0,,,742.0,6.0
中山,3,3,ダブルイーグル,国枝栄　,-472.0,-895.0,-611.0,-1342.0,-744.0,-856.0,-773.0,-50.0,-5743.0,12.0
中山,3,4,フロムザワールド,佐藤吉勝,-792.0,-1237.0,753.0,-1387.0,-691.0,-1071.0,-468.0,-124.0,-5017.0,11.0
中山,3,5,シリウスライト,和田正一,-32.0,853.0,97.0,1170.0,981.0,1232.0,,,4301.0,4.0
中山,3,6,マンボルンバ,加藤征弘,-552.0,326.0,40.0,313.0,-575.0,-1018.0,538.0,40.0,-888.0,9.0
中山,3,7,スムースオペレター,岩戸孝樹,-560.0,-1774.0,-991.0,-1368.0,-1395.0,-2043.0,,,-8131.0,13.0
中山,3,8,ミエノシリウス,田中勝春,,,,,,,,,,
中山,3,9,ロードスカイブルー,和田勇介,-461.0,442.0,-420.0,773.0,134.0,-558.0,,,-90.0,7.0
中山,3,10,ライフゲート,伊藤圭三,-1387.0,-680.0,919.0,557.0,-600.0,-144.0,,,-1335.0,10.0
中山,3,11,モンサンプレシャス,牧光二　,-404.0,1408.0,911.0,919.0,1614.0,816.0,,,5264.0,3.0
中山,3,12,グレイスザクラウン,上原博之,-93.0,-597.0,-279.0,-19.0,-296.0,268.0,-44.0,335.0,-725.0,8.0
中山,3,13,ブルージャイアント,蛯名正義,-104.0,1896.0,-182.0,-170.0,-533.0,428.0,,,1335.0,5.0
中山,3,14,マードラド,鈴木慎太,588.0,882.0,1421.0,1165.0,794.0,1281.0,1055.0,741.0,7927.0,1.0
中山,4,1,ワカギミ,佐藤吉勝,-792.0,-1237.0,753.0,-1387.0,-691.0,-1071.0,,,-4425.0,11.0
中山,4,2,カリヨンベル,萱野浩二,1058.0,-342.0,-1278.0,-332.0,-351.0,-450.0,,,-1695.0,7.0
中山,4,3,リアライズオネスト,池上昌和,886.0,336.0,363.0,495.0,1607.0,697.0,,,4384.0,3.0
