場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
中山,1,1,コスモシンテイ,野中悠太,247.0,480.0,-185.0,303.0,-391.0,,454.0,8.0
中山,1,2,ポップグルーヴ,佐藤翔馬,-2331.0,-112.0,557.0,2232.0,-930.0,,-584.0,11.0
中山,1,3,ユリオプスイエロー,菊沢一樹,-14.0,2596.0,1851.0,2615.0,349.0,,7397.0,2.0
中山,1,4,フェリスナビダ,丸田恭介,2056.0,1525.0,1612.0,1304.0,1933.0,,8430.0,1.0
中山,1,5,ヴィンブルレー,戸崎圭太,-1139.0,-517.0,-1427.0,-845.0,-611.0,,-4539.0,14.0
中山,1,6,コウソクグルーヴ,マーカン,,,,,,,,
中山,1,7,セイカエイレーネー,石橋脩　,-314.0,-713.0,1719.0,1780.0,-612.0,,1860.0,7.0
中山,1,8,ブルーオブウインド,木幡巧也,558.0,1426.0,1119.0,1650.0,581.0,,5334.0,5.0
中山,1,9,スマイルディシー,杉原誠人,-662.0,-1014.0,-2358.0,268.0,-638.0,,-4404.0,13.0
中山,1,10,イエスユイキャン,小林美駒,840.0,613.0,605.0,1107.0,2599.0,,5764.0,4.0
中山,1,11,ピエノダモーレ,原田和真,434.0,-1399.0,-700.0,1624.0,260.0,,219.0,9.0
中山,1,12,サスペンスクィーン,原優介　,1151.0,-2035.0,834.0,-680.0,461.0,,-269.0,10.0
中山,1,13,ミヤマイルス,横山和生,1093.0,437.0,1326.0,737.0,2180.0,,5773.0,3.0
中山,1,14,ミリオンヒット,菅原明良,30.0,200.0,60.0,1554.0,721.0,,2565.0,6.0
中山,1,15,パーティーガール,長浜鴻緒,,,,,,,,
中山,1,16,ジュリスタ,吉田豊　,-373.0,-330.0,-794.0,-631.0,-1514.0,,-3642.0,12.0
中山,2,1,ノイシュタット,木幡巧也,558.0,1426.0,1119.0,-362.0,581.0,,3322.0,4.0
中山,2,2,グリーンエリクサー,野中悠太,247.0,480.0,-185.0,-1157.0,-391.0,,-1006.0,9.0
中山,2,3,オストラヴァ,津村明秀,551.0,1023.0,1110.0,-444.0,-3.0,,2237.0,5.0
中山,2,4,アイアンオバーカム,柴田大知,-412.0,-651.0,-1974.0,1034.0,-670.0,,-2673.0,10.0
中山,2,5,ボンボニエーレ,小林凌大,1254.0,-1842.0,876.0,-783.0,-347.0,,-842.0,8.0
中山,2,6,ロードスカイブルー,横山和生,1093.0,437.0,1326.0,1689.0,2180.0,,6725.0,1.0
中山,2,7,ルグランヴァン,菅原明良,30.0,200.0,60.0,-421.0,721.0,,590.0,7.0
中山,2,8,フィーチャリング,石川裕紀,1673.0,-821.0,1041.0,417.0,1036.0,,3346.0,3.0
中山,2,9,スマートクオーレ,木幡初也,-58.0,-788.0,-415.0,-1061.0,-523.0,,-2845.0,11.0
中山,2,10,クラインシュミット,北村宏司,1198.0,243.0,508.0,1349.0,1272.0,,4570.0,2.0
中山,2,11,セミコンダクター,原優介　,1151.0,-2035.0,834.0,380.0,461.0,,791.0,6.0
中山,2,12,アリアルブラック,マーカン,,,,,,,,
中山,3,1,ガンバルマン,原優介　,1151.0,-2035.0,-442.0,380.0,461.0,,-485.0,7.0
中山,3,2,ローレン,柴田大知,-412.0,-651.0,-307.0,1034.0,-670.0,,-1006.0,8.0
中山,3,3,ガスパール,丸山元気,244.0,189.0,-610.0,-123.0,-823.0,,-1123.0,9.0
中山,3,4,アライアンスデイ,菊沢一樹,-14.0,2596.0,1438.0,544.0,349.0,,4913.0,3.0
中山,3,5,シャインフリーリー,嶋田純次,-526.0,-1099.0,2757.0,-771.0,-204.0,,157.0,5.0
中山,3,6,タッセル,戸崎圭太,-1139.0,-517.0,-957.0,-1399.0,-611.0,,-4623.0,12.0
中山,3,7,アウルムレガリア,菅原明良,30.0,200.0,1030.0,-421.0,721.0,,1560.0,4.0
中山,3,8,パリモード,的場勇人,-517.0,-905.0,-473.0,-754.0,-770.0,,-3419.0,11.0
中山,3,9,リギーロ,荻野極　,319.0,-1183.0,-1199.0,-1688.0,-1661.0,,-5412.0,13.0
中山,3,10,アクデニズ,大野拓弥,-480.0,-346.0,767.0,-202.0,397.0,,136.0,6.0
中山,3,11,カフェロワドール,横山和生,1093.0,437.0,1399.0,1689.0,2180.0,,6798.0,1.0
中山,3,12,ディアイライザ,長浜鴻緒,,,,,,,,
中山,3,13,マイネルアズーロ,杉原誠人,-662.0,-1014.0,1614.0,-462.0,-638.0,,-1162.0,10.0
中山,3,14,ゴダルティチェコ,丸田恭介,2056.0,1525.0,156.0,917.0,1933.0,,6587.0,2.0
中山,3,15,ファンタズマ,マーカン,,,,,,,,
中山,4,1,ガトリンテソーロ,原優介　,1151.0,-2035.0,834.0,380.0,461.0,,791.0,4.0
中山,4,2,ジーティートゥルー,大野拓弥,-480.0,-346.0,-2096.0,-202.0,397.0,,-2727.0,8.0
中山,4,3,オタマジャクシ,木幡育也,-374.0,125.0,-395.0,29.0,240.0,,-375.0,6.0
中山,4,4,グラスビジョン,木幡巧也,558.0,1426.0,1119.0,-362.0,581.0,,3322.0,3.0
中山,4,5,キャバリエクエスト,菊沢一樹,-14.0,2596.0,1851.0,544.0,349.0,,5326.0,2.0
中山,4,6,ランフォザプライド,菅原明良,30.0,200.0,60.0,-421.0,721.0,,590.0,5.0
中山,4,7,アイオリア,横山和生,1093.0,437.0,1326.0,1689.0,2180.0,,6725.0,1.0
中山,4,8,ロンパイア,戸崎圭太,-1139.0,-517.0,-1427.0,-1399.0,-611.0,,-5093.0,10.0
中山,4,9,ミスティマウンテン,内田博幸,-428.0,-104.0,-1120.0,-2690.0,-586.0,,-4928.0,9.0
中山,4,10,ショウナンタハティ,マーカン,,,,,,,,
中山,4,11,ヒソカ,佐藤翔馬,-2331.0,-112.0,557.0,-3861.0,-930.0,,-6677.0,11.0
中山,4,12,スティーヴバローズ,石橋脩　,-314.0,-713.0,1719.0,-1914.0,-612.0,,-1834.0,7.0
中山,5,1,オーセンティアン,内田博幸,-428.0,-727.0,-635.0,547.0,-586.0,,-1829.0,14.0
中山,5,2,ヴェリーヌ,柴田大知,-412.0,678.0,-307.0,-2700.0,-670.0,,-3411.0,16.0
中山,5,3,イザヨイ,嶋田純次,-526.0,1304.0,2757.0,1310.0,-204.0,,4641.0,6.0
中山,5,4,スリーセンス,北村宏司,1198.0,1033.0,2972.0,1553.0,1272.0,,8028.0,1.0
中山,5,5,ブルスカメンテ,石川裕紀,1673.0,299.0,-1002.0,-487.0,1036.0,,1519.0,9.0
中山,5,6,オロスコピオ,原優介　,1151.0,-1592.0,-442.0,-680.0,461.0,,-1102.0,13.0
中山,5,7,アッサジャン,荻野極　,319.0,-427.0,-1199.0,168.0,-1661.0,,-2800.0,15.0
中山,5,8,トーセンアシュリー,丸田恭介,2056.0,-29.0,156.0,1304.0,1933.0,,5420.0,4.0
中山,5,9,アイアムルンルン,小林美駒,840.0,1040.0,802.0,1107.0,2599.0,,6388.0,2.0
中山,5,10,ラルービーズ,江田照男,793.0,-535.0,-547.0,-725.0,331.0,,-683.0,12.0
中山,5,11,ギフテッド,菅原明良,30.0,-203.0,1030.0,1554.0,721.0,,3132.0,8.0
中山,5,12,ルナルーチェット,津村明秀,551.0,618.0,1347.0,2875.0,-3.0,,5388.0,5.0
中山,5,13,リポサンテ,横山和生,1093.0,376.0,1399.0,737.0,2180.0,,5785.0,3.0
中山,5,14,ココモナカ,大野拓弥,-480.0,679.0,767.0,-670.0,397.0,,693.0,10.0
中山,5,15,ユナホークパワー,小林凌大,1254.0,512.0,-1986.0,309.0,-347.0,,-258.0,11.0
中山,5,16,キョウエイレッド,菊沢一樹,-14.0,249.0,1438.0,2615.0,349.0,,4637.0,7.0
中山,6,1,シナツヒメ,木幡巧也,558.0,-96.0,1119.0,-362.0,581.0,,1800.0,4.0
中山,6,2,アンタンシオン,斎藤新　,-178.0,-40.0,-415.0,-340.0,13.0,,-960.0,6.0
中山,6,3,サーフプラチナム,内田博幸,-428.0,-727.0,-1120.0,-2690.0,-586.0,,-5551.0,11.0
中山,6,4,クインズエクレア,横山和生,1093.0,376.0,1326.0,1689.0,2180.0,,6664.0,1.0
中山,6,5,エファセデリエール,荻野極　,319.0,-427.0,-677.0,-1688.0,-1661.0,,-4134.0,9.0
中山,6,6,カシマスウィープ,原田和真,434.0,1260.0,-700.0,-1031.0,260.0,,223.0,5.0
中山,6,7,ランメルスベルグ,野中悠太,247.0,-401.0,-185.0,-1157.0,-391.0,,-1887.0,8.0
中山,6,8,シルフラ,津村明秀,551.0,618.0,1110.0,-444.0,-3.0,,1832.0,3.0
中山,6,9,プラウドモーメント,マーカン,,,,,,,,
中山,6,10,ヴァイオパイシーズ,大野拓弥,-480.0,679.0,-2096.0,-202.0,397.0,,-1702.0,7.0
中山,6,11,キラフォーニア,菊沢一樹,-14.0,249.0,1851.0,544.0,349.0,,2979.0,2.0
中山,6,12,タマモカンパネラ,戸崎圭太,-1139.0,-852.0,-1427.0,-1399.0,-611.0,,-5428.0,10.0
