騎手名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
秋山真一,-211,-66,,756,-872,-16,396,-847,,-79,107,612,-146,0,31,-1751,233,-267,317,68,75,-205,20,-58,-130
秋山稔樹,-408,665,,62,367,-52,-402,675,0,0,753,238,-1374,142,-78,,-168,-338,913,-364,113,566,186,-169,0
五十嵐雄,0,-79,-15,0,-79,-15,0,-79,,,-64,227,50,-48,-43,381,-28,-230,,0,-79,-299,0,358,
池添謙一,-766,275,,-1118,427,3,241,-1646,-172,-727,0,-36,367,-317,60,-696,416,0,-208,-713,-205,-494,-114,-391,-442
石神深一,-79,-79,-854,0,-79,-875,0,-158,,,88,-215,-96,-331,7,-37,-85,-345,,0,0,-681,-158,-182,
石川裕紀,-1002,1041,,-487,417,199,-1273,1036,-22,0,-365,-880,-393,1673,0,-51,272,0,-61,-184,299,-821,-283,351,663
石田拓郎,-2443,-2910,,-1440,-4098,-158,-61,-3940,,-552,-1497,763,-552,-1891,-630,,,,-552,-1812,-946,-1424,-2364,-79,
石橋脩　,-2262,1719,,1780,-1914,-280,354,-612,0,,43,49,248,-314,-132,0,-228,0,-555,1292,-205,-713,919,-145,145
泉谷楓真,856,398,,603,646,-27,235,924,0,0,646,-299,-215,-79,675,-1361,-32,1845,41,903,-44,0,577,-308,-10
伊藤工真,-267,236,0,356,-226,-3,650,-463,0,0,-531,122,471,-112,111,0,0,0,7,346,-475,270,-269,548,163
井上敏樹,-66,-696,-694,-1018,-40,-475,-295,-389,0,0,-325,-421,-144,-701,0,,-80,-79,0,-409,-56,-1102,-262,-79,
今村聖奈,-2449,-2837,,-3466,-1688,-98,-160,-5585,196,,,-105,0,199,-90,2799,-4507,-1339,-1417,-2059,-375,-1950,-2439,-351,-669
岩田望来,2943,279,,2877,398,-119,1211,1896,945,,0,-63,356,388,945,-1700,1593,-94,-656,285,633,1808,-169,-46,-512
岩田康誠,-917,-735,,-1462,-103,-84,-1074,-530,-163,-478,0,-234,-365,-100,-495,406,249,-187,-436,-151,-431,-707,-210,-22,517
岩部純二,-728,-1490,,-2006,-371,0,-1655,-170,,,-191,-461,-1303,-173,0,,,-236,89,-660,305,-1527,-360,-79,-79
上野翔　,0,-315,121,0,-236,121,-79,-236,,,-337,700,114,-244,77,-448,-50,4,0,-79,,430,-236,-414,
内田博幸,-635,-1120,,547,-2690,403,-940,-586,0,-334,-244,-621,-324,-428,0,-30,0,0,148,-567,-727,-104,-948,41,300
江田照男,-547,-1422,,-725,-1301,-67,-1804,331,1071,0,-889,-833,-1327,793,89,-263,-79,,307,-798,-535,829,-1721,-837,-213
江田勇亮,,0,-566,0,0,-566,0,0,,,-186,27,89,-292,0,-94,-236,74,,,,-665,0,179,
大江原圭,0,0,-984,0,0,-984,0,0,,,-314,-383,-196,-12,-7,153,-57,128,,0,,-486,0,-503,
大久保友,-1377,-750,,-2168,1017,0,-916,-822,-212,-849,151,-348,,-79,-631,762,-92,731,-31,-1092,-156,198,-1776,,
大野拓弥,767,-2096,,-670,-202,-273,-2242,397,0,0,605,202,-2071,-480,0,497,-45,0,-252,316,679,-346,-1394,-341,-95
大庭和弥,12,-402,-1046,-442,28,-1077,-225,-105,0,0,-106,-950,169,251,-7,0,-79,-480,0,-257,-158,-733,-198,-158,
岡田祥嗣,4,18,,-80,-23,0,-41,56,,,0,0,-152,0,-16,-310,157,35,-64,-110,0,44,10,-236,0
荻野極　,-1199,-677,,168,-1688,-119,-129,-1661,0,-46,-468,-564,-33,319,625,-42,-353,-645,-342,-695,-427,-1183,-298,-248,83
荻野琢真,-328,132,,236,-170,-106,-251,170,-225,352,235,-31,106,-56,-262,-382,-158,-102,-7,-243,-93,276,-414,0,0
小沢大仁,-4043,-459,,-4112,-10,-163,-1408,-1945,-266,-972,-465,-19,-394,-158,-1115,1647,-364,62,-1514,1120,-315,-2442,-1333,74,260
小野寺祐,-79,171,1093,173,-158,1093,0,550,,,367,168,286,-374,67,1747,-123,699,,195,0,139,-158,1112,-79
勝浦正樹,1672,-922,,-255,741,20,-35,742,513,15,90,-234,246,-105,-351,0,-55,187,640,-79,-362,644,108,18,-69
加藤祥太,-731,-133,,-552,-93,-195,-250,-363,0,0,-76,0,0,88,-220,-255,18,-685,-397,123,-320,103,-369,-315,-79
金子光希,,,45,,,45,,,,,49,268,-60,-102,-9,-131,229,-122,,,,-80,,283,
亀田温心,-51,-99,,-212,200,-142,-462,656,132,-350,606,-98,-48,-47,-334,-37,-67,428,-61,-240,179,-469,335,-338,-148
川島信二,-368,-66,,183,-403,-190,32,-361,0,-71,-79,0,0,-79,-30,-193,266,-190,-24,-265,-15,247,-486,27,-28
川須栄彦,-1057,-869,,-128,-1608,-79,68,-1916,,,0,-37,0,0,215,794,-1864,-294,-176,-1276,20,-1069,-327,-364,-256
川田将雅,919,406,,-7,1455,-226,217,1063,119,0,,126,-303,-144,332,604,596,80,233,592,-207,178,1085,272,313
川端海翼,-2770,-2148,,-464,-3533,77,-246,-3512,,-79,-480,-1189,,,682,-1313,-1556,-746,629,-2317,-161,-5025,693,-79,
河原田菜,443,-294,,-2076,1874,-236,2361,-2577,,,626,-404,,,2428,-2171,-1134,-1350,-1410,1195,1452,-1453,-258,223,
川又賢治,36,-161,,-77,-288,139,49,-238,-247,-76,143,8,-102,-12,30,-72,-112,-92,-71,-24,-38,51,-149,-32,0
菊沢一樹,1438,1851,,2615,544,333,2382,349,0,-852,1115,2961,-90,-14,147,0,0,-126,-272,2208,249,2596,-709,133,0
北沢伸也,,,142,,,142,,,,,2,44,-67,-92,-191,219,229,-83,,,,280,,-362,
北村宏司,2972,508,,1553,1349,906,2496,1272,-236,,182,651,1320,1198,286,94,-153,,479,332,1033,243,1604,217,-220
北村友一,-238,-354,,295,-607,-240,-1212,764,495,1324,0,-532,-394,-14,-345,-36,563,-426,285,-165,51,-352,-137,285,-114
城戸義政,-1137,2163,,-1530,2123,-157,1473,-1060,0,0,-108,330,-63,-158,1362,142,-576,-375,445,662,531,579,129,-114,0
草野太郎,0,0,103,0,0,103,0,0,,,168,-643,235,28,-20,467,-97,-384,,0,0,75,0,3,
黒岩悠　,-158,-225,8,-36,-467,8,-228,-258,,,-345,457,159,459,-251,-780,-240,-157,-79,-315,-79,-39,-160,19,
国分恭介,101,2406,,1977,1336,-485,7,2646,19,0,217,-307,-700,164,464,-18,1699,103,265,2492,-136,851,1956,-78,487
国分優作,-1215,-147,,-41,-1367,-78,-729,-582,-158,-84,19,59,0,-296,-680,29,-531,359,-28,-591,241,-324,-307,-675,262
小坂忠士,-79,-26,456,-82,0,448,0,-98,,,84,-87,-2,-4,70,-40,113,415,-79,6,0,11,-158,519,0
小崎綾也,75,-577,,-639,141,16,-326,-14,0,118,130,-110,80,-93,-275,-677,-741,491,-601,-1672,116,-1326,21,502,99
小林脩斗,-1846,-1461,,-1293,-1490,-219,-1370,-1537,,0,-475,-678,-431,-983,-212,-131,0,-158,-563,-280,-616,-1683,-641,-394,-158
小林勝太,-1978,676,,-1711,-35,942,2657,-2466,-1225,-2187,1573,-694,4428,-654,-700,,,,-2120,-1369,-602,-1102,-378,-394,
小林美駒,802,605,,1107,458,-315,-2236,2599,,-395,2202,-344,-1261,840,-473,,,,-505,496,1040,613,-252,-158,-79
小林凌大,-1986,876,,309,-783,-657,-206,-347,-344,20,-488,-849,204,1254,76,,-79,-770,-783,-722,512,-1842,238,148,
小牧加矢,,,-1131,,,-1131,,,,,-224,234,-315,218,-112,-251,-320,-535,,,,-634,,-513,
小牧太,-164,-354,,-580,116,0,-156,-373,,,555,-26,-79,0,-52,-527,-48,54,-49,42,-124,-755,165,0,0
木幡育也,156,-395,,-284,29,0,-379,240,0,0,228,-222,-289,-374,-9,0,0,0,405,-108,-760,125,-142,-136,-113
木幡巧也,-312,1119,,1650,-362,-567,642,581,,,-9,-143,697,558,0,0,-158,,498,-242,-96,1426,-281,-86,-138
木幡初也,-706,-415,,-262,-1061,62,-1144,-523,,0,-294,-160,-622,-58,-394,-394,67,0,162,-141,-209,-788,-228,141,269
斎藤新　,-1185,-415,,-1115,-340,30,-1657,13,1452,-349,-130,-1008,-272,-178,-311,-146,-308,-39,-844,242,-40,-479,-651,-580,129
酒井学　,689,-399,,418,-6,-128,-384,703,0,,0,-284,39,-71,-637,-1902,264,608,285,-1196,45,-944,492,344,56
坂井瑠星,496,3780,,2938,1210,334,2559,1980,-24,0,0,180,1463,430,1117,305,1104,156,-722,621,-521,1502,1849,516,-160
佐々木大,2674,-59,,2888,14,-1102,1211,1977,133,766,-977,1259,-1472,475,1210,,,3713,838,2197,-189,581,2398,-379,-630
佐藤翔馬,-1080,557,,2232,-3861,-236,580,-930,-473,,1790,-1574,2627,-2331,,,-79,,-758,-840,3632,-112,-3546,-236,-79
鮫島克駿,1413,1145,,671,1850,-83,-15,2355,-452,188,0,0,-438,-2,-113,1856,1409,7,210,1981,1713,731,-465,1119,705
鮫島良太,-14,-263,,-180,-155,-48,-514,141,,,12,-352,-133,-36,-101,-171,9,52,598,-59,-146,2,85,-9,-79
柴田大知,-307,-1974,,-2700,1034,-368,-1234,-670,0,,-367,233,-1990,-412,241,97,0,0,-40,-498,678,-651,-1689,-230,-280
柴田善臣,-1081,875,,19,-452,-91,-139,-61,166,-79,27,-266,313,-358,-207,-435,136,70,-672,277,11,25,-433,45,-249
嶋田純次,2757,-1004,,1310,-771,201,1739,-204,-158,274,74,538,1051,-526,-236,-131,0,70,1142,-370,1304,-1099,446,46,151
菅原隆一,-822,-1133,,-1174,-931,-79,-404,-1656,,,-630,424,-670,-1357,-264,,0,0,-473,-403,-46,-1775,-366,0,
菅原明良,1030,60,,1554,-421,-89,153,721,-416,0,213,-117,678,30,151,1432,732,-16,314,1316,-203,200,-30,1188,1279
杉原誠人,1614,-2358,,268,-462,-1144,-115,-638,0,683,-990,95,-668,-662,83,-525,-552,0,889,-106,564,-1014,489,-17,332
鈴木慶太,,,-550,,,-550,,,,,-3,-108,0,-158,0,0,-79,-158,,,,-476,,-79,
