種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
American Pharoah,-168,-38,,235,-314,0,-136,-18,566,23,64,-151,-51,-22,43,86,-258,-185,-32,-35,-60,783,-687,-57,-91,-90,142,-642,185,-58
Arrogate,33,147,,86,25,154,230,-61,-79,0,,-171,242,-112,80,-125,160,-38,301,169,116,-91,243,-79,-1,5,498,,37,149
Dark Angel,620,-128,,516,-83,,-122,789,425,162,53,-65,0,402,-58,-525,-97,198,422,-73,28,62,142,-63,-90,126,-410,682,-18,-20
Exceed And Excel,-59,0,,-81,0,,-10,-119,-38,0,0,0,8,0,0,126,0,0,0,0,0,0,9,-153,0,0,24,0,51,-77
Frankel,52,-911,0,-553,21,-79,-171,-372,117,37,-222,175,-136,-23,-256,-363,-251,-196,-221,-45,-111,-252,8,-31,-136,-287,74,81,-212,-265
Frosted,868,-52,,923,-159,,451,83,,-79,-79,178,-87,125,284,-131,32,-61,0,-158,-45,-30,445,778,-6,-19,1343,,641,-244
Gun Runner,195,-177,,203,-306,,-295,362,-92,0,-94,-236,-77,189,-47,-139,217,101,99,199,57,-1,6,73,28,-105,237,,159,-90
Intello,399,,,399,,,1427,172,,,,1427,,,,38,152,,23,,1427,88,102,,399,,,,,
Into Mischief,-473,699,-131,527,-219,77,487,57,-79,34,-79,-127,143,39,243,-14,-133,156,-19,475,13,277,19,-171,-146,568,-45,-58,465,218
Justify,-343,-723,,-695,-408,,-422,-710,-324,-70,-79,-158,-200,-40,-55,-761,39,-236,-13,-213,-56,-575,-484,-87,-210,-654,,,-552,29
Kantharos,,490,,562,-79,,457,42,,,,,369,-37,88,,209,,,110,116,23,315,,113,406,,,3,156
Kingman,-684,-79,,-638,-233,-79,-349,-521,-19,-117,-131,-124,-100,-8,0,-265,-105,0,-136,0,-101,-458,-284,-29,-45,-882,0,-116,-142,-248
Lea,649,,,649,,,749,11,,,,613,196,,,-131,90,,,,,909,229,,,649,,,,
Lemon Drop Kid,0,-15,-158,31,-50,-158,13,-116,0,,0,0,33,-79,-6,0,0,-236,0,-85,0,-315,0,126,0,-125,0,-95,-93,47
Liam's Map,-31,226,,128,64,,114,99,0,,,-41,71,218,-5,0,128,0,0,89,112,4,119,,110,0,0,0,203,14
Mendelssohn,-236,329,,-48,232,,66,142,-79,,99,,213,25,-110,-263,60,,0,1,103,173,-155,,-68,360,,,35,-75
New Approach,-75,-452,,-578,-6,0,19,-451,-12,-121,-79,167,-49,0,-241,-174,-104,,0,-682,0,-186,-244,-18,0,-312,-265,-31,-228,-244
Optimizer,358,0,,234,59,,45,299,,,,-79,44,,131,346,64,59,167,0,0,,225,0,0,0,842,,253,-20
Palace Malice,30,151,,-173,368,,30,334,,,0,0,-8,,90,245,252,0,129,0,-8,345,0,132,467,0,0,,-32,-77
Practical Joke,-189,-14,,-492,601,,-182,116,49,,215,-79,23,-158,-79,-394,149,-16,144,-131,-42,7,-12,-243,-172,20,386,,62,232
Quality Road,-79,91,,362,-131,0,312,-152,0,0,9,-30,270,27,30,-50,-271,0,0,264,7,-57,131,2,0,-271,232,0,26,-13
Saxon Warrior,-629,-473,,-717,-253,-79,-527,-507,-89,,104,-266,-158,-315,-118,-132,-148,-78,-78,-158,-123,-736,-183,-79,-179,-1011,,,-777,-27
Siyouni,410,-36,,246,51,0,31,351,68,23,236,0,-3,-4,0,86,24,32,57,-62,83,0,23,218,214,0,97,160,139,-76
Speightstown,211,115,-32,271,71,-32,233,186,0,-223,0,-69,484,97,17,-463,126,156,179,182,7,105,372,-200,88,-474,273,512,-142,-110
Tapit,-75,-219,-158,21,-196,-394,-48,-289,104,-89,-52,-136,-264,-132,136,9,-136,0,-54,-255,0,-34,-3,-618,0,0,-76,-286,-208,-387
Uncle Mo,15,104,0,-31,162,106,57,141,146,-28,39,197,-1,-60,-111,32,101,-32,186,220,-17,100,69,-79,16,114,0,55,80,267
War Front,-83,95,-3,49,-171,-3,5,-37,0,0,-108,-31,23,240,33,-104,-73,-49,0,-3,93,-25,71,-121,56,126,0,-64,278,-258
Zoustar,-16,27,,-159,217,,50,-108,,1,222,4,0,0,43,0,-45,-127,-149,0,0,88,-81,,0,27,0,,-8,107
アイファーソング,-158,182,-394,195,-93,-394,308,-47,-79,-79,5,779,-552,-552,-236,-131,-79,865,,316,-79,375,184,-236,0,398,-788,,-245,153
アイルハヴアナザー,255,48,88,7,255,-109,164,112,43,25,94,23,-167,-338,436,-41,228,-38,69,325,0,1,-37,861,0,0,108,-4,259,40
