調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
相沢郁　,-992,375,0,-666,125,-13,-1221,743,-75,205,-85,-49,-723,699,-260,-90,100,-481,-147,-182,487,-677,-386,-21,159,141,-660,207,-233,-1241,-101,333,40
青木孝文,960,-257,567,551,-389,1071,-405,1033,538,19,407,140,45,341,-501,1780,-423,-67,749,-120,94,193,552,360,-135,131,-188,221,1224,172,-478,-529,-37
安達昭夫,-169,1209,-60,368,282,37,116,539,-147,84,-136,95,-20,-34,111,3941,-935,-37,325,1107,-40,-367,318,-335,-99,-426,-795,1302,101,413,-276,1103,-158
荒川義之,37,2201,29,1749,618,10,1578,619,-205,-58,14,551,-111,0,1137,1026,1248,-620,25,7,-339,1168,1022,143,-92,-846,2123,-112,1088,888,66,167,31
飯田祐史,-1752,-555,22,-513,-1361,19,-361,-1618,175,-48,18,51,-62,-24,-474,610,-985,-514,-44,47,-423,432,-1286,-166,26,123,-461,-747,-624,459,78,-348,-118
飯田雄三,935,782,-201,1719,178,-264,285,1326,-247,-104,-51,-442,712,-29,150,-1213,555,729,369,511,191,536,-131,323,138,355,843,-369,449,-465,-369,40,-316
池江泰寿,416,308,-113,296,78,311,194,526,24,-19,138,-114,-128,348,390,1714,-280,-432,133,419,-241,338,-263,1162,699,-208,-178,227,1314,212,-287,1289,0
池上昌和,355,590,101,-770,1767,318,674,300,-162,-49,-577,649,-48,1172,421,-365,36,-80,577,-207,-211,505,510,265,71,-232,-20,463,585,657,376,405,-30
池添学　,44,1003,22,786,330,-84,-722,1760,132,196,-46,-160,-15,216,-520,1302,399,211,536,372,115,828,-1120,727,172,434,311,-580,754,545,823,-277,95
伊坂重信,-1221,-1904,-357,-1077,-1475,-680,-1044,-1667,-359,-142,-647,-287,-1064,-1125,-76,1631,-256,164,1030,-1169,772,-72,-3198,-947,-237,-391,-1066,-953,-995,-1685,-1131,2,-92
石栗龍彦,255,1045,-424,1743,-536,-456,559,522,-255,129,408,-270,252,-338,119,-263,363,-199,1632,981,766,-61,325,-22,,-182,654,266,-344,-37,244,-250,20
石毛善彦,-729,-1671,-660,-1217,-263,-890,-2180,206,-319,358,-296,-956,-824,378,-375,-132,-158,-448,1166,-715,159,-912,-631,-138,0,-556,123,-395,-1706,-2513,-974,-553,918
石坂公一,886,612,0,-37,1634,-149,4,1570,192,104,23,-118,259,235,-194,2403,-222,294,-145,911,753,1007,405,-741,-677,874,328,497,-518,-105,-288,163,-37
石橋守　,-845,-396,,-21,-970,-349,981,-2368,-186,-183,-27,121,-46,-57,931,436,-1585,-162,-381,-859,33,205,-1600,124,-473,96,182,-301,-1294,-53,-1153,158,-396
伊藤圭三,-890,-1372,-440,-1515,-802,-242,-1376,-833,336,97,123,-508,-1056,-1295,-114,57,55,-384,-723,-67,-335,-1156,-235,-733,-320,-818,-411,-714,-631,-1771,-602,502,269
伊藤伸一,1317,-122,370,531,553,35,54,975,-174,4,9,-372,95,887,-80,-53,-366,850,-96,-359,-633,-253,496,448,626,-1331,815,207,-65,651,218,-403,-266
伊藤大士,-2037,-1665,-49,-2169,-1681,-9,-1492,-1773,-446,88,-229,-612,-1622,-1817,323,-97,69,310,-240,389,-157,-1381,-1518,-336,102,-618,-2409,-747,-972,-820,-301,-372,-340
稲垣幸雄,635,678,-88,888,269,-68,974,399,-507,198,-216,27,402,911,35,0,-158,0,95,548,197,726,39,-228,-146,806,202,412,-703,515,-119,196,0
岩戸孝樹,-1319,81,307,-345,-526,331,-185,-719,-130,-91,-506,-224,-357,-72,322,752,127,85,-344,57,-257,-736,105,846,124,-63,-287,-64,-114,-52,-40,203,282
上原博之,-177,-462,162,-552,-630,734,-522,-43,32,108,-453,-1005,345,-26,-171,-1,-128,1878,339,38,149,-646,-728,110,193,-690,227,-367,329,-463,-77,146,513
上原佑紀,570,-8,,1222,-386,-316,-958,1035,-395,198,702,-942,62,313,634,-395,349,,-300,785,-182,-357,2033,-395,-158,-1137,13,1915,122,1132,-1517,724,59
上村洋行,1226,-108,0,-393,1326,-207,538,389,-24,16,55,179,92,47,142,-956,413,-28,888,368,-297,148,1181,203,485,-144,1157,-172,251,475,-75,483,-30
梅田智之,-33,-815,0,-588,-402,135,-1142,505,-36,47,118,-284,-67,-32,-808,1622,-475,-33,-251,-459,88,-96,-655,-206,-114,-62,-88,-163,-710,247,-964,251,539
蛯名利弘,-2596,589,-504,319,-956,-865,-1060,60,407,-547,-631,520,-1845,780,-342,-263,-121,-280,113,453,-733,-34,-223,62,0,-4196,1905,686,-1815,-1774,265,126,-341
蛯名正義,-903,-787,113,-122,-909,-294,-294,-1315,-67,-124,-27,43,188,-788,-339,-263,-237,86,-268,-471,-387,1299,-1103,-675,-307,-264,47,-241,-661,-429,-95,-118,-79
大久保龍,-1105,44,-81,-1340,77,183,-381,-661,-495,-287,-107,104,-414,267,-237,598,-271,-305,-164,-392,355,-670,-606,104,570,-205,-266,102,-1113,-1189,190,208,-43
大竹正博,123,-801,696,13,-487,17,-83,-664,59,53,-760,-132,159,303,-84,-931,-169,65,-310,-201,227,1340,-1710,-264,-363,-26,-209,-475,266,-87,-61,84,219
大根田裕,-1418,2337,76,438,1233,41,463,1181,-32,212,-84,399,0,-62,371,928,400,185,-169,1642,172,1108,162,-210,64,-145,914,236,670,-539,113,-125,-95
大橋勇樹,-39,2670,-70,1159,1714,-234,-341,3349,266,97,175,97,-395,470,-317,-127,897,804,0,887,77,1534,838,-652,-158,46,3149,733,-2241,217,1184,802,-479
大和田成,1456,193,-140,1332,-329,-111,1664,118,145,113,455,-63,1288,-83,132,-170,-114,-227,84,-14,529,698,295,-4,491,1581,398,68,-460,-843,-197,-267,606
