2026,01,25,中山,1,未勝利,３歳・未勝利(馬齢)[指定],ダート,1200,良(暫定),16,"Lv3 ",6,,12,,,,,,,フェスティヴハート,,牝,3,7,12,7,中山,D,1200,,,,,,,良,3,7,未勝利*,38.2,差し,3,,41.9,37.4,11,15,東京,D,1400,,,,,,,良,7,3,未勝利・牝*,40.0,先行,3,,40.6,46.5,10,25,東京,D,1400,,,,,,,稍,4,11,新馬,37.6,先行,初,,49.1,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,1,未勝利,３歳・未勝利(馬齢)[指定],ダート,1200,良(暫定),16,"Lv3 ",7,,13,,,,,,,スーパーガール,,牝,3,4,12,27,中山,D,1200,,,◎,17,,,稍,7,3,未勝利・牝*,39.1,逃げ,3,,37.2,38.8,12,6,中京,D,1400,,,○,13,,,良,3,11,未勝利・牝*,39.0,先行,7,,43.5,43.2,10,19,東京,D,1400,★,00,◎,13,,,良,外,--,未勝利*,----,,5,,,43.1,9,13,中山,D,1800,,,◎,15,,,不,8,1,未勝利・牝*,41.4,先行,4,,40.6,45.2,8,17,札幌,T,1800,○,00,◎,11,,,稍,4,4,新馬,36.8,先行,初,,55.0,58.1
2026,01,25,中山,1,未勝利,３歳・未勝利(馬齢)[指定],ダート,1200,良(暫定),16,"Lv3 ",7,,14,,,,,,,ベンガルボダイジュ,,牡,3,4,12,27,中山,D,1200,,,▲,03,,,稍,8,14,未勝利*,38.1,後方,3,,42.7,38.7,12,7,中山,D,1200,,,◎,11,,,良,10,15,未勝利*,38.2,後方,2,,44.8,37.4,11,24,東京,T,1400,,,○,04,,,良,14,13,新馬,34.9,後方,初,,59.6,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,1,未勝利,３歳・未勝利(馬齢)[指定],ダート,1200,良(暫定),16,"Lv3 ",8,,15,,,,,,,シンクシビリティ,,牝,3,3,1,4,中山,D,1200,,,,,,,稍,4,13,新馬,39.1,差し,初,,42.6,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,1,未勝利,３歳・未勝利(馬齢)[指定],ダート,1200,良(暫定),16,"Lv3 ",8,,16,,,,,,,ステラゲイル,,牡,3,6,12,14,中山,D,1200,,,,,,,稍,8,10,新馬,39.0,先行,初,,42.1,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,2,未勝利・牝,３歳・未勝利(馬齢)(牝)[指定],ダート,1800,良(暫定),14,"Lv2 ",1,,1,,,,,,,マスカルポーネ,,牝,3,2,1,12,中山,D,1800,,,,,,,良,4,13,未勝利・牝,39.5,差し,3,,49.1,50.0,12,20,中山,D,1800,,,,,,,良,8,16,未勝利・牝*,40.0,後方,8,,45.5,43.6,10,26,東京,T,2000,,,,,,,稍,8,9,未勝利*,37.3,中団,2,,48.5,50.9,10,12,東京,T,2000,,,,,,,良,11,12,新馬,34.9,後方,初,,57.6,58.2,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,2,未勝利・牝,３歳・未勝利(馬齢)(牝)[指定],ダート,1800,良(暫定),14,"Lv2 ",2,,2,,,,,,,レヴェンドール,,牝,3,連,1,18,中山,D,1800,,,,,,,良,6,5,未勝利・牝,42.0,中団,15,+,41.5,42.5,10,5,東京,T,1400,,,,,,,良,8,5,未勝利*,34.5,中団,10,+,54.1,51.4,7,26,新潟,T,1400,,,,,,,良,7,14,新馬,34.4,後方,初,,55.1,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,2,未勝利・牝,３歳・未勝利(馬齢)(牝)[指定],ダート,1800,良(暫定),14,"Lv2 ",3,,3,,,,,,,ゲンパチミスティ,,牝,3,連,1,18,中山,D,1800,,,,,,,良,11,15,未勝利・牝,42.4,後方,12,+,41.5,42.5,10,26,東京,T,1800,,,,,,,稍,16,12,新馬,36.8,後方,初,,56.2,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,2,未勝利・牝,３歳・未勝利(馬齢)(牝)[指定],ダート,1800,良(暫定),14,"Lv2 ",3,B,4,,,,,,,ウインベルチェーロ,新,牝,3,2,1,12,中山,T,2000,,,,,,,良,13,12,未勝利,36.3,後方,20,+,50.9,46.9,8,24,札幌,T,2000,▲,00,,,,,良,7,3,新馬,36.1,後方,初,,56.5,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,01,25,中山,2,未勝利・牝,３歳・未勝利(馬齢)(牝)[指定],ダート,1800,良(暫定),14,"Lv2 ",4,,5,,,,,,,エコロストーム,,牝,3,2,1,10,中山,D,1800,,,△,01,,,良,4,10,新馬・牝,40.0,差し,初,,49.0,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
