場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
札幌,1,1,トーセンクリステル,ダイワメジャー,90.0,94.0,98.0,96.0,97.0,96.0,,,95.167,5.0
札幌,1,2,ニシノガンリキ,インディチャンプ,,,,,,,,,,
札幌,1,3,マーゴットミスト,ビッグアーサー,84.0,88.0,100.0,98.0,96.0,96.0,,,93.667,6.0
札幌,1,4,ココソラーレ,セイウンコウセイ,,,,,,,,,,
札幌,1,5,ハチハチローズ,ルヴァンスレーヴ,295.0,90.0,221.0,114.0,115.0,133.0,77.0,,149.286,1.0
札幌,1,6,マスキュラー,トゥザワールド,66.0,105.0,98.0,124.0,92.0,102.0,106.0,,99.0,4.0
札幌,1,7,サンタカリス,マテラスカイ,,,,,,,,,,
札幌,1,8,ウチュウノセカイ,タワーオブロンドン,155.0,107.0,108.0,103.0,102.0,98.0,82.0,,107.857,2.0
札幌,1,9,ライトアズフェザー,アルアイン,67.0,82.0,88.0,92.0,88.0,88.0,74.0,,82.714,7.0
札幌,1,10,ハルヒメ,マインドユアビスケッツ,117.0,99.0,110.0,103.0,102.0,93.0,,,104.0,3.0
札幌,2,1,クックパイン,ブラックタイド,63.0,103.0,109.0,101.0,92.0,102.0,94.0,,94.857,7.0
札幌,2,2,ステイアンビシャス,ドレフォン,115.0,107.0,107.0,105.0,110.0,104.0,,,108.0,4.0
札幌,2,3,マブアンドフェール,マインドユアビスケッツ,117.0,99.0,93.0,90.0,102.0,93.0,,,99.0,6.0
札幌,2,4,キムタックフェイス,フィエールマン,118.0,123.0,118.0,103.0,102.0,,,,112.8,2.0
札幌,2,5,クレヨンポップ,ロジャーバローズ,90.0,89.0,96.0,97.0,21.0,81.0,,,79.0,10.0
札幌,2,6,キタノアンシェル,ロジャーバローズ,90.0,89.0,96.0,97.0,21.0,81.0,91.0,,80.714,9.0
札幌,2,7,カピオラ,フィエールマン,118.0,123.0,118.0,103.0,102.0,,,,112.8,2.0
札幌,2,8,マージャング,Kameko,,,,,,,,,,
