場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
京都,12,6,リアライズ,石橋守　,110.0,94.0,98.0,90.0,102.0,93.0,,,97.833,12.0
京都,12,7,アーデルリーベ,斉藤崇史,102.0,92.0,96.0,101.0,101.0,98.0,100.0,,98.571,10.0
京都,12,8,インペリアルコート,畑端省吾,112.0,101.0,82.0,88.0,102.0,111.0,125.0,,103.0,5.0
京都,12,9,セクシーマージュ,小椋研介,50.0,71.0,63.0,36.0,78.0,57.0,,,59.167,14.0
京都,12,10,ショウナンラウール,高橋義忠,101.0,97.0,98.0,106.0,97.0,100.0,,,99.833,9.0
京都,12,11,サーナーティオン,藤岡健一,98.0,106.0,99.0,110.0,100.0,96.0,96.0,,100.714,8.0
京都,12,12,ビーグラッド,岡田稲男,108.0,100.0,98.0,102.0,102.0,99.0,,,101.5,6.0
京都,12,13,バニーラビット,武幸四郎,101.0,111.0,107.0,107.0,102.0,107.0,98.0,,104.714,3.0
京都,12,14,ウォーターエルピス,藤野健太,110.0,106.0,102.0,62.0,91.0,96.0,82.0,,92.714,13.0
京都,12,15,ダノンクロム,東田明士,,,,,,,,,,
