rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,gap12_min,std_topn,std_max,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
2,2,2.0,3.5,2,6,1,3.0,5,2.5,1,16.5,1.0,250.0,1.0,0,,0,2,0.0,1
2,2,2.1,3.5,2,6,0,3.0,5,2.5,1,16.5,1.0,250.0,1.0,0,,0,2,0.0,1
2,2,2.1,3.5,2,6,1,3.0,5,2.5,1,16.5,1.0,250.0,1.0,0,,0,2,0.0,1
2,2,2.2,3.5,2,6,0,3.0,5,2.5,1,16.5,1.0,250.0,1.0,0,,0,2,0.0,1
2,2,2.2,3.5,2,6,1,3.0,5,2.5,1,16.5,1.0,250.0,1.0,0,,0,2,0.0,1
2,2,2.0,3.5,2,6,0,3.0,5,2.5,2,12.6,1.0,235.0,1.0,0,,0,4,307.5,2
2,2,1.9,3.5,2,6,0,3.0,5,2.5,3,10.6,1.0,156.66666666666666,0.6666666666666666,0,,0,7,175.71428571428572,3
2,2,1.9,3.5,2,6,1,3.0,5,2.5,2,11.55,1.0,125.0,0.5,0,,0,5,0.0,2
2,2,1.5,3.5,2,6,0,3.0,5,2.5,14,65.40714285714286,1.0,116.42857142857143,0.6428571428571429,1,0.0,1,23,53.47826086956522,12
2,2,1.5,3.5,2,6,1,3.0,5,2.5,5,96.16,1.0,115.99999999999999,0.6,0,,0,9,0.0,5
2,2,1.4,3.5,2,6,0,3.0,5,2.5,17,85.57647058823528,1.0,115.29411764705881,0.6470588235294118,2,0.0,2,26,47.30769230769231,14
2,2,1.3,3.5,2,6,0,3.0,5,2.5,21,103.9095238095238,1.0,114.28571428571428,0.6666666666666666,6,204.99999999999997,6,26,47.30769230769231,14
2,2,1.7,3.5,2,6,0,3.0,5,2.5,9,9.944444444444445,1.0,111.11111111111111,0.5555555555555556,1,0.0,1,14,87.85714285714286,7
2,2,1.6,3.5,2,6,0,3.0,5,2.5,12,40.13333333333333,1.0,110.00000000000001,0.5833333333333334,1,0.0,1,20,61.5,10
2,2,1.6,3.5,2,6,1,3.0,5,2.5,4,12.7,1.0,105.0,0.5,0,,0,7,0.0,4
2,2,1.7,3.5,2,6,1,3.0,5,2.5,4,12.7,1.0,105.0,0.5,0,,0,7,0.0,4
2,2,1.3,3.5,2,6,1,3.0,5,2.5,9,95.8111111111111,1.0,96.66666666666667,0.5555555555555556,3,0.0,3,11,0.0,6
2,2,1.4,3.5,2,6,1,3.0,5,2.5,6,80.83333333333333,1.0,96.66666666666667,0.5,0,,0,11,0.0,6
2,2,1.8,3.5,2,6,1,3.0,5,2.5,3,13.433333333333335,1.0,83.33333333333334,0.3333333333333333,0,,0,6,0.0,3
2,2,1.8,3.5,2,6,0,3.0,5,2.5,6,10.116666666666665,1.0,78.33333333333333,0.3333333333333333,1,0.0,1,11,111.81818181818181,5
