場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
中山,1,1,フクチャンヒメ,ドレフォン,100.0,107.0,107.0,105.0,103.0,104.0,110.0,107.0,105.375,2.0
中山,1,2,マリアディオーサ,スマートファルコン,,,,,,,,,,
中山,1,3,クインズシフォン,デクラレーションオブウォー,102.0,99.0,96.0,102.0,105.0,100.0,,,100.667,5.0
中山,1,4,グローブミッション,ノーブルミッション,,,,,,,,,,
中山,1,5,シンフォニーシーズ,マクフィ,91.0,98.0,99.0,93.0,98.0,100.0,,,96.5,7.0
中山,1,6,ヴィーナスゼファー,Justify,75.0,84.0,93.0,86.0,90.0,83.0,86.0,76.0,84.125,11.0
中山,1,7,ステラマテュティナ,リアルインパクト,98.0,104.0,99.0,111.0,103.0,99.0,115.0,92.0,102.625,4.0
中山,1,8,セイリオス,ミスターメロディ,58.0,96.0,56.0,98.0,91.0,,,,79.8,12.0
中山,1,9,プレミアムハニー,スマートファルコン,,,,,,,,,,
中山,1,10,アナベルケイツー,ドレフォン,100.0,107.0,107.0,105.0,103.0,104.0,110.0,107.0,105.375,2.0
中山,1,11,サンパギータチャン,ダノンレジェンド,111.0,102.0,116.0,110.0,111.0,114.0,,,110.667,1.0
中山,1,12,エーデルムート,シルバーステート,118.0,92.0,77.0,98.0,97.0,99.0,,,96.833,6.0
中山,1,13,ミニョンマルーン,ミスターメロディ,58.0,96.0,56.0,98.0,91.0,,,,79.8,12.0
中山,1,14,ミサビスケッツ,マインドユアビスケッツ,84.0,99.0,93.0,90.0,102.0,93.0,101.0,97.0,94.875,10.0
中山,1,15,ドルーリー,サトノクラウン,107.0,86.0,99.0,93.0,99.0,95.0,,,96.5,7.0
中山,1,16,ニシノステディミキ,ミッキーロケット,119.0,102.0,83.0,95.0,97.0,104.0,104.0,58.0,95.25,9.0
中山,2,1,ヴィラスターリ,カリフォルニアクローム,107.0,108.0,105.0,104.0,100.0,105.0,,,104.833,3.0
中山,2,2,レッドレントラー,サトノアラジン,93.0,94.0,95.0,95.0,93.0,97.0,,,94.5,13.0
中山,2,3,マイウェイ,サトノクラウン,107.0,86.0,99.0,93.0,88.0,95.0,93.0,123.0,98.0,10.0
中山,2,4,シリウスライト,アメリカンペイトリオット,111.0,99.0,95.0,97.0,102.0,106.0,88.0,88.0,98.25,9.0
中山,2,5,ヨドノタイヨウ,ミッキーロケット,119.0,102.0,83.0,95.0,100.0,104.0,,,100.5,8.0
中山,2,6,キングズトゥルー,ウインブライト,110.0,107.0,121.0,99.0,99.0,76.0,180.0,,113.143,2.0
中山,2,7,ブライトメール,サートゥルナーリア,74.0,101.0,116.0,89.0,96.0,88.0,55.0,,88.429,16.0
中山,2,8,タケルサバイバル,ホッコータルマエ,103.0,105.0,102.0,106.0,100.0,98.0,101.0,104.0,102.375,6.0
中山,2,9,ナムラジミー,モーニン,89.0,90.0,88.0,80.0,89.0,92.0,85.0,95.0,88.5,15.0
中山,2,10,グレイスザクラウン,リーチザクラウン,95.0,97.0,95.0,99.0,94.0,95.0,91.0,98.0,95.5,12.0
中山,2,11,ファイアリーホット,ミッキーアイル,100.0,103.0,97.0,97.0,100.0,103.0,114.0,100.0,101.75,7.0
中山,2,12,ライフゲート,マインドユアビスケッツ,84.0,99.0,93.0,90.0,93.0,93.0,96.0,97.0,93.125,14.0
中山,2,13,ヴィーデ,ルヴァンスレーヴ,118.0,90.0,106.0,114.0,133.0,68.0,91.0,,102.857,5.0
中山,2,14,ガイ,ラニ,126.0,101.0,115.0,115.0,112.0,119.0,,,114.667,1.0
中山,2,15,マルターズヴェロス,キズナ,104.0,104.0,101.0,104.0,105.0,104.0,,,103.667,4.0
中山,2,16,ヘビーキュー,コパノリッキー,103.0,98.0,94.0,91.0,100.0,96.0,109.0,88.0,97.375,11.0
中山,3,1,イタリックタイプ,ロゴタイプ,98.0,85.0,98.0,97.0,87.0,99.0,,,94.0,12.0
中山,3,2,ラストシャリナ,アルアイン,84.0,82.0,84.0,81.0,88.0,88.0,74.0,57.0,79.75,15.0
中山,3,3,ファリア,メイショウボーラー,91.0,93.0,97.0,93.0,86.0,94.0,114.0,101.0,96.125,10.0
中山,3,4,マオノクラッシュ,リアルインパクト,98.0,104.0,99.0,111.0,103.0,99.0,115.0,92.0,102.625,6.0
中山,3,5,ボンジュールアスク,ルーラーシップ,100.0,107.0,99.0,102.0,107.0,100.0,107.0,96.0,102.25,7.0
中山,3,6,スヴァローグ,パイロ,95.0,104.0,105.0,112.0,102.0,106.0,,,104.0,3.0
中山,3,7,フレイム,パイロ,95.0,104.0,105.0,112.0,102.0,106.0,101.0,106.0,103.875,4.0
中山,3,8,アルマヴィーナス,サトノダイヤモンド,106.0,108.0,100.0,97.0,102.0,98.0,113.0,91.0,101.875,8.0
中山,3,9,ロッカバイベイビー,ルヴァンスレーヴ,118.0,90.0,106.0,115.0,133.0,77.0,91.0,,104.286,2.0
中山,3,10,ライヴドライバー,フォーウィールドライブ,119.0,117.0,116.0,133.0,113.0,122.0,68.0,,112.571,1.0
中山,3,11,ショウナンラリー,ナダル,122.0,95.0,112.0,89.0,101.0,,,,103.8,5.0
中山,3,12,ノックシュライン,Omaha Beach,,,,,,,,,,
中山,3,13,ラインアルテミス,アジアエクスプレス,104.0,96.0,102.0,97.0,103.0,106.0,102.0,99.0,101.125,9.0
中山,3,14,プリヤンカー,マクフィ,91.0,98.0,99.0,93.0,98.0,100.0,106.0,82.0,95.875,11.0
中山,3,15,セイカエイレーネー,エイシンフラッシュ,96.0,94.0,87.0,85.0,79.0,86.0,86.0,83.0,87.0,14.0
中山,3,16,ニシノテュケ,エピファネイア,91.0,96.0,88.0,94.0,92.0,93.0,88.0,91.0,91.625,13.0
中山,4,1,ポリアンセモス,リアルスティール,113.0,113.0,108.0,110.0,103.0,104.0,,,108.5,2.0
中山,4,2,サバイバルナイン,アレスバローズ,21.0,21.0,21.0,21.0,125.0,21.0,21.0,,35.857,15.0
中山,4,3,フォンデネージュ,ドレフォン,100.0,107.0,107.0,105.0,105.0,104.0,,,104.667,7.0
中山,4,4,ニシノフローレス,ホッコータルマエ,103.0,105.0,102.0,106.0,100.0,98.0,,,102.333,8.0
中山,4,5,エミネントキャリア,スワーヴリチャード,109.0,101.0,89.0,94.0,105.0,92.0,98.0,101.0,98.625,12.0
中山,4,6,ブルーユンチェリー,フィエールマン,158.0,123.0,118.0,114.0,103.0,,,,123.2,1.0
中山,4,7,ライズトゥザトップ,パイロ,95.0,104.0,105.0,112.0,108.0,106.0,108.0,106.0,105.5,6.0
中山,4,8,ミラクルダンサー,サトノダイヤモンド,106.0,108.0,100.0,97.0,99.0,98.0,,,101.333,10.0
中山,4,9,ミスパナギア,ホークビル,36.0,105.0,51.0,102.0,105.0,90.0,115.0,29.0,79.125,14.0
中山,4,10,カルタジローネ,リアルスティール,113.0,113.0,108.0,110.0,103.0,104.0,,,108.5,2.0
中山,4,11,クロメヒョウ,タリスマニック,99.0,107.0,102.0,104.0,98.0,99.0,,,101.5,9.0
中山,4,12,トーアナカヨシ,ホークビル,36.0,105.0,51.0,102.0,105.0,90.0,,,81.5,13.0
中山,4,13,ハナヒラク,サングラス,,,,,,,,,,
中山,4,14,ファランジリング,キタサンブラック,90.0,106.0,105.0,97.0,101.0,103.0,,,100.333,11.0
中山,4,15,キューティリップ,リアルスティール,113.0,113.0,108.0,110.0,103.0,104.0,95.0,107.0,106.625,5.0
中山,4,16,ペイシャリサデル,ディスクリートキャット,106.0,106.0,101.0,106.0,93.0,106.0,127.0,113.0,107.25,4.0
中山,5,1,ラムコーク,ドゥラメンテ,96.0,97.0,99.0,98.0,98.0,99.0,98.0,,97.857,15.0
中山,5,2,レッドバンデ,キズナ,104.0,104.0,105.0,104.0,105.0,104.0,114.0,,105.714,2.0
中山,5,3,ピエナフェーヴル,オルフェーヴル,101.0,103.0,105.0,104.0,103.0,103.0,,,103.167,5.0
中山,5,4,ヘヴンウィンド,エピファネイア,91.0,96.0,97.0,94.0,97.0,93.0,95.0,,94.714,17.0
中山,5,5,エアイナーン,ゴールドシップ,96.0,102.0,101.0,102.0,102.0,103.0,101.0,,101.0,7.0
中山,5,6,ケーニッヒブルート,スクリーンヒーロー,101.0,105.0,109.0,115.0,102.0,106.0,110.0,,106.857,1.0
中山,5,7,アルカラス,ゴールドシップ,96.0,102.0,101.0,102.0,102.0,103.0,96.0,,100.286,12.0
中山,5,8,ガスパール,ジャスタウェイ,95.0,104.0,99.0,100.0,99.0,102.0,107.0,,100.857,10.0
中山,5,9,ピンキースウェア,キズナ,104.0,104.0,105.0,104.0,105.0,104.0,114.0,,105.714,2.0
中山,5,10,レイホーキング,エピファネイア,91.0,96.0,97.0,94.0,97.0,93.0,95.0,,94.714,17.0
中山,5,11,エルドジュリエーネ,ゴールドシップ,96.0,102.0,101.0,102.0,102.0,103.0,101.0,,101.0,7.0
中山,5,12,バーケンヘッド,アドマイヤマーズ,80.0,95.0,95.0,108.0,116.0,,,,98.8,13.0
中山,5,13,ブリヤディアマンテ,サトノダイヤモンド,106.0,108.0,97.0,97.0,99.0,98.0,113.0,,102.571,6.0
中山,5,14,マカナ,ゴールドシップ,96.0,102.0,101.0,102.0,102.0,103.0,101.0,,101.0,7.0
中山,5,15,ミクニインスパイア,アドマイヤマーズ,80.0,95.0,95.0,108.0,116.0,85.0,,,96.5,16.0
中山,5,16,ケアンズ,ダノンバラード,69.0,100.0,107.0,98.0,104.0,103.0,105.0,,98.0,14.0
中山,5,17,ディベルティスマン,キズナ,104.0,104.0,105.0,104.0,105.0,104.0,,,104.333,4.0
中山,5,18,エターナルシルバー,シルバーステート,118.0,92.0,104.0,98.0,97.0,99.0,96.0,,100.571,11.0
中山,6,1,バットスティンガー,キズナ,104.0,104.0,105.0,104.0,105.0,104.0,114.0,,105.714,3.0
中山,6,2,セレニティ,ブリックスアンドモルタル,104.0,98.0,104.0,103.0,104.0,97.0,,,101.667,5.0
中山,6,3,スイートオレンジ,ゴールドシップ,96.0,102.0,101.0,102.0,102.0,103.0,,,101.0,8.0
中山,6,4,ハニードレス,ブリックスアンドモルタル,104.0,98.0,104.0,103.0,104.0,97.0,,,101.667,5.0
中山,6,5,アイスヴィレッジ,ブリックスアンドモルタル,104.0,98.0,104.0,103.0,104.0,97.0,,,101.667,5.0
中山,6,6,アイスフィールド,ウインブライト,110.0,107.0,97.0,99.0,99.0,76.0,,,98.0,14.0
中山,6,7,フォーエリーゼ,ルーラーシップ,100.0,107.0,101.0,102.0,96.0,100.0,,,101.0,8.0
中山,6,8,グロスビーク,シスキン,95.0,135.0,107.0,185.0,70.0,,,,118.4,1.0
中山,6,9,ニシノティターニア,Mendelssohn,129.0,148.0,21.0,130.0,127.0,124.0,115.0,,113.429,2.0
