場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
函館,1,1,テイクケア,和田正一,172.0,903.0,1100.0,-222.0,616.0,1323.0,,,3892.0,3.0
函館,1,2,アルテクィーン,杉山晴紀,-212.0,1286.0,1179.0,997.0,679.0,1908.0,,,5837.0,1.0
函館,1,3,ヌーンベルク,武井亮　,-114.0,530.0,-829.0,499.0,451.0,211.0,18.0,,766.0,5.0
函館,1,4,イチゴワタアメ,中舘英二,-203.0,-785.0,-804.0,187.0,-1055.0,-282.0,,,-2942.0,8.0
函館,1,5,トーセンルルド,杉浦宏昭,60.0,815.0,783.0,244.0,929.0,1516.0,,,4347.0,2.0
函館,1,6,アズライトティアラ,浜田多実,-37.0,584.0,847.0,120.0,590.0,563.0,836.0,,3503.0,4.0
函館,1,7,ショウナンカノア,清水久詞,-48.0,-1379.0,-643.0,-695.0,211.0,-277.0,,,-2831.0,7.0
函館,1,8,ゴートゥービッツン,伊藤伸一,-82.0,-3515.0,-1670.0,-1024.0,-3273.0,-1675.0,,,-11239.0,9.0
函館,1,9,アイシテルヨナオミ,畑端省吾,-201.0,-257.0,-1580.0,-1031.0,359.0,484.0,,,-2226.0,6.0
函館,2,1,ヒメヒオウギ,中竹和也,20.0,31.0,1129.0,900.0,190.0,1404.0,,,3674.0,3.0
函館,2,2,デイズインザサン,小野次郎,-309.0,29.0,1649.0,1331.0,939.0,1905.0,524.0,,6068.0,1.0
函館,2,3,トリニタリオ,勢司和浩,-111.0,-1930.0,-1533.0,-1853.0,-1079.0,-757.0,-953.0,,-8216.0,15.0
函館,2,4,ホウショウリュウ,本間忍　,-300.0,277.0,397.0,-613.0,-1261.0,-1717.0,166.0,,-3051.0,12.0
函館,2,5,コワンニシタガウ,庄野靖志,0.0,-179.0,649.0,1041.0,244.0,1203.0,-119.0,,2839.0,4.0
函館,2,6,アウェイクネス,前川恭子,411.0,-21.0,-882.0,-988.0,1958.0,875.0,1178.0,,2531.0,5.0
函館,2,7,スワトウ,牧田和弥,176.0,-620.0,-240.0,-700.0,336.0,-1017.0,1057.0,,-1008.0,8.0
函館,2,8,マイネルディザイア,室井潔　,,,,,,,,,,
函館,2,9,ヴァールザーゲン,松山将樹,-720.0,646.0,250.0,-615.0,539.0,-565.0,-109.0,,-574.0,7.0
函館,2,10,ボーントゥラブユー,小笠倫弘,326.0,-817.0,-481.0,-863.0,-1203.0,-311.0,,,-3349.0,13.0
函館,2,11,タイセイルビー,千葉直人,-631.0,1698.0,1528.0,2154.0,-110.0,174.0,,,4813.0,2.0
函館,2,12,メイショウローゼ,本田優　,-273.0,-940.0,717.0,935.0,-1397.0,-1284.0,,,-2242.0,11.0
函館,2,13,ユマハム,田中博康,-38.0,-97.0,-1190.0,-14.0,-57.0,-247.0,,,-1643.0,10.0
函館,2,14,ワダツミ,笹田和秀,-50.0,-982.0,405.0,-720.0,845.0,-886.0,7.0,,-1381.0,9.0
函館,2,15,エイシンリーガル,高橋康之,-526.0,-1457.0,-442.0,-1105.0,-1809.0,-1443.0,,,-6782.0,14.0
函館,2,16,ニシノマルガリート,鈴木伸尋,-91.0,580.0,-667.0,660.0,-337.0,-506.0,,,-361.0,6.0
函館,3,1,ハスカップジャム,中舘英二,-203.0,-785.0,-752.0,-2147.0,-244.0,-282.0,2.0,,-4411.0,12.0
函館,3,2,マスカルポーネ,水野貴広,6.0,289.0,1297.0,22.0,468.0,649.0,,,2731.0,3.0
函館,3,3,テリオスリコ,松下武士,24.0,308.0,233.0,-665.0,-617.0,-264.0,,,-981.0,8.0
函館,3,4,ペガサスウィンド,宮地貴稔,175.0,1553.0,534.0,-310.0,2542.0,2558.0,,,7052.0,1.0
函館,3,5,ラショナルポイント,大竹正博,237.0,695.0,-400.0,51.0,-181.0,-140.0,-321.0,,-59.0,4.0
