場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
函館,1,1,テイクケア,横山琉人,0.0,-1084.0,-102.0,-759.0,27.0,,-1918.0,5.0
函館,1,2,アルテクィーン,鮫島克駿,316.0,547.0,165.0,-467.0,1916.0,,2477.0,2.0
函館,1,3,ヌーンベルク,横山武史,574.0,-365.0,-119.0,-1275.0,-878.0,,-2063.0,6.0
函館,1,4,イチゴワタアメ,小林美駒,-374.0,25.0,-155.0,-836.0,399.0,,-941.0,4.0
函館,1,5,トーセンルルド,佐々木大,1486.0,-258.0,796.0,1158.0,332.0,,3514.0,1.0
函館,1,6,アズライトティアラ,小沢大仁,-147.0,-173.0,-2372.0,-6818.0,2344.0,,-7166.0,8.0
函館,1,7,ショウナンカノア,池添謙一,-474.0,457.0,301.0,-743.0,94.0,,-365.0,3.0
函館,1,8,ゴートゥービッツン,遠藤汰月,,-7636.0,-3767.0,-7583.0,-3188.0,,-22174.0,9.0
函館,1,9,アイシテルヨナオミ,吉田隼人,13.0,8.0,-1074.0,-1870.0,-808.0,,-3731.0,7.0
函館,2,1,ヒメヒオウギ,河原田菜,,-2203.0,-2758.0,-1606.0,-4370.0,,-10937.0,16.0
函館,2,2,デイズインザサン,大久保友,0.0,0.0,-464.0,32.0,-253.0,,-685.0,10.0
函館,2,3,トリニタリオ,横山和生,-122.0,-47.0,295.0,1042.0,1760.0,,2928.0,5.0
函館,2,4,ホウショウリュウ,岩田康誠,-327.0,-856.0,36.0,1457.0,386.0,,696.0,7.0
函館,2,5,コワンニシタガウ,武豊　　,-16.0,-824.0,-2039.0,-958.0,-2070.0,,-5907.0,13.0
函館,2,6,アウェイクネス,鷲頭虎太,1184.0,488.0,624.0,1545.0,1936.0,,5777.0,2.0
函館,2,7,スワトウ,和田陽希,-2345.0,-541.0,-3525.0,-2889.0,-1469.0,,-10769.0,15.0
函館,2,8,マイネルディザイア,丹内祐次,253.0,697.0,1654.0,2149.0,1778.0,,6531.0,1.0
函館,2,9,ヴァールザーゲン,小林美駒,-374.0,25.0,-155.0,1251.0,399.0,,1146.0,6.0
函館,2,10,ボーントゥラブユー,横山琉人,0.0,-1084.0,-102.0,1717.0,27.0,,558.0,8.0
函館,2,11,タイセイルビー,鮫島克駿,316.0,547.0,165.0,2084.0,1916.0,,5028.0,3.0
函館,2,12,メイショウローゼ,吉田隼人,13.0,8.0,-1074.0,806.0,-808.0,,-1055.0,11.0
函館,2,13,ユマハム,舟山瑠泉,213.0,-2686.0,2153.0,2613.0,1447.0,,3740.0,4.0
函館,2,14,ワダツミ,川又賢治,-618.0,-918.0,-569.0,-2130.0,-2090.0,,-6325.0,14.0
函館,2,15,エイシンリーガル,松本大輝,868.0,94.0,-35.0,-2116.0,1294.0,,105.0,9.0
函館,2,16,ニシノマルガリート,横山武史,574.0,-365.0,-119.0,-1532.0,-878.0,,-2320.0,12.0
函館,3,1,ハスカップジャム,長浜鴻緒,-159.0,-226.0,786.0,1673.0,1497.0,,3571.0,5.0
函館,3,2,マスカルポーネ,舟山瑠泉,213.0,-2686.0,-37.0,2613.0,1447.0,,1550.0,7.0
函館,3,3,テリオスリコ,古川吉洋,-1448.0,603.0,-1063.0,1159.0,516.0,,-233.0,11.0
函館,3,4,ペガサスウィンド,鮫島克駿,316.0,547.0,1757.0,2084.0,1916.0,,6620.0,2.0
函館,3,5,ラショナルポイント,横山武史,574.0,-365.0,-2781.0,-1532.0,-878.0,,-4982.0,12.0
函館,3,6,ルージュリヴィエラ,横山和生,-122.0,-47.0,742.0,1042.0,1760.0,,3375.0,6.0
函館,3,7,ティナンヴァランタ,黛弘人　,231.0,413.0,1281.0,1452.0,2261.0,,5638.0,3.0
函館,3,8,ルージュボニート,丹内祐次,253.0,697.0,54.0,2149.0,1778.0,,4931.0,4.0
函館,3,9,ギンケイ,横山琉人,0.0,-1084.0,609.0,1717.0,27.0,,1269.0,8.0
函館,3,10,ウォータースパウト,国分恭介,54.0,1476.0,1862.0,1934.0,3402.0,,8728.0,1.0
函館,3,11,ブリスフルイヤー,小林美駒,-374.0,25.0,-196.0,1251.0,399.0,,1105.0,9.0
函館,3,12,ハヤブサブロー,吉田隼人,13.0,8.0,-2.0,806.0,-808.0,,17.0,10.0
函館,4,1,ホウオウザロイヤル,丹内祐次,253.0,697.0,1654.0,-913.0,1778.0,,3469.0,4.0
函館,4,2,ルージュフィーリア,佐々木大,1486.0,-258.0,796.0,1158.0,332.0,,3514.0,2.0
函館,4,3,グローリアスダンス,長浜鴻緒,-159.0,-226.0,1531.0,864.0,1497.0,,3507.0,3.0
函館,4,4,ブラックジャック,小林美駒,-374.0,25.0,-155.0,-836.0,399.0,,-941.0,8.0
函館,4,5,ディサイドオンミー,大久保友,0.0,0.0,-464.0,-379.0,-253.0,,-1096.0,9.0
函館,4,6,フクノアンタレス,鷲頭虎太,1184.0,488.0,624.0,1794.0,1936.0,,6026.0,1.0
函館,4,7,カテドラルクォーツ,黛弘人　,231.0,413.0,137.0,-114.0,2261.0,,2928.0,5.0
函館,4,8,ソチミルコ,横山武史,574.0,-365.0,-119.0,-1275.0,-878.0,,-2063.0,11.0
函館,4,9,ゲレイロ,小沢大仁,-147.0,-173.0,-2372.0,-6818.0,2344.0,,-7166.0,14.0
函館,4,10,チェリーブルーム,遠藤汰月,,-7636.0,-3767.0,-7583.0,-3188.0,,-22174.0,16.0
函館,4,11,フルムーン,武豊　　,-16.0,-824.0,-2039.0,-1193.0,-2070.0,,-6142.0,13.0
函館,4,12,オリヒメボシ,舟山瑠泉,213.0,-2686.0,2153.0,369.0,1447.0,,1496.0,7.0
函館,4,13,スカイプレリュード,横山琉人,0.0,-1084.0,-102.0,-759.0,27.0,,-1918.0,10.0
函館,4,14,ロードクラシコ,斎藤新　,-1258.0,401.0,-2155.0,32.0,-1090.0,,-4070.0,12.0
函館,4,15,スッサンエア,鮫島克駿,316.0,547.0,165.0,-467.0,1916.0,,2477.0,6.0
函館,4,16,ヤジロベエバランス,河原田菜,,-2203.0,-2758.0,-2431.0,-4370.0,,-11762.0,15.0
函館,5,1,リキサンステラ,小沢大仁,-147.0,-800.0,-1604.0,-6818.0,2344.0,,-7025.0,5.0
函館,5,2,リアルクウカイ,原田和真,-2288.0,1737.0,475.0,520.0,-1435.0,,-991.0,1.0
函館,5,3,ダマスク,丹内祐次,253.0,-2298.0,54.0,-913.0,1778.0,,-1126.0,3.0
函館,5,4,ロゼハイスクール,古川奈穂,98.0,56.0,-49.0,273.0,-1472.0,,-1094.0,2.0
函館,5,5,ヴァイタリズム,横山武史,574.0,505.0,-2781.0,-1275.0,-878.0,,-3855.0,4.0
函館,6,1,メイショウセンドウ,吉田隼人,13.0,8.0,-2.0,806.0,-808.0,,17.0,8.0
函館,6,2,ブレイズランナー,長浜鴻緒,-159.0,-226.0,786.0,1673.0,1497.0,,3571.0,3.0
函館,6,3,ディープマウンテン,小林美駒,-374.0,25.0,-196.0,1251.0,399.0,,1105.0,6.0
函館,6,4,ステキサプライズ,横山琉人,0.0,-1084.0,609.0,1717.0,27.0,,1269.0,5.0
函館,6,5,レッドフロイデ,河原田菜,,-2203.0,-1452.0,-1606.0,-4370.0,,-9631.0,13.0
函館,6,6,フェンリル,石川倭　,,,,,,,,
函館,6,7,ブリリアンス,松本大輝,868.0,94.0,-39.0,-2116.0,1294.0,,101.0,7.0
函館,6,8,クラン,横山武史,574.0,-365.0,-2781.0,-1532.0,-878.0,,-4982.0,12.0
函館,6,9,ライヴマルガリータ,古川吉洋,-1448.0,603.0,-1063.0,1159.0,516.0,,-233.0,9.0
函館,6,10,シュヴェスター,舟山瑠泉,213.0,-2686.0,-37.0,2613.0,1447.0,,1550.0,4.0
函館,6,11,ストリートクイーン,丹内祐次,253.0,697.0,54.0,2149.0,1778.0,,4931.0,2.0
函館,6,12,ララニューディー,佐々木大,1486.0,-258.0,-1647.0,-2305.0,332.0,,-2392.0,10.0
函館,6,13,チャーチルデュース,武豊　　,-16.0,-824.0,-310.0,-958.0,-2070.0,,-4178.0,11.0
函館,6,14,トルークマクト,鷲頭虎太,1184.0,488.0,2501.0,1545.0,1936.0,,7654.0,1.0
函館,7,1,ツルノマイハシ,佐々木大,1486.0,344.0,796.0,1158.0,332.0,,4116.0,3.0
函館,7,2,キミノナハオリョウ,遠藤汰月,,-1706.0,-3767.0,-7583.0,-3188.0,,-16244.0,10.0
函館,7,3,デルマリシリ,武豊　　,-16.0,-789.0,-2039.0,-1193.0,-2070.0,,-6107.0,9.0
函館,7,4,ココソラーレ,古川奈穂,98.0,980.0,-822.0,273.0,-1472.0,,-943.0,7.0
函館,7,5,ライトニングロッド,横山琉人,0.0,1578.0,-102.0,-759.0,27.0,,744.0,5.0
函館,7,6,アルバニー,舟山瑠泉,213.0,3973.0,2153.0,369.0,1447.0,,8155.0,1.0
函館,7,7,メイショウハッケイ,浜中俊　,-161.0,-861.0,1107.0,467.0,1127.0,,1679.0,4.0
函館,7,8,ジュジュドール,丹内祐次,253.0,2772.0,1654.0,-913.0,1778.0,,5544.0,2.0
函館,7,9,ルージュナリッシュ,池添謙一,-474.0,36.0,301.0,-743.0,94.0,,-786.0,6.0
函館,7,10,ストレイトアスク,小林美駒,-374.0,21.0,-155.0,-836.0,399.0,,-945.0,8.0
函館,8,1,グランアルト,斎藤新　,-1258.0,-1454.0,-2155.0,48.0,-1090.0,,-5909.0,6.0
函館,8,2,サイモンイロハニー,小沢大仁,-147.0,-2172.0,-2372.0,500.0,2344.0,,-1847.0,4.0
函館,8,3,ダノンヒストリー,浜中俊　,-161.0,-861.0,1107.0,-13.0,1127.0,,1199.0,1.0
