場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,距離区分,回り,道悪判定,種牡馬名,臨戦過程,距離変遷
新潟,1,未勝利,障害,2890,稍,1,コーパスクリスティ,5歳以上,中村将之,佐藤悠太,長距離,左回り,,エピファネイア,休明初戦,距離延長
新潟,1,未勝利,障害,2890,稍,2,キャプテンローレル,5歳以上,五十嵐雄,田村康仁,長距離,左回り,,ドレフォン,休明初戦,距離延長
新潟,1,未勝利,障害,2890,稍,3,コスモチプリア,5歳以上,伴啓太,松永康利,長距離,左回り,,ゴールドシップ,,距離短縮
新潟,1,未勝利,障害,2890,稍,4,タイセイジャスパー,5歳以上,大江原圭,伊藤圭三,長距離,左回り,,ヘニーヒューズ,休明2走,距離短縮
新潟,1,未勝利,障害,2890,稍,5,オーバーザドリーム,5歳以上,小野寺祐,清水久詞,長距離,左回り,,ヘニーハウンド,,距離延長
新潟,1,未勝利,障害,2890,稍,6,マホロバ,5歳以上,草野太郎,和田正一,長距離,左回り,,キズナ,休明初戦,距離延長
新潟,1,未勝利,障害,2890,稍,7,アクアマリンブルー,5歳以上,黒岩悠,戸田博文,長距離,左回り,,オーシャンブルー,休明3走,距離延長
新潟,1,未勝利,障害,2890,稍,8,キタノマキシム,4歳,水沼元輝,伊藤伸一,長距離,左回り,,ロジャーバローズ,休明2走,距離延長
新潟,1,未勝利,障害,2890,稍,9,ジッピーレーサー,5歳以上,井上敏樹,天間昭一,長距離,左回り,,City Zip,,距離延長
新潟,1,未勝利,障害,2890,稍,10,オリエンタルナイト,4歳,森一馬,寺島良,長距離,左回り,,ハービンジャー,,距離延長
新潟,1,未勝利,障害,2890,稍,11,アメリカンピース,5歳以上,小坂忠士,東田明士,長距離,左回り,,Tapit,,距離短縮
新潟,1,未勝利,障害,2890,稍,12,ヘヴンリーハンド,4歳,石神深一,武井亮,長距離,左回り,,オルフェーヴル,,距離延長
新潟,1,未勝利,障害,2890,稍,13,スペクトログラム,5歳以上,小牧加矢,池江泰寿,長距離,左回り,,ドレフォン,休明3走,距離延長
新潟,1,未勝利,障害,2890,稍,14,サンダーアラート,4歳,上野翔,田中博康,長距離,左回り,,サンダースノー,休明3走,距離延長
新潟,2,未勝利,ダート,1800,稍,1,セブンスウェイ,3歳,丹内祐次,清水英克,中距離,左回り,ダ道悪,ジャスタウェイ,休明3走,
新潟,2,未勝利,ダート,1800,稍,2,クリノエニシ,3歳,小崎綾也,武英智,中距離,左回り,ダ道悪,シャンハイボビー,休明2走,距離延長
新潟,2,未勝利,ダート,1800,稍,3,ロジピエルフ,3歳,吉田隼人,稲垣幸雄,中距離,左回り,ダ道悪,ロジユニヴァース,,距離延長
