場所,R,馬番,馬名,騎手名,騎手妙味度_1,騎手妙味度_2,騎手妙味度_3,騎手妙味度_4,騎手妙味度_5,騎手妙味度_6,騎手妙味度,騎手妙味度順位
福島,1,1,ハクサンエクレール,石田拓郎,126.0,108.0,95.0,80.0,90.0,,99.8,8.0
福島,1,2,ワキノグラス,秋山稔樹,114.0,105.0,108.0,105.0,107.0,,107.8,2.0
福島,1,3,アシャカルーク,小林美駒,116.0,90.0,90.0,94.0,96.0,,97.2,11.0
福島,1,4,ジークマインド,川端海翼,77.0,84.0,103.0,112.0,99.0,,95.0,14.0
福島,1,5,クリアクォーツ,古川吉洋,102.0,103.0,94.0,105.0,101.0,,101.0,6.0
福島,1,6,ヘレンテソーロ,横山琉人,102.0,93.0,103.0,93.0,97.0,,97.6,10.0
福島,1,7,タイセイウーノ,松本大輝,100.0,102.0,103.0,104.0,106.0,,103.0,5.0
福島,1,8,シアトルプリンセス,菊沢一樹,115.0,115.0,108.0,112.0,108.0,,111.6,1.0
福島,1,9,マサハヤモーブ,小沢大仁,108.0,96.0,95.0,78.0,104.0,,96.2,12.0
福島,1,10,ミトノキャット,佐々木大,89.0,102.0,101.0,106.0,104.0,,100.4,7.0
福島,1,11,シャンパンゴールド,永島まな,91.0,90.0,86.0,91.0,90.0,,89.6,15.0
福島,1,12,スマートテンペスト,丸山元気,94.0,98.0,95.0,97.0,94.0,,95.6,13.0
福島,1,13,メイショウホダワラ,藤懸貴志,97.0,105.0,105.0,105.0,107.0,,103.8,4.0
福島,1,14,タルトポワール,丹内祐次,94.0,102.0,100.0,98.0,104.0,,99.6,9.0
福島,1,15,パッションディーバ,角田大和,105.0,99.0,107.0,110.0,104.0,,105.0,3.0
福島,1,16,ロベルタカリーナ,上里直汰,,,,,,,,
福島,2,1,ソシエテトウショウ,古川吉洋,102.0,103.0,112.0,105.0,101.0,,104.6,3.0
福島,2,2,ウォーターカルミア,川端海翼,77.0,84.0,100.0,112.0,99.0,,94.4,11.0
福島,2,3,バシレイア,武藤雅　,89.0,94.0,82.0,88.0,94.0,,89.4,13.0
福島,2,4,メイショウマチルダ,中井裕二,66.0,83.0,80.0,108.0,95.0,,86.4,15.0
福島,2,5,モンサンアマリリス,石田拓郎,126.0,108.0,70.0,80.0,90.0,,94.8,10.0
福島,2,6,ルアスカリーン,小沢大仁,108.0,96.0,91.0,78.0,104.0,,95.4,9.0
福島,2,7,デボラ,佐々木大,89.0,102.0,103.0,106.0,104.0,,100.8,5.0
福島,2,8,ヨシノサプライズ,古川奈穂,132.0,89.0,91.0,91.0,92.0,,99.0,8.0
福島,2,9,ハイヌーンチェコ,藤懸貴志,97.0,105.0,102.0,105.0,107.0,,103.2,4.0
福島,2,10,リュウノハミング,遠藤汰月,,,,,,,,
福島,2,11,ジュリアナガール,今村聖奈,209.0,83.0,87.0,92.0,86.0,,111.4,2.0
福島,2,12,トレジャーハウス,永島まな,91.0,90.0,89.0,91.0,90.0,,90.2,12.0
福島,2,13,ミズイロホルトゥス,菊沢一樹,115.0,115.0,110.0,112.0,108.0,,112.0,1.0
福島,2,14,オーシンブーケ,斎藤新　,98.0,102.0,98.0,103.0,102.0,,100.6,6.0
福島,2,15,マーレリアン,小林脩斗,90.0,84.0,72.0,97.0,90.0,,86.6,14.0
福島,2,16,ヨッシーレイ,小林美駒,116.0,90.0,102.0,94.0,96.0,,99.6,7.0
福島,3,1,ベルランザドール,国分恭介,162.0,111.0,107.0,68.0,112.0,,112.0,1.0
