場所,R,馬番,馬名,種牡馬名,種牡馬利益度_1,種牡馬利益度_2,種牡馬利益度_3,種牡馬利益度_4,種牡馬利益度_5,種牡馬利益度_6,種牡馬利益度_7,種牡馬利益度_8,種牡馬利益度,種牡馬利益度順位
函館,1,1,ニシノギャルズ,セイウンコウセイ,-83.0,-967.0,-746.0,,-1973.0,-1056.0,-166.0,-166.0,-5157.0,10.0
函館,1,2,クリコイーコ,ディーマジェスティ,-95.0,1859.0,1746.0,1911.0,560.0,984.0,404.0,1439.0,8808.0,4.0
函館,1,3,トリアングルレディ,ダノンバラード,778.0,-367.0,15.0,221.0,-184.0,-594.0,205.0,33.0,107.0,8.0
函館,1,4,ビタミンドロップ,エスポワールシチー,0.0,627.0,1023.0,-143.0,935.0,1186.0,,-82.0,3546.0,6.0
函館,1,5,ヒューザー,ヘニーヒューズ,8.0,303.0,-615.0,228.0,-1117.0,-752.0,,-317.0,-2262.0,9.0
函館,1,6,スイーヴル,タワーオブロンドン,-442.0,448.0,-921.0,-1980.0,-1986.0,-1795.0,,-389.0,-7065.0,11.0
函館,1,7,マーゴットオネイロ,ゴールドドリーム,-472.0,-1742.0,-1839.0,-984.0,-2809.0,-277.0,,-2969.0,-11092.0,12.0
函館,1,8,アジーザム,ドレフォン,948.0,1595.0,5315.0,2869.0,2469.0,3246.0,,1232.0,17674.0,2.0
函館,1,9,ホワイトラバーズ,ディーマジェスティ,-95.0,1859.0,1746.0,1911.0,560.0,984.0,,1439.0,8404.0,5.0
函館,1,10,スプリングドリーム,モズアスコット,-81.0,3811.0,3010.0,2625.0,3566.0,1792.0,2534.0,1412.0,18669.0,1.0
函館,1,11,ホウオウワイズ,Bolt d'Oro,,-83.0,-10.0,,159.0,226.0,-41.0,,251.0,7.0
函館,1,12,サンライズロイ,フォーウィールドライブ,183.0,2466.0,1931.0,896.0,3272.0,67.0,1319.0,-423.0,9711.0,3.0
函館,2,1,フィエスタ,キタサンブラック,341.0,122.0,958.0,-143.0,499.0,1362.0,1038.0,171.0,4348.0,4.0
函館,2,2,ボーントゥラブユー,コントレイル,,-394.0,131.0,,-419.0,-620.0,-311.0,-483.0,-2096.0,8.0
函館,2,3,ダンツアラーム,リアルスティール,-146.0,1582.0,1603.0,3343.0,1692.0,1651.0,-1695.0,399.0,8429.0,1.0
函館,2,4,スリールーディカ,Saxon Warrior,310.0,-581.0,435.0,-480.0,-182.0,-437.0,,-38.0,-973.0,7.0
函館,2,5,ビアーレ,ミスチヴィアスアレックス,-194.0,-197.0,-462.0,,-98.0,-106.0,-8.0,1289.0,224.0,6.0
函館,2,6,プリュイドール,オルフェーヴル,-327.0,1462.0,-238.0,686.0,505.0,614.0,,-266.0,2436.0,5.0
函館,2,7,ベネディクション,エピファネイア,-325.0,-1162.0,-3133.0,-3396.0,-2293.0,-4432.0,,-2392.0,-17133.0,12.0
函館,2,8,アルケミラモリス,ロジャーバローズ,-1567.0,-1022.0,-68.0,-9.0,-1184.0,-2860.0,-695.0,386.0,-7019.0,11.0
函館,2,9,エアヴァイブス,コントレイル,,-394.0,131.0,,-419.0,-620.0,-311.0,-483.0,-2096.0,8.0
函館,2,10,アーミル,シルバーステート,-63.0,-1281.0,2587.0,-462.0,277.0,1278.0,1907.0,756.0,4999.0,2.0
