場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷
函館,1,未勝利,芝,1200,良,1,ペイシャアーサー,3歳,丹内祐次,本間忍,先行,,100.0,短距離,右回り,,Lv3 ,ビッグアーサー,,
函館,1,未勝利,芝,1200,良,2,リリアンファスト,3歳,戸崎圭太,嘉藤貴行,追込,,,短距離,右回り,,Lv3 ,サトノクラウン,休明3走,
函館,1,未勝利,芝,1200,良,3,シャルメイビス,3歳,川端海翼,森秀行,差し,,,短距離,右回り,,Lv3 ,ハービンジャー,休明2走,距離短縮
函館,1,未勝利,芝,1200,良,4,バックアップアゲン,3歳,原田和真,千葉直人,逃げ,,50.0,短距離,右回り,,Lv3 ,ビッグアーサー,休明2走,
函館,1,未勝利,芝,1200,良,5,レーヌドフルール,3歳,小沢大仁,西園正都,追込,,0.0,短距離,右回り,,Lv3 ,モーリス,,
函館,1,未勝利,芝,1200,良,6,エスペシャリー,3歳,藤岡佑介,四位洋文,先行,,50.0,短距離,右回り,,Lv3 ,スワーヴリチャード,,
函館,1,未勝利,芝,1200,良,7,ラブカマクフィー,3歳,中井裕二,田島俊明,差し,,25.0,短距離,右回り,,Lv3 ,マクフィ,休明2走,距離延長
函館,1,未勝利,芝,1200,良,8,テーオーシュターデ,3歳,古川吉洋,宮徹,先行,,33.33333333333333,短距離,右回り,,Lv3 ,スクリーンヒーロー,休明初戦,距離短縮
函館,1,未勝利,芝,1200,良,9,セゾンデフィーユ,3歳,横山武史,稲垣幸雄,先行,,,短距離,右回り,,Lv3 ,ダイワメジャー,,距離短縮
函館,1,未勝利,芝,1200,良,10,サニーネイチャー,3歳,武豊,長谷川浩,逃げ,,66.66666666666666,短距離,右回り,,Lv3 ,モーリス,休明初戦,
函館,1,未勝利,芝,1200,良,11,ミクニキャッチー,3歳,横山和生,昆貢,逃げ,,0.0,短距離,右回り,,Lv3 ,アメリカンペイトリオット,休明初戦,
函館,1,未勝利,芝,1200,良,12,アンビシャスヨシノ,3歳,松本大輝,吉田直弘,追込,,66.66666666666666,短距離,右回り,,Lv3 ,アルアイン,,
函館,1,未勝利,芝,1200,良,13,プレインコート,3歳,北村友一,吉岡辰弥,差し,,25.0,短距離,右回り,,Lv3 ,ロードカナロア,休明初戦,
函館,1,未勝利,芝,1200,良,14,ロッキンミー,3歳,斎藤新,杉浦宏昭,差し,,50.0,短距離,右回り,,Lv3 ,スクリーンヒーロー,,
函館,1,未勝利,芝,1200,良,15,アセンディア,3歳,ルメール,田中勝春,先行,,100.0,短距離,右回り,,Lv3 ,キンシャサノキセキ,休明2走,
