場所,R,クラス,種別,距離,馬場状態,馬番,馬名,年齢,騎手名,調教師名,脚質傾向,コース複勝率,距離帯複勝率,距離区分,回り,道悪判定,レースレベル,種牡馬名,臨戦過程,距離変遷,推定人気,人気ランク,テン1F_過去,テン1F_過去_ランク,テン1F_前走,テン1F_前走_ランク,テン_T,テン_T_ランク,上がり_T,上がり_T_ランク,前走_評価,前々走_評価,3走前_評価,4走前_評価,5走前_評価
函館,1,未勝利,芝,1200,良,1,チカバリエンテ,2歳,小林美駒,藤野健太,追込,0.0,0.0,短距離,右回り,,Lv1 ,シルバーステート,連闘,,4,C,13.1,7.0,13.1,7.0,36.5,,33.7,1.0,B,,,,
函館,1,未勝利,芝,1200,良,2,パンジャケリー,2歳,岩田望来,橋田宜長,先行,0.0,0.0,短距離,右回り,,Lv1 ,ディスクリートキャット,,距離延長,5,C,12.7,2.0,12.7,2.0,37.1,,34.7,3.0,C,,,,
函館,1,未勝利,芝,1200,良,3,ウィルレーヴィア,2歳,横山琉人,尾形和幸,追込,0.0,0.0,短距離,右回り,,Lv1 ,トーセンレーヴ,,,7,D,13.0,6.0,13.0,6.0,35.7,4.0,35.3,,D,,,,
函館,1,未勝利,芝,1200,良,4,キセキノユニコーン,2歳,古川奈穂,伊坂重信,差し,100.0,100.0,短距離,右回り,,Lv1 ,キセキ,,,1,B,12.8,3.0,12.8,3.0,35.0,2.0,34.8,4.0,D,,,,
函館,1,未勝利,芝,1200,良,5,シークレットタワー,2歳,丹内祐次,金成貴史,差し,100.0,100.0,短距離,右回り,,Lv1 ,タワーオブロンドン,,距離延長,3,B,12.9,4.0,12.9,4.0,37.3,,34.5,2.0,C,,,,
函館,1,未勝利,芝,1200,良,6,ガーシュウィン,2歳,河原田菜,和田雄二,追込,0.0,0.0,短距離,右回り,,Lv1 ,ロジャーバローズ,,距離延長,8,E,13.3,8.0,13.3,8.0,38.3,,35.9,,C,,,,
函館,1,未勝利,芝,1200,良,7,ダイシンドラゴン,2歳,佐々木大,高橋一哉,先行,0.0,0.0,短距離,右回り,,Lv1 ,ビッグアーサー,,,2,B,12.4,1.0,12.4,1.0,34.5,1.0,35.4,,B,,,,
函館,1,未勝利,芝,1200,良,8,アイルドフルール,2歳,北村友一,田中克典,追込,0.0,0.0,短距離,右回り,,Lv1 ,ミッキーアイル,,,6,D,12.9,4.0,12.9,4.0,35.4,3.0,35.2,,D,,,,
函館,2,未勝利,ダート,1700,稍重,1,メイショウタイザン,3歳,横山琉人,高橋義忠,差し,0.0,0.0,中距離,右回り,ダ道悪,Lv3 ,ミッキーアイル,,,2,C,12.6,7.0,13.9,11.0,36.9,6.0,37.8,7.0,C,C,C,,C
函館,2,未勝利,ダート,1700,稍重,2,ロジクリスエス,3歳,黛弘人,新開幸一,追込,,,中距離,右回り,ダ道悪,Lv3 ,ロジユニヴァース,休明初戦,距離短縮,9,D,12.8,10.0,,,,,,,C,B,D,E,
