,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
2021,348.0,313.0,,363.0,263.0,35.0,375.0,286.0,,5.0,41.0,76.0,281.0,197.0,18.0,,43.0,,71.0,137.0,63.0,187.0,323.0,35.0,53.0
2022,447.0,366.0,,436.0,334.0,43.0,442.0,371.0,,,71.0,91.0,347.0,288.0,4.0,,12.0,,95.0,174.0,94.0,232.0,389.0,43.0,55.0
2023,416.0,363.0,,430.0,301.0,48.0,424.0,355.0,13.0,,61.0,66.0,340.0,248.0,18.0,5.0,28.0,,80.0,128.0,78.0,212.0,393.0,38.0,58.0
2024,420.0,358.0,,428.0,309.0,41.0,389.0,389.0,9.0,,65.0,74.0,296.0,248.0,19.0,57.0,10.0,,52.0,101.0,83.0,219.0,377.0,37.0,62.0
2025,458.0,347.0,,399.0,369.0,37.0,407.0,398.0,10.0,8.0,76.0,87.0,297.0,264.0,23.0,30.0,10.0,,69.0,127.0,88.0,243.0,369.0,39.0,66.0
