場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
新潟,1,1,エターナリー,石神深一,-215.0,-681.0,-854.0,-875.0,0.0,,-2625.0,7.0
新潟,1,2,ワンダーサーイター,土田真翔,-1340.0,117.0,-79.0,-1623.0,,,-2925.0,9.0
新潟,1,3,シエロエスティーボ,上野翔　,700.0,430.0,121.0,121.0,-79.0,,1293.0,3.0
新潟,1,4,ロコルルハーツ,草野太郎,-643.0,75.0,103.0,103.0,0.0,,-362.0,5.0
新潟,1,5,ディープマインド,中村将之,-140.0,-667.0,-1189.0,-1189.0,0.0,,-3185.0,11.0
新潟,1,6,トーセンアウローラ,五十嵐雄,227.0,-299.0,-15.0,-15.0,0.0,,-102.0,4.0
新潟,1,7,ダイノハイド,江田勇亮,27.0,-665.0,-566.0,-566.0,0.0,,-1770.0,6.0
新潟,1,8,マイネルエール,井上敏樹,-421.0,-1102.0,-694.0,-475.0,-295.0,,-2987.0,10.0
新潟,1,9,アルカンサス,大江原圭,-383.0,-486.0,-984.0,-984.0,0.0,,-2837.0,8.0
新潟,1,10,テイエムエメラルド,難波剛健,790.0,661.0,1178.0,1187.0,0.0,,3816.0,1.0
新潟,1,11,クラウンセト,伴啓太　,10.0,431.0,807.0,796.0,-135.0,,1909.0,2.0
新潟,2,1,ソルトチューダ,小沢大仁,-19.0,-2442.0,-459.0,-10.0,-1408.0,,-4338.0,7.0
新潟,2,2,アルムチャーチル,秋山稔樹,238.0,566.0,665.0,367.0,-402.0,,1434.0,3.0
新潟,2,3,アレグランサ,横山武史,0.0,753.0,-1705.0,-925.0,-1553.0,,-3430.0,6.0
新潟,2,4,ラブミーハーパー,石神深道,,,,,,,,
新潟,2,5,カイトヴィント,丸山元気,223.0,189.0,-724.0,-123.0,-872.0,,-1307.0,4.0
新潟,2,6,パナランギン,大野拓弥,202.0,-346.0,-2096.0,-202.0,-2242.0,,-4684.0,8.0
新潟,2,7,マイネルラカイユ,丹内祐次,857.0,2661.0,826.0,3063.0,58.0,,7465.0,2.0
新潟,2,8,ミルトオーケストラ,菊沢一樹,2961.0,2596.0,1851.0,544.0,2382.0,,10334.0,1.0
新潟,2,9,チェリースカヤ,小林凌大,-849.0,-1842.0,876.0,-783.0,-206.0,,-2804.0,5.0
新潟,3,1,スマートプレシャス,田中健　,131.0,-69.0,721.0,184.0,585.0,,1552.0,5.0
新潟,3,2,サンセットブライト,横山琉人,306.0,-549.0,467.0,-257.0,337.0,,304.0,7.0
新潟,3,3,アイウィルビー,木幡巧也,-143.0,-281.0,1119.0,-362.0,642.0,,975.0,6.0
新潟,3,4,ヒロインズクレスト,長浜鴻緒,,,,,,,,
新潟,3,5,カフェアローロ,北村宏司,651.0,1604.0,508.0,1349.0,2496.0,,6608.0,2.0
新潟,3,6,オランジー,原優介　,43.0,3125.0,834.0,380.0,119.0,,4501.0,4.0
新潟,3,7,ランランガール,今村聖奈,-105.0,-2439.0,-2837.0,-1688.0,-160.0,,-7229.0,10.0
