場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
福島,1,1,セイウンレガーメ,-2196.0,9.0,-4339.0,7.0,-1472.0,7.0,-8.007,7.0
福島,1,2,ハルヒメ,66.0,6.0,-5072.0,9.0,-4814.0,12.0,-9.82,8.0
福島,1,3,グラティアム,2452.0,3.0,-621.0,6.0,1852.0,5.0,3.683,4.0
福島,1,4,タマコロリン,,,-4339.0,7.0,-16004.0,16.0,,
福島,1,5,エンゲルベルク,-3922.0,10.0,,,-6201.0,14.0,,
福島,1,6,マユナイト,1661.0,4.0,,,-3027.0,10.0,,
福島,1,7,アンセートゥモダン,-5170.0,12.0,7199.0,3.0,2852.0,2.0,4.881,3.0
福島,1,8,コスモラパウィラ,-1854.0,7.0,11047.0,2.0,-3142.0,11.0,6.051,2.0
福島,1,9,アンバサダネージュ,1524.0,5.0,27208.0,1.0,-1748.0,8.0,26.984,1.0
福島,1,10,コブラツイスト,-15700.0,14.0,,,2046.0,4.0,,
福島,1,11,イーガービーバー,-9928.0,13.0,974.0,5.0,3526.0,1.0,-5.428,6.0
福島,1,12,アルサック,-4088.0,11.0,-10054.0,10.0,2369.0,3.0,-11.773,9.0
福島,1,13,メイポール,6329.0,2.0,2834.0,4.0,-8831.0,15.0,0.332,5.0
福島,1,14,ドリームガッサン,,,,,-1452.0,6.0,,
福島,1,15,ニャンモロー,13885.0,1.0,,,-5204.0,13.0,,
福島,1,16,ドナソレイ,-2169.0,8.0,,,-1870.0,9.0,,
福島,2,1,ハッピーラッキー,631.0,7.0,-715.0,8.0,-6450.0,13.0,-6.534,6.0
福島,2,2,ユキノサイエンス,5272.0,3.0,-1053.0,9.0,591.0,2.0,4.81,4.0
福島,2,3,ヴァルボナ,-4054.0,11.0,6765.0,3.0,-2275.0,5.0,0.436,5.0
福島,2,4,ニシノコハルビヨリ,-11958.0,15.0,,,-3391.0,8.0,,
福島,2,5,ドリーマーズ,708.0,6.0,,,-4814.0,10.0,,
福島,2,6,ハネマン,,,158.0,5.0,-6175.0,12.0,,
福島,2,7,ココソラーレ,3651.0,4.0,,,-3551.0,9.0,,
福島,2,8,マイネルユーゲント,-8366.0,14.0,,,-1978.0,4.0,,
福島,2,9,シャンペトルブーケ,-5037.0,13.0,3134.0,4.0,-7277.0,14.0,-9.18,8.0
福島,2,10,アンジュプロミス,-3112.0,9.0,8510.0,2.0,2447.0,1.0,7.845,1.0
福島,2,11,エルドラド,-2979.0,8.0,158.0,5.0,-11194.0,15.0,-14.015,9.0
福島,2,12,プレヒティヒ,-4373.0,12.0,,,-2622.0,7.0,,
福島,2,13,セイカユウヒ,-3593.0,10.0,9191.0,1.0,-13560.0,16.0,-7.962,7.0
福島,2,14,ミツカネマルテ,14353.0,1.0,-3292.0,10.0,-4957.0,11.0,6.104,3.0
福島,2,15,ヒッグスボソン,5908.0,2.0,158.0,5.0,67.0,3.0,6.133,2.0
福島,2,16,インザライムライト,800.0,5.0,,,-2505.0,6.0,,
福島,3,1,ソルトチューダ,-315.0,7.0,-2199.0,6.0,9072.0,1.0,6.558,2.0
福島,3,2,ドゥラリス,-217.0,6.0,-7663.0,11.0,4702.0,2.0,-3.178,6.0
福島,3,3,ブレイクザアイス,-14598.0,14.0,7942.0,2.0,3628.0,4.0,-3.028,4.0
福島,3,4,ブレイジングスター,7030.0,1.0,-9407.0,14.0,-4891.0,10.0,-7.268,8.0
福島,3,5,ノーブルアクト,-4478.0,12.0,776.0,4.0,572.0,6.0,-3.13,5.0
福島,3,6,キングヴァージル,-2186.0,8.0,-9272.0,13.0,1820.0,5.0,-9.638,10.0
福島,3,7,ウェルキン,-4451.0,11.0,-9029.0,12.0,-1054.0,7.0,-14.534,11.0
福島,3,8,ストーンズ,-18547.0,15.0,-7247.0,10.0,-2343.0,8.0,-28.137,12.0
福島,3,9,レイフロレット,2525.0,2.0,-5122.0,9.0,,,,
福島,3,10,ヴェラグエリエロ,-2770.0,9.0,4045.0,3.0,4258.0,3.0,5.533,3.0
福島,3,11,メイショウクモイ,-4077.0,10.0,-67.0,5.0,-5420.0,11.0,-9.564,9.0
福島,3,12,オールデュスヴラン,1418.0,4.0,-3223.0,8.0,-3655.0,9.0,-5.46,7.0
福島,3,13,エコロカレン,-6863.0,13.0,-2865.0,7.0,,,,
福島,3,14,リリーアロー,-63.0,5.0,,,-5632.0,12.0,,
福島,3,15,ダイシンレアレア,1777.0,3.0,13235.0,1.0,-7493.0,13.0,7.519,1.0
福島,4,1,フォルガイル,-5049.0,10.0,-3437.0,7.0,-5763.0,8.0,-14.249,9.0
福島,4,2,ローンウルフ,-2406.0,8.0,183.0,3.0,-5078.0,6.0,-7.301,7.0
福島,4,3,グラヴィテ,-1042.0,6.0,-742.0,4.0,-5599.0,7.0,-7.383,8.0
福島,4,4,サトノリアン,1319.0,3.0,16379.0,1.0,445.0,3.0,18.143,1.0
福島,4,5,グローリーアテイン,-1196.0,7.0,-3327.0,6.0,1255.0,2.0,-3.268,4.0
福島,4,6,マグナレガリア,-443.0,4.0,-3437.0,7.0,-1787.0,5.0,-5.667,6.0
福島,4,7,アルカンサス,6774.0,1.0,-4220.0,10.0,-6258.0,9.0,-3.704,5.0
福島,4,8,ノーダブルディップ,2621.0,2.0,-1747.0,5.0,-626.0,4.0,0.248,3.0
福島,4,9,ヒットアンドロール,-3575.0,9.0,-3611.0,9.0,,,,
福島,4,10,カールスタード,-728.0,5.0,10950.0,2.0,2153.0,1.0,12.375,2.0
福島,5,1,サラフィエル,2621.0,2.0,,,1957.0,2.0,,
福島,5,2,ボルタドマール,1319.0,4.0,448.0,2.0,-2299.0,8.0,-0.532,3.0
福島,5,3,スズノイナズマ,-2406.0,8.0,-1639.0,5.0,2299.0,1.0,-1.746,5.0
福島,5,4,イルディヴィーノ,2598.0,3.0,-31.0,4.0,-56.0,5.0,2.511,2.0
福島,5,5,ゴールデンルーキー,-1196.0,7.0,,,-1256.0,7.0,,
福島,5,6,トーアマリシテン,-3575.0,9.0,-1910.0,6.0,380.0,4.0,-5.105,7.0
福島,5,7,レッドラマンシュ,-728.0,6.0,466.0,1.0,-949.0,6.0,-1.211,4.0
福島,5,8,ベイビーベリッシモ,-406.0,5.0,-2188.0,7.0,496.0,3.0,-2.098,6.0
福島,5,9,デスティネ,6774.0,1.0,233.0,3.0,-2781.0,9.0,4.226,1.0
福島,6,1,レオスキーム,-2188.0,12.0,-1294.0,11.0,-3934.0,13.0,-7.416,11.0
福島,6,2,ランギロア,2531.0,4.0,,,-2966.0,11.0,,
福島,6,3,ロックバンド,-4323.0,14.0,267.0,8.0,-892.0,8.0,-4.948,9.0
福島,6,4,ツキノコブネ,9041.0,1.0,5.0,9.0,-656.0,7.0,8.39,3.0
福島,6,5,プグナファータ,-1242.0,11.0,5246.0,2.0,3154.0,1.0,7.158,4.0
福島,6,6,スズノグレイス,2398.0,5.0,11645.0,1.0,-3202.0,12.0,10.841,2.0
福島,6,7,クッカユフラ,-4303.0,13.0,4698.0,4.0,2740.0,3.0,3.135,6.0
福島,6,8,マーゴットリック,4162.0,2.0,553.0,7.0,650.0,5.0,5.365,5.0
福島,6,9,ブリッジエフェクト,327.0,9.0,-6862.0,13.0,-1879.0,10.0,-8.414,12.0
福島,6,10,オリエンタルガール,1660.0,6.0,1980.0,5.0,-549.0,6.0,3.091,7.0
福島,6,11,タガノアキレア,4109.0,3.0,5052.0,3.0,2623.0,4.0,11.784,1.0
福島,6,12,パシオネ,766.0,8.0,1864.0,6.0,-7746.0,14.0,-5.116,10.0
福島,6,13,トンデトンデトンデ,1471.0,7.0,,,3036.0,2.0,,
福島,6,14,キタノザブリーズ,-15742.0,15.0,-1294.0,11.0,,,,
福島,6,15,アースインハマー,-1189.0,10.0,-26.0,10.0,-1728.0,9.0,-2.943,8.0
福島,7,1,スマッシュアウト,,,-1266.0,6.0,-6487.0,12.0,,
