場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
札幌,1,1,ミアエッテ,-7374.0,8.0,-2247.0,3.0,3147.0,2.0,-6.474,5.0
札幌,1,2,ショウサンカナヲ,41.0,6.0,-1046.0,2.0,-2690.0,5.0,-3.695,3.0
札幌,1,3,コルテオソレイユ,3972.0,4.0,669.0,1.0,,,,
札幌,1,4,マルモリラピダス,5840.0,3.0,-8050.0,7.0,-10205.0,7.0,-12.415,6.0
札幌,1,5,チェイサー,2142.0,5.0,-4080.0,5.0,-3526.0,6.0,-5.464,4.0
札幌,1,6,サザンテイオー,-244.0,7.0,-3084.0,4.0,-248.0,4.0,-3.576,2.0
札幌,1,7,グロリアスマーチ,6809.0,2.0,-6298.0,6.0,3046.0,3.0,3.557,1.0
札幌,1,8,コロッセウム,9085.0,1.0,,,5982.0,1.0,,
札幌,2,1,ハイライトニング,,,8965.0,1.0,2052.0,3.0,,
札幌,2,2,コレデヨカロウ,-1522.0,8.0,7372.0,3.0,2096.0,2.0,7.946,3.0
札幌,2,3,マリノリュミエール,5568.0,3.0,-13270.0,10.0,-14672.0,10.0,-22.374,8.0
札幌,2,4,アッカン,3929.0,4.0,566.0,8.0,-1284.0,4.0,3.211,5.0
札幌,2,5,サントルドパリ,959.0,7.0,1265.0,7.0,-1443.0,5.0,0.781,6.0
札幌,2,6,コスモナエマ,12733.0,1.0,6089.0,4.0,4436.0,1.0,23.258,1.0
札幌,2,7,フクチャンブラック,3786.0,5.0,2999.0,5.0,-2265.0,6.0,4.52,4.0
札幌,2,8,ウンボイクザーム,,,2396.0,6.0,-12852.0,9.0,,
札幌,2,9,ワラビガミ,2476.0,6.0,8965.0,1.0,-3256.0,8.0,8.185,2.0
札幌,2,10,シデンイッセン,6220.0,2.0,-7621.0,9.0,-3184.0,7.0,-4.585,7.0
札幌,3,1,キタノホウセキ,,,-6975.0,9.0,5097.0,6.0,,
札幌,3,2,アンタンシオン,2026.0,5.0,-9449.0,10.0,8726.0,3.0,1.303,6.0
札幌,3,3,メルシーボクアスク,2231.0,4.0,-10336.0,12.0,1695.0,10.0,-6.41,8.0
札幌,3,4,ビスケットマリー,,,-9518.0,11.0,-3114.0,13.0,,
札幌,3,5,ピンクパラダイス,3626.0,2.0,-2859.0,8.0,-2309.0,12.0,-1.542,7.0
札幌,3,6,メレサンク,,,18092.0,1.0,11182.0,1.0,,
札幌,3,7,カワキタホクレア,-5012.0,9.0,83.0,6.0,-9020.0,14.0,-13.949,11.0
札幌,3,8,ハイラブソング,-7196.0,10.0,3943.0,4.0,6670.0,4.0,3.417,4.0
札幌,3,9,ハローエンジェル,2937.0,3.0,-10718.0,13.0,10963.0,2.0,3.182,5.0
札幌,3,10,カスバートテソーロ,8072.0,1.0,3783.0,5.0,-809.0,11.0,11.046,2.0
札幌,3,11,リポジノ,-3679.0,8.0,5113.0,3.0,3292.0,7.0,4.726,3.0
札幌,3,12,メイショウアキカゼ,644.0,7.0,13159.0,2.0,2903.0,8.0,16.706,1.0
札幌,3,13,エピファランド,1052.0,6.0,-18908.0,14.0,5859.0,5.0,-11.997,10.0
札幌,3,14,テーオーカバリエ,-8773.0,11.0,-456.0,7.0,2515.0,9.0,-6.714,9.0
札幌,4,1,ホウオウライダイ,5840.0,3.0,-4869.0,13.0,1446.0,4.0,2.417,4.0
札幌,4,2,アイスヴィレッジ,-2055.0,11.0,2378.0,6.0,-3950.0,9.0,-3.627,9.0
札幌,4,3,セガンティーニ,9085.0,1.0,-9095.0,15.0,-8325.0,13.0,-8.335,10.0
札幌,4,4,サマースピリット,3831.0,5.0,-394.0,12.0,-5412.0,11.0,-1.975,7.0
札幌,4,5,モモイロカタオモイ,-5515.0,13.0,600.0,8.0,-15550.0,14.0,-20.465,12.0
札幌,4,6,スカイダイバー,,,8514.0,2.0,,,,
札幌,4,7,ピースオブライツ,,,403.0,9.0,1855.0,3.0,,
札幌,4,8,タイヨウノキセツ,6809.0,2.0,-5175.0,14.0,-1922.0,7.0,-0.288,6.0
札幌,4,9,ライラックダンサー,,,-338.0,10.0,2723.0,2.0,,
札幌,4,10,グリフォン,2142.0,6.0,-338.0,10.0,-17777.0,15.0,-15.973,11.0
札幌,4,11,シャオシンユン,-2527.0,12.0,9310.0,1.0,-3.0,5.0,6.78,2.0
札幌,4,12,ベルヴィヴァン,-780.0,10.0,675.0,7.0,-2735.0,8.0,-2.84,8.0
札幌,4,13,ジョーブラック,3972.0,4.0,2769.0,5.0,-1514.0,6.0,5.227,3.0
札幌,4,14,リーサイェイ,41.0,8.0,3882.0,4.0,2976.0,1.0,6.899,1.0
札幌,4,15,アメリータ,329.0,7.0,-15778.0,16.0,-5682.0,12.0,-21.131,13.0
札幌,4,16,テーオーリップマン,-244.0,9.0,5424.0,3.0,-4408.0,10.0,0.772,5.0
札幌,5,1,ベレーザフィン,2231.0,4.0,-10708.0,11.0,,,,
札幌,5,2,ジーティーファラオ,3626.0,2.0,1716.0,5.0,1569.0,7.0,6.911,6.0
札幌,5,3,キャットデイ,-1321.0,10.0,-2081.0,9.0,4384.0,4.0,0.982,8.0
札幌,5,4,リドルトリガー,2026.0,5.0,1716.0,5.0,2013.0,6.0,5.755,7.0
札幌,5,5,エンジョイドライブ,-182.0,9.0,2766.0,4.0,8585.0,1.0,11.169,3.0
札幌,5,6,ブレスドナイル,2937.0,3.0,1656.0,7.0,6839.0,2.0,11.432,2.0
札幌,5,7,エンドレスバンカー,384.0,8.0,-17184.0,13.0,739.0,8.0,-16.061,10.0
札幌,5,8,ドゥラエテルノ,1052.0,6.0,-7088.0,10.0,5866.0,3.0,-0.17,9.0
札幌,5,9,タマモスノーダンス,-8773.0,11.0,26774.0,2.0,-8252.0,13.0,9.749,4.0
札幌,5,10,アシャカルーク,644.0,7.0,33648.0,1.0,-2026.0,11.0,32.266,1.0
札幌,5,11,ホウオウハナビ,,,-17184.0,13.0,-3673.0,12.0,,
札幌,5,12,ハルフロンティア,,,-10718.0,12.0,3781.0,5.0,,
札幌,5,13,ホウオウサムレット,8072.0,1.0,1137.0,8.0,26.0,9.0,9.235,5.0
札幌,5,14,ボールドハーテッド,,,6832.0,3.0,-244.0,10.0,,
札幌,6,1,ラブミーナッソー,-3319.0,8.0,-12030.0,11.0,331.0,6.0,-15.018,10.0
札幌,6,2,シャインミラカナ,795.0,5.0,-12258.0,12.0,9148.0,2.0,-2.315,8.0
札幌,6,3,スイッチオン,,,8814.0,3.0,-3116.0,8.0,,
札幌,6,4,ハヤテノツバサ,2514.0,3.0,11114.0,2.0,7572.0,3.0,21.2,1.0
