場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
中山,1,1,マリンディーゼル,-1066.0,9.0,-547.0,7.0,-13653.0,15.0,-15.266,10.0
中山,1,2,タマリスペクト,-2301.0,11.0,7774.0,2.0,-3252.0,9.0,2.221,3.0
中山,1,3,ミラクルスパート,,,-798.0,9.0,-755.0,3.0,,
中山,1,4,タイセイガナール,-84.0,6.0,-384.0,6.0,-1790.0,6.0,-2.258,5.0
中山,1,5,アンバサダネージュ,3546.0,2.0,29472.0,1.0,-3047.0,8.0,29.971,1.0
中山,1,6,ビップムーラン,-2177.0,10.0,-12265.0,13.0,-2158.0,7.0,-16.6,11.0
中山,1,7,リオンアンサー,1130.0,4.0,-752.0,8.0,-3984.0,10.0,-3.606,6.0
中山,1,8,リケアペンネ,544.0,5.0,1272.0,5.0,-1588.0,5.0,0.228,4.0
中山,1,9,アルバニクス,,,1306.0,4.0,-4367.0,11.0,,
中山,1,10,ルルマーレ,4838.0,1.0,-10207.0,12.0,-5618.0,12.0,-10.987,8.0
中山,1,11,リバテイー,-4988.0,13.0,,,-1070.0,4.0,,
中山,1,12,エルドラド,-3892.0,12.0,-829.0,10.0,-8849.0,14.0,-13.57,9.0
中山,1,13,コウユーニポポニコ,-582.0,8.0,1699.0,3.0,3937.0,2.0,5.054,2.0
中山,1,14,ポセイドンテソーロ,-361.0,7.0,-8248.0,11.0,4164.0,1.0,-4.445,7.0
中山,1,15,ミラビリオン,1411.0,3.0,,,-7857.0,13.0,,
中山,2,1,リケアフェデリーニ,-2019.0,7.0,4005.0,5.0,-8802.0,13.0,-6.816,6.0
中山,2,2,イデアクリスタル,-5122.0,9.0,-5061.0,9.0,-3698.0,8.0,-13.881,9.0
中山,2,3,グラスベリー,59.0,5.0,32436.0,1.0,-5126.0,11.0,27.369,1.0
中山,2,4,フライスカイハイ,2624.0,4.0,-10508.0,10.0,-4672.0,9.0,-12.556,8.0
中山,2,5,タイセイルビー,-2222.0,8.0,1475.0,6.0,58.0,5.0,-0.689,5.0
中山,2,6,ハニーオーケストラ,4754.0,2.0,,,4579.0,1.0,,
中山,2,7,イサチルクイーン,-931.0,6.0,476.0,7.0,2186.0,3.0,1.731,4.0
中山,2,8,フュルスティン,-5158.0,10.0,,,1981.0,4.0,,
中山,2,9,フィクセルリリア,,,6179.0,3.0,-389.0,7.0,,
中山,2,10,パルストリス,2847.0,3.0,14671.0,2.0,2513.0,2.0,20.031,2.0
中山,2,11,ハウスオンファイア,5919.0,1.0,4922.0,4.0,-7785.0,12.0,3.056,3.0
中山,2,12,ルージュアリスタ,,,,,-4676.0,10.0,,
中山,2,13,リケアマカロニ,-6268.0,11.0,-2183.0,8.0,-255.0,6.0,-8.706,7.0
中山,3,1,アージェンタイド,482.0,9.0,-1679.0,8.0,3133.0,3.0,1.936,4.0
中山,3,2,エコロセレナ,8992.0,1.0,,,2796.0,5.0,,
中山,3,3,ピコパープル,,,4034.0,3.0,-1180.0,8.0,,
中山,3,4,ベアサナエチャン,-3061.0,10.0,-3508.0,9.0,1794.0,6.0,-4.775,6.0
中山,3,5,クロムハーツガール,3394.0,6.0,3950.0,4.0,-3525.0,11.0,3.819,2.0
中山,3,6,ミュークトーマス,1150.0,7.0,5821.0,1.0,-4120.0,12.0,2.851,3.0
中山,3,7,ガミーヌ,5727.0,3.0,5117.0,2.0,-2121.0,10.0,8.723,1.0
中山,3,8,ニシノマーレ,3864.0,4.0,,,-5626.0,13.0,,
中山,3,9,ツウキンカイソク,872.0,8.0,-4312.0,10.0,-8647.0,14.0,-12.087,8.0
中山,3,10,アースヴィンチ,6325.0,2.0,-12833.0,11.0,3103.0,4.0,-3.405,5.0
