場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
東京,1,1,サバイバルトゥルー,-11159.0,14.0,6603.0,2.0,-8279.0,15.0,-12.835,11.0
東京,1,2,クイーンズホリデー,2244.0,3.0,712.0,7.0,-3883.0,12.0,-0.927,7.0
東京,1,3,ガーネットテソーロ,,,-12354.0,12.0,4692.0,4.0,,
東京,1,4,エコールナヴァール,-931.0,9.0,1573.0,5.0,-1162.0,10.0,-0.52,6.0
東京,1,5,ウィングブルー,264.0,7.0,2079.0,4.0,3832.0,5.0,6.175,2.0
東京,1,6,ソーマッチ,-5513.0,12.0,780.0,6.0,-3717.0,11.0,-8.45,10.0
東京,1,7,フライスカイハイ,-1823.0,10.0,4675.0,3.0,-6000.0,13.0,-3.148,8.0
東京,1,8,レヴェランジェ,3863.0,2.0,,,6735.0,1.0,,
東京,1,9,ナタール,735.0,6.0,-1028.0,9.0,952.0,8.0,0.659,5.0
東京,1,10,ロココ,-2877.0,11.0,-3623.0,10.0,1277.0,7.0,-5.223,9.0
東京,1,11,ニシノガランテ,1525.0,5.0,-176.0,8.0,4771.0,3.0,6.12,3.0
東京,1,12,ロンドンプライド,-170.0,8.0,-4899.0,11.0,6416.0,2.0,1.347,4.0
東京,1,13,エンゼルランプ,1759.0,4.0,,,-6703.0,14.0,,
東京,1,14,アーティラリー,12376.0,1.0,6990.0,1.0,-346.0,9.0,19.02,1.0
東京,1,15,ジャストビコーズ,-8962.0,13.0,,,3415.0,6.0,,
東京,2,1,ドレドレ,-1791.0,7.0,15794.0,1.0,-3818.0,8.0,10.185,3.0
東京,2,2,ロゼインパルス,-1076.0,6.0,18.0,7.0,-6737.0,10.0,-7.795,8.0
東京,2,3,アイアンブランド,-11279.0,12.0,-11017.0,13.0,-14882.0,12.0,-37.178,11.0
東京,2,4,エッジアキュート,1525.0,3.0,5731.0,5.0,10209.0,1.0,17.465,2.0
東京,2,5,フレンチブラッサム,1173.0,5.0,6990.0,4.0,,,,
東京,2,6,エコロバロン,12376.0,1.0,11625.0,2.0,3737.0,2.0,27.738,1.0
東京,2,7,ゴディアンフィンチ,1490.0,4.0,1146.0,6.0,1193.0,4.0,3.829,6.0
東京,2,8,グラティアム,3843.0,2.0,-1501.0,10.0,2004.0,3.0,4.346,5.0
東京,2,9,ヘイマー,,,-4712.0,12.0,-7239.0,11.0,,
東京,2,10,エクスプレスナイト,-4291.0,9.0,-767.0,8.0,-4018.0,9.0,-9.076,9.0
東京,2,11,ベアアッコチャン,-5261.0,10.0,11625.0,2.0,952.0,5.0,7.316,4.0
東京,2,12,ニシノランペイジ,-3799.0,8.0,-767.0,8.0,-346.0,6.0,-4.912,7.0
東京,2,13,ヴェネチアンキング,-8962.0,11.0,-1981.0,11.0,-477.0,7.0,-11.42,10.0
東京,3,1,カゼノハゴロモ,1174.0,2.0,-7449.0,7.0,-764.0,4.0,-7.039,4.0
東京,3,2,フックセンチョウ,-6495.0,10.0,,,-5584.0,8.0,,
東京,3,3,ミスターマーボー,-6664.0,11.0,-6093.0,6.0,-2894.0,7.0,-15.651,6.0
東京,3,4,カズノダイジョウ,-557.0,5.0,-5114.0,5.0,,,,
東京,3,5,リトルエンジェル,,,,,2016.0,3.0,,
東京,3,6,トーアシチフクジン,-5288.0,8.0,1290.0,4.0,-16148.0,11.0,-20.146,7.0
東京,3,7,ダイヤテソーロ,360.0,3.0,9335.0,1.0,4396.0,1.0,14.091,1.0
東京,3,8,ウレシイゴサン,-159.0,4.0,,,-5726.0,9.0,,
東京,3,9,シャオママル,-670.0,6.0,-13695.0,8.0,-1071.0,5.0,-15.436,5.0
東京,3,10,ファインコンダクト,-6241.0,9.0,1938.0,2.0,2990.0,2.0,-1.313,2.0
東京,3,11,ワディアルリヤハ,-1898.0,7.0,,,-1194.0,6.0,,
東京,3,12,ヴェリタスポルタ,2380.0,1.0,1570.0,3.0,-6055.0,10.0,-2.105,3.0
東京,4,1,リプレイ,716.0,2.0,739.0,4.0,1156.0,2.0,2.611,2.0
東京,4,2,トーアマリシテン,-1082.0,14.0,-656.0,7.0,847.0,5.0,-0.891,7.0
東京,4,3,ボエーム,644.0,3.0,-2308.0,11.0,14.0,7.0,-1.65,11.0
東京,4,4,ペンティメント,58.0,6.0,-743.0,8.0,1093.0,3.0,0.408,5.0
東京,4,5,カールスタード,-249.0,8.0,3011.0,1.0,1173.0,1.0,3.935,1.0
東京,4,6,テーオーリカード,-470.0,11.0,841.0,3.0,378.0,6.0,0.749,4.0
東京,4,7,ジーティーオウジャ,-869.0,13.0,2201.0,2.0,14.0,7.0,1.346,3.0
東京,4,8,ビリオネアボーイ,119.0,5.0,461.0,5.0,-1132.0,13.0,-0.552,6.0
東京,4,9,メイショウコガシラ,-205.0,7.0,-988.0,9.0,-2335.0,14.0,-3.528,12.0
東京,4,10,ゴールデンルーキー,-442.0,10.0,,,-117.0,9.0,,
東京,4,11,サトノトルネード,1105.0,1.0,-1409.0,10.0,-973.0,12.0,-1.277,9.0
東京,4,12,ワカムシャ,-538.0,12.0,-3007.0,13.0,-311.0,10.0,-3.856,13.0
東京,4,13,ニシノリアリティ,-250.0,9.0,-508.0,6.0,-496.0,11.0,-1.254,8.0
東京,4,14,サンライズウェーヴ,184.0,4.0,-2509.0,12.0,994.0,4.0,-1.331,10.0
東京,5,1,ユイノサダハル,-1127.0,8.0,,,-491.0,5.0,,
東京,5,2,アラクラン,485.0,5.0,9664.0,2.0,-1698.0,7.0,8.451,2.0
東京,5,3,オーケーグリット,-1141.0,9.0,-3255.0,10.0,-3725.0,8.0,-8.121,9.0
東京,5,4,マイネルディザイア,4090.0,2.0,7661.0,3.0,741.0,3.0,12.492,1.0
東京,5,5,スタニングレディ,2437.0,4.0,,,3965.0,1.0,,
東京,5,6,リゾートアイランド,-1871.0,11.0,7661.0,3.0,2380.0,2.0,8.17,3.0
東京,5,7,オウケンハニー,462.0,6.0,-1633.0,8.0,-6492.0,11.0,-7.663,7.0
東京,5,8,マンサニージャ,-12583.0,13.0,9828.0,1.0,-5973.0,10.0,-8.728,10.0
東京,5,9,ポッドクロス,-5999.0,12.0,-1139.0,7.0,-656.0,6.0,-7.794,8.0
東京,5,10,ノービレ,3582.0,3.0,,,-7109.0,12.0,,
東京,5,11,イロゴルシ,4660.0,1.0,-1876.0,9.0,300.0,4.0,3.084,4.0
東京,5,12,ラクシオンデクラ,-1705.0,10.0,5431.0,6.0,-4660.0,9.0,-0.934,5.0
東京,5,13,ネッカーズルム,-842.0,7.0,6659.0,5.0,-7799.0,13.0,-1.982,6.0
東京,6,1,ゼルノードゥス,42.0,7.0,899.0,2.0,4593.0,2.0,5.534,2.0
東京,6,2,ヘリオドール,-1993.0,11.0,899.0,2.0,-5182.0,16.0,-6.276,10.0
東京,6,3,フロンテアムーン,,,,,-3179.0,13.0,,
東京,6,4,ノーザンタイタン,-6623.0,15.0,-4139.0,12.0,-2643.0,12.0,-13.405,12.0
東京,6,5,フォセットジェンヌ,620.0,6.0,899.0,2.0,-1623.0,7.0,-0.104,5.0
東京,6,6,ピエドゥラパン,1762.0,3.0,-3500.0,11.0,7921.0,1.0,6.183,1.0
東京,6,7,オーシャンドリーム,-10722.0,16.0,-2209.0,10.0,-7766.0,17.0,-20.697,13.0
東京,6,8,バルボアパーク,-46.0,8.0,-877.0,7.0,-2545.0,11.0,-3.468,7.0
東京,6,9,アリアベルデ,-3165.0,13.0,-877.0,7.0,-2014.0,9.0,-6.056,9.0
東京,6,10,ブライトエアリー,-1090.0,10.0,-1401.0,9.0,-4637.0,15.0,-7.128,11.0
東京,6,11,キャリアビジョン,-3731.0,14.0,1565.0,1.0,-2233.0,10.0,-4.399,8.0
東京,6,12,ミッキーパラソル,-625.0,9.0,,,3016.0,4.0,,
東京,6,13,ティンブロポップ,1252.0,4.0,-163.0,6.0,-1623.0,7.0,-0.534,6.0
東京,6,14,スカイドリーマー,748.0,5.0,,,2424.0,5.0,,
東京,6,15,ミルトメロディー,-3036.0,12.0,,,-3691.0,14.0,,
東京,6,16,エルミー,4460.0,2.0,573.0,5.0,-485.0,6.0,4.548,3.0
東京,6,17,ヒナタ,5006.0,1.0,-5884.0,13.0,3319.0,3.0,2.441,4.0
東京,7,1,コスモコンフェルマ,5412.0,2.0,4454.0,4.0,5904.0,1.0,15.77,3.0
東京,7,2,アルデツヨシ,-9185.0,14.0,-6950.0,12.0,4388.0,6.0,-11.747,11.0
東京,7,3,ネイサン,,,,,-8450.0,16.0,,
東京,7,4,トライゴーニック,-1041.0,8.0,-2963.0,9.0,5646.0,2.0,1.642,6.0
東京,7,5,ハルノアラシ,-924.0,7.0,-3229.0,10.0,-6432.0,15.0,-10.585,10.0
東京,7,6,フォレストゲート,7119.0,1.0,11345.0,2.0,-1911.0,11.0,16.553,2.0
東京,7,7,カージオイド,-613.0,6.0,-5248.0,11.0,667.0,8.0,-5.194,8.0
東京,7,8,マインドミー,-8403.0,13.0,-2649.0,8.0,-2712.0,12.0,-13.764,13.0
東京,7,9,ヤコブセン,-1614.0,9.0,-17148.0,14.0,-845.0,9.0,-19.607,14.0
東京,7,10,ダカラフェスティヴ,-10326.0,15.0,1276.0,5.0,-4391.0,14.0,-13.441,12.0
東京,7,11,ロックウイズユー,-443.0,5.0,12051.0,1.0,5453.0,3.0,17.061,1.0
東京,7,12,ファイナルヒート,-4896.0,11.0,-1126.0,7.0,-1037.0,10.0,-7.059,9.0
東京,7,13,ディズレーリ,-8386.0,12.0,-18077.0,15.0,4806.0,5.0,-21.657,15.0
東京,7,14,タケルゴールド,3441.0,4.0,-7639.0,13.0,830.0,7.0,-3.368,7.0
東京,7,15,ブルージャイアント,4122.0,3.0,10347.0,3.0,-3805.0,13.0,10.664,4.0
東京,7,16,タマモトリノ,-2403.0,10.0,404.0,6.0,5273.0,4.0,3.274,5.0
東京,8,1,テイエムキハク,1764.0,4.0,2725.0,5.0,1356.0,2.0,5.845,3.0
東京,8,2,ショーリバース,2139.0,2.0,11142.0,1.0,-6662.0,6.0,6.619,2.0
東京,8,3,マテンロウダビンチ,129.0,5.0,603.0,6.0,-154.0,5.0,0.578,6.0
東京,8,4,ラエトゥス,-334.0,6.0,3520.0,4.0,603.0,4.0,3.789,4.0
東京,8,5,アルデトップガン,1869.0,3.0,-1177.0,7.0,1292.0,3.0,1.984,5.0
東京,8,6,リネンタイリン,-10966.0,7.0,6690.0,2.0,-14416.0,7.0,-18.692,7.0
東京,8,7,トップマジシャン,2655.0,1.0,5368.0,3.0,3722.0,1.0,11.745,1.0
東京,9,1,ダノンセンチュリー,-699.0,11.0,1933.0,6.0,-2137.0,12.0,-0.903,9.0
東京,9,2,ゴールドシーン,3495.0,3.0,-19525.0,18.0,-4322.0,14.0,-20.352,18.0
東京,9,3,ユイノオールイン,-1616.0,14.0,3410.0,4.0,4761.0,5.0,6.555,4.0
東京,9,4,プチプランス,2831.0,4.0,15146.0,1.0,1527.0,8.0,19.504,1.0
東京,9,5,ルミナスピラー,-12406.0,18.0,-1349.0,11.0,7030.0,1.0,-6.725,13.0
東京,9,6,オーケースマイル,-973.0,12.0,-6334.0,14.0,-7623.0,17.0,-14.93,15.0
東京,9,7,フォルテフィオーレ,9715.0,1.0,-9255.0,15.0,7024.0,2.0,7.484,3.0
東京,9,8,ラガークイン,5220.0,2.0,532.0,8.0,-1811.0,10.0,3.941,5.0
東京,9,9,メイリー,-8229.0,17.0,1375.0,7.0,6334.0,3.0,-0.52,8.0
東京,9,10,エルマーゴ,667.0,8.0,-412.0,9.0,1733.0,6.0,1.988,6.0
東京,9,11,ルパヴィヨン,841.0,7.0,13383.0,2.0,-5512.0,16.0,8.712,2.0
東京,9,12,ルトンワージ,-1292.0,13.0,-4052.0,13.0,1664.0,7.0,-3.68,12.0
東京,9,13,チョングク,1974.0,5.0,-3328.0,12.0,-11052.0,18.0,-12.406,14.0
東京,9,14,トウカイフルーレ,-2290.0,15.0,2682.0,5.0,-2729.0,13.0,-2.337,11.0
東京,9,15,ダノンエンブレム,1663.0,6.0,-16872.0,17.0,-1811.0,10.0,-17.02,17.0
東京,9,16,サトノラポール,-5437.0,16.0,-621.0,10.0,4873.0,4.0,-1.185,10.0
東京,9,17,ルナルーチェット,96.0,9.0,6398.0,3.0,-4602.0,15.0,1.892,7.0
東京,9,18,ドリーミングアップ,-360.0,10.0,-15275.0,16.0,-483.0,9.0,-16.118,16.0
東京,10,1,シャイニングソード,1754.0,3.0,367.0,3.0,-1599.0,8.0,0.522,4.0
東京,10,2,ロードオールライト,-4654.0,7.0,-7634.0,7.0,-1355.0,7.0,-13.643,7.0
東京,10,3,ウィープディライト,-1760.0,6.0,-4833.0,6.0,239.0,4.0,-6.354,6.0
東京,10,4,レッドヴェロシティ,1052.0,4.0,490.0,2.0,1863.0,3.0,3.405,2.0
東京,10,5,エンドウノハナ,1942.0,2.0,-2660.0,5.0,-1324.0,6.0,-2.042,5.0
東京,10,6,スピードリッチ,-6598.0,8.0,8054.0,1.0,1894.0,2.0,3.35,3.0
東京,10,7,ヴォランテ,6441.0,1.0,185.0,4.0,-113.0,5.0,6.513,1.0
東京,10,8,デュアルウィルダー,131.0,5.0,,,5393.0,1.0,,
東京,11,1,ボーンディスウェイ,298.0,8.0,-10511.0,18.0,3679.0,4.0,-6.534,13.0
東京,11,2,オクタヴィアヌス,-5915.0,16.0,-10169.0,15.0,734.0,13.0,-15.35,18.0
東京,11,3,ギャラクシーナイト,7103.0,1.0,-9718.0,14.0,3171.0,7.0,0.556,8.0
東京,11,4,シルブロン,1534.0,6.0,3575.0,4.0,1588.0,10.0,6.697,4.0
東京,11,5,グランドカリナン,-2624.0,15.0,-336.0,7.0,783.0,12.0,-2.177,12.0
東京,11,6,セレシオン,-1975.0,14.0,-10276.0,17.0,3409.0,6.0,-8.842,15.0
東京,11,7,ラスカンブレス,461.0,7.0,4767.0,3.0,-3036.0,18.0,2.192,6.0
東京,11,8,ニシノレヴナント,-1315.0,13.0,3567.0,5.0,165.0,14.0,2.417,5.0
東京,11,9,サクセスシュート,-1028.0,12.0,-10169.0,15.0,1654.0,9.0,-9.543,16.0
東京,11,10,ウインエーデル,1908.0,5.0,-6787.0,12.0,-1894.0,17.0,-6.773,14.0
東京,11,11,メリオーレム,-893.0,11.0,-2200.0,9.0,1297.0,11.0,-1.796,11.0
