場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
新潟,1,1,ゼルノードゥス,-6722.0,9.0,340.0,3.0,3343.0,4.0,-3.039,5.0
新潟,1,2,マーゴットクリュグ,369.0,6.0,-2611.0,6.0,180.0,8.0,-2.062,3.0
新潟,1,3,スマイルガーデン,-9075.0,10.0,67.0,4.0,-2772.0,11.0,-11.78,7.0
新潟,1,4,セラサイト,6552.0,2.0,,,-267.0,9.0,,
新潟,1,5,キョウエイハル,,,-835.0,5.0,-6067.0,12.0,,
新潟,1,6,ガーネットテソーロ,9131.0,1.0,-11137.0,8.0,5449.0,1.0,3.443,1.0
新潟,1,7,ティナンヴァランタ,-14143.0,11.0,528.0,2.0,3552.0,3.0,-10.063,6.0
新潟,1,8,アルティソナンテ,4457.0,3.0,,,533.0,6.0,,
新潟,1,9,ノリチャンボウルズ,4147.0,4.0,-6514.0,7.0,2974.0,5.0,0.607,2.0
新潟,1,10,カワキタスズリノ,1440.0,5.0,,,3822.0,2.0,,
新潟,1,11,ドナソール,,,,,263.0,7.0,,
新潟,1,12,ルーン,-1341.0,7.0,,,-10153.0,13.0,,
新潟,1,13,ブリスフルイヤー,-1885.0,8.0,1867.0,1.0,-2447.0,10.0,-2.465,4.0
新潟,2,1,エイシンティザー,8201.0,2.0,6536.0,2.0,3670.0,1.0,18.407,1.0
新潟,2,2,カラーオブサクセス,15528.0,1.0,-5615.0,9.0,-4794.0,10.0,5.119,4.0
新潟,2,3,アンジュプロミス,-2959.0,10.0,5288.0,3.0,1161.0,4.0,3.49,5.0
新潟,2,4,スカイピア,3778.0,5.0,,,,,,
新潟,2,5,グランフォワイエ,-6227.0,11.0,-5753.0,10.0,-6127.0,11.0,-18.107,9.0
新潟,2,6,ドナベーネ,-1019.0,7.0,,,-10154.0,12.0,,
新潟,2,7,ミスターマーボー,216.0,6.0,-3184.0,7.0,-2526.0,8.0,-5.494,7.0
新潟,2,8,アスミル,-1866.0,8.0,,,-1599.0,6.0,,
新潟,2,9,ベルバード,-10720.0,12.0,-4512.0,8.0,2121.0,2.0,-13.111,8.0
新潟,2,10,ブランチアウト,4570.0,3.0,2905.0,5.0,-2215.0,7.0,5.26,3.0
新潟,2,11,ジャスフォール,4265.0,4.0,280.0,6.0,1721.0,3.0,6.266,2.0
新潟,2,12,ゴールドパレード,-2244.0,9.0,4738.0,4.0,-3956.0,9.0,-1.462,6.0
新潟,2,13,スマイルカーブ,,,8854.0,1.0,-1455.0,5.0,,
新潟,3,1,ユイノディスタンス,,,,,341.0,4.0,,
新潟,3,2,ビップルーク,-2214.0,7.0,-6833.0,6.0,1225.0,2.0,-7.822,5.0
新潟,3,3,ディアギレフ,10263.0,1.0,-5262.0,5.0,3602.0,1.0,8.603,3.0
新潟,3,4,マッドゲイル,7879.0,2.0,726.0,3.0,420.0,3.0,9.025,2.0
新潟,3,5,ユニゾン,4214.0,3.0,11741.0,1.0,-3597.0,7.0,12.358,1.0
新潟,3,6,カナタコナタ,-1377.0,6.0,-3060.0,4.0,-9471.0,9.0,-13.908,6.0
新潟,3,7,バトゥカーダ,-6369.0,8.0,4894.0,2.0,-2855.0,6.0,-4.33,4.0
新潟,3,8,スノースコール,-926.0,5.0,,,-23.0,5.0,,
新潟,3,9,サンライズアーサー,-8893.0,9.0,,,,,,
新潟,3,10,ディープエフェクト,1491.0,4.0,-11995.0,7.0,-3683.0,8.0,-14.187,7.0
新潟,4,1,マジカルワード,-722.0,8.0,-13532.0,14.0,-4251.0,15.0,-18.505,11.0
