場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
札幌,1,1,レッドファイブ,669.0,3.0,,,884.0,5.0,,
札幌,1,2,ブラックジャック,,,,,2451.0,4.0,,
札幌,1,3,ハグレジョー,-175.0,4.0,4208.0,3.0,270.0,6.0,4.303,2.0
札幌,1,4,イッスンボウシ,,,,,-6629.0,13.0,,
札幌,1,5,リフレックス,-9126.0,9.0,-6695.0,9.0,2813.0,3.0,-13.008,7.0
札幌,1,6,ウルヴァリン,-2019.0,6.0,-2526.0,6.0,-5877.0,11.0,-10.422,6.0
札幌,1,7,マーゴットサンズ,,,,,-6313.0,12.0,,
札幌,1,8,リピース,-4051.0,7.0,10491.0,2.0,,,,
札幌,1,9,ティブロン,4889.0,2.0,166.0,5.0,-3985.0,9.0,1.07,3.0
札幌,1,10,ロードベルファスト,,,-7456.0,10.0,4781.0,1.0,,
札幌,1,11,ユニゾン,8315.0,1.0,18043.0,1.0,-2843.0,8.0,23.515,1.0
札幌,1,12,グレーヌドジョワ,-229.0,5.0,-4839.0,8.0,-4970.0,10.0,-10.038,4.0
札幌,1,13,ミヤエスケープ,-5072.0,8.0,-4700.0,7.0,-538.0,7.0,-10.31,5.0
札幌,1,14,エクストラプッシュ,,,711.0,4.0,4557.0,2.0,,
札幌,2,1,オッハッピー,3263.0,3.0,,,-1501.0,5.0,,
札幌,2,2,ウインロズパレード,,,-1506.0,4.0,-954.0,4.0,,
札幌,2,3,シャルムグリーン,8123.0,1.0,-6347.0,6.0,-3592.0,8.0,-1.816,2.0
札幌,2,4,ロイヤルスパイア,-2956.0,6.0,2286.0,2.0,-5266.0,9.0,-5.936,3.0
札幌,2,5,オンマイビート,6471.0,2.0,3689.0,1.0,-2579.0,6.0,7.581,1.0
札幌,2,6,スカイピア,-2903.0,5.0,,,,,,
札幌,2,7,レッドスティンガー,-2975.0,7.0,-2226.0,5.0,-3177.0,7.0,-8.378,4.0
札幌,2,8,ニシノガンリキ,,,,,3223.0,2.0,,
札幌,2,9,ルーセントムーン,,,,,-8684.0,10.0,,
札幌,2,10,マルモリラピダス,,,-7438.0,7.0,-8701.0,11.0,,
札幌,2,11,スミッコディスコ,2369.0,4.0,,,5988.0,1.0,,
