場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
中山,1,1,モモクロオー,660.0,7.0,605.0,10.0,-12621.0,15.0,-11.356,11.0
中山,1,2,レイオーバー,-3993.0,13.0,3784.0,4.0,-8426.0,13.0,-8.635,9.0
中山,1,3,ルラクソント,-1576.0,10.0,,,-132.0,5.0,,
中山,1,4,ユイノマホウジン,-2177.0,11.0,-5825.0,13.0,5822.0,1.0,-2.18,6.0
中山,1,5,テイエムファラオ,-7260.0,16.0,7925.0,1.0,-491.0,6.0,0.174,4.0
中山,1,6,ベストヒューマ,-2316.0,12.0,2541.0,5.0,-3283.0,8.0,-3.058,7.0
中山,1,7,サラサエンペラー,3791.0,3.0,-722.0,11.0,-17705.0,16.0,-14.636,14.0
中山,1,8,ヨシノイクスプレス,1508.0,5.0,2218.0,6.0,3414.0,2.0,7.14,2.0
中山,1,9,アミグダラ,-1066.0,9.0,-4335.0,12.0,-8294.0,12.0,-13.695,13.0
中山,1,10,ショージージョ,-4102.0,14.0,696.0,8.0,-2235.0,7.0,-5.641,8.0
中山,1,11,ニシノヒミチュ,5647.0,2.0,-11666.0,14.0,-5918.0,11.0,-11.937,12.0
中山,1,12,ペイシャマリーン,2271.0,4.0,,,-5144.0,9.0,,
中山,1,13,セギレエルビエント,1411.0,6.0,656.0,9.0,-11909.0,14.0,-9.842,10.0
中山,1,14,セレブウマザンマイ,-6992.0,15.0,5344.0,3.0,452.0,4.0,-1.196,5.0
中山,1,15,エネルゲイア,12134.0,1.0,1801.0,7.0,1880.0,3.0,15.815,1.0
中山,1,16,ダイチラポール,-84.0,8.0,6463.0,2.0,-5279.0,10.0,1.1,3.0
中山,2,1,イトウ,-3117.0,10.0,-1958.0,13.0,-2787.0,7.0,-7.862,10.0
中山,2,2,マイネルジーニアス,-1361.0,4.0,32095.0,1.0,4780.0,2.0,35.514,1.0
中山,2,3,リッキースタイル,-1472.0,5.0,2932.0,6.0,4075.0,4.0,5.535,3.0
中山,2,4,ケアンズ,-3013.0,9.0,-1644.0,10.0,-3221.0,9.0,-7.878,11.0
中山,2,5,セイウングレイ,-61.0,2.0,-7352.0,14.0,850.0,6.0,-6.563,9.0
中山,2,6,ミヤビノオウザ,-5661.0,13.0,,,2161.0,5.0,,
中山,2,7,ロイヤルカスタマー,-5122.0,11.0,-1672.0,11.0,-5893.0,13.0,-12.687,13.0
中山,2,8,カージオイド,-672.0,3.0,148.0,8.0,-2941.0,8.0,-3.465,7.0
中山,2,9,ビリーヴアンドラン,-6268.0,15.0,,,-5232.0,12.0,,
中山,2,10,レッドシュトラール,-1583.0,6.0,1950.0,7.0,-4347.0,11.0,-3.98,8.0
中山,2,11,ヌンボラ,-10520.0,16.0,5219.0,3.0,4270.0,3.0,-1.031,4.0
中山,2,12,シャンハイナイト,-2034.0,8.0,-1623.0,9.0,-17422.0,16.0,-21.079,14.0
中山,2,13,イスキオス,-5158.0,12.0,3482.0,5.0,-6552.0,14.0,-8.228,12.0
中山,2,14,フジレイメイ,-1862.0,7.0,19305.0,2.0,-3743.0,10.0,13.7,2.0
中山,2,15,スムースオペレター,3063.0,1.0,4065.0,4.0,-8535.0,15.0,-1.407,5.0
中山,2,16,ハインズテソーロ,-6080.0,14.0,-1861.0,12.0,6523.0,1.0,-1.418,6.0
中山,3,1,アークエタニティ,-2287.0,11.0,10631.0,3.0,-5697.0,15.0,2.647,6.0
中山,3,2,ファイアーワークス,-5540.0,15.0,1987.0,6.0,-1894.0,11.0,-5.447,11.0
中山,3,3,カイトベルク,-3574.0,13.0,2281.0,5.0,-1986.0,12.0,-3.279,10.0
中山,3,4,ミッキーサンズ,-2521.0,12.0,-288.0,10.0,1562.0,4.0,-1.247,9.0
中山,3,5,プレイザットソング,-7477.0,16.0,-11473.0,14.0,-533.0,9.0,-19.483,14.0
中山,3,6,タニセンダイヤ,-572.0,6.0,842.0,9.0,4301.0,3.0,4.571,4.0
中山,3,7,ペイシャリサデル,784.0,3.0,1944.0,7.0,1556.0,5.0,4.284,5.0
中山,3,8,ロジリッキー,3811.0,2.0,-5525.0,13.0,-4149.0,14.0,-5.863,12.0
中山,3,9,リヴァーブ,-1911.0,9.0,-4210.0,12.0,5142.0,2.0,-0.979,8.0
中山,3,10,ワンダーレイザー,-4728.0,14.0,,,373.0,6.0,,
中山,3,11,ヴォーパルソード,-592.0,7.0,-1961.0,11.0,-6140.0,16.0,-8.693,13.0
中山,3,12,ネイチャーズロウ,-1970.0,10.0,16211.0,1.0,-2313.0,13.0,11.928,2.0
中山,3,13,メイショウフソウ,505.0,4.0,,,7435.0,1.0,,
中山,3,14,エンデューロ,3981.0,1.0,10964.0,2.0,-114.0,8.0,14.831,1.0
中山,3,15,マウントバーノン,-837.0,8.0,10631.0,3.0,-534.0,10.0,9.26,3.0
中山,3,16,クリスティテソーロ,-259.0,5.0,1484.0,8.0,373.0,6.0,1.598,7.0
中山,4,1,ヒートオンビート,-1175.0,11.0,-273.0,6.0,838.0,1.0,-0.61,4.0
中山,4,2,プリンセスララア,-444.0,7.0,59.0,5.0,-1574.0,9.0,-1.959,6.0
中山,4,3,ノアフェイス,221.0,2.0,670.0,4.0,-781.0,6.0,0.11,3.0
中山,4,4,ミラクルジニア,-138.0,5.0,1087.0,3.0,195.0,4.0,1.144,2.0
中山,4,5,シンドバッド,-140.0,6.0,1793.0,2.0,-3716.0,11.0,-2.063,7.0
中山,4,6,トラモント,114.0,3.0,-341.0,7.0,-574.0,5.0,-0.801,5.0
中山,4,7,クリノオデッセイ,-745.0,9.0,,,-1030.0,7.0,,
中山,4,8,カイトレッド,1152.0,1.0,,,308.0,3.0,,
中山,4,9,ザスリーサーティ,-857.0,10.0,,,-1163.0,8.0,,
中山,4,10,ウィズユアドリーム,-479.0,8.0,2572.0,1.0,531.0,2.0,2.624,1.0
中山,4,11,デザートスター,22.0,4.0,-1397.0,8.0,-1978.0,10.0,-3.353,8.0
