場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
函館,1,1,ロイヤルタイム,5312.0,3.0,-9754.0,6.0,5380.0,1.0,0.938,3.0
函館,1,2,ジャストビート,11369.0,1.0,-1394.0,3.0,-4589.0,9.0,5.386,2.0
函館,1,3,チェンドル,-3600.0,7.0,-13456.0,8.0,-4577.0,8.0,-21.633,7.0
函館,1,4,ブルームオブピース,,,-1394.0,3.0,3980.0,2.0,,
函館,1,5,トーセンシーギリヤ,-4075.0,8.0,,,1200.0,5.0,,
函館,1,6,サマーカムカム,,,,,-2036.0,6.0,,
函館,1,7,セレーノ,10737.0,2.0,-3072.0,5.0,1252.0,4.0,8.917,1.0
函館,1,8,ラシッド,4964.0,5.0,,,1628.0,3.0,,
函館,1,9,スマートプリエール,-4370.0,9.0,-10805.0,7.0,-2625.0,7.0,-17.8,6.0
函館,1,10,ティブロン,5210.0,4.0,-67.0,2.0,-4654.0,10.0,0.489,4.0
函館,1,11,シャインヴィーラ,-326.0,6.0,4199.0,1.0,-6477.0,11.0,-2.604,5.0
函館,2,1,ハイエンドモデル,-5940.0,8.0,3766.0,4.0,-246.0,5.0,-2.42,5.0
函館,2,2,メイショウユウモウ,,,-4005.0,7.0,3382.0,2.0,,
函館,2,3,オンサイト,,,,,-2455.0,8.0,,
函館,2,4,エーデルムート,4265.0,4.0,-10614.0,10.0,-5394.0,11.0,-11.743,7.0
函館,2,5,プレインコート,,,-3763.0,5.0,3170.0,3.0,,
函館,2,6,フォレストオール,,,6254.0,1.0,-8265.0,12.0,,
函館,2,7,タマゴ,7309.0,2.0,4489.0,2.0,-1110.0,7.0,10.688,1.0
函館,2,8,バスキュラリティ,9227.0,1.0,-5355.0,8.0,-492.0,6.0,3.38,2.0
函館,2,9,テーオーリップマン,-4228.0,7.0,4323.0,3.0,-4236.0,9.0,-4.141,6.0
函館,2,10,レストプレドゥモア,1629.0,6.0,-7658.0,9.0,5214.0,1.0,-0.815,4.0
函館,2,11,ブラックエンパイア,6067.0,3.0,-3977.0,6.0,175.0,4.0,2.265,3.0
函館,2,12,フルグライト,3603.0,5.0,,,-4638.0,10.0,,
函館,3,1,ケイアイワイラーパ,-1867.0,6.0,-3011.0,8.0,-463.0,9.0,-5.341,7.0
函館,3,2,ライジングショット,-847.0,4.0,965.0,6.0,4032.0,2.0,4.15,3.0
函館,3,3,アルデツヨシ,5486.0,1.0,-7997.0,11.0,5651.0,1.0,3.14,4.0
函館,3,4,ステイアンビシャス,-326.0,3.0,14123.0,2.0,-6410.0,12.0,7.387,2.0
函館,3,5,ドルチェリターン,4262.0,2.0,2463.0,4.0,2969.0,3.0,9.694,1.0
函館,3,6,チョウリニア,-2518.0,7.0,493.0,7.0,243.0,7.0,-1.782,6.0
函館,3,7,クレヨンポップ,-1803.0,5.0,-7238.0,10.0,2580.0,4.0,-6.461,9.0
函館,3,8,マブアンドフェール,-3528.0,8.0,-7997.0,11.0,-240.0,8.0,-11.765,10.0
函館,3,9,スナドケイ,-5716.0,10.0,2616.0,3.0,-2723.0,11.0,-5.823,8.0
函館,3,10,メアリーバローズ,,,-7018.0,9.0,-2583.0,10.0,,
函館,3,11,スティレセイル,,,17496.0,1.0,2238.0,5.0,,
函館,3,12,ハイアップグレード,-4955.0,9.0,1999.0,5.0,1460.0,6.0,-1.496,5.0
函館,4,1,ロアヴィヴィエンヌ,4951.0,3.0,,,-7444.0,15.0,,
函館,4,2,ウェーヴレット,3356.0,4.0,-21553.0,14.0,2228.0,3.0,-15.969,11.0
函館,4,3,マゴイチタ,7721.0,1.0,6434.0,2.0,1934.0,5.0,16.089,1.0
函館,4,4,アンビシャスヨシノ,606.0,7.0,-13316.0,13.0,-673.0,8.0,-13.383,10.0
函館,4,5,キントラダンサー,1798.0,6.0,4461.0,5.0,1979.0,4.0,8.238,3.0
函館,4,6,ブラックティンカー,-2380.0,9.0,-3015.0,12.0,-2168.0,11.0,-7.563,7.0
函館,4,7,テーオーシュターデ,-619.0,8.0,6160.0,3.0,666.0,7.0,6.207,5.0
函館,4,8,ダディーズグーグー,6198.0,2.0,1075.0,10.0,1769.0,6.0,9.042,2.0
函館,4,9,ベールドインパクト,,,5087.0,4.0,3701.0,2.0,,
函館,4,10,ガジュノリホワイト,-4196.0,11.0,14916.0,1.0,-2835.0,12.0,7.885,4.0
函館,4,11,ダイヤノゴトク,,,1724.0,7.0,6606.0,1.0,,
函館,4,12,ジョーブラック,3160.0,5.0,2520.0,6.0,-1955.0,10.0,3.725,6.0
函館,4,13,マーゴットジェム,-3985.0,10.0,1724.0,7.0,-7203.0,14.0,-9.464,8.0
函館,4,14,メイショウハボマイ,,,1458.0,9.0,-5438.0,13.0,,
函館,4,15,ラブカマクフィー,-7202.0,12.0,-1695.0,11.0,-904.0,9.0,-9.801,9.0
